location,review,name,user_profile,userloc,rating
Chamoli,"What can one single out? Location- fantastic; Hospitality- unparalleled; Food- outstanding ( quality/taste/variety), Service- friendly, unobtrusive, professional. Choice of lazying around or get immersed in activities. Loved it the first time, second time was even better- returning once the lockdown is lifted in a couple of months.",suprio mukherjee,/Profile/supri0g0nefishing,"Gurugram (Gurgaon), India",50
Chamoli,"Well to start with, this was a trip which was sudden, totally unplanned and all I knew was that this was my very first women only trip which i had waited for so long but didnt expect to happen like this. I was so glad that I booked this property located in Devprayag at the confluence of Alakanda and Bhagirathi river. The moment you step in there you are into a zone of digital detox, surrounded only by the sound of Ganges flowing just in front of your balcony, woken up by the sweet melodies of the bird in the morning, refreshed with the breathtaking sunset. They dont have WIFI and television and makes you cut off from the rest of the world (you may use Resort phone number for essential calls if any) . We stayed there for 3 days and  made full utilisation of the well stocked",Somali D,/Profile/SomaliD6,,50
Chamoli,"Full marks to Tito and his team at Banyan by the ganges.Excellent food , impeccable service , friendly staff,awesome location and best of all limited mobile connectivity !One activity that I would highly  reccommend is the  through the forest to the local village.We came back with a bagful of the local produce ..garlic , coriander ,wild curry leaves..all of which smelled heavenly. Anil the resident naturalist is extremely friendly and has many interesting insights to share.The beach on the opposite shore is right out of a childhood Enid blyton novel .The food is fantastic..pro tip..request for the banana cake and custard !The one improvement on that front would be to include some local dishes on the menu.Do remember to carry your own alcohol !Bonfire is organized on request.As",Shomik B,/Profile/sh0mikb,,50
Chamoli,Its heaven on the earth. You go in to transe on the banks of ganges. Excellant property. Good food. Very good hospitality. Very efficient staff. Worth every penny. Enjoyed every movement with soothing sound of ganges.,OnAir477899,/Profile/OnAir477899,,50
Chamoli,"This is a beautiful property with luxurious tent like rooms with all amenities. The staff is absolutely brilliant, courteous and helpful at all times. The owner Mr. Tito himself is an extremely polished gentleman who understands the hospitality industry very well. This was one of my best stays in recent times. The food was excellent and they organized a great river rafting trip for us. We enjoyed ourselves thoroughly during this 2 night stay and would highly recommend this hotel to people looking for a quiet holiday in Uttarakhand.",Ajit Menon,/Profile/637ajitm,"Noida, India",50
Chamoli,"One look at their promo video and I was sold. Is it safe for a solo woman traveller? Absolutely. Having flown in to Dehradun airport, the hotel had arranged for my drop to the Banyan which was a 2 and half hour drive from there. Completely away from the crowded town of Rishikesh, Banyan is at a very quiet and peaceful location in Vyasghat and has a stunning view of the Ganga.  Clean room, clean linen and a spacious clean bathroom (including fittings), Banyan by the Ganges has extremely friendly staff, ready to help us out anytime, be it to go for a walk, or to take a dip in Ganga or to arrange adventure activities or for a bonfire in the evening.  Sumptuous food, all 3 meals every single day, they literally make you feel at home. In fact, they even kept track of what i liked and",Michealle N,/Profile/Micniaz,"Kochi (Cochin), India",50
Chamoli,"I went there with a friend of mine in October 2019. We were there for 4 nights. The staff were all very friendly and courteous and made us lovely ginger tea whenever we requested. We felt pampered. The food was delicious. The property however, could be a little better maintained. A small kitchen garden would increase the aesthetics of the place. While the tent has all the modern amenities, an intercom would be an additional plus. Also, sometimes, the line to the geyser in the bathroom would be disconnected and hot water would not be available. This meant that one would have to walk all the way back to the reception area to inform the staff because there is no network connection inside the property. This was one small  inconvenience.  The rafting experience was a whole lot of",anonymoustravellar,/Profile/anonymoustravellar,"Kalyani, India",50
Chamoli,Ideal place to visit for a detox. There is no wifi or connectivity or room service but they more than make it up with human touch. You are in the midst of the nature though not lacking in creature comforts. The gurgling of the ganges is your fm radio and the gorgeous sky above your television. You will never feel the lack of internet.,Kumar G,/Profile/KumarG261,"Kolkata, India",50
Chamoli,Serene location by the ganges... surrounding mountains... excellent hospitality...no.wifi or mobile signal....so perfect relaxing getaway...staff is excellent and yummy food ...they go the extra mile to ensure that the stay is comfortable...we can even go for walks nears resort ..very clean fresh air and beautiful views..and the trek to waterfall assisted by staff..an hidden gem...,Appushal,/Profile/Appushal,,50
Chamoli,"This was the first of my many visits to follow. As an angler, rarely do I come across the combination of such excellent accommodation/food/service and fairly easy accessibility to some stunning Mahseer waters. The location, overlooking the river is stunning; the accommodation, though not luxurious, is more than comfortable with all amenities that one may require. Every meal was excellently curated; simple, tasty. The staff, ever smiling, ever helpful.  Very enjoyable trip and a big thank you to Maajid and the boys.",suprio mukherjee,/Profile/supri0g0nefishing,"Gurugram (Gurgaon), India",50
