location,review,name,user_profile,userloc,rating
Chamoli,"I was here in the first week of March, together with my husband and fellow photographers, to attend a Himalayan Landscape Photography Workshop, mentored by eminent photographers such as H Satish, Gurdas Dua, Anil Risal Singh and Threesh Kapoor ji himself. We spent a memorable four days at this heavenly abode. The property is very well laid out. Every room has full view of the Himalayan peaks such as Mount Trishul, Nanda Devi, etc. We never got tired of looking at the varying landscape every minute of the day. The gardens attached to the property had lovely peach and buransh blooms. Food was very yummy. Afternoon tea was a ritual to look forward to, especially considering that the weather was very cold. The icing on the cake was of course our ever gracious host, Threesh Kapoor",AnithaMysore,/Profile/Achuani,,50
Chamoli,"The Buransh is most ideally located at Kausani, with a fantastic view of the Trishul in the Himalayan range.  Attended a photography workshop (4-8 Mar,2020) with 40 others. (my second one here) The resort has spacious and comfortable rooms with a view of the mountains.  Excellent food and personal touch by the hosts Mrs & Mr Threesh Kapoor.   An excellent photographer & Mountaineer himself, Mr Threesh Kapoor knows the Himalayas like the back of his hand!  He makes one feel so welcome that you would want to go there again & again!  Also a  most ideal resort to hold workshops, conferences & festivals.  Worth adding to your bucket list!",Prema Kakade,/Profile/PremaKakade,,50
Chamoli,"i stayed here for almost 1 week during march first week , everything is excellent stay , food and hospitality . Mr Threesh Kapoor and his wife were so happy to welcome us , very good host .  If you are a photographer then this is the place to stay . You woke up seeing himalayas . Places around kasuani were too good for photographers for especially for landscape , birding and portraits.",Nandan Hegde,/Profile/nandanhegde91,"Bengaluru, India",50
Chamoli,"We stayed in the family suites at the Buransh and woke up to absolutely stunning views of the Trishul and Nanda Devi. The rooms are very comfortable and spacious, service is good. Mr Kapoor, the owner, personally catered to every guest and is a wonderful and warm host. The Buransh hosts a lot of activities too - photography or art clubs. The only catch is the approach road. It's quite steep and is quite long. Climbing up this road, by walk or by car, isn't easy and it locks you in within the resort premises. ",archana_mrao,/Profile/archana_mrao,"Bengaluru, India",40
Chamoli,"All rooms facing the Himalayan range with splendid views. Treks around he property as you may please, Rooms of good size and clean bathrooms with plenty of open area. Food was good and better to have in the hotel itself.",veena41,/Profile/veena41,delhi,40
Chamoli,"A panoramic view of the Himalayan range was the first thing that left us awestruck as we drove down a steep tarred road to The Buransh. Conceived  by an artist, the brickwork facade of the Buransh is made more beautiful by the colorful flower pots. Mr Treesh Kapoor, a retired banker and  owner, welcomes all his guests personally lending the much missing personal touch .  After a glass of refreshing Buransh juice, the ever courteous staff take us to our rooms. All rooms, which are very well furnished with furniture made of locally available  material, offer an unhindered 180 degree  view of the majestic Himalayan ranges through the large windows.  The bathrooms are large and we'll appointed with 24 hours hot water.  In the evenings Mr Kapoor takes us on a photographic journey of",Subrata Sengupta,/Profile/SubrataSengupta,"Chennai, India",50
Chamoli,"Buransh,      What can I say about such a splendid place. Do I say the Himalayas, the view from my room, the homelike tasty dinner, mr and mrs kapoor nothing can be described by simple words . It’s simply marvellous to the core. Felt I knew the Himalayas well when I spoke to mr Kapoor . The trek to Baijnath as suggested by him, will stay in my memory forever. The entire stress of the city life just melted like the snow in summer 😀. Thanks to all the friendly  staff of buransh for keeping this place so wonderful. Thank you again",Roopa prasanna,/Profile/Roopaprasanna,,50
Chamoli,"Though I am writing this review a bit late, but as we say Better late than never. With this note I will start my review. We reached very late and to our surprise Mr Thareesh Kapoor (Owner of the Hotel) and his wife were present at the hotel reception area to greet us and  make us comfortable. We felt as if we are visiting some of our relatives and they are eagerly waiting for their guests to arrive. The stay of 4 nights was very relaxing, homely. Mr Kapoor and his wife was always there to take care of our family. They shared many stories of their life with us. The food was lip-smacking and made with a touch of affinity. They have a good collection of photographs of the The Himalayas, photographed by Mr Kapoor himself and also some other very good natural products. All rooms are",Aparna C,/Profile/Aparna05,"New Delhi, India",50
Chamoli,"Buransh is all about the experience, memories, and adventure.  Stayed two nights at this place.  Everything was awesome as expected. Thanks Sushant Kapoor for arranging everything.  USP - Excellent food quality and prime location.",Syed Naved,/Profile/syednaved,,50
Chamoli,"Was at the Buransh first week of Oct 2019. Great place, good rooms, good food, they also make on order in case you have any other food preference. The owners, Mr Kreesh Kapoor, and his wife are charming, and stay at the same resort. A house away from house. Clear view of the Himalayan range right from your bed. The owners have a good library on the Himalayas, as well as the region. Mr Kapoor is an excellent photographer. If you need a respite from daily routine, love nature, then this place you will love. Intend to go again next year, once Pithoragarg airport is operational",Nimish,/Profile/Nik5018,,50
Chamoli,"My stay at The Buransh was very comfortable during my visit to Kausani from 29th Sept-3rd Oct. The property is very spacious and has the most spectacular panoramic and breathtaking view of the Himalayas. The owner Mr. Threesh Kapoor has a very welcoming and pleasant personality and is extremely well-traveled person. His passion and accomplishments were evident in the beautiful slide show of his Himalayan photography that he put together for his guests one of the nights. The property and its staff gives a feeling of warmth. Except for the BSNL wifi ( LOL), everything else is perfect at The Buransh. I have to come back to the Switzerland of India once more and  The Buransh will be the place to stay!!! :)     Best of Luck to everyone at The Buransh !",Romil_Kumar,/Profile/Romil_Kumar,"New Delhi, India",50
Chamoli,"Stayed at this wonderful place for 3 nights. Must repeat what already have been said earlier by others. Everything is perfect,  be it  staff esp Ganesh,  thoughtful meals,  setting of the rooms,  warmth of Kapoor family,  slide shows on brief tour of Himalayas,  availability of books and indoor games for spending leisure time etc. My family loved every part of our stay at this resort. We enjoyed trekking starting from resort to Baijnath covering around 8 kms of forest on the first day and then 2 kms to Rudradhari waterfalls and  back on the second day. The best thing about Mr. Kapoor is that not only does he gel well with adults but equally well with children. Overall the experience was satisfying and we would like to visit this place again and again. ",Imteyazulhaque,/Profile/Imteyazulhaque,"Ghaziabad, India",50
Chamoli,"To understand this property you have to understand the owners, their love for nature, their indepth knowledge of the Himalayas, caring for the guest and the very purpose of developing this property  - meditation, deep spiritual experience and solace of mind, body and soul. Thus instead of the usual stuff - pool and other recreational activities, it offers breathtaking Himalayan view , large and spacious rooms (named after the Himalayan Peaks), excellent library, very reasonably priced organic and ethnic stuff for sale, excellent food - often prepared from their own grown vegetables, personal care, well trained staff and lots of time for yourself. This property is bound to be very famous for the very different purpose for which it is created.",Sunita U,/Profile/sunitaumesh,"New Delhi, India",50
Chamoli,Stayed with my wife for 4 nights(28.6/2.7) quality of food is excellent being prepared fresh everytime.housekeeping needs some extra efforts to get it better.entrance to the retreat is very Steep and dangerous at times.Area behind kitchen needs cleaning.Rooms are quite spacious and facing valley.overall our stay was most comfortable.Owner Mrs.Kapoor is a niçe person and we had good time spent.,Narendra A,/Profile/121narendraa,,50
