location,review,name,user_profile,userloc,rating
Udham-Singh-Nagar-District,This hotel doing fraud with us and goibibo also .they confi4m my booking but when we reach hotel they denied for check in .and go ibibo costumer care also mos guided . Booking date 21 /2/19 and checked in time 9:30pm,Mohit gupta,/Profile/Mohitmycem,,10
Udham-Singh-Nagar-District,"not a bad hotel but not so great either. 1. the rooms are decent but nothing great. 2. the rooms are not attended daily unless you specify/remind. 3. house-keeping is not upto the mark, since there are no standards/procedures in place. 4. the internet is deceptive, and you need to re-login after every few idle minutes, not to forget that the login expires/inactivates every 24hrs. 5. the restaurant is not bad but nothing great, the cuisine in the menu has to be reconfirmed for availability (sometimes even depends on availability of the cook). - there is no guarantee that any item will be the same on the next day, even rotis/nans.  the staff tries to handle the situations but with no system in place there is hardly any result.",Jitesh Talpade,/Profile/jeeteshtalpade,,30
Udham-Singh-Nagar-District,Extremly bad services and no ways to handle customer. Staff not cp-operative.Never suggest to go here . Its my first visit but they  treat like timepass . Kindly check attached doc.This is fully realy post .,Anoop S,/Profile/AnoopS643,,10
Udham-Singh-Nagar-District,"I had a good stay in the hotel and the best thing was the dinner , I loved the breakfast and the pool, which made out stay completely memorable, Most of the site you have to visit jim corbett is near to it,  The staff is quiet, cooperating and good.",shriprakash s,/Profile/Shriprakash,"Riyadh, Ar Riyad, Saudi Arabia",50
Udham-Singh-Nagar-District,"I have stayed at this hotel many times but this was first time to stay with kids. as usual check in was through. room and bathroom were neat and clean. food was tasty and decently priced. everything was ok as usual. but when the kids wanted to use swimming pool in the evening, the coach there asked them to come after 7 pm. Reason being they had swimming classes from 4 to 7 pm. WTH? they are charging and allowing local people to come and use swimming pool for three peak hours and disallowing room guests to use the pool.   Spoke to their GM- Marketing and he said he will speak to the coach but all in vain. the coach again refused and said it disturbs his students. it was when i got a hot conversation with the front office manager and the coach and then he allowed the kids to use",Anurag,/Profile/anuban1977,"Muzaffarnagar, India",40
Udham-Singh-Nagar-District,"We stayed there only for a night as we took halt there while enroute Dhanachuli. It is a new property so that's a plus point. But there bed linen was very dirty , literally stinking for extra beds. Even towels were also dirty but at least not stinking. If they improve their housekeeping then it's a good place. Breakfast was also okay.",kiran b,/Profile/kiranbirla74,"New Delhi, India",30
Udham-Singh-Nagar-District,"Visited the hotel while going through kashipur, hotel is very good and well maintained, rooms are good and parking space is also there , ambience of the hotel is calm and quiet perfect for stay in kashipur.",Manasmart,/Profile/Manasmart,"Rampur, India",40
Udham-Singh-Nagar-District,Pathetic hotel. Gloomy place. Reception as if staying in village. Would never like to stay again. Really a bad place. The reception was as if they did not care.  A better place to stay is the Manor Kashipur,Sanjeev K,/Profile/SanjeevK1282,,20
Udham-Singh-Nagar-District,We went for lunch and had chicken tandoori and hyderabad chicken biryani. The food was served in 15 minutes and the taste was fine. We had butter milk too. The total bill was  800/-. The hotel is very spacious. ,Air78,/Profile/Air78,"Jamshedpur, India",40
Udham-Singh-Nagar-District,"Stayed in Gautami Heights for 2N/3D for a business trip. Hotel is nice with big rooms.Bathrooms are clean but need maintenance, tiles broken etc. Restaurant is good and food is awesome. We had Indian and Chinese and both cuisines were great. They need to rectify the wi-fi as its very poor with no connectivity even if you are standing under the access point. Hotel has a swimming pool. Hotel staff is helpful and courteous. Over all a nice stay. Food was a hit.",deepak k,/Profile/DeepaKaul,"Delhi, Delhi, India",40
