location,review,name,user_profile,userloc,rating
Udham-Singh-Nagar-District,Ideally  located place on the NH. Ample parking and great ambience. Restaurant is great with comfortable sitting . Service is prompt and quality of food served is excellent . The staff is very courteous and is a must visit place.  Many thanks for for great hospitality.,rohit c,/Profile/rohitc1065,"New Delhi, India",50
Udham-Singh-Nagar-District,"It was amazing to stay at Hotel Sonia. It is a nice big property with sprawling lawns, banquet hall, spa, swimming pool etc. I stayed with my family in presidential suite. The room was clean and big with all modern day amenities. The restaurant serves great food and fulfilled our taste buds. No doubts it is one of the bests in Rudrapur. Anyone travelling by Rudrapur must stay at this resort.  The owner Mr Anand himself makes sure that his guests are comfortable and have a great stay at this property.",Anuj Bansal,/Profile/anujbansal05,,50
Udham-Singh-Nagar-District,"Hotel Sonia is the best hotel/resort one can find in Rudrapur area. I was travelling beck form Nainital and booked this resort for overnight stay. I had a pretty experience. Its a very big and very well maintained property. We were attended by the owner himself,  Mr. Anand Rungta. He is a pretty nice gentleman.  Even the food/dinner was quite good and the restaurant was full with local resident. My kids enjoyed the pool in morning which was of decent size and water was clean. I spend my time in gym and taking spa and massage which was also a good experience.",VivekKanda,/Profile/VivekKanda,"New Delhi, India",50
Udham-Singh-Nagar-District,"Hi,  The stay at Hotel Sonia was different from other hotels as I normally stay in Business hotels. It has lush green garden, serene and peaceful ambience with a good maintained swimming pool. Restaurant and food is good, will like to give special thanks to Sachin Kumar (server) in restaurant for extra care and courtesy. Only negative point is nearby temple with loudspeaker in early morning. Overall very economic as rooms are big. Don’t expect too much luxury as it is budget hotel.",Gaurav_Garg82,/Profile/Gaurav_Garg82,Gurgaon,40
Udham-Singh-Nagar-District,We had dinner at Hotel Sonia. Some of the friends opted for drinks so had to go on the first floor. The facility at first floor doubles up with bar and restaurant. Whereas the ground floor facility serves only as restaurant.  The service was average perhaps the staff needs some grooming. Food was also average with limited options to choose.  The outside view of the hotel is more appealing than any thing else.,Natureinabundance,/Profile/Natureinabundance,"Bengaluru, India",40
Udham-Singh-Nagar-District,"Hotel Sonia is my always my first choice when staying in rudaphur. The rooms are very well appointed, come beds, extremely clean and the staff are very efficient and courteous  The restaurant offers multi cuisine and it’s of a very high standard ",bruce a,/Profile/brucea493,"Canberra, Australia",50
Udham-Singh-Nagar-District,"I really want to appreciate Mr Jeevan from Front desk ... The way he welcome, the way he work, the way he is having positive attitude towards his work.. he is really assets to the company  Thank you mr jeevan for making my stay So comfortable we will visit soon.",dpk p,/Profile/Explore00055299334,,50
Udham-Singh-Nagar-District,Excellent ambience and location .There is lots of greenery and open space and gets one close to nature. The quality of food is great especially in the restaurant.  Staff if pretty helpful and sincere. Excellent place to take a break for night stay or transiting to and fro from Nainital especially if one is driving down . Well equipped fitness centre and swimming pool are added attraction. Good open parking available and one need not enter town or congested market to reach the place as it's just on the highway. The Banquet Hall is sufficiently away from the guest rooms and  does not cause any disturbance to in house guests. Great place .,rohit c,/Profile/rohitc1065,"New Delhi, India",50
Udham-Singh-Nagar-District,"We were a group of friends staying here to attend a wedding, we had real fun at the place, the service and food was awesome all through our three days stay, the property is really made beautiful and looks green everywhere... morning walks are really peaceful and full of chirping birds.",ToothForTaste,/Profile/ToothForTaste,"Ghaziabad, India",40
Udham-Singh-Nagar-District,"Location of hotel is awesome.  they have spa,  gym and swing pool.  Room was nice. But TV is not working so they changed room.  Restaurant food was awesome and testy. On the highway located.  Staff is very nice. ",Patel T,/Profile/PatelT2,,40
Udham-Singh-Nagar-District,The place is situated on highway with ample car parking the staff is courteous and check in was done perfectly at 5am in the morning  The food is good and so is the spa recommend place when visiting Rudrapur ,RAJEEV099,/Profile/RAJEEV099,"Varanasi, India",30
Udham-Singh-Nagar-District,"very bad stay for me,i stayed here for 3 nights..room service is pathetic,i ordered a cup of tea but its come to me after 1 hours..very very bad room service...i m not recommended this hotel to anyone..",Tarun S,/Profile/151taruns,"Garjia, India",20
Udham-Singh-Nagar-District,"I have been visiting this hotel for a very long time now. It is a great hotel with lot of open area around.  The restaurant there is also really good. Rooms are spacious. Staff is nice. Certainly a great place to stay or have food when you are in Rudrapur. It is one of the best places in Rudrapur for organizing parties,etc. Ample of parking spaces there.  I highly recommend this hotel.",Travel_BaBa,/Profile/Travel_BaBa,Mumbai India,50
Udham-Singh-Nagar-District,"Perfect for lunch or dinner ample parking space, location is strategic on national highway. food quality was ok we ordered gulab jamun which was not served hot, price are little bit higher in comparison quality and quantity, need improvement in service, ambiance is ok.",Kum_akh,/Profile/Kum_akh,"Rudrapur, India",40
Udham-Singh-Nagar-District,"It is quite place & has an old-fashioned piquant style. It has rich verdant mango trees within the compound. It has a few entertainment like swimming pool, snooker, gym, spa & a decent restaurant. It has a large space for car-parking within the hotel compound.",515shubhra,/Profile/515shubhra,"New Delhi, India",30
Udham-Singh-Nagar-District,"Hotel Sonia is very nice, calm and comfortable hotel. Rooms are spacious, neat and clean, Service is very good. Quality of food is average. Breakfast is complementary with variety, but in non veg Only egg is available.",anil19542016,/Profile/anil19542016,"New Delhi, India",40
Udham-Singh-Nagar-District,This place is perfect for dining only problem is that it always over crowed need to wait outside for your turn. parking is big issue very far from restaurant. Food is ok service is ok. well maintained premises.,Shal_1874,/Profile/Shal_1874,"Rudrapur, India",40
Udham-Singh-Nagar-District,I stayed there for 4 nights with my foreigner guests. There breakfast is terrible they even refused to provide simple fruits during breakfast.   The staff is very rude and uncourteous. I would not recommend this hotel to any one.,Deepak C,/Profile/DeepakC119,,10
Udham-Singh-Nagar-District,This hotel may give you look of a resort but its not. Reception staffs are well behaved and courteous.Restaurant is ok and food is normal. There is a pool but most of the time non functional. Category of room suits the tariff and its reasonable. ,BidhuBhushan,/Profile/BidhuBhushan,"Hardoi, India",40
Udham-Singh-Nagar-District,Room was very spacious with comfortable bed However no complimentary drinking water bottles TV needs lot of adjustments with set top box connection Hot water supply was erratic  Restaurant had very few items for breakfast the huge space available was not utilized properly Overall it was not a pleasant experience,Thiagarajan V,/Profile/thiagarajanv,"Chennai, India",30
Udham-Singh-Nagar-District,"Though I have visited this hotel umpteen times on my way to the hills, I wonder why it never occurred to me to add a review to this hotel. In the thick of the crowded Rudrapur city, situated bang on the highway this property has it's own sprawling space with lawns and mango groves. It is an ideal stopover for people travelling to Almora,  Kausani, Munsyari etc etc. especially when they have started late. It has large comfortable rooms with all amenities, a restaurant, a bar, room service. Food is very good. Rudrapur is almost midway if you intend to go deeper in the hills.",dilipgupta,/Profile/dilipgupta,"New Delhi, India",40
