location,review,name,user_profile,userloc,rating
almora,"Arrived in the pouring rain and cold and the walk to the house was not easy.  However, once we arrived in our room we were greeted with a hot drink and a portable charcoal fire and some calm returned to the world.  The room was lovely, and the new looking bathrooms were a pleasant surprise. The staff are really lovely and couldn't do enough to help, and the hot water bottles to warm up the bed were a real treat. Eating in the large communal room was entertaining, again accompanied by a burning ember fire . The staff are from the local village, and whilst they may not be professionals, they have a great attitude and could not try any harder to please. It was quite cold in the main house, and in general, the old brick built rooms can be chilly. The location is stunning with views",Chris S,/Profile/Y2664QVchriss,"Zurich, Switzerland",40
almora,The place is nestled among the Jageshwar hills near Almora. The staff is extremely kind and warm and at no point gave us any reason to complain. Food is good and personalised to your taste. To reach the Lodges are located at a 20 minute hike up and down so you’ll need to consider that fact.,NEHA,/Profile/Wisemanview06,,40
almora,"Access to this place is hard to access-park the car 3/4 KMS away in village and then aa steep 20 minute downward climb in a small narrow path, but end of it the place is worth the hard trek!  Stayed in one of the old kumaoni rooms. Very big and tastefully done (a wonderful bathroom which my daughter loved totally!)  The staff are very attentive and helpful. Do light small bonfires in from of each room in the large patio every night. The rooms come with wonderful view of snow clad mountains and the patio is a lovely place to sit and while away time  The food is excellent and try to have breakfast lunch outside the restaurant once. The setting for outside breakfast/lunch is very good and pictures come out like post card pictures!",Vijayaraghavan S,/Profile/vijayaraghavans2013,"Chennai, India",50
almora,"We had an amazing time in itmenaan... In absolute peace in the lap of nature. Mornings had this amazing view of snow brushed Himalayas. Away from hustle bustle Of city we had a great time reading books, lazying around and eating great food. The hospitality and staff out here was outstanding - Above and beyond their call of duty. Bhawna the manager was very helpful, polite and helped us get here despite so many directions calls. Also she made sure we were looked after well in the property. Shivraj  and Govind the staff who helped us with everything were so helpful - always with a big smile on their face and made sure we are very very comfortable all through the stay. Shivraj and Govind gives a glimpse of pahadi people - warm and simple hearted. Experience of dining in front of",shantanu j,/Profile/shantanuj2018,,50
almora,"A brilliant few days exploring this beautiful area of the Himalayan foothills. We couldn’t have been looked after better: accommodation with stunning views of the mountains; log fires to keep us warm in the cold evenings; excellent food made using locally grown ingredients and such attentive staff. When our plans had to be changed, everyone went out of their way to sort things to suit us best. Nothing was too much trouble. Many thanks indeed!",Amanda Head,/Profile/HEADSOUTTHERE,,50
almora,"Itmenaan, stands true to its name. A place where you step into an atmosphere of eternal peace and tranquility. Our stay at Itmenaan was like stepping into a fairy tale, pretty stone cottages with red windows opening up to snow clad mountains. The estate can be reached after a good 15 to 20 min hike downhill, again the time taken also depends upon ones fitness level and make sure you are wearing the right footwear to get you through this one. I wouldn't recommend this for senior citizens though as it could take a toll on their knees specially the trek back from the cottage to the parking area.  On arriving at the property we were greeted by Bhawna and her staff with a welcome drink (fresh rhododendron juice) and cold napkins which is instantly refreshing. We stayed at the deodar",Fiza D,/Profile/DayTrip579150,,50
almora,This place is absolute unique experience for people who love peaceful time with nature. Settled amid woods and hills with amazing view of Nanda Devi peaks Itmenaan estate is truly a fairytale resort. We stayed for two nights in Pine cottage and loved every moment spent at estate. Great service and cheerful staff ensures you have a memorable holiday. ,AP7,/Profile/parvez7,"New Delhi, India",50
almora,"With the name of resort Itemenaan (Peace) same you will find it in this resort. One of my best experience in life. Gao (Village) trekking, the food, rooms everything you find a perfectly. Only what i feel sad is i stayed one day only. I really want live 3-4 days and spend more time. A pure relaxation without any sound of cars. A perfect place to live from your hectic life.",Varun R,/Profile/VarunRawat0611,,50
almora,We had an incredible experience with Amit and the team at the Itemenaan Estate. The scenery is utterly beautiful and our every need was catered for with sensitivity and kindness. The views of the Himalayas in the early morning at the Estate are breathtaking. Food is all locally sourced and delicious and the walking carefully planned for maximum enjoyment and a little challenge too.,Heather Beeby,/Profile/heather1536,United Kingdom,50
almora,"Wonderful place to stay in the beautiful Kumau foothills. The aproach to it, on foot down a winding path is a wonder and the idylic setting on arrival is much more beautiful than the website images. The local staff are extremely kind and very attentive and all the food is locally sourced and delicious. Our guided walk through its locality was incredibly memorable.  A must place to stay to experience this beautiful area.",Melanie D,/Profile/N7913VYmelanied,,50
almora,For a perfect place for those who need a break from their busy life and the regular social media madness.... as the network is really not available except for the dining area where the connection is switched on at request. One has to park the car in a nearby market at Chalnicheena and walk down the valley to the resort. Guys from the resort will come up to carry your luggage down to the resort. It a 1.25 kilometer trek down and up so once you reach the resort your won't feel like going up frequently all the way up which is a good thing. Not advised for old people who have issues climbing up. Hiking sticks are provided but one can carry their own as we did for convenience. But a regular trek up is advised as there is a nice old temple which one can visit along with a small,Sarbajit,/Profile/Subzi73,"New Delhi, India",40
almora,"Great place to get away from the crowds. Very helpful staff especially Bhawna who can get you anything under the sun. Chachu was an amazing guide to go on trails with. Do trek down to the waterfall and up to the ghantika temple. Tip- don’t do the full drive if coming from Delhi, take the train to Kathgodam and the cab onwards.",neetika w,/Profile/neetikaw2014,,40
almora,"I stayed here with my family for 3 nights (at the new Oak room). The views from here were absolutely breathtaking. The surroundings were so calm and peaceful , it’s a perfect break from Citylife! The property itself is very nice as well. Our room was very spacious , even with the extra bed. And the bathroom is so well done and big as well. (The WC seat fixture was a slight disappointment , but the management assured us it will be taken care of soon). The meals are prepared with fresh local produce and are delicious!! Service of the attendants , (Village walk with Uday Singh jee- chacha:) was lots of fun), the restaurant , Bhawna who looked after our stay..... were all very satisfactory . Thanks to the entire staff at Itmenaan for giving us a memorable stay :D!!",Arpita S,/Profile/arpita_sinha250,"Noida, India",40
