location,review,name,user_profile,userloc,rating
almora,"As soon as you step into the property,you are blown by the sight of the mighty River Ganga in its full form almost visible everywhere  from the start of property dining and reception,till the last cottage. Our check in /checkout was smooth and seamless ,handled by Mr Aman .We stayed for 2 nights in Kosi room and one night in Sharda. Although Kosi was gigantic and twin bedded,it had a huge terrace and being in the center of the cottage on first floor,it had the best view! Mornings were special with the yoga sessions and delicious breakfast,freshly squeezed orange juice along with usual continental and Indian fare .The staff is super attentive to all our needs and service is always topped with a smile. So well fed we were, that all three days we skipped lunch! Next came the high",Ushma,/Profile/ushmajasapara,"Mumbai, India",50
almora,From our check in on the 3 night till we checked out we were treated as Royalty .Ashok planned our wild water rafting and other arrangements with a beaming smile . From yoga in the morning to evening Ganga Aarti in the evening it was a heavenly experience. Best part is you can take a dip in the Ganges from the hotel beach . The sound of the river is very soothing . Bhim at the restaurant with Padhi tea gave us outstanding service 🙏 Will be definitely back .,pratap64,/Profile/pratap64,"Kolkata, India",50
almora,"LOCATION ,ROOMS ,AMENITIES ,STAFF everything is good.  FOOD is not good at all  worst part is that you cannot find anything to eat outside the hotel. town is atleast 8 to 9 kms away .one has to have own car as hotel taxi is very expensive. better to visit during the season of the place ,maybe they may hire good chefs then . we being vegetarians had ordered dal makhni ,kadhai panner & paneer makhni [ to be on safe side for first day,s order ] but everything which came was orange in colour & not worth the price they charged for it",Shubhra D,/Profile/ShubhraD15,"New Delhi, India",30
almora,"This was the perfect place to end a 2 week trip to India.    Sublime, quiet, and a lot of charm.   Our room was on the far end of the property, so we felt even more secluded.   The service was friendly, attentive, not overbearing.   Had 2 massages and they were OUTSTANDING and well priced.    Food was good, savory and the service was warm and humble.     Walking down to the Ganges for evening Aarti ceremony was unexpected treat.   We have a private Aarti....  so special.      The hotel helped us arrange a driver to go into Rishikesh environs...and we had excellent reliable driver.   I would definitely return to the Glass House.",Nike I,/Profile/Nikenik,"Los Angeles, California",50
almora,We had a great stay at Glasshouse. The property is located by the Ganga river. It right next to the Ganga. Closest proximity to the banks than any other property in Rishikesh. Awesome food and service.  Special thanks to Ganga Ram and Ashokji who were just wonderful and such great help for everything you need... be it any information or request. Real assets for this Neemrama Property.  We coordinated our stay with Ashokji and he was so helpful with all the information and advice we required prior to checkin...  thanks for much for making our stay so very special. We will definitely back soon.   Go ahead and stay there.  ,kbharti101,/Profile/kbharti101,Mumbai,50
almora,"When you think about Rishikesh two thoughts come to one's mind, either fun activities such as rafting or yogic explorations. Here's a gem of a property at a distance of 23 kms from Rishikesh which will take you by surprise as you enjoy your surreal stay amidst the foothills of Himalayas while also away from the maddening hustle of the main city. It was an overwhelming experience and we were rewarded well in terms of the overall stay, the natural beauty and the hospitality of the staff. Needless to say it was fulfilling. It was a 2 day stay for us and since February is cold winters here, the staff ensured that the rooms had well maintained heaters. The private balcony was the icing on the cake as we spend a considerable amount of time sitting here and enjoying the breeze at",Ashutosh Bhatt,/Profile/ashutosh199329,,50
almora,"I stayed in this heritage resort for 4 days and still wanted to extend it for more. Our check in was very quick and we were promptly taken to the room which was perfect. The room was spacious and nicely maintained with a huge attached bathroom. The room had a personal balcony with a beautiful view of mountains and Ganges both. This property has a personal beach which is very accessible from the rooms. Apart from the beautiful property,the staff was very courteous and efficient. special word for Mr.Gangaram who helped us in everything right from selecting room to trek. Mr. Pramod was just a phone call away and Mr. Dhirendra who served us dinner every night was very nice and helping. The buffet had a good spread. I still remember the Buransh drink which was highly refreshing. It",Rimsha,/Profile/Rrrrsi_travel,,50
almora,"I happened to visit the glasshouse neemrana in Rishikesh by luck,I had planned mussorie for 3 nights but as the weather was not good enough,we proposed and decided to spend night in Rishikesh and had heard about this place Glasshouse.. We reached this place but late but it was worth every bit.we stayed in cottage 3 type,the room spacious and faced the ganga..the dinner was a sumptuous spread of delicious meal...mornings were divine with ganga flowing and nature around. This place is worth a stay and u can have best of ganga...",Tejashree V,/Profile/TejashreeV_13,,50
almora,"This is property is located in Shivpuri, ahead of Rishikesh. The property is located right besides the river Ganga. The ground floor room we lived in was large and spacious and impeccably maintained;two large comfortable beds,separate sitting area and verandah overlooking the Ganges.The room came with 2 heaters to beat the cold. This is a boutique resort and do not expect room service.They serve up a decent buffet in the dinning hall which is well curated unlike the mass buffets at large resorts.The food is homely and delicious, to say the least! The staff is courteous, smiling and ever ready to help. They have their own private stretch of white sand beach and one can easily stroll down and have a walk on the beach or soak your feet in the green waters of the Ganges.They also",eagertraveller2013,/Profile/eagertraveller2013,"Mumbai, India",50
almora,"The views, the food, the loveliness of the property is expected from Neemrana.   What sets this place apart is the hospitality and warmth.  It's truly people that make the place.   An absolutely worth it holiday!",shwetakhosla,/Profile/shwetakhosla,"Mumbai, Maharashtra, India",50
almora,"Me and my wife Zenobia stayed over at Glasshouse (Ganganvan suite) for 3 days between 14th and 17th Dec 2019.  I can summarise the experience as below  Glasshouse on the Ganges - A sojourn ethereal  Glasshouse on the Ganges, a sojourn ethereal Touching the Ganges, that was so real  Few shades away, the alluring Ganges, A little far away from the Himalayan Ranges  Early morning view of inviting river Cuppa tea one too many a flavour  Sumptuous breakfast what more one can ask All of the crew, adept and upto the task  Quiet by the day, peaceful locale All your needs addressed without fail  The evening sundown, the pumpkin red Cannot but admire, the property spread  High Tea of the evening, suave but plain Just enough to recharge you once again  A walk on the lawns, swing on",Gopi,/Profile/GopalShettigar,,50
almora,Very well maintained and located property.  Food is good  Staff very unresponsive. Looks like the owner doesn't pay them well. Construction was going on when we went but with minimal disturbance.  Room condiments were good,Travel365x24,/Profile/Travel365x24,"New Delhi, India",40
almora,Visited Glasshouse couple of days back and really loved the experience. Mesmerizing and breathtaking view of river Ganga from the property . I must say even the pictures shared by management is not doing the full justice of the place. Excellent hospitality and helpful staff. Food was tasty and Barbecue experience was one of the best memory for us. Loved Adrak Chai specially  Spa experience is also awesome and rejuvenating. Felt that 4 days were less and next time will come for atleast a week. Thanks Glasshouse team for wonderful experience. Special mention for restaurant team for such a great hospitality.,Teena Kashyap,/Profile/Teena23k,,50
almora,This stay gives a royal yet modern feeling. The food served is tasty and filling. The staff are always ready to be at your service and they organise tours on request. They have their own Ganga Aarti which is so cozy and heart warming during the evening hours. Had a wonderful stay but do prefer going during winters to enjoy the most.,Smrutirekha,/Profile/Smrutirekha,"Bhubaneswar, India",40
almora,"Wonderful experience and highly recommend. Spent time enjoying coffee in the lawns enjoying the warm sun on a Winters day, soaking the sounds of the Ganges flowing by. The Uttra room is recommended, with a private balcony over looking the flowing  river toward your room....great Feng Shiu or Vastu for peaceful sleep.",Raj S,/Profile/tigerracer,"Shenzhen, China",50
almora,"I stayed at the Glasshouse this past August, and enjoyed every bit.  The entrance is a sharp turn off the main dusty highway, and once you're inside the gates everything about the grounds and the hotel is like stepping into a different world.  I must admit the musty odor of the main lobby was a bit disappointing as we stepped in.  But the hospitality was wonderful.  The furniture and the paintings in all the rooms was understated and nice.  We had booked Gangeshwari which overlooks Ganga and is incredibly just a few feet from the swiftly flowing river.  The room was large and comfortable.  And the bathroom was luxurious and cavernous.  Everything was neat and clean.  The aromatic oil and the bath products added to a spa-like feel.  The river-facing balcony was large and peaceful",S Dutta,/Profile/164suparnad,,50
almora,"Its not just the location, the super comfortable room or the great food - for me its the staff at Neemrana that make it a great place to be. Go spend some time and let the city seep out of your pores, dunk yourself in the pure waters of Ganga-ji (safely though) and come back refreshed.",indriyajit,/Profile/indriyajit,"Mumbai, India",40
almora,"This hotel is about 20 kms from Rishikesh town. It's a small property and limited rooms. We visited this hotel during holidays.   1) No decorations of any kind (lights, fireworks, rangoli) in the hotel during diwali. They charge high room rates but can't spend money on decorations during holidays.  2) As everything is driving distance from this hotel, they don't have any good recreation activities for in house guests - like badminton court, swim pool, etc. One can get very bored by staying here for more than 1 night. 3) Food - very limited options. Their buffet breakfast was terrible and very limited options. The quality was not good. For dinner, there is no A la carte, you have to compulsory take buffet for which they charge a bomb, Rs 900 plus tax. The quality is not good and",rock134,/Profile/rock134,chennai,20
almora,"Had a wonderful 2 day stay at this superb place! Superb everything - ambience, friendly staff , location, sound of clear fast flowing Ganges water ,good food. A must visit place if you visiting this part of India. Even though this is not a handicap freindly territory ( wheelchair ) the staff gave all thier assitance to one member of our group who required wheelchair ( available at this property) However would like to suggest the management to do some small investment to make a few simple facilities available to the staff to make this site more wheelchair friendly.",Bharat J,/Profile/878bharatj,"Jönköping, Sweden",50
almora,"Visited this property in Oct 2019. It is a well maintained property with friendly staff. The mattress in the rooms are uncomfortable and the food is pathetic. While the website claims to offer buffet and in fact asks you to pay in advance for buffet meals for your stay, there is no buffet available at the hotel. There is a fixed menu and they serve you half cooked food. The choice in the menu is very limited. With construction going on in the property, it is extremely noisy through the day",Madhu K,/Profile/lawyermk,"Noida, India",30
almora,"We stayed there for one night, it was a nice weekend getaway, with such amazing hospitality. The location of the property is awesome with easy access to River Ganges. You can participate in the Ganga aarti which they do every evening. The food is amazing. Very peaceful and close to nature. Would like to always stay here whenever in Rishikesh. Highly recommended property. ",Travel_birdAk,/Profile/travel_birdAk,"Gurugram (Gurgaon), India",50
almora,Waking up with the rapid flows of the Ganges and the luxuriant forest descending on to the banks opposite is the most poetical experience. We were in a splendid  art deco bungalow decorated with such restrained elegance from the   period styled furniture to the beautifully chosen art on the walls. The 4 windows of our suite open up on a lovely garden sloping gently down and the adjoining terrace offers the lazy comforts of silken beds and cushions.. the marble and slate bathroom complete with large glass shower and giant tub is utter luxury. The main house opens up on a beautiful octagonal lounge with its high bay windows and columned terrace onto the garden and the Ganges. The quiet elegance of this retreat paired with a deliciously pampering spa is  not to be missed as are of,catbernard,/Profile/catbernard,"Gstaad, Switzerland",50
almora,"Located about 21 KM from Rishikesh on Rishikesh-Rudraprayag route, the Glasshouse on the Ganges is an ideal option for luxury seekers.  Great location, overlooking Ganga River. Beautifully decorated large rooms with good beds, clean toilets, good linen.  Good staff and good food. Overall, a great stay. Worth a visit.  They also do a smnall ganga aarti in the evening which the guests can perform too!",Darshan29,/Profile/Darshan29,"Bengaluru, India",50
almora,"I have given the hotel 4 stars.  First of all my Rishikesh standards this is a wonderful property, it certainly is on the river with a sandy beach and five star views.  Location, location and location.  The grounds are beautiful and peaceful, all very well kept and serene.  Getting the hotel is a challenge because of the massive roadwork being done there are delays for the rather long out of town, but it is worth it, it looks like that will be a factor for another year or two.  It is quite a ride to go back to Rishikesh, but that is OK there are trade-offs.  No crowds here and it is very clean without the piles of trash and garbage everywhere.  The greeting at the hotel was very nice and I was assigned the Krishna room.  The rooms in this building are very open with lots of",dg3225,/Profile/dg3225,"Seattle, Washington",40
almora," Very polite staff. Amazing view of Ganges .stay was extremely comfortable . Food was little heavy .This trip in September 22-25 ,construction going on ‘missed lot of beautiful moments of Ganga view . Hope next  time they inform  at the time of booking .",Usha G,/Profile/546ushag,"New Delhi, India",50
almora,"On our trip to Rishikesh we stayed at this Neemrana property called ‘Glasshouse On The Ganges’ -rightfully so the tagline says ‘a non-hotel hotel’!       The drive through the hills of Himalayas Mountain is exciting, at times rough due to the road construction. When we arrived there, we were greeted by the staff with excellent ‘Rhododendron Juice’! Later we were taken to our room in one of the villas to the second floor, with lots of steps! The staff realized our difficulties with stair climbing (we are older adults & my husband had full knee replacement) graciously they suggested another villa of its first floor accommodation AND it was exquisitely beautiful! The granger of this villa is the witness of the summary palace of a king - large rooms, spacious veranda, large windows",Rita M,/Profile/RMM1049,"Minneapolis, Minnesota",50
almora,We had a glorious time at the Neemrana resort in Rishikesh. Pramod Ji and his team left no stone unturned for our offsite which was personalized at this majestic resort. The Ganga flows by the resort and is so serene and beautiful that one doesnt feel like leaving this place. We thank the team for the brilliant hospitality Rashi for our office offsite,Rashi B,/Profile/Rashinaturelover,,50
almora,"The bestest property in Rishikesh I wud say. It has lovely cottages, private beach with clean Ganges water, awesome food and superb service... Spa is out of d world.... Also the Ganga aarti is beautiful...  Not to miss this property...",Monamodi,/Profile/Monamodi31,,50
almora,"A Neemrana hotel, Glasshouse on the Ganges, is a perfect getaway from busy Rishikesh or Haridwar. It’s bang on NH58 yet so peaceful that you wont see or hear traffic at all. The food, the rooms, the decor, the greenery - everything about this heritage hotel is worth staying for. The private river beach is where you could spend a sunny day or perform an evening Ganga Arti or just lazy around the lawns or sip tea by the riverside - overall spend a few quiet and relaxed days away from the hustle bustle. Easily accessible from Rishikesh and Haridwar and motorable from Delhi as well.",sunitachakraborty,/Profile/sunitachakraborty,,50
