location,review,name,user_profile,userloc,rating
almora,I feel we should have more places like this to have a feel of what our country really is.  The experience was phenomenal and i would love to see more of these kinda places. TGV pangot you are next....:),Ricky,/Profile/Rohan372,,50
almora,"Probably one of my best discoveries so far. Right from the start, I was pleasantly surprised. The whole experience of hiking to get to the cottages, with thoughtfully marked directions built up my expectations that were more than met. I expected a down to earth, somewhat experiential living, which it was. Then also there were touches of luxury (welcome smoothie, hot water delivery to the room, hot water bottles to keep under the blanket in the cold nights, etc.)  that left me feeling treated well.  I had booked a dorm room, expecting to meet other travellers, but learnt that I could not check in as the other travellers locked the place before leaving for their excursions. I was given a free upgrade to a full cottage, where I continued staying past the first day. Since they won't",Sulabh Mahajan,/Profile/sulabhSyd,Bangalore,50
almora,"Visited Goat Village,  Nag Tibba and Jhandi Top with my family. Wow! It was best time I spend with my family.   Positives :  1.  Great hospitality and personalised care taken by the staff and the manager. I mean everything had a personal touch.   2.  Food was all organic stuff which was so tasty , healty, nutritious and had local flavour.  3.  Trek was not so difficult and was full of scenic beauty. The Guide provided by the Manager was experianced and was very helpful.   4.  Cost was very much affordable and was value for money.   Negetive :   well the only negetive aspect initially was very poor mobile connectivity. However,  later on I realised that this allowed me to connect with my family specially during evening Bon fire🔥 and soup arranged by the staff for us.  Over all",Ritu Raj,/Profile/riturajkalgaonkar,,50
almora,"We reached the property after a small trek and was briefed on the way about all the flora and fauna along the trek. The property co exists with thre nature in harmony . They food that was served was organic , scrumptious and delicious . The property also had furr buddies kalu the dog and tunni the cat and gave us a warm welcome . All in all the property is eco retreat to relax and enjoy .",Harsh vardhan,/Profile/hraim1,,50
almora,"Excellent concept... Pahadi cuisine from locally grown vegetables and lentils !!!! Warm and very co operative staff especially Priyanka, who take personal care of you and arrange trek to nag tibba summit over all great village homestay ....",pankaj,/Profile/pkandwal,,50
almora,"Have created a lifetime memories which one can ever be... wonderful experience of vintage life without electricity, without roads far away from the technology yet so close to strangers, nature moreover myself...loved the Goat village experience..so homely the place is so as staff...A perfect destination for stress busting!!!",PoojaSumit C,/Profile/poojasumitc,,50
almora,"I am so happy to support such a mindful initiative. The community of workers and villagers around the guests complex is so caring, welcoming and proud of their culture. Those values that they are bringing forward are the values that I am looking for when I travel. The staff is kind and passionate, always willing to share their knowledge. Priyanka, the village manager, is very efficient, delivering all the requests you may have. Kamal, the chef, has a real talent creating each meal with variety, rich flavors, and such love of the produces he is using. The food you eat is grown around and in the complex itself. The architecture of the cottages is simple yet beautiful made with noble material. The views from the rooms are peaceful and majestic, and seeping tea in the morning sun on",Marion Strong,/Profile/marionstrongindia,,50
almora,"I visited goat village in the month of September with my friends. We reached the property after an offbeat trek of 1.5km and then we were served with beet root juice followed by delicious hot organic food. Next day we planned to visit the Nag Devta Temple, which was a again a 7km trek and was quite adventourous.  We also visited the base camp whuch is about 2km away from the goat village. The view from the camp was breathtaking. The star gazing experience at night was beautiful and we spent hours looking at different stars planets and constellations.   Sandeep ji was very helpful to us and took good care. Overall the staff, the food, the stay - everything was amazing.  Would surely recommend this property for someone seeking a quality time away from the busy life.",Shiksha Swaraj,/Profile/lostilllusion,"Gurugram (Gurgaon), India",50
almora,"I had been following The Goat Villages and their wonderful work in the areas of eco-tourism and reverse migration of farmers in Uttarakhand for many many years. So when I decided to do my first solo trip to the mountains I thought of them. Roopesh and team were most prompt and reassuring right from the get go- helping me with the bookings, packing tips, and other suggestions for a (slightly nervous) first-time solo traveller. So much so that right from the time Ravi Ji picked me up from the Jolly Grant Airport, coordinating with the TGV team along the way, I felt that an entire network of concerned people was looking out for me through and through. At the drop off point I was met by my confident young escort Suraj who regaled me with entertaining anecdotes and highly",Ankita K,/Profile/AnkitaKhanna,"Gurugram (Gurgaon), India",50
almora,"Had visited Nag Tibba this year while I planned for a trek to Nagtibba.   I planned to stay at the goat village for a day, but the property and the views from there is so amazing that I ended up staying for 2 more days.  I would say by far this was the best eco-friendly homestays from the one that I had stayed in.   While I was staying at the property, we had a yoga session conducted by Mr. Shankar, an amazing person.   The food I had at the property was completely organic and very delicious. Had spoken to the chefs and loved the way they grow their own food and plan such amazing local Pahari dishes.   In terms of activities, I had visited Nag tibba base camp and the Nag Devta temple ,7kms from The goat village.   I simply loved the welcoming nature of Bandana and Rupesh, the",RANGEET M,/Profile/rangeet2k20,"Gurugram (Gurgaon), India",50
