location,review,name,user_profile,userloc,rating
almora,"While going from Delhi to Almora, had a chance to stay at Woodsvilla Resort, Ranikhet. It is right on the main road and has a spacious parking lot of its own so no parking problems. The property is large and is spread across many levels. The rooms are large and spacious, toilets clean, linen and toiletries of good quality. Our room had a beautiful view. All rooms are located in such a manner that they all have an un-obstructed view of the Himalayas. One can sit at the bay window sipping tea and viewing Himalayas t a distance. The resort has lots of activities for children too. Great value for money.",Shivam Sharma,/Profile/Sharma7262,,50
almora,This is one of the best places to stay in Majkhali. Had stayed here for a night on my way back from Munsiyari way back in November 2017. The rooms are nice and big with all the modern amenities. The balcony is nice and big and gives a panoramic view of the valley below. If you are interested in photography you can spend hours in the balcony. The food too served at the hotel is great. Overall a lovely place. ,Pankaj Toppo,/Profile/Toppopankaj,"Gurugram (Gurgaon), India",50
almora,We stayed for four days . The hotel is very clean & staff very friendly . Food was fantastic. Great room. Will be recommending to all my my friends & family.The deluxe room was luxurious. Hotel was best choice,Kashif Baig,/Profile/Kbaig1987,,50
almora,We were a big Group who arrived after a long road trip. My room was quite far but the bearers carry our luggage  cheerfully    Rooms are very basic  But clean enough for a night.  Courteous staff  The Hotel  has beautiful views of the  snow capped Himalayas,ista660,/Profile/ista660,"Madikeri, India",30
almora,"Awesome experience staying for couples on romantic holidays, location wise most convenient, Room services are good and decent, Staff is very helping. Cleanliness inside room and bathroom were good. Overall right place for stay. They also decorated their Resort very beautifully and night view from Resort is also very beautiful. Total value for money.",Shweta,/Profile/shweta0807,,50
almora,"We had stayed in the woodsvilla residency for 3 nights and it literally felt like home🥰 Rooms were very spacious and clean.Location is around 10 kms from ranikhet (in majhkali).You can see the beautiful mountains from here and it's so peaceful. Food was delicious with good variety, quantity and in budget. All the staff and manager were very polite, friendly, helpful and did everything to make our stay awesome. In my opinion do not think twice before booking this lovely hotel for your stay🙂",Ruchita S,/Profile/RuchitaS62,"Noida, India",50
almora,"We booked a family room to break our journey to Kausani. The space we got made us wish we had planned a longer stay. Beautifully appointed rooms, great service and lovely food. Will definitely visit again.",amitpandey1970,/Profile/amitpandey1970,"Ghaziabad, India",40
almora,"We stayed here for three nights. Cottages were duplex, and really cool! It provided excellent view of hills and had great space near the window on both floors to view the hills. Staff was very nice. They took special care in serving tawa roti at night, specially for us. I would highly recommend it. Kid's area with lot of balls was a treat for the children. TT table also kept them occupied.  Some improvements: 1 - It can be arranged and managed better. Eg: It has a beautiful library but books need to be arranged. Also, kid's room and gym equipment should be separated as some smaller kids can get hurt. Battery driven cars are spoilt and should be cleaned. 2 - Staff is very helpful. With some Hotel Management training and a common dress, it will give a good professional look. 3 -",manu5577,/Profile/manu5577,"New Delhi, India",40
almora,"Nice hotel with a great location. Room and bathroom were good, Balcony was also spacious. They served tasty breakfast with mix variety. The restaurant has a great menu at reasonable price. Room heater was also available in the room without any extra charge. Staff was also good and polite. Overall good experience, would come again",jatin,/Profile/jatinjain123,,50
almora,"Visit Woodsvilla Resort Ranikhet in June- 2019 very nice resort with all facility good staff, good food with very good option. I loved everything about this place. We stayed for one night. Wonderful place and excellent hospitality. Beautiful view of the deodar trees and mountains. Nice food, I liked the breakfast. Nice place to relax and have peace.",Hanuman Prasad,/Profile/hanumanpra,"New Delhi, India",40
almora,"Its been a great stay and the trip. I  went with my family along with my friend and his family. We stayed there for 4 nights. They upgraded our rooms to duplex. The reception staff Mr Harish and Mr Ashok were very helfpul and treated us nicely. We had the package for with breakfast and dinner. We enjoyed all the meals. Some of the dishes were very very delicious. We asked for chole bhature to be prepared in one of the breakfast. They arranged the same too. All the staff in the resturant was good. They served well. The view from the balcony was very beautiful. I saw the sunrise right from my room. They have big play area for kids. My kids enjoyed alot. They also had snooker, table tennis and carom board. I read in one of the review that snooker and table tennis were not in good",Jaspreet Singh,/Profile/JaspreetRosy,,50
almora,"One of the most breathtaking view and location if you are looking for a perfect gateway or holiday. Make sure you walk down around in the evening to explore small village. Hotel has indoor games, books and amenities to make your stay good and comfortable. Interiors of the rooms are cozy and well done up. They prepare food on special requests and instructions.",Akanksha G,/Profile/akankshagos,,50
almora,"While at Ranikhet, stayed at Woodsvilla. Good location, right on the main road. Staff courteous and helpful. Facilities for kids recreation too. Air is very fresh, feels good to deep breathe. Hotel rooms are comfortable, linen clean and well maintained. Food buffets have adequate variety and taste is good. Good view of mountains from rooms and restaurant. All in all a very satisfying experience. Value for money spent.",Vim,/Profile/Vimshar,,50
almora,"Very nice resort just a little bit away from the city. They have many entrances , so first call the hotel for choosing the right one for yourself. Food served was very good and a good view from the room too. Staff was also very cooperative",SUSHEELC,/Profile/SUSHEELC,"Rishikesh, India",50
almora,"Stayed in woodsvilla resort for three days. Totally awesome experience.... Strongly recommended for families.... The staff is very cordial, location is great and food is also good enough.  Overall value for money...",Megha,/Profile/KapilMegha,,50
almora,"All was great here, the location, the room, view from rooms, meals and above all the fantastic response from the hotel staff. Minor initial hiccups were efficiently handled in a happy manner.  This place is something you can’t go wrong with. Also wonderful walks all around specially the Majhkheli village,, We have marked this place for a holiday with family in future...  Regards to all",Shorty,/Profile/shyshorty,,50
almora,"Located away from ranikhet, on a hill slope. Its an old property, rooms r spacious and clean with clean bathrooms. Some rooms provide good view of the valley. No lawns. Only open area to sit is around the restaurant. If you get rooms in the lower block, you have to walk uphill to reach the restaurant. Food was very disappointing, bad taste n quality. We were a grp of 14 n some of us had an upset stomach after our 1st dinner. Restaurant staff was very courteous.",piyush dr,/Profile/Drpiyushagrawal,,30
almora,"Our bunch of Delhí friends descended in hoard at this small yet brilliant resort in end April. Three hour drive from Kathgodam Roseville provided us a very refreshing break from the city. Nicely appointed rooms spread over a large courtyard amidst pine forest, a magnificent view of Trishul peak and Nandadevi range, sumptuous food with some of the best single malts we could not have asked for more.  Our resort was very well managed deftly handled all our urban ideosyncrazies and even surprised us with a lovely cake for birthday of one of our members even though there were none😀😀. Would highly recommend Roseville for groups wish to spend quality time together in whispering meadows.",atanugangoly,/Profile/Magicsong,"New Delhi, India",50
almora,"Nice hotel with great location. Room and bathroom were good, Balcony was also spacious. They served tasty breakfast with mix variety. Restaurant have great menu with reasonable price. Room heater was also available in the room without any extra charge. Staff was also good and polite. Overall good experience, would come again",Zuyyena Rafi,/Profile/zuyyenarafi13,,40
almora,"Location, food, views, ambience everything was far better than expected. Very good value for money. I will recommend this hotel. Located in the beautiful hills with Himalaya facing. Plenty of parking available. Good kitchen and flexibility to accommodate menu if you are travelling with young children. They also have Gym and children playing area. Special thanks to staff for treating us in a good manner.",Shiv,/Profile/Shivanimishr,,40
almora,Hotel location is nice it's in majkhali Hotel has great view with nice spacious room and bathroom  Resort is big it is beautiful they have planted flower which makes it more beautiful They don't have centralised heating they provide heater  They have good activities for kids nice kids play area one of best  Staff is very very good they r polite & humble food is very nice with good variety a special thanks to staff they r very nice  A very nice resort to stay value for money  Definitely like to stay again a really peaceful and great stay ,Parvez1234,/Profile/Parvez1234,,50
almora,"Everything was good. Food, stay and location. Good stay and excellent service. The rooms facing the Himalaya are big and spacious. The bathroom is also big. The view from every room balcony is excellent. This hill station is best for me. I will definitely come back here soon.",AVANISH 3010,/Profile/Avanish_301,,50
