location,review,name,user_profile,userloc,rating
badrinath,"My wife and I stayed here for three nights in October 2019.  The hotel is located very near the entrance to Badrinath as you drive up from Joshimath.   The main Badrinath Temple is, however,  too far to walk from the hotel.  You definitely need a vehicle to go to the temple and the town.  The people at the reception counter were very helpful and friendly.  It was rather cold during the time of our visit.  So we asked for a room heater, but the heater they gave us was not very effective.  However, what really saved us was the heated mattress which was very effective.  Without this, we would not have had a good stay in the hotel.  In fact, the presence of heated mattress in the hotel rooms was the prime reason for us to select this hotel in the first place !  Our hotel rate",prabhupushpa,/Profile/prabhupushpa,"Oak Park, California",40
badrinath,"Hotel looks classic but is far away from Badrinath Temple , needs transport to reach temple around 300 meters away . Hotel is clean and reasonable . Staff are nice and helpful . Restaurant opens late in the morning breakfast 8 am . Rooms are large and clean . ",devdas1954,/Profile/devdas1954,"Singapore, Singapore",30
badrinath,The hotel certainly could use a major makeover. Since there is no central heating the rooms and the rest of the hotel was cold. The elevator barely worked. However it probably is as decent an option as any if one is planning to visit the temple.,asiahand1,/Profile/asiahand1,Florida,30
badrinath,"I stayed for a night with family. It was pretty cold when we reached in the afternoon around 3 deg C and we requested for a room heater and we were provided a hot air blower and honestly that wasn't really sufficient. However, the hotel had heaters in the bed which was a savior for us. The hotel is otherwise pretty neat and clean and pretty well decorated and provided good service and advice wrt temple darshan and even provided us a leaflet with the charges.   The view of the dazzling Neelkanth in the morning and always able to see snow covered peaks as a window view is an obvious plus!  Overall, a great place to stay though not an economic option.",Kaushik_Basu_1969,/Profile/Kaushik_Basu_1969,"Kolkata, India",40
badrinath,"First things first..great location and very conveniently located. Food is decent and room service is not bad. What does not work is the urgent need for basic maintenance at this place. The light fixtures and plug points don't work and the carpet smells musty.the wall paper and paints have peeled off..the bathroom doesn't drain water properly. To add to this, we had a rodent visitor to our room who had to be trapped using a rat trap. To be fair, the hotel did give us a discount to account for the rat problem but it had to be demanded and was not forthcoming.While I understand that the place is closed for 6 months every year and is located at such a challenging location.. it is still no excuse for such maintenance. Having posted such a long rant, it is still the best available",RadhikaAcharya,/Profile/RadhikaAcharya,"Bangalore, Karnataka, India",30
badrinath,ideally located hotel. I stayed here for 2 nights. rooms are decent. Food was delicious and lot of variations in the buffet. Staff was very coperative. My intercom wasn't working. In fact hotel people had disconnected due to maintenance.  the electric point for phone charger had broken cover plate. Travelers with kids are requested to exercise caution. the dormitory for drivers needs a redo.My driver refused to stay there. It's filthy he said,Sunil Dhawan,/Profile/Sunilpta,"Patiala, India",40
badrinath,"Stayed for a night at the hotel during the off season with very little occupancy. However, the hotel was courteous and offered food on ala carte basis instead of fixed menu basis. Rooms are good with electric blankets.",Togr8erhgts,/Profile/Togr8erhgts,New Delhi,50
badrinath,"Clean rooms, cosy atmosphere. Nicely decorated reception. They provide electric blankets. Food options are limited in breakfast and dinner but keeping the place in the mind, this is the best at Badrinath.",sandeep16678,/Profile/sandeep16678,"Jalandhar, India",40
badrinath,Don’t trust the management we left our wallet their and there was 9850 Rupees they hold that for no reason  They conform they found the wallet from room but don’t want to give back No internet speed or cable same issue  Bad smells in hotel ( gutter issue) Don’t trust the staff and management as well  NO TO ALL BECAREFUL   Scam,Patel Kanubhai,/Profile/Abmngro7398,,10
badrinath,Wasn't expecting such a nice stay at a religious place which remains shut for half of the year! Good rooms with nice view. Good options for breakfast. Really impressed the way they have maintained the property even with so many constraints.,pawankes,/Profile/pawankes,"Bangalore District, India",50
