location,review,name,user_profile,userloc,rating
bageshwar,"Excellent room and place, Excellent location surrounded by forests and apple orchards, overlooking the Koshi river deep down in the valley.Total Himalayan Ice filled range is visible from the Balcony of the Hotel itself. The food quality of the restaurant was was also excellent.",Vivek S,/Profile/Curiosity227585,"Ahmedabad, India",50
bageshwar,"With excellent location, this resort pulls on high on the rank.. rooms I found upto my expectations.. well maintained wooden cottages with excellent Himalayan views, is the main charm.. prompt and quick service.. price is reasonable.. well managed  hotel and accommodating staff and manager are another positive points about this resort.... always ready to attend the customer..  ",191smita,/Profile/191smita,"New Delhi, India",40
bageshwar,The location of the hotel was excellent. We got the rooms at the new building from where the total Himalayan Ice filled range is visible from the Balcony of the Hotel itself. The food quality of the restaurant was was also excellent.,gmaji,/Profile/gmaji,"Asansol, India",50
bageshwar,"Excellent location surrounded by forests and apple orchards, overlooking the Koshi river deep down in the valley; great property and very good vegetarian and non-veg food. Nice cottages but not well maintained. I bit low in altitude so can get warm. So ideal for the months of Sept/Oct or March.",Jaideep R,/Profile/jaideepr2018,"Guildford, United Kingdom",30
bageshwar,lovely hotel with a quiet ambience... Lovely atmosphere.. Good service..good food..   The only feedback I would have is the reception should b upstairs at the beginning and not at the last..  Coz every guest comes and asks for the reception from the guests living there.. It interrupts the privacy that way.   Rooms r very spacious.. Neat and clean.. With all basic stuffs!   Overall a very good stay!  ,chatterjeevis,/Profile/chatterjeevis,"London, gurgaon",50
bageshwar,"This is one of the peaceful hill stations. We ended at this Resort which has good good views of the himalayas right from the window or when you open the door of the room. Or you can just sit and relax infront of your room. Best part here is at night, get some heat from the Bonfire and relax.",Manohar,/Profile/manoherr,"New Delhi, India",40
bageshwar,"This resort has very nice space,Lawn, playground for children and teens. perfectly located to see the best view of shining snow peaks of Himalayas. Little remotely located but thats not a major issue as you must have to book a cab to visit such tourists spots. Limited options of Food but nice. Staff is very courteous and supportive. you can get best of you thinks about any budget hotel. it has very adventures options to stay, jungle hut or cottage or rooms what ever you like.No swimming pool. you Must keep emergency Medicines with you.",Alok Singh,/Profile/alokkri,"Navi Mumbai, India",40
bageshwar,Superb view. Very nice location. Friendly and co operative staff. Limited food options but the staff is always ready to manage our needs. Beautiful view of sunrise from our room. A bit distantly situated from the city. Nevertheless a very good budget resort.,Harshshah1212,/Profile/Harshshah1212,"Godhra, India",30
bageshwar,"Blossom Resorts is one of the best resort in kausani for location, food and services. Staff were very courteous and helpful. You get the best views of your life. Rooms were nice, big and clean, food was on time always. All rooms are mountain facing.Overall it was an amazing experience!!",apusri,/Profile/apusri,"Lucknow, India",50
bageshwar,"Mr Pandey, the manager and the Owners are all very nice people. From the day I inquired, they accommodated my demands and change in plans with courtesy and patience. Mr Pandey even changed my 2-day booking into a 1-day booking at the last moment which was extremely delightful and relieving to me. With our 2+2 family, they had booked the Cottage#2 for us which had swings and slides right at the back which seemed quite a good deal.  However, despite having the biggest green area in Kausani, we did not have a comfortable stay there. Due to the uncut grass, the access to the play area was not suitable for children and was infested with mosquitoes. These mosquitoes or other bugs did not help in keeping the outdoor dining area peaceful. The slides, swings and other playable rides",Ankit G,/Profile/GAnkit,"New Delhi, India",30
