location,review,name,user_profile,userloc,rating
bageshwar,"Location - too good  Hospitality - too good  Head chef- Amazing guy  Reception, bell boys and restaurant staff are very cooperative and polite  Will definitely recommend to everyone in my friends n family.  Location is superb on the hill unlike any other hotels in nearby area.  I would have given ten stars if there was an option.  ",Anish Jain,/Profile/anisheskay,,50
bageshwar,"I am very happy to explore your property .It's so nice .Location is very perfect. Behaviour of your staff is so nice and familiar. Your staff Anamika is so impressive, her service is good .I feel in your hotel just like my home .Thanks",Naresh,/Profile/Tony3911,,50
bageshwar,The hotel staff is very polite. Manoj and Anamika were very helpful and kind for all the restraunt related and other services. The best thing is their positive smile with which they serve and treat their guests. ,Vivek K,/Profile/VivekK1158,,50
bageshwar,we visited this place to celebrate our parents anniversary. This place is a lit and service was outstanding.. Throughout our stay Mr. Jagdish Prasad was very helpful and professional.  Ambience :5/5 Service :5/5 (they have amazing staff) Overall stay : 5/5,Harshita Negi,/Profile/ArtandCraftw,,50
bageshwar,"Perfect location in Bhimtal to stay. Spacious rooms, awesome services, delicious food. Superb staff, nice hospitality. View from the room was awesome specially in night and early morning. Special thanks to Mr. Ashok and Mr. Jagdish. Would love to visit again.",Jai Roy,/Profile/jai2212,,50
bageshwar,"Location of hotel is nice, approach road is quite adventurous . Staff at hotel are remarkable and are a asset to the hotel along with delicious food. We checked in on a weekday with very little crowd in hotel and we're pampered by the staff. Only suggestion for hotel is to conduct some activities in the evening to keep kids and families engaged.",Navigator,/Profile/Kapitanpawan,"Ghaziabad, India",50
bageshwar,"Excellent location well groomed staff & delicious food a perfect location to stay & once again would like to thanks Ashok, Manoj & Anamika for taking care of us so nicely would love to come again to this awesome place",Virendra,/Profile/VirendraC25,,50
bageshwar,Location of the resort is quite good and service is also good. We chilled at pool then enjoyed Dinner which was amazing. It was a good experience for trip.view from room balcony is beautiful and enjoyable.,Rekha,/Profile/Rekharar,,50
bageshwar,"Perfect location in bhimtal and as the name says- ""Hillside"", you will definitely get that experience while driving to the property. Excellent staff, clean rooms, beautiful resort, and delicious food.",Arpit Sharma,/Profile/meetappi,"New Delhi, India",50
bageshwar,"It was nice experience with fern hillside resort Bhimtal. Staff, food room everything was awesome.nice location and staff is very cooperative. Spacious room with nicely maintained. Special thanks to Mr Ashok",Meenakshi joshi,/Profile/Meenakshijoshi,,50
bageshwar,"Peaceful location, very spacious rooms, amazing service staff and delicious food... Special thanks to Meenakshi, Rekha, Anand and Manoj Kumar for making our trip memorable :) do not miss bonfire at extra charge",phanidhar r,/Profile/phanidharr2017,,50
bageshwar,"Had an extremely pleasant and comfortable stay at this property. Great location, beautiful property, nice and very comfortable rooms, very courteous and prompt staff. But the main highlight of our stay has been the food. Awesome, delicious food and cuisine at right price!",Vijay,/Profile/Vijaysrivastav,,50
bageshwar,"I'm a an avid traveller and owing to my fondness for mountains, I have spent most of my holidays in himachal, uttarakhand and uttaranchal. Having tried many high-end resorts and hotels, I had a belief that i had seen the best and i won't be awed by any new place in the hills anymore...until my second visit to the perfect destination they have named 'The Fern'! Having stayed here a couple of years back, I had very fond memories of the resort and when we were planning a trip last week with friends, we again zeroed in on The Fern and I'm so glad we did :) The food was better than the last time, although with such talented chefs there was not much scope for improvement...the rooms neat and clean with not a spec of dust...and the view from the private balcony was breathtaking! The",naveen749,/Profile/naveen749,"New Delhi, India",50
bageshwar,amazing property food quality is as per expectation room clean and comfertable.best part is hill view resort with beautiful location good  resort and well managed.me and my family enjoyed are stay.staff is very helpful.  hospitality is as i expected,sunita k,/Profile/sunitak257,,50
bageshwar,"The property is really very nice and thr staff more than cooperative and much friendly especially their restaurant staff and Mr. Ashok. Food quality is awesome. The only challenge is to reach the property it is little up the hill, but that's adventorous and have issues only in rainfall.",Udit Kaushik,/Profile/uditkaushik,,50
bageshwar,"We were group of 20 members including children, planned visit at this place on new year's Eve. Place is good, surrounded by nature and is very peaceful. Everyone enjoyed bonfire and DJ followed by delicious Dinner. Staff was helpful and were very well behaved, Children were busy either dancing or playing games.will definitely look forward once again to be there. Thanks to Alok ji and Srikant ji for taking care of everything.",Sharad Mathur,/Profile/Sharad2507,,40
bageshwar,"A pleasant stay with good delicacies as per our convenience. Timely service and a helpful and polite staff. Except the last 2kms(a bit unworked road), the location is quite centric to the spots and hotel has a quite a good amenties to enjoy the luxurious view and stay.",randomtraveller,/Profile/nobodycarestoread,,50
bageshwar,The hotel is beautiful with it's good view  and food is also superb with all there supportive staff anytime for whatever even Jain food is easily available. Hotel is little inside but definitely give a chance for the location and the view.,Dharmil V,/Profile/dharmilv,"Mumbai, India",50
bageshwar,It was wonderful the view was beautiful the service was good will wish to visit again . The service was excellent👍 its a good location to stay thanks for providing this excellent service and staff. There was club house and garden where children can play everything was beautiful and specially the view,Passport28296461877,/Profile/Passport28296461877,"Mumbai, India",50
bageshwar,Great view n location.restaurant was good. food also good. I really enjoyed food.  cortege more comfortable and Service staff is very impressive specially SHRIKANT.  loveable person n best wishes for him.,Avinash,/Profile/ankit0637,"Gwalior, India",50
bageshwar,And rooms are also good. Feels good to stay because good atmosphere. Location is also good. Resturant is good to see Food is also good All amineties under one roof and easy for communication for market. Inshort good .,sahjad,/Profile/sahjad9910381434,,40
bageshwar,"Nice hotel and good service & food .I was come with my friend . Corporative staff . Room is also good . Front office and sevice , housekeeping is very nice and general manager Mr Alok Sharma is good person. Mr Alok Sharma is a best assist .",vandy,/Profile/rajput008,,50
bageshwar,"Visited this hotel with my wife for 2 days, loved the ambience of the hotel. Location is also very good. The best part is the staff is very helpful and make aure you enjoy a great stay. Food was amazing. Mr shrikant tiwari in restaurant were very nice and took good care of us during the stay and hepled us in telling about the local places to visit. Overall a must go place is you are near nanital.",Aniruddh yadav,/Profile/Ani8262,,50
bageshwar,Very nice location and friendly staff we enjoyed and food quality is very good t I will recommend this hotel to all the couple's and family very nice cortege and very clear and nice location and very nice places bhimtal,Dimpal Bhardwaj,/Profile/462dimples,,50
bageshwar,"This month I am going to nainital, stay is fern hillside resort,stay is excellent,friendly staff,all management is excellent,food was so tasty,and quality of food is excellent, wonderful experience is my visit,thanks for Hotel manager and all staff and next month I am back,",jitendra rathore,/Profile/chefjitendrarathore,"Jaipur, India",50
bageshwar,"One of the best hotel in bheemtal. Location of the hotel is very good. Food was excellent and staff is very cooperative and helpful. Shrikant was fabulous. If I come to Bheemtal agiain, will prefer once again the fern Hotel. Thank you so much Shrikant for your Helpful services.",Virendra Pratap S,/Profile/virendraprataps2016,,50
bageshwar,Nice location with friendly staff we enjoyed a lot its was lifetime enjoyable memories we got from there.  I will surely recommend this hotel to all the couples and family. Food quality is also good specially their dal tadka.,Atul,/Profile/Atulchauhan187,,50
bageshwar,Hotel is good. Staff is very supportive.  Food and services is fabulous. Nice location and nice hotel. We are spend a good time with hotel staff. They are giving the family environment. We are enjoying the local food also.,kaushal32,/Profile/kaushal32,"New Delhi, India",50
bageshwar,"Excellent food, excellent service, rooms very comfortable, good heaters, very courteous staff.very picturesque location.the only problem is the access road is a bit tricky, one tends to get lost , so I would like more signboards to guide the guests to the resort",Dr Namita Chaudhary,/Profile/Travellernamu,,50
bageshwar,Would like to give more then 5star coz of pleasant stay with family and the stunning veiw of the bhimtal views. I would must say to saty in the fern bhimtal if you not to stuck in traffic and enjoy ngrilled night with family and friends here. Ill be come again and again next year. Thanks to all members of the fern. ,Shrikant Tiwari,/Profile/shrikant1991,"Kolkata, India",50
bageshwar,Its last movement planning to visit bhimtal and I don't know how I select online the fern  To reach hotel is advanced but hotel are amazing feel  Lovely view from my room we are seating in our room balcony  any viewing the amazing hills night view   Over all good even very good food and hospitality   Well done  I love it and I wish to all visit once .,ajit kumar s,/Profile/114ajits,,50
bageshwar,"Had visited this place many times, because it is situated in the lap of nature. The property is well managed and is equipped with all the luxury. Had spent some quality of time with family and friends.  The hospitality and staff was professional. The food was very tasty and hygienic. Want to visit again and again.",AnilVerma,/Profile/AnilVerma,"New Delhi, India",50
