location,review,name,user_profile,userloc,rating
bageshwar,"It might look beautiful in the pictures but it's the exact opposite of it. The the management was extremely poor in their services and were not even ready to accept their flaws and the manager behaved so rudely when we told them that their services were not up to the mark. The water taps were not working, the food was horrible and it's not worth the money at all. Instead of this, visit krishna mountview, that is beautiful",Lavanya Tejwani,/Profile/Lavanya_22,,10
bageshwar,Worst hotel they did fraud with my mom dad. So ridiculous. We booked superdelux hotel with travel agency. My mom dad reached there and he gave those rooms to other guest and gave another worst room instead. Having dead cockroaches and no windows for ventilation.  This kind of hotel should have punished.,Rohan Z,/Profile/rohanz504,,10
bageshwar,"We stayed there on ground floor deluxe rooms for one day during visit to kausani. It seems a good budget hotel. Direct view of Himalayan ranges from the room is biggest selling point. We got glimpse of snow peaks only in the morning 5:30 at sunrise. It's on Baijnath road n very near, walkable to kausani shawl factory. But you can prefer hotel at high altitude to get undisturbed view. Rooms are average, bathrooms are huge equivalent to a room. Food is good but they have a small restaurant place which gets crowded when more people come for food at a time. Solar hot water did not work n they provided us a couple of buckets of hot water. They charged for Driver stay n food separately. This was weired to me as I did not pay such charges in any of the other four hotels we stayed.",vinay,/Profile/vinayv354,"Mumbai, India",30
bageshwar,The amenities are very poor..No Gyser are there and hot water is only available from 7:30 am to 9 am through buckets as solar boilers we're  not working.. The management is very poor.. At night light was not and whole hotel was in dark as generator was also not working..there athough the staff is helpful..would not recommend you to visit this hotel..,Anubhav A,/Profile/3anubhava,,10
bageshwar,It's a cheap lodge type hotel. Hotel service is very poor. Because of season hotel have good rush but no varieties of breakfast .bread was hard and they make poha 2to 3 time. They should know there are no other breakfast. The room is without t.v.. The main door lock and toylate flush lever was broken. There's no restaurant nearby. Avoid to stay here.,shashankpatel p,/Profile/shashankpatelp,"Greenville, North Carolina",20
bageshwar,The place is nice and tidy. Staff is energetic and cooperative. Rooms are spacious and well maintained. Food is simple and good..Can be more tasty.. View from the hotel is awesome and located in a peaceful place.,Ishaan Sharma,/Profile/ishaan7896,"Noida, India",40
bageshwar,"The lady at the reception is not at all helpful, only interested in charging more and more money. Hot water is not available at any point of the day. Bed sheets are dirty and no room service is available. Only few rooms have a mountain view. And they charge more money for those rooms even if you have booked in advance.",anjali91d,/Profile/anjali91d,"New Delhi, India",10
bageshwar,Great view  of Himalaya jst amazing experience. Manager Mr. Neeraj Ji  & staff is also well behaved.Reception was very good. Room service is very good and well maintained cleanly. Hotel is located near tea factory.,DEVTOURTRAVELS,/Profile/DEVTOURTRAVELS,SINGUR,50
bageshwar,"Reception was very poor.We already booked the room and  when we turned little bit late, the room was allotted to some other persons. After a long fight we got the Rooms in this hotel. Room service is very poor and not maintained cleanly.",Svnbalu M,/Profile/SvnbaluM,,30
bageshwar,"Third class hotel to stay having on ventilation inside the room with no proper quality of bed sheets ,there was no electricity when we visit the hotel generator was not working hole night we had to stay without electricity but the real height is after 9pm total hotel staff left the hotel and the hotel was totally laawaris for the full night with no security, we had to change hotel the next day living the room keys on the reception with no person to take the keys also   Again we recommend not to book this hotel",Nayan Patel,/Profile/nayanmpatel,"Mumbai, India",10
bageshwar,"We had booked hotel hill palace after shortlisting it through the photographs on web sites. we even paid the advance for two rooms. But when we arrived, we were offered rooms without even a window. The rooms were really small and pathetic. However they have only a few rooms with valley view, which they had promised. So we decided not to stay here and reception staff was very cordial to understand the position and instantly refunded our advance money we had transferred online.  We appreciate this gesture from the staff, as now a days many hotels try to be cheat people during season at every given opportunity. ",skagarwal74,/Profile/skagarwal74,"Bhopal, India",30
bageshwar,"We had a booking in this hotel through a top of the country travel agent but decided not to stay after checking in. The rooms are small & dirty. Beds are hard & also dirty. Non a/c rooms. No mountain view is available. Food is also poor. The hotel is pathetic, below standard one. Also it is located at 5 km away from the Gandhi Ashram & proper kausani. It is not recomended to stay at this hotel if leisure & luxury is considered.",sangita1234,/Profile/sangita1234,,10
bageshwar,"There was a very nice stay. Having clean room. Food was not so good, Behaviour of the staff was very good and soft spoken. Room service was a fast. Overall very good rooms and value for money. Location of the hotel was ok",tanmaymehta,/Profile/tanmaymehta,"Jodhpur, India",40
bageshwar,We are 14 friends from Pune visited 16/2/2016 best views of himaliyan mountain while sunrise from this hotel terrace.we took 6 rooms with economical fare. food also good .nice to stay in this newly constructed properties,snnavale9,/Profile/snnavale9,"Junnar, India",50
bageshwar,The hotel location Is fine. But service is not upto the mark. In one word if i have to say all i xan say is just inagine if a group of guest if comes to tour home then what will be your situation the same way these people will react and service. They tey hard but then they are not professional.  Himalyan mountain view you can see from hotel roof top only if you are lucky. That goes with anyother hotel in kausani. Coz thats nature. Lastly avoid this hotel if u can coz its not worth the prize u pay.,ash138,/Profile/ash138,mumbai,20
