location,review,name,user_profile,userloc,rating
bageshwar,"Location of the hotel is excellent with a balcony outside every room. All the rooms have good view and u can experience sun rise from the room itself. Owner, Mr. Joshi and support staff are quite helpful to advice on things to do in Kausani. Meals were also tasty with reasonably large quantities.  Rooms were also quite clean and of reasonable sizs.",Manish S,/Profile/ManishS2143,,50
bageshwar,"I have recently (last week of Dec2016) stayed in this hotel with my family. The property is closely located to Gandhi Ashram. As we have visited during off season time, manager upgraded our room from deluxe to super deluxe. Rooms are neat and clean and with geyser in the toilet. From room balcony you can view the entire range on a clear day. Food quality is very good. Staffs are also very helpful. They can arrange campfire also. You need to pay extra for that.",avra a,/Profile/avraadhya,Kolkata,50
bageshwar,"It is one of good hotel in Kausani for staying. Very near to Anashakti Ashram where Gandhiji stayed for some time. Since, this Ashram is one of the main attraction of this town, location of this hotel is good for reaching at this ashram in the evening hours when mountain ranges can be seen and Prarthana and interaction with different people of different states is held. Sunrise can be viewed from the hotel terrace itself. Near to hotel is nature park where one can stroll in morning hours. Good for average middle class family.",pns472,/Profile/pns472,"Jaipur, India",40
bageshwar,"The view from the hotel was awesome. with every room, they have the balcony which directly give you the view of the himalayas. You can see very nice sun rice.  But the hotel facilities are poor. NO WIFI. Poor TV signal, very low light in hotel.",Rohit G,/Profile/RohitG1592,,30
bageshwar,The location is very nice and has complete Himalayan view. The rooms were below average although the staff was supportive. The phones were not working and the pillow covers were torn. It seems the hotel was well planned but not maintained at all.  You can view sunrise from your room and has private cosy balcony. Need to find a waiter for almost 20 min to order morning tea as phones were not working.,richagoel15,/Profile/richagoel15,"New Delhi, India",30
bageshwar,"We visited to Kausani between 9th/May to 11th/May and stayed at Jeetu Inn, its location is superb and experience we had from  the Hotel (Reception mgmt. as well room services) was at level of decent hospitality and Friendly. Accommodation type here is 2-star and rooms are maintained at fair hygiene with its kind of property. Avoid the rooms with carpet (that's the only observation). Staff from reception and room services are very collaborative and supporting in nature.",a9158882415,/Profile/a9158882415,"Pune, India",50
bageshwar,"Stay was average, staff was good but unhelpful as they have excuses for everything, menu prices was too high but the quality was poor, do visit to dhabas near to gandhi ashraam for good quality of food.",Sanjay M,/Profile/944sanjaym,,50
bageshwar,A good value for money place. A great location on the hill slope gives you a very good panoramic view of the himalayas and of the sunrise. The rooms are nice and clean but donot expect too much as this is a budget place. Serves good local food also,Jim,/Profile/jimvarghese,"Kozhikode, India",40
bageshwar,"I visited this hotel in dec.2015 in delux suite and it was so good, acomodation is very good,view is priceless and the staff is so friendly, they provided everything you wanted so kind,and rooms were giving the feeling of 1800s,thats why it was so fun",Smile00777,/Profile/Smile00777,,40
bageshwar,"Excellent view from the hotel. service is good, food was good, Room was maintained but old furniture. Major attraction is mind blowing view of Himalayas from hotel itself, Beware of monkeys. Recepcenist helped me & alotted room even my booking was for next day which was my mistake. Thanks for the same.",rajanshah88,/Profile/rajanshah88,"Mumbai, India",30
