location,review,name,user_profile,userloc,rating
bageshwar,"Luxurious Villa in outstanding location with mists, mountains Himalayas and Peace around. Excellent food prepared by Chef Devendra. Raju and Manoj looked after us really well. Amit provided an excellent transport service. Mr Bansal the owner has been very prompt with the booking enquiries.",M Lall,/Profile/724ml,"London, United Kingdom",50
bageshwar,"Me with my husband stayed at peora estate in month of Feb for our first wedding anniversary. The place has colonial charm with world class hospitality. They take care of your food preferences for all your meal plans, and will be there for all your requirements, they have two very friendly doggos Simba and Gabbar, who are nothing but all love. Staff went an extra mile to make our day extra special with a picnic setup for day lunch followed with candle light dinner. The chef here is specialised in all kindda cuisines, the food will surely tickle your taste buds. Do try grilled veggies, they tasted heaven. All in all it was a memorable experience, would love to visit again :)",Diksha1990,/Profile/Diksha1990,"New Delhi, India",40
bageshwar,"We decided to spend our New Years at The Orchard. We took the overnight train from Delhi which is definitely a great option for people like me who don't like long car journeys. The owner (Mr. Bansal) had already connected me to a taxi guy at Kathgodam who was waiting for us when we reached. After a 2 hour journey, we were at The Orchard by breakfast time.   The place is absolutely stunning. Food, staff and property - are all perfect. Perched on a hill, the view of Panchuli range is  breathtaking. In the middle of a village, we found ourselves in the lap of luxury! The staff was extremely polite and catered to every demand of ours. Every night, they would place a dupatta of the next day's color with a note explaining the relevance. They also put soaked almonds on our bedside and",Neoma K,/Profile/Nkapoor2014,"New Delhi, India",50
bageshwar,"Can't even begin to describe the beauty of this place. Went with a bunch of friends and have come back with only good experiences. The service, the attention to detail, the unreal scrumptious mouth-watering food among other things makes this place rival any 7 star property globally. The chef is a genius and I wanted to take him away but that didn't work out. The breathtaking view will make you regret having not been there before. Thank you Orchard Estate staff for looking after us like family. We'll see you again soon.",Varun Vijay Singh,/Profile/Varuunn,"New Delhi, India",50
bageshwar,"Visited The Orchard at Peora estate with close friends, for new years. Top of the world and personalised hospitality and one of the most perfectly architected properties. With a view of the grand Himalayan range from our rooms was absolutely breathtaking, i am a big fan of the food at the orchard. The pahari thali, mexican brunch, Mediterranean dinner with each meal planned in sumptuous courses was just amazing. Their focus on the minutest details just win you over. The badams on your bedside every morning, the haldi shot and fresh juice for the ones who've had a rough night, board games and musical instruments, barsets and glassware, the party speaker at the library bar or the gifts for the girls every morning. They've really thought this through. I was most impressed with the",Samarth Masson,/Profile/Samarthmasson,,50
bageshwar,"It is a great boutique bungalow situated in the middle of a village called Peora. The entire bungalow is Tuscan-styled with beautiful orchards all around. I stayed in the 'Royal Suite' for 2 nights - the whole decor was modern, classy and crisp to a tee. It gives you the true sense of luxury in the middle of Himalayas. The staff was well-trained and I was extremely impressed with their hospitality. It is amazing how they cared about every nitty-gritty requests of their guests. It's the small things that matter. For example - every time we returned to our rooms at night, we would find soaked almonds by our bedside and a hot water bottle in the bed.  Coming to food, if you think food in the mountains is about 'Maggi & Chai', you'll be astounded with the level of culinary here. The",Swati Kandhari,/Profile/swatikandhari,"New Delhi, India",50
bageshwar,"We visited Peora Orchard in the last week of Dec 2019 and experienced an absolutely outstanding stay there. While you can just sit back enjoy the tastefully setup resort with its stunning mountain views , you can also spend hours trekking the neighborhood region, chat with friendly locals, and even get invited for a chai. The clear skies in December opened up a 180 degree view of the mountains from just about any spot in Peora. A special mention has to be made of the food served at Peora Orchard - delightful flavours, across cuisines and this was a real surprise.",Parikshit,/Profile/Parchak18,,50
bageshwar,"Stayed at this beautiful property recently. The best and unique things first -every corner has been thoughtfully done, they have a heated floor in all rooms !! they serve meals at beautiful different locations on the property ,warm-local-healthy touch to every meal,unique-carefully selected menu, very hospitable staff . It was our anniversary so chef baked a cake for us !! They can improve on the maintenance of their green cover , We got a complimentary upgrade !! It was an awesomw memorable stay ! ",@wanderer80,/Profile/shvetajg,,40
bageshwar,"Its been over a week since I and my family came back from The Orchard, but our hangover of the place refuses to go away. From the time I started speaking with Mr Rahul Bansal (the owner of this wonderful villa) over the phone for my booking inquiries, till the time we stayed at the villa, everything was simply perfect. We were looking for a holiday break from our regular life and hence relaxation, quiet setting, no rush and so on were our key agenda points. What we got there was way beyond our expectation. The most pleasant surprise was the kind of good food which was served to us relentlessly during our four days stay by Chef Vinod and his team. Mr Vinod would always make it a point to discuss the menu for the next meal in advance which would keep us waiting for the meal",PriyankMishra,/Profile/PriyankMishra1982,"Lucknow, India",50
bageshwar,"The Orchard is an exceptional and memorable boutique hotel in the small Peora locality of Uttarakhand near Almora.  It is clearly a genuine labour of love, built up, furnished, and meticulously looked after by its founders, as a professional endeavor with family at its core. And some of their family values and attention to detail definitely came through for us as well as all guests who are lucky enough to have stayed there. A steady emphasis is kept on guests' privacy, minimal disturbance, and cultivating an ambience that encourages everyone to look out of the windows to the magnificent views of the Himalayas rather than look at our screens.  A stay at the Orchard will surely reward any traveller with this valuable opportunity to relax, disconnect, and enjoy delicious",Vinayak Kaul,/Profile/VKaul1,,50
bageshwar,"Location: A+ ; rustic, peaceful, away from the hustle and bustle  Property: A++ ; authentic Tuscan Villa in and out; meticulous attention to detail; huge rooms with stunning views of Kumaon mountains and the Himalayas; top notch appointments and 7-star furniture  Service: A+ : prompt, preemptive, attentive. Al Fresco dining experiences are out of this world  Food: A+++: Bespoke menu; Majority of vegetables and fruits are grown in the orchards that surround the villa; breads are all made in-house; the chef can cook up almost any cuisine you can think of; there is no set menu -- guests are consulted on their individual tastes at time of reservation.  Activities: A+: Picnics in the forests with top-notch service, hikes, temple visits -- you name it, it will be made possible  This",Nirbhay K,/Profile/731nirbhayk,Stamford,50
