location,review,name,user_profile,userloc,rating
champawat,"I stayed at the hotel for two nights and three days and booked three rooms. The feedback is based on that.  Location: Right on the road towards Mukteshwar, in Chipa, the hotel can be easily found. If you've hired a taxi, give the hotel's name as ""Pailaag"" as its the old name of the hotel and old drivers might recognize it with the old name, not the new one.  The hotel: A small hotel, two rooms wide and three floors down. In total, they have 10 rooms, I guess. Two on the top floor, and four on -1 and -2. The hotel is surrounded by an Apple orchard, which is the primary income and focus of the owner. The hotel isn't the focus and seems neglected.  The surrounding area is quiet and there's very less traffic on the road.   Facilities and Amenities: The hotel has a restaurant, not in",duvD,/Profile/duvD,delhi,30
champawat,"Perfect place to visit .Each and every thing was perfect .The hospitality of the hotel was excellent , specially I would like to mention the ' tea' (I'll be missing it alot ) .Even if you don't want to go around from hotel you can enjoy the nature's view , bonfire,apple orchard and lot more .Thank you would like to visit soon .",Nehaa M,/Profile/NehaaM3,,50
champawat,In case you are looking for something away from the crowd...this is a good option.  Good things:  Away from the city Good food. They will cook what you want. Need to inform them in advance so that they can get the required stuff from the nearby market. Homely taste with good flavours. Try any non-veg curry. Helpful staff. Manager: Listen to you and act accordingly. Cook: Takes your preference seriously. Support staff: In case I am not wrong his name was Anil. A very helpful young lad. Always ready to serve as per your requirement. Good view: They have 4 rooms facing the valley and 4 I guess non facing. You which one to choose. A place for Bonfire Enough parking space for 3-4 cars  Not so Good things:  Very limited snacks. I should say very very limited. No Market nearby. The,GK_Explore,/Profile/GK_Explore,"New Delhi, India",40
champawat,"Wonderful stay , resort situated middle of the valley, and once weather is clear u can easily watch the himalaya view from resort, service is too good excellent work by anil and raju bhai will come again definitely. Food is tasty specially snacks r very good",gaurav y,/Profile/gauravy156,,50
champawat,It’s a really good place if you are going with friends or family I and my friends really enjoye. 5 start service and the food is really awesome 🙂🙂🙂 I think everyone should go there if you rang peace,apporve g,/Profile/apporveg,,50
champawat,My experience was amazing. It is a beautiful and well-maintained property at a reasonable price. The small cosy cottages are all you want for the chilled nights and the lovely balconies for experiencing the breathtaking view. The food is also good enough and quite reasonable. The staff is also very well behaved and cooperative. Overall the resort can be a cherry on the cake for your trip. Just loved it🤗.,Srasti T,/Profile/srastit,,50
champawat,Very nyc hotel..hospitality was gud..food was very delicious..staff was very cooperative..njoyed..asked for bonfire. Which was provided..had good experience...njoyed the weather in mukteshwar and awsome view from the hotel..,Shruti J,/Profile/727shrutij,,40
champawat,Spring leaf resort is the best place where one should stay if want to relax it is at a peaceful place with no commercialization near it you can experience the best feeling of plucking fresh fruits from tree and eating and you can get the food like your home at this place with a humble cook the food here is fresh so it takes time to get ready do give the order in advance so that the staff can serve you with their best services the view is the best thing one can get here the clouds keep flowing in front of your rooms you can also experience the barbeque night with bonfire in the evening the staff is very gentle and lets you enjoy to the fullest.Its a 5 star rating property. I would recommend all of you to book if you want to relax.,Sachit G,/Profile/SachitG9,,50
champawat,"It was my 2nd trip to mukteshwar and this time we stayed to same hotel i.e Spring Leaf Resorts - The Pailaaag, Really it's awesome experience, we Loved being there and would go back again, Food was amazing to suit every taste. Best service and staff was very very helpful, hotel is located in a peaceful place quite & good place. .The hotel is very spacious & clean, Had fun like dancing, lightning, barbeque, bonfire which is a reliever from the hectic city life that we lead in New Delhi. Children loved it.  Especially thanks to Mr. Sumit Gulati, Raju ji, Anil & Haryanvi guy. Wish you all the best.",negisunit,/Profile/negisunit,"New Delhi, India",50
champawat,"Dirty rooms, old linen greeted us.Was changed after repeated requests. Its obvious that the management doesnt take much interest in the resort.Overall hygeine levels were poor.Staff is friendly and helpful but lack of management/supervision is seen.",rahulydv,/Profile/rahulydv,"New Delhi, India",10
champawat,Very worst experience. As we ordered our food they promised to deliver by 15 minutes but they took more than 40 minutes and every time when we asked our order they said 5 minutes . Taste and preparation was worst. ,Ajay G,/Profile/375ajayg,"New Delhi, India",10
champawat,"I must say after visiting Nainital stay at Spring Leaf Resort. It's a gateway to peace, far away from choas of nainital. Awesome location, view from resort with added attraction of apple orchid. Bonfire to enjoy blissful evening with snacks n dinner. Food is like home aways from home. There staff is really good...Thumps up to Manager Mr. Raju and staff. ",Yashwant K,/Profile/833yashwantk,,50
champawat,Best resort in Mukteshwar. Awesome view. Food was excellent. Behaviour of the staff were excellent and they were very cooperative. A must recommend place to stay in Mukteshwar. Overall we enjoyed our stay at Mukteshwar to the fullest.,manas1963,/Profile/manas1963,"Kolkata, India",50
champawat,Thank you for the awesome hospitality @Springleaf Resort ..so peaceful and serene ..fresh fruits from orchids and amazing weather..added to the bliss.. Nainital after that was too loud...we enjoyed a lot ..an escape from over crowded Hillstations !!,apurv s,/Profile/apurvs59,,50
champawat,"Though the resort is smaller in room numbers and size but the hospitality is great. Owner Sumit, Manager Mr. Raju and other staff are very courteous. You will love the food be it tea, veg or non-veg. View from balcony is also an attraction.",Dr_Anand88,/Profile/Dr_Anand88,"New Delhi, India",40
champawat,"Perfect location for a peaceful stay, the hotel offers all the amenities,its' clean and hospitable. Whatever we tried in the food menu was good, only thing could be better was our room was not upgraded even when the hotel had vacant rooms.",Urvashi G,/Profile/UrvashiG35,,50
champawat,View was awesome.. Best hotel in mukteshwar.. Peace.. Bonfire was marvelous.. Pakore and chicken noodles were tasty.. Welcome drink was surprise and it was tasty.. Must go and stay in this hotel and dont forget to do bonfire..,Niharika R,/Profile/372niharikar,,50
champawat,"I visited this place with my family. The rooms were clean and spacious. The place is beautiful and we had a nice view of Himalayas from our room. The staff is cooperative, courteous and professional.The food was good.  I would highly recommend this place",Vibhash_singh,/Profile/Vibhash_singh,"Bengaluru, India",50
champawat,"Visited with my group of friends. Had a wonderful experience, staff was very helpful ,facilities provided were very good,food was awesome. Over all a nice experience. Would recommend to everyone to go and visit once.",SHIVANG M,/Profile/shivangm2018,,50
champawat,Visited the place in the month of April for a weekend getaway. Loved the weather and ride to the place. The staff is very cooperative and rooms are very spacious (value for money). Will surely visit the place for a longer vacation.,raktim p,/Profile/raktimp2015,,50
champawat,Had a blissful stay at the property which is well furnished and had a wonderful ambience! The staff was courteous and were helpful throughout our stay! The food was tailored as per our needs and was decent!,Simranjit Singh C,/Profile/701simranjitsinghc,,40
champawat,"Visted the Spring Leaf in mid April'18 with my family and took back beautiful memories of this holiday. The Spring Leaf property is in a very beautiful location and the view is mesmerizing from every room. The rooms are spacious, hygenic and comfortable.  The staff is very professional, emphatic and were happy to help, actively involved from the time we booked with any support. The check-in was fast and fuzz free.  The room we got had a dreamy breath taking view of the Himalayas. The property is very beautifully maintained with apple orchids and beds of flowers around. The room was very spacious and clean and the kids loved playing with the butterflies coming in from the windows :).  They serve amazing food and i would personally recommend their tikkas, they were out of the",Rahul D,/Profile/rahuld426,,50
champawat,Staying at this hotel was extremely comfortable ... rooms are clean and spacious and It is a peaceful place to stay at and is surrounded by numerous trees.  Another highlight of this property is the beautiful terrace with lots of exotic flowers and plants. The views of the peaks from here are stunningly beautiful... Worth paid,Rishab S,/Profile/729rishabs,,50
champawat,"Best part of this resort is the spectacular views it offers. The views of the mighty Himalayas are truly spellbounding leaving you mesmerized.  The courteous staff, wonderful food, well maintained rooms all at a very economically priced rates would make one's  stay memorable and would only make one to come again.",Aditya G,/Profile/AdityaG801,,50
champawat,Very Nice resort i went to the in he month of May along with my family. Weather was very cool. The resort is a far from the maddening crowd. Very quite and at a peaceful place. The staff is very helping. Gets all the possible things within their reach. I requested for a bon fire at night with some light music and got the same. Food is an important part while u r traveling. At this place got the perfect food both Veg and non veg. So the place is highly recommended if u looking for a good vacation along with your family and friends. Views from the hotel are majestic. ,Ankit K,/Profile/117ankitk,"New Delhi, India",50
champawat,Went to this Place 1st time and had very good experience with stay and facility. People are co operative and ready to serve at their best. Rates are resonable compared to compitition. Scenic beauty is simply awesome from the property...Overall very happy with experience😊,Amol S,/Profile/242amols,,50
champawat,Beautiful & peaceful place.nice ambiance and very cooperative staff members. It was suggested by a friend and was seriously worth it. One of the most recommendable place to stay for sure.The view is all awesome & beautiful.,Richa S,/Profile/422richas,,40
champawat,"Stayed here in May first week. And, this place is totally worth the cost. I had a great experience.Will definitely recommend it to all my friends.  The serene environment and the hospitality offered is unforgettable. Adding to it the food was also mind blowing.",Shrestha B,/Profile/ShresthaB20,,50
champawat,The drive to the resort is scenic. Staff is welcoming and cooperative. Rooms are of decent size with value for money facilities. Will hopefully be back again to enjoy the scenic beauty of the surroundings again.,rahul r,/Profile/784rahulr,,50
champawat,Very nice ambiance and very cooperative staff members. They view from the room was lovely and serene. It was suggested by a friend and was seriously worth it. One of the most recommendable place to stay for sure.,mithi r,/Profile/866mithir,,50
champawat,"I liked this place. Reason being it gave me solace. Far from hue and cry of the city.  Nice well lit rooms, property well maintained, good food, and bon fire 🔥 is also the good part.  Only one issue i faced was i ask for non veg and they were out of it. But veg sufficed my hunger well as promised by chef.  Place is worth a shot.",Robin S,/Profile/RobinS4512,,50
champawat,"Aesthetically designed resort right in the middle of Apple orchards, dense forest and snow peaks, what else could you ask for... Peaceful environment, awesome weather perfect place for rejuvenating. Value for money!",Sumit Gulati,/Profile/sumitg2017,"Gurugram (Gurgaon), India",40
