location,review,name,user_profile,userloc,rating
champawat,"I stayed in hotel with my wife and 11 year old son from 29 Dec to 31 Dec, 2019. Sharing my feedback basis my experience during the stay.  Pros: 1. Hotel is located right on the Sargakhet road; 2. Hotel build quality is very good; 3. Rooms are spacious and clean; 4. Neat and clean bathroom with hot water availability, dental kit was provided; 4. View from rooms (Executive rooms with balcony) is very good; 5. Delicious food with very good quantity, one of the best food I ever had in any hotel; 6. Very prompt room service; 7. Option of outdoor Terrace restaurant;  Cons: 1. Front desk is almost dead. I do not even know name of a single person who was handling front desk despite staying for two nights. I booked deluxe room which was not having balcony. I asked for other room to which",Ravinder Singh,/Profile/RavinderSinghYadav,"Noida, India",30
champawat,Stayed for 1 night had a comfortable and decent stay. Food was good staff was courtesy was on high level. Good view parking for big car can be a problem. A good job done by the team spl thanks to pankaj.,PVK,/Profile/PVKHAN,"Gurugram (Gurgaon), India",40
champawat,"We were there as a group and welcomed so warmly by the owner Ashish and his staff. We had lunch and found it extremely delicious. Overall, a must visit place if you want to cherish the imposing presence of Himalayan Peaks.",Yatinder S,/Profile/yatinders2014,"New Delhi, India",50
champawat,Polite staff best in class rooms excellent room service and the best part the view was just awesome... The chai wala along the hotel was amazing please try its maggi and maska buan they were amazing and chai offcourse,poonam_mahajan23,/Profile/poonam_mahajan23,,50
champawat,"One of my friends recommended me to stay in golden peak at Mukteshwar. It was really an amazing experience staying at the hotel. Undoubtedly Staff was really good at services. Everything, from food to location was superb. NO CHANCE of any complaints. When my friend told me about the hotel I saw the reviews and I was shocked on reading the review of 9th June and after that I even thought to cancel the reservation but as it was my friend’s recommendation I had to stay there and after my stay I was so so happy with everything. Thank God I didn’t cancelled my reservation. I would also like to suggest you to try this hotel if you are planning to visit MUKTESHWAR.",Atul,/Profile/Goelatul99,,50
champawat,"This hotel has everything what you can expect from a hotel in Mukteshwar like small areas.  Decent room size, clean washrooms, garden area, kids play area, valley view, tasty food etc. You won't find all such facilties at such price in Mukteshwar. I searched a lot of hotels and then selected this hotel and I was not wrong.  My stay was excellent.(I booked valley facing rooms as they are much better) It is just 5 kilometres from main tourist points like chauli Ki jali and Mukteshwar temple.  Though it is a small newly built hotel, may be around 20 rooms, managed by a family, but still they provide best possible services. Terrace garden is also very good. Also they can manage parking facility for around 10 to 15 cars.  ",Karan K,/Profile/Z5289BOkarank,,50
champawat,"Warm, friendly small hotel on the main road leading up to Mukteshwar. Ideally located not too far away from the centre and still away from the hustle bustle.  Rooms are decent sized and clean. The staff is very cordial and attentive. Food is simple and delicious. It is made to order only as we went in the off-season.  Can cook up Kumaoni cuisine on request. Try to get the outside room with a balcony seating as it offers the best views. Parking could be a problem if all rooms are full so check up on that.",kushalyadav,/Profile/kushalyadav,"New Delhi, India",40
champawat,"This is one of the pathetic hotel in mukteshwar to spend your holidays at. Pathetic service, pathetic response from staff, there wasn't any electricity at the hotel with no hot water. Even if they claim to have back-up, trust me they don't have. Don't even dare to go to this pathetichotel which will make your stay most miserable ever!!",Anjali N,/Profile/Happiness527290,,10
champawat,Good hotel n good staff. Very good rooms with fantastic view of sunrise. Rates are reasonable. Not so sure about food. neat n new building. Its on main road. Its near Krishna orchard n mountain trail..,Mohit A,/Profile/mohitzap,"Agra, India",40
champawat,One of the best place to stay in Mukteshwar.  It have spacious rooms with a breathtaking sun rise view right from your bed. No need to go anywhere specially. To top it hotel have courteous staff and stupendous food and decor. Value for money stuff.,Anupam G,/Profile/AnupamG147,,50
