location,review,name,user_profile,userloc,rating
haridwar,"Booked it on go ibibo for 300 rupees for a non AC room. Since it's cold ,so no need of a fan or air conditioning. Rooms are good size and neat and clean . Only issue hot water not available. Staff is co operative ",Vipin Arora,/Profile/vipina776,"Lucknow, India",40
haridwar,"I had a bad feeling from the moment we arrived but decided to ignore that because of it's location. The guy who was operating the reception failed to acknowledge me, staying in his phone and when he finished his phone call still didn't acknowledge me. Another younger guy came in and I asked him about my booking but he didn't understand. I asked the first guy and he didnt give me a clear answer about whether there was a room available for us (we had booked on booking.com) I asked many times, do you have a room and he eventually nodded by I wasn't certain. He finally got some keys and after showing him the booking reference he took me to a room. It seemed OK for what we were paying so I agreed to it. The price was 1000 rupees for two nights and he said, but you give me 1050. We",africatraveller15,/Profile/africatraveller15,"Zanzibar Archipelago, Tanzania",10
haridwar,"The night we spent in Hotel golden was the worst we had in a month in india so far :  - At our arrival, after 14 hours of train, 5 men were sitting in the lobby on their phones which is usually what you can find in any hotel, but in this case one of them stood up to ""welcome"" us and start the check in without a ""hello"" ""good evening"" or anything that would ressemble a proper welcome, the only thing he said was ""booking number"", the 4 other guys stayed there comfortably installed in the sofas looking at my girlfriend like a piece of meat. The manager then came out of nowhere, didn't tell them to go away turned to us and simply said : ""booking id ?"".  - after all that we were acompanied to the room which was dirty, we slept in village hotel down in rajhastan for 300 RS a night",Alan,/Profile/alanaS1398WT,,10
haridwar,"Good experience with Hotel Golden. This hotel is good in terms of budget. Front desk representative behavior was also good. If I visit here again, I would like to stay in this hotel. Just here I had a problem of some amenities but everything was fine.",Sandeep Saini,/Profile/sainisandeep,,40
haridwar,"I went haridwar with my family including a 1.5 yr old baby stayed in hotel golden.we saw the room quality is very good in goibibo.com .but realty was different.very bad quality room, continuous flactuation of voltage,inhuman behavior of staff maid our trip very painfull.those who have planned to stay in hotel golden,it is my request please cheack before booking.",sonali p,/Profile/sonalip302,,10
haridwar,"Booked 4 BedRoom  AC room, however founded Madhumakkhi Chatta in the room and need to Adjust in 3 Room set. The size of Room is Ok but no view from room and cant see anything out of the room. I read that Har ki Pauri is in walking distance, literally Yes but its 40 mins walk only. No Wifi Facility, market is approachable. But it is budgeted hotel and staff is friendly. Just pay little extra and book hotel somewhere else in Haridwar. The best thing is Parking Facility is Available and nearby to the railway station.",shanky2372,/Profile/shanky2372,"Chandigarh, India",30
haridwar,"We chose this hotel because we want to stay near Haridwar Railway station and bus stand. The AC room was exactly the same as shown in the photo. We faced no problem here. If you want to go to Kankhal, you can easily get shared auto in front of this hotel.",Niya1315,/Profile/Niya1315,"Gurugram (Gurgaon), India",40
haridwar,"a decent but old property, though poorly maintained, yet is value for money as rooms are clean, especially AC rooms,  bathrooms also are just acceptable,,,,  Good thing about hotel is that it is just 1 minute walk away from railway station...  and there is lot of economic eating options around it.....  Lack of parking space is another problem....",KrishnAshish,/Profile/KrishnAshish,"Jalandhar, India",30
haridwar,"Stayed here for a day in July, 2016. Had booked this hotel on MMT. Was given room no. 105 which was full of foul smell coming out from the attached toilet. On being pointed out the concerned person came with room freshener but in vain. Then my room was changed to 104 which had indian toilet, it was less smelly and the stench was controlled /suppressed with room spray. The mini TV was hardly operation. Anyhow passed time, left the hotel in the evening. had we to spend for night, it would certainly been a nightmare. Only plus point is its location which is at walking distance from the Rly. Stn. and many more eateries.",Ratnesh M,/Profile/ratnesh045,"New Delhi, India",10
haridwar,* The hotel was near to railway station. * It was clean and quite. * 1 cooler was enough to cool 5 bed room. *  The staff was cooperative and gentle.  I would recommend this hotel for stay at Haridwar for Value for Money,Ashutosh Goyal,/Profile/AshutoshG188,,50
haridwar,Nice stay. Parking in front of the hotel gate. A bit far from Har ki Pauri. But very close to Railway station. Good for those who can walk much and want cheap and best accommodation. Didn't try hotel's food but there are lots of good restaurants nearby.,Harsh M,/Profile/HarshM256,,40
haridwar,"The AC rooms are good, however, the non ac ones are stuffy and unfit to stay. The centralized location is the only plus point. Its just a five minute walk from the railway station. Auto rickshaws and e rickshaws are easily available, so there is no transportation and conveyance problem",ankitachandra89,/Profile/ankitachandra89,"Allahabad, India",30
haridwar,"Nice hotel very close to Haridwar Jn. & walking distance from Har Ki Pauri. Cleanliness is good, only disadvantage is no AC, service during power cuts and no lift in the hotel. Staffs & manager are very co-operative, no kitchen in the hotel but room service is available",BISWABRATA,/Profile/BISWABRATA,"Kolkata, India",40
haridwar,"We stayed for one night while going to Yamnotri in the month of May 2016. Basic amenities and cleanliness is good. Owner also gave us hot water early morning, Very cooperative. Rate is also very reasonable.",sunilkulkarni31,/Profile/sunilkulkarni31,"Ahmedabad, India",40
haridwar,This is very nice hotel. The location is awasome just at a walking distance from haridwar railway station. Hotel staffs are very supportive and provide a smooth chekin. Rooms are enough big. Clean and well maintained. The view of haridwar from the balcony is a wonderful experince. The price is very reasonable and affordable. Guys go for it. It will be memory for long. ,Deepak kapoor,/Profile/iamdpk,"Ranchi, India",50
haridwar,"I was impressed with everything at the hotel, from check in, to valet parking to check out. Nothing was given a miss and everything worked smoothly. Lovely hotel, lovely front desk staff, centrally located and in my view, one of the best places to stay in haridwar.",mantoshhwr,/Profile/mantoshhwr,"Haridwar, India",50
haridwar,"I am a frequent traveller and likes to travel a lot with my friends or sometimes even alone. Recently I visited Haridwar and stayed in this hotel. The location of the hotel was very convenient for us as it was situated at walking distance from the railway station. Coming to the hotel, my friend booked a room through an online portal and we got the room at very cheap price. The room was very neat and clean and the bedding was freshly done. The bathroom n all very also very clean with hot water (I cannot take bath without it :D). The staff of the hotel was also very polite to us and met all our demands satisfactorily. All in all it a really good experience for us at such affordable price and I would recommend this hotel to all budget travelers. Cheers :)",travel_freak89,/Profile/travel_freak89,"New Delhi, India",50
haridwar,the hotel golden was very bakwas and staff member wwere very rude. I would not suggest to anyone to stay there. My expereince was trrible and never to stay this hotel. Staff members behaviour were very rude.,609ashutosht,/Profile/609ashutosht,Mumbai,10
