location,review,name,user_profile,userloc,rating
haridwar,"Very clean! Very comfortable bad and crispy fresh sheets. 5 mins walk to train station, close to downtown. Food was ok, just ok, though veggie omlet I had for breakfast was excellent. Neighborhood is fine. Overall good two nights stay. ",S D,/Profile/sdC2968IY,,40
haridwar,"This hotel was a last minute decision and we chose it based on reviews in TripAdvisor, I needed a place to crash with my parents on our way back from Badrinath, I couldn't find the suitable options online or in any of the travel sites like mmt or trivago, so I called the reception for an Ac room for 3. The room was booked over phone I paid one night's amount through netbanking and got a confirmation on WhatsApp. Rooms are spacious, clean and the hotel is very new, staff is courteous, person at the reception was extremely polite and very helpful, hotel offers free WiFi, room service, also has a nice rooftop restaurant, food is reasonably good though a little on the costlier side but we were too tired to venture out. Hotel also has a lift and the building is uniquely designed to",Anindita B,/Profile/700aninditab,"Bengaluru, India",50
haridwar,"Hotel Krishan Ji is in the center of the city, very close to Har ki Pauri yet I could park my sedan car conveniently. The property is very neat and clean and very hospitable staffs. Even in the high summer( 40 degree plus celsius) rooms well very cool and calm. Although this is a very well built property with all modern facility but for my surprise I came to know from the owner that this building was 90 years old (1930's) and he got this refurbished that took him more time than for getting a new building constructed. Really very impressed with the idea and this culture has helped to build the system and processes more custumer centric.  I also tried lunch at the roof top - very fresh and tasty. Room service was quick. Overall very satisfied.",Vikashkalp,/Profile/Vikashkalp,"New Delhi, India",50
haridwar,"Very good hotel. Clean and staff are cooperative. Pure vegetarian. Restaurant is at top floor. Lift service is available. We stayed only for 2 nights. Rooms at the ground floor are of varying sizes. We preferred ground floor as few of our members were sr.ctzns. In a nutshell, good hotel.",Swapan Roy,/Profile/Swapanroy,"Silchar, India",40
haridwar,Best place to stay in Haridwar. Very clean and spacious rooms. Staff is extremely helpful. Yogesh Mehra is the perfect host at the reception. Don't forget the rooftop restaurant. Splendid view and great food. Staff is very kind.,Luc L,/Profile/20lucl,,50
haridwar,Stayed in winter January 2019. They arranged transport from dehradoon airport. The room is very clean and comfortable. Walking distance from har ki pauri ganga arati place. Food in their roof top hotel tasty and clean. Arranged transport to mussoorie next day on request. Overall a very tourist friendly place. Note: special note about Mr. Yogesh Mehra who was contacted by us through WhatsApp for planning transport arrangements. We booked through make my trip after seeing reviews on trip advisor.,Dr. Ravikiran S,/Profile/drravikirans,"Mangalore, India",50
haridwar,In the heart of city and on the market. It is situated on a busy two way narrow road. Rooms are good. Restaurant is ok.  Parking is on the road shoulder only. The hotel is visible from the vehicles on the road itself. They accept both cash and credit card and debit card for payment.,Navin S,/Profile/468navins,"Ghaziabad, India",40
haridwar,Very close to Haridwar Railway Station. Lot of eateries around. The hotel has a wonderful rooftop restaurant as well.  Extremely clean. Friendly Staff.  Centrally located; hence visiting the tourist locations become very convenient.  Highly recommended.,Mili Dutta,/Profile/milidutta,"Pune, India",50
haridwar,Conveniently located very close to the railway station. All auto or rickshaw pullers would recognize the place. Very helpful staff and management. Rooms were clean and all services and food were excellent. We stayed there for one night. They also have a good collection of books at the reception.,djy0ti,/Profile/djy0ti,"Lucknow, India",50
haridwar,"Visited this place on 07 Aug 2018 staff was very good helping , provided early check in as well the breakfast on the same day as the request thank you so shows the good attitude ..  Keep doing good work .",shailaja s,/Profile/shailajas48,,50
haridwar,"We stayed for two days in June 2018. The hotel is situated close to Railway station, Market and the river Ganges. Food is good and the rooms are of reasonable size. Roof top restaurant is good. Ideal for families and people who come on pilgrimage.",C P C,/Profile/PuneSekar,Pune,40
haridwar,Loved this place. The staff was super friendly and accommodating. The food was delicious and economical. Rooms were clean and the bed and pillows comfortable. We didn’t have hot water in the showers ( although the tub did have hot water)  it was still our favorite place we stayed our whole trip. ,Cita123,/Profile/Cita123,"Olympia, Washington",50
haridwar,I was happy to stop here. This is a low priced hotel. I stayed here for 2 days and both of us have lived comfortably. All services are excellent. Staff is very good. Staff is very friendly. Overall the fun.,Aman K,/Profile/AmanK1045,"Kanpur, India",40
haridwar,We stayed here before embarking on a trek in the Himalayas. What immediately struck us was how friendly the staff were. Our room was large and clean and quiet. We were allowed to leave our suitcases behind whilst we trekked for 6 days. We didn't arrive back to the hotel until late in the evening and the manager was genuinely concerned for our wellbeing! Would definitely recommend! 😎,PatsyT1964,/Profile/PatsyT1964,"Plymouth, United Kingdom",50
haridwar,I stayed here for one night to tour the city of Haridwar. The front desk is very friendly and helpful for giving travel tips around the city. Room is clean and spacious. The only thing missing is the cattle for hot water in the room. But if you call the room service they will bring you the hot water in a thermos. Location is convenient and in a safe neighborhood.   Breakfast is included and you can choose from the menu. Mainly Indian dishes and freshly made to order. Would recommend this place for a short stay. ,lulu_mango,/Profile/lulu_mango,"Mississauga, Canada",50
haridwar,"We stayed here for 1 night, the area is pretty quiet and reasonably clean. The hotel is located within walking distance of the train station and everything else you need.  Once checked in we were shown to our room which was clean and really spacious, our shower was amazing compared to what we had in hotels in Delhi. We had everything we needed, air conditioning and complimentary water. Our room faced out into the main street but we could hardly hear any noise during the night or next morning. We were pleasantly surprised with this hotel.   We had breakfast at the rooftop restaurant, omelette and toast with a few cups of tea. Again, the food was good enough and for less than £5 for 2 people you can’t complain. We left our bags at the hotel to go and wonder around before our train",leahmt,/Profile/leahmt,Windsor,40
haridwar,In clumsy and crowded area of Haridwar we found this hotel as a pleasant surprise. You can't expect lavish hotel in this area. Here too room are small but clean and well maintained. Bathrooms are clean. Geysures available for hot water. Staff is courteous. Its 2 storey hotel having a small lift. Best part its vegetarian food! Not much choice but very testy and healthy options for breakfast or for dinner at cheap rate. You may order at room or go to roof top restaurent.  13 members of our family stayed stayed their for 2 nights.,ashishmnaik,/Profile/ashishmnaik,"Navi Mumbai, India",50
haridwar,"The location is central and most local spots are easily walkable.  My family of 4 adults enjoyed the reception, the ambience and peace. The rooms were clean as were the bathrooms. The a/c worked silently. There was a hot water geyser on demand. The sheets were clean and the beds were comfortable. The restaurant provided clean tasty food (all veg).  TV and Internet were adequate.",Bravo,/Profile/bravo502013,United Kingdom,50
