location,review,name,user_profile,userloc,rating
haridwar,"I went to this hotel for 1 night stay. A budget hotel true, but should have maintained properly. Walls near to lift dirty. cigarette smoke smell in room. Curtains broken. Shower broken, complained about that but in vain no one in there to listen your complains. Overall worst experience. One good thing hotel near to Hari ki Pauri and Market area. No parking facility. Park at your own risk on main road. I will never suggest anyone for this hotel. A big No.",Manish K,/Profile/kmanish87,"Faridabad, India",10
haridwar,Stay for one night it was very worst experience which I never face before staff don't know how to handle the guest room is very low category n quilt bed sheet are dirty never suggest to any other friends n family. This is small hotel that is true but it should be maintain properly guest can stay comfortably want to stay one more night but because of their staff behaviour need to left...!!,karma bhutia,/Profile/karma_B08,,10
haridwar,"Its approximately 3 km from railway station.i checked in on 9 sep 2016 with my hubby n daughter.because of technical issue manager pradeep said instead of my 3 nights booking ,only one night is confirmed n rest 2 nights in process.though i booked hotel n flight throygh* Make my trip* . I thought ok fine.on9 we were tired n was 9.30 pm so continued stay at le central.room was spacious.shower was  like ""थप्पड सिर पर ."" tea ordered was.... like...""ठंडा पानी* .we droped morning break fast.A appreciable note for PRADEEP who cooperated to prcess refund of 2 nights because of late processing of MMT.MMT  Arijit understood confusion and took decision immediately .one thing is to note our standards are high and looks for 4 n 5 star .and this place is perfect for middle class family ",sangeeta s,/Profile/853sangeetas,"Mumbai, India",30
haridwar,"I truly hope this review saves someone from choosing this place. I'm backpacking through India and hostels are better than this place. It is far from where you want to be as a tourist which is funny because its called Le Central. It may be in the center of the city but you come to Haridwar for the ganga, religious ceremonies, temples etc. and those are all in kharkhri the part of Haridwar! Stay there instead. Don't be fooled by the nice looking room. It and the boys helping you to your room are the only nice things about this hotel. Tv and phone didn't work, not that I care much. They brought me a bottle of water without me asking and then charged me at the end. No free breakfast. Bad WiFi. Very very very loud outside- honking cars all day and night. Don't plan on sleeping if",Michael S,/Profile/michaelsK1105DX,,10
haridwar,"My fiancé and I had the most wonderful stay at Le Central Hotel. The beds were like sleeping back home (North America), the place was clean and large, and the service exceeded our expectations. The staff the front desk made us feel very welcome and helped us out with any questions we had. They also told us how much a rickshaw should cost and told us about the shared rickshaws which are only 15 rupees each to save us money. I really appreciated their consideration and hospitality.   There is also a fabulous restaurant directly across the street called ""Fun N Food"" which is the best Indian food I have had in Haridwar.   I would recommend Hotel Le Central in a heartbeat! ",BodyByDesignFitness,/Profile/BodyByDesignFitness,"Surrey, Canada",50
haridwar,"We found this hotel online and booked two suites. Really nice/comfy beds, clean place, good room service. Though the resturant is not continuously functional, but the cook makes yummy food when ordered. It is quite close to Had-ki-Paudi yet away from the din. It is quite in the heart of the city and it is pleasant to walk in the evenings. Not a very famous hotel but i think they could do with some publicity. Reasonably priced and polite staff. Now the best part.....We had tucked away our worn clothes in one of the cupboards and forgotten about it completely. We realised only after a week and when we called, they offered to send back all of it and didnot even take money inspite of us offering to do so. Great hospitality and great & honest team!",Shweta Sarkar G,/Profile/shwetasarkarg,"New Delhi, India",50
haridwar,"The rooms are nice, spacious, comfortable and clean. The hotel is well located in market area with restaurants around. I think the reception should be more impressive (its in basement and very basic). The reservation confirmation shows parking but there is no parking, we had to park on the roads though it was safe. The Wi-fi is very slow, you better make your own arrangements for data.",kishorjetwani,/Profile/kishorjetwani,"New Delhi, India",40
haridwar,"I came here with family during my holy visit to haridwar. We decided to stay here because it was near to railway station. Hotel does not meet our expectation. It not proper maintain, i dont know how they are doing business. Bed sheet and room was not properly clean. Will not visit again.   ",Manish S,/Profile/916manishs,,20
haridwar,"Had a pleasant stay. I visited Haridwar with my in-laws and wanted a comfortable stay. The hotel met up our expectations. The executive rooms were spacious and washrooms were very clean. Staffs were courteous and very supportive. Away from the crowd, we wanted a silent place from staying. Well communicated to railway station, bus stand and even Delhi-Dehradun Highway. Would recommend others to book directly instead of third party travel portals, for better deals.",JeetKabasi,/Profile/JeetKabasi,"New Delhi, India",50
haridwar,rooms are filled with DUST AND LINEN is soiled and used linen.. linen is so dirty that i didn't use bed. worst than railway cleanliness is the description of this hotel hygiene. Staff is not there to clean rooms and they are simply offering  excuse of shortage of staff,ngtraveller2015,/Profile/ngtraveller2015,"Navi Mumbai, India",10
