location,review,name,user_profile,userloc,rating
haridwar,"I have an excellent experience in Haridwar city. We have stayed in Hotel Madhuban, That's have on a good location...  Prem Ghat- 100 mtr. Highway Bus Stop-100 mtr. Main Market- 50 mtr. Food/Restaurant- 30 mtr. Temples- 30 mtr. ATM- 20 mtr. Hospitel/Medical Store-150 mtr. Petrol Pump- 200 mtr. ",Tarun Sharma,/Profile/TarunTeji,"Rohtak, India",50
haridwar,"Amazing vibe in this hotel and the staff in this hotel are outstanding, very comfortable and peaceful for stay over here.Food in this hotel is good, and they also take care of their guest very properly,",Nitesh,/Profile/Nit011,,50
haridwar,"We, a family of 3 stayed here in May'18. Located 10 mins by car from Har ki Pauri (Without traffic). Due to road work, we took 1 hr to cover the same distance. Hotel also located 5 mins from Ganga river. Rooms are beautiful, clean and spacious. Had an issue with the hot water in the room. Called up room service at 7:30 am. He told me hot water will come to the taps in the next 20 mins - which did not happen. When I asked him again, he gave me the most stupid excuse ever. He told me 'Abhi tak dhoop (Sunlight) nahi nikla hai'. Now in a cold place like Nainital, we did not face any such issue. Food was tasty with good variety.",ketss,/Profile/ketss,"Mumbai, Maharashtra, India",40
haridwar,I stayed with my family rooms are  very neet n clean staff is also cooperative n helping.food is also good. Har ki pauri is 5km away from hotel but one ghat is situated near by hotel where you can take holybath.,sgandhi892,/Profile/sgandhi892,"Mumbai, India",40
haridwar,"Very bad quality ,uncleaned , stinky hotel.Rest aurant manager was unattentive and uncourteous , restaurant table cloth was stained and dirty and soiled with hair.  Washroom flush was not working.Only positive point was that room was spacious .The basic service (housekeeping) was not there... they does not clean the room unless to ask for it .. Overall the basic service was too poor ... Not recommandable at all .",Arijit M,/Profile/867arijitm,,10
haridwar,We are just feeling  like  a home. Staff is so nice. Splly front desk. Mr. Seetaram. He was so humble and helpfull  person. He was giving check in  to auss in some sec. Food quality good. Overall nice sty,srppalo8,/Profile/srppalo8,"New York City, New York",50
haridwar,"The services and tariff do not match. charging 4 star tariff for not so good hotel. Ratings from other travel and hotel sites are false. Hotel is situated in perfect place where stream of Ganga is flowing just 150 meter away. We had one of the worst experience, no hot water available, rooms are not maintained properly and services are poor.",JainendraJain,/Profile/JainendraJain,"Chandigarh, India",20
haridwar,"I stayed with my two months old baby,  I have told to the hotel staff regarding my Lil baby and asked for necessary arrangements but no one was bothered for the same.  I went for a wedding function, when I came back to the hotel I asked for a glass of milk for my baby which hotel staff denied to provide me as they said they do not have staff available and kitchen has been closed. The tariff was too high as per the services.  Hotel staff has no sympathy at all. They have charged me full tariff even they did not offer anything. ",Maps596789,/Profile/Maps596789,,20
haridwar,I stayed here for two days in September. The room was well maintained with necessary amenities. Food was descent with a pretty good restaurant. Front desk people were helpful but can be more pleasant in welcoming people. Overall a descent hotel but nothing extra ordinary. ,Sarath S,/Profile/SarathS205,"Bengaluru, India",40
haridwar,"Inspite of good location, the hotel doesn't live upto expectations, I booked rooms through Oyo, and was expecting good service from them, but nothing much was offered by them.  The room are good but bathroom was stinky, even told several times to clean the staff just comes and puts air freshener and doesn't clean it. Staff was not courteous enough and many were rude. They tried to disturb us intentionally during night to take some sort of revenge, as we asked for tea bags which were not in the room and I was expecting it to be there. Towels were also not changed daily, tea was horrible, breakfast just included repetitive menu everyday. I would suggest to book many other better options in Haridwar instead of this .",Vasco Da,/Profile/vascodag2016,"Nairobi, Kenya",20
