location,review,name,user_profile,userloc,rating
haridwar,"Very good hotel and very well behaved hotel staff,nice and comfortable stay with family ,luv to come again.. good and helping nature of hotel staff specially mr.sufal. hotel has ample space and friendly for kids also",Harry,/Profile/HARRY_PARCANDA,,50
haridwar,"I had visited the hotel with my family in first week of May and stayed there for two nights. Its been my one of the best stays till date.   The hotel is huge. Staff is polite and welcoming. Check in and check out was smooth. Every instruction or hotel policy is clearly mentioned every where and still you don't feel offended by any of this.   The rooms are spacious and super clean so is the bathroom. The bathroom comes with bathtub and all the required toiletries. Wardrobe has iron (which was not working in our case), ironing table, safe, bathrobe, room slippers etc. Free wifi is provided. Room service and the taste of food was good. So was the breakfast spread. Swimming pool was clean and nice. They also provide swimming costume if required with some charges.  Lot of parking",Shilpavk,/Profile/Shilpa1234,"Navi Mumbai, India",50
haridwar,"Hi  I was travelling with my family and booked Radisson Blu for a night halt in Haridwar. The Hotel was good except a few things which are as under:  Cons: 1. Around 12-15 km and outside from main tourist spots of Haridwar... In a remote industrial location (Far from city) 2. Even after booking for 3 Adults, they did not have extra bed and only gave regular sponge mattress which was almost like sleeping on the floor. 3. Washroom was not that clean as expected from a hotel of this rating.  Pros: 1. Near a movie and shopping mall 2. Large rooms comparatively",Lovenish Agarwal,/Profile/Lovenish03,"Gurgaon District, India",30
haridwar,The stay was super good with the radisson.the staffs were very nice.services super excellent.we will definitely visit soon.sab bht badhiya tha..khana accha tha..front desk staffs bht acche the..keep it up..,Bihar,/Profile/Kunj12335,"New Delhi, India",50
haridwar,"Our stay was wonderful! The staff was super helpful, nice and warm! The food was amazing, there was a variety of cuisines available.The rooms were very clean and well equipped. Excellent service. Highly recommend",Amruta,/Profile/Goodvibes1304,,50
haridwar,"Was pleasantly surprised to find Radisson Blu in Haridwar. Hotel is located at an optimum distance from most of spiritual places and travel is easy. You can spend quality time in the main city and then return to the comfort of your room!!!  Hotel restaurant serves great food, Breakfast is a great mix of North & South Indian delicacies. Nice amenities, including a pool and gym.",Saumya B,/Profile/saumyabh,"Sydney, Australia",40
haridwar,"We had royal hospitality! The food was excellent with personal service and attention to our needs.Our thanks to Ravi and Sandeep who were very welcoming and helpful. Our room was quiet and we enjoyed the rest after touring. Thanks to all the staff who made our stay memorable, especially Mohid and Chef Sarthak who provided special Indian treats.",Jim Kuzma,/Profile/Kuz2020,,50
haridwar,"One of the best hotels I have visited in past so many years. The entire staff is extremely courteous and they make sure that the guests are taken care very well and made to feel at home. The personal touch extended by Bhuvaneshwari, Rahul, Mohit, Ravi and Raja is heart touching and is worth mentioning. Kudos to the entire team. Rajeev Sogani",Rajeev Sogani,/Profile/rajeevsogani,"Pune, India",50
haridwar,"It was wonderful 1 week stay. nice staff, spacious rooms,neat and clean housekeeping work. the only thing would like to suggest is add few things in food menu..on last day of my 1 week i didn`t have any choice in menu card. but overall good experience.",shraddhapethkar,/Profile/shraddhapethkar,"Mumbai, India",50
haridwar,I am visited with my family staff are very courteous and polite. Location is also good calm place to stay.  My family specially remembered Mr. Ravi and team they made memorable for us. Thanks team radiaaion blu,bhargaw m,/Profile/Bhargavm1,,50
haridwar,"First of all a special Thanks to all Radisson blu Haridwar staff!  All staff is very enthusiastic, Specially Mr Ravi Tripathi, Miss Bhuvaneshwari (Riya), Mr Mohit, & Chef Mr Sandeep!!  They not only made our stay cozy but also satisfied our tastebuds!! Very cooperative & polite staff.  Unforgettable honeydew smooth experience it was 😍❤️ ! Will visit it again & highly recommend to everyone!! Miss you guys!! Especially thanks for ravi and chef sandeep thanks to all crossaint was excellent and delicious",Aniket Deshmukh,/Profile/Anuaniket,,50
haridwar,"Location is far from Haridwar like 5 KM.  But the best part is staff is very supportive and friendly, especially with kids. They know how to take good care of their customers. Thanks to entire staff, especially Ravi.",Kushal Hari I,/Profile/iKushalHari,"Ahmedabad, India",50
haridwar,Hotel very good Food was  great  Ravi and jagat and akash negi Rahul from next 2 waitering skills was off great standards  The front end lady Bhuvaneshwari from the restaurant very friendly n plesent  Thank you,Maharaj,/Profile/Maharaj112,,50
haridwar,We are here for two days in uttarakhand. And we choose to stay at Radisson haridwar. The hotel is superb and stay was also great and it was a great stay.. services was great specially front desk staff ms. Papiya sufal and salil,Devendra S,/Profile/DevendraS287,,50
haridwar,"Excellent breakfast and service , mr. Jagat  and Ravi very helpfull person. Very good staff . Thank you all redission blu team.room ac problem but solve fast . Excellent clean all floor. Everything all good .",Road335183,/Profile/Road335183,,50
haridwar,It was a corporate group trip..and the trip was fantastic..everithing was very nice till the time of check out ..every one is very nice ..services are excellient  which is provide by the staff...check out and check in was smoothly done by the front desk staff..special thanks to ms. Papiya,Kumar,/Profile/Chandanzvb,,50
haridwar,It was great stay with the Radisson staffs they all are very nice. Exceptional servises provide by the front desk staff. I would like to mention few names Ms. Papiya and dev... Mr.Amardeep and mr. Sanjay. And the trainee mr. Shubham. And mr. Sagar,Abhimanyu,/Profile/Sharmaabhu,,50
