location,review,name,user_profile,userloc,rating
joshimath1,"Terribly maintained property Extremely filthy and dirty rooms No heaters Traditional heater is given in the room which takes ages to heat!!! Very dirty and stinky toilets,totally unclean and unhygienic. Infact,I fell sick after 2 nights of stay and was terribly ll Food is OK The room must not have been cleaned in ages!! Totally disappointed but what to do? Had no choice since all homestays,hotels,resorts were full My bad luck Overpriced too!!!",Vishal2805,/Profile/Vishal2805,"Mumbai, India",10
joshimath1,"Dream mountain Resort in Joshimath is a very very beautiful destination Perfectly named as 'Dream Mountain Resort'. .We feel here is  "" a dream come true"".This resort is situated on high altitude.It is on Auli road.Beautiful rooms with ethnic furniture.. Through these rooms there is  Unforgettable , classic view of Himalayan ranges, it's picks covered with snow.We can feel here divinity in nature. Within the resort area there are lot of Rose plants everywhere... which enlightens us. Tent with all good facilities provided here for stay.Children feels something special in the tent.  Food is very nice . Service is nice.All the staff is helpful.Dining area here gives us homely atmosphere.  Campfire facility here in the chilled weather is really a boon. It is close from",Sangeeta Patil,/Profile/sangeeta_1373,,50
joshimath1,"It is a very good property with excellent staff that was always ready to meet any requests that we made (always with a smile). I travelled to Joshimath during Dec end (2018) with family, mainly with a view of going to Auli ""for some snow""... The hotel staff was very helpful in helping us get tickets for the Cable Car (many people did not get it, it was kind of peak season) and i am really grateful to them for the same... The food was good and I had (for my family) two of the best rooms (room # 11 & 12). One was big, spacious and both had running hot water in Wash basins too (luxury in cold climate). Bathrooms were clean and overall the property was good (it had tents too - a little higher up on the hill to be reached by stairs).  The only (and a big one) downside was that",Vikrant1980,/Profile/Vikrant1980,"Bengaluru, India",30
joshimath1,"the place was great if not so high end. we were there in the low season. but the stuff was really great. specially the manager was so helpful, he got up in the morning and went to book cable car tickets for us in advance. really liked the place.",arunav o,/Profile/arunav0,"Dhaka, Bangladesh",50
joshimath1,"We had booked 3 swiss tent for our group for Auli during our trip to Uttarakhand. The hotel staffs  were so humble and pollite.They kept reaching us over phone during the day of check in to help us to reach their resort.They sent route maps through whatsapp. They sent menu card asking for our orders to keep the food ready while we check-in. The resort in itself is very beautiful. It is very neatly maintained, super comfortable and has an amazing view of the snow clad mountain just outside our tents.We will highly recommend tents for stay.They are very well maintained. The food their is very home-like. they have a limited menu but serves delicious food.",JimilModi,/Profile/JimilModi,"Vadodara, India",50
joshimath1,"Gr8 place to stay. Awsum hospitality, well disciplined staffs. Gr8 homemade food, good room service. People I want to mention : Mr. Vinod - Very well disciplined and guided us although unfortunately didn't get a chance to meet him. Sohan (Manager)- polite and very helpful and led his team very well. Rahul Rana (Staff)- well disciplined, polite, punctual and very helpful. As far as cleanliness is concerned, room and washroom was very clean. It's a gr8 place to stay with family as well.",adnan4f,/Profile/adnan4f,,50
joshimath1,"Like every year this year also during X- mas and New year eve  we were out in Hills.This year our destination was Auli. We stay there for 4 days,and Trust me this 4 days was something amazing which I can't express in word.  The best of People, best of Hospitality and a touch of Nature. # Very cosy and nicely done Rooms,and tents. #Lovely Location just little away from noice and in lap of nature,next to Forest office. #Fabulous  food made as per your choice. #The best of all, unbelievable hospitality from the entire Team.Hats off to the team of 4 ,lead by Sohan ( property manager), Rahul( always there to help u 24x7 at a temperature of -4)Bisth ( the cook, so lovely nature egar to learn visitors cuisine and cook accordingly). # My, The best experience till now.Best wishes to the",Sukanta N,/Profile/sukanta2013,"Mumbai, India",50
joshimath1,"We were 6 students who wanted accommodation surrounded by mountains without burning a hole in our pockets. Location: Its about a kilometer away from the main road to Joshimath. Rooms: We booked our stay 1 night in the camp and 1 day in the rooms.Both were very comfortable and we enjoyed them equally. We were there during mid December. The room heaters in the camps and the rooms kept the cold winds from reaching us.We were also provided with bonfire on request. Dining: There provide room service as well as in house dining. Staff: very cordial , polite and helpful.  There was someone to accompany us all the rope way to Auli. Ambience: Carefully handpicked and beautifully maintained. Feels like being at home.  In short we got a lot more than we had expected.We have promised to come",rite2amrita,/Profile/rite2amrita,"Pune, India",50
joshimath1,"We booked 1 deluxe and 3 swiss tent rooms on twin sharing basis when we went to Joshimath in this hotel. The hotel staffs (Vinod, Anil and others) were so friendly right from inquiry of accommodation, to booking, to check-in until check-out. They are approachable for any queries related to local temples and other sight seeing places. They kept reaching us over phone during the day of check in to help us reach their place. They sent route maps through whatsapp. They sent menu card asking for our orders to keep the food ready while we check-in. This resort is about 1 km away from Joshimath on Auli Road. During check-in and check-out, staffs helped us with carrying luggages to room and to our cab. Hotel manager gave us another deluxe room without any extra cost as it was available",Srinivasan S,/Profile/ssrini21,"Chennai, India",50
joshimath1,Resort Dream Mountain situated in the outskirts of Joshimath. Very well maintain property by resort owner Mr. Fonia. Manager Sohan also humble person who carry out all your orders smoothly. Hill facing ambiance is awesome. Deluxe Tent also clean & nicely placed. They served vegetarian and non-veg food and the quality of food was OK.,Sarathi Tours,/Profile/DattarajK,"Mumbai, India",40
joshimath1,Good place to stay away from city noise. Also market is easily accessible from hotel. Good & staff service and enjoy home cook food. I would recommend others to try the tents in Dream Mountain which we missed because all of them were booked. You can also enjoy the bonfire in the night.  However my one suggestion to Dream Mountain would be to improve the quality of rooms.,amitchatterjeea,/Profile/amitchatterjeea,"New Delhi, India",40
joshimath1,"A Lovely resort tucked high up in the hills with great food and great service. We opted to stay in the deluxe room than in a tent and found the himalayab interiors lovely. It is a great place to wake up in with a fantastic view of the mountains. Our only regret was that we did not spend enough time here, enjoy the blooming flowers and the majestic mountains. It is the ideal place to rest after Badrinath journey",Divya7,/Profile/Divya7,"Chennai, India",50
joshimath1,Room were having great view of Ice covered Himalayas.Staff was very friendly.food was excellent.Good place for family with kids.My kids enjoyed the pine tree collection.Property was well maintained.Heaters were provided for room heating.,RajuNagula,/Profile/RajuNagula,"Reston, Virginia",50
joshimath1,It's a super cute place . High service . It's like a home away from home . We stayed in the luxury tents . They can be cleaned better . We saw their super deluxe rooms and they were fab. We did not get those as they were full. The place has a lot of flowers and lovely views . Tents are not for the elderly - there are a lot of steps. The staff and manager is very very nice . They also make for you whatever you want . ,sarikagr0ver,/Profile/sarikagr0ver,"New Delhi, India",40
joshimath1,"The staff were incredibly nice to us during our entire time there. Right from giving us their most comfortable tents, to serving warm, homemade, tasty food, to arranging vehicles for us to travel around, to arranging a guide for our trek, to putting the biggest smiles on our faces when we left, they did their very best for us!  We had had a horrible experience with our cab driver on our way to Joshimath. We were unable to reach there on our first night. But, the people at Dream Mountain Resort were kind enough to not charge us for the first day. Even though we had made our advance payment for that day earlier, they were incredibly nice to no not charge us.   The resort in itself is very beautiful. It is very neatly maintained, super comfortable and has an amazing view of the",Roshini K,/Profile/RoshiniK17,,50
joshimath1,"I have recently stayed in this property with my friends. This place is simply awesome the view from the resort is breathtaking the staff of the property is cooperative. Owner Mr. Vinod and his father both are very nice person. we stayed is tents it was such a peaceful and memorable experience that we had. just 1 input is to improve food quality n options.  Thanks Mr. Vinod, Mr. Sanjay for wonderful stay....it was awesome cheers.....",Vjha,/Profile/vjha848,India,50
