location,review,name,user_profile,userloc,rating
joshimath1,I would like to recommend GMVN for anyone staying in Uttrakhand on pilgrimage. Hotel in joshimath is near Adi sankaracharya ashram and one could feel the energy there. The hotel manager Sushil is very kind and excellent individual who had helped me to book other hotels enroute my spiritual journey to kedarnath. Highly recommend this place . God bless and look forward to my next visit . Keep doing the great work everyone .,Balagi C,/Profile/balagic,"Dubai, United Arab Emirates",50
joshimath1,"the restraunt guys are wonderful and service oriented.. But , again , you need toorder 45 minutes before you want to eat!! The geyser should not be on for  a long time!! else you need hotel guys to fix it back. the contact no is 9568006668. you  can call this no to confirm your booking. you can visit both Adi sankaracharya  mutt( through back door in hotel complex) and Narasingh temple( divya desam no 105)",sarangarajan t,/Profile/sarangarajant,,40
joshimath1,"very good service, well decorate & clean room. hotel staff is very familiar, Manager behave is like a friend you meet after a long time, such a beautiful experience. GMVN is one and only good options for staying at garhwal.",ravinegiarc,/Profile/ravinegiarc,"Dehradun, India",50
joshimath1,"I visited this place around 16th of May with my friend Ravi during our Satopanth Trek... I usually visit this place during my various trips to the Himalayas and stayed here few years back too.... The plus point it is located at the very center of town from where one can go an easy walk to Shankaracharaya temple and cave, Narsingh temple and to the Highest and longest cable car......  Beautifully renovated the old rooms and of course a homely restaurant with some nice texture finishing... Very cordial and helpful kitchen staff,food quality is simple but very good with taste and give you a homely feel.... the guy at the Reception Mr. Vijay is very nice and helpful Guy.. Always ready to listen you and ready to sort out if there are small issues...  Economy rooms are true justice to",Dinesh U,/Profile/248dineshu,,50
joshimath1,"We got only Economy rooms in the ground floor. But, it was more than enough and rooms and bathroom were very neat & clean. Front office staff were very polite and cordial. Restaurant is too small, to accommodate only 4 small groups at a time. So, we need to order our food beforehand and once ready you would be called for dining room. Main advantage of this hotel, is, it is in the main bazaar. parking facility is available. There is another GMVNL in Joshimutt, which is in outskirts. Blankets were good enough for September chillness and hot water was available",SriniThiru,/Profile/SriniThiru,"Chennai, India",40
joshimath1,"Forget the old rooms as TRH (main bazaar) joshimath is now newly constructed with all the facilities, classy clean rooms, beautiful washrooms, clean walls and sheets, hot water, friendly staff (starting at Rs.990/-). On the main bazaar with good food options as well. The only thing missing is the view. Rest is value for money.  Note: Book dorms if you like it (if in a group). Its dirt cheap, beautifully cleaned with locker facility and well maintained as well. Only 8 beds.",HOMPRS,/Profile/HOMPRS,"New Delhi, India",40
joshimath1,"Stayed here in the month of April was with family members. This stay offers good option in joshimath town which do not have many better option than this one. Location is a plus point due proximity to bus depots, taxi stand and markets.  Coming to property it is a basic guest house kind option mainly used by tourist as stop over in char dham pilgrimage. Rooms-bathrooms are basic & modest in terms of size + cleanliness.  Since they get occupancy not round the year and weather is harsh half of the year you can expect this sort of things. Bed & linen are okayish type.  Staff is friendly but services are at god's mercy.  They have got attached restaurant which offers fresh / hot / delicious meals at reasonable prices.  Tariffs are in range of Rs. 1000-1500 depending upon season and",Manandani,/Profile/Manandani,"Mumbai, India",30
joshimath1,"Good things about this hotel is good & helpful staff,economical food prices & proximity to main bazaar & bus stand. We stayed in this hotel as we had plans for skiing in Auli next day. Rooms are ok & not well maintained, offers modest accommodation.Choose a better place if its available, nevertheless happy with its service. Travelled with friends in Nov-Dec 2016.",jatinsmehta,/Profile/jatinsmehta,"Mumbai, India",30
joshimath1,"It is a modest accommodation but never the less quite cheap and easy in access. We continue to be happy with their service :) Hotel is in the middle of the main market, walking distance from main bus and taxi stand  Staff is very good. Food is average. Rooms are ok and can get other hotels in main market which are far better in quality and that too in the same price.",Nirmit S,/Profile/NirmitS15,,30
joshimath1,"Good Thing about the property: In the middle of the main market, 1-2 mins walking distance from main bus and taxi stand  Staff is very good and helpful.  Food is at very low price and good as well  Bad points: Rooms are not well maintained We have other hotels in main market which are far better in quality and that too in the same price",Deepak P,/Profile/116deepakp,Mumbai,30
