location,review,name,user_profile,userloc,rating
joshimath1,The hotel rooms are good clean and service is appreciated... From room service till breakfast all were good... Hotel manager Mr. Brijesh brisht a very polite person and people working under him are all well polite and behaved ..a bonfire arrnagemnt is provided in terrace with music arrnagemnt... Food taste are awesome... ,prashantsoumiya,/Profile/prashantsoumiya,"Mumbai, India",50
joshimath1,"We stayed for just a night here but the staff pampered us. Within minutes local cuisine was arranged for us and to keep us warm they treated us with camp fire.  In the morning we were treated with a sumptuous breakfast. And when we thought we were done with their hospitality, manager Brijesh along with Mohit Rawat went beyond their call of duty. Since it was a Sunday and due to some strike all the ATMs were shut and we needed cash for the ropeway, they went out of their way to arrange cash for us. Special mention just for their staff who make the trip memorable.",Laxmi Negi,/Profile/Laxminegikarkera,,50
joshimath1,"Hotel Auli D has one of the best rooms and service available in the entire joshimath. The staff is very cooperative and friendly. The rooms are extremely well maintained and tidy. You get hot water anytime you want. The food here is amazing as well and I made sure that I complemented the chef enough for it. Next time if you are in Auli, do stay in Auli D and nowhere else for an amazing stay.",Manvendra s,/Profile/Manvendras8057,,50
joshimath1,"If you are travelling to joshimath and looking for a stay which serves you best , Auli D resort is the best you can get. Also i had my best meal through out the journey over here. Good staff & Services. Like to thank MOHIT RAWAT and Manager Brijesh to help with the need. We had an amazing time here and we’ll definitely visit again in the future.",Lalit Verma,/Profile/lalitverma7674,,40
joshimath1,Very nice hotel with nice location  Food quality is the best and the staff's behaviour with the guest is very good and a very near to Auli Ropeway. Must visit when you come to Auli or Joshimath.Best time to visit in winter,Meet,/Profile/Mjs9174,,50
joshimath1,"From Initial Hello to GoodBye..   Hotel Auli'D (joshimath) live up to expectations and beyond.. it's having a great location to set up a base for exploring the Joshimath, Auli and Badrinath...   # Its Distance from main market is 5 min by car or other convience and half n hour on foot.   # The Rooms are beautifully furnished with particular attention for best comfort.  #Music  #Bonfire  #Delicious Food  #24*7 service availability  #petrolpump is also nearby.   # Mr Mohit Rawat and his teams were super accommodating and the best kind of hosts and we had everything we could’ve possibly needed.   #We appreciated the personal greeting, attention to details and tips on how to spend our time..  #We had an amazing time here and we’ll definitely visit again in the future.  # A great",vikRant,/Profile/Vikrantvishu,,50
joshimath1,"Food was amazing for budget.Staff was very cooperative and active,they were very helpful and also guided us with our tour plans. From our window we could see the mountains, every morning it was a pleasure to watch the scene from window which was another amazing thing",Kajalsingh531,/Profile/kajalsingh531,,50
joshimath1,"Hotel Auli d at joshimath Very Very Nice hotel, Neat, Clean, Food is very hygienic, tasty. Staff of the hotel mohit ravat, brijesh is very cooperative and always active to provide service to customer. Location of the hotel is view with beautiful snow caped mountains. Off course it's budget hotel with good services . Thanks to mr. Subhash Dimri owner of the hotel for personal attention to customers.",Prashant Sahasrabuddhe,/Profile/prashantns,,50
joshimath1,"On arrival we were escorted by staff members to our room. Furthermore the hotel provided us hot honey lemon ginger  tea *on* *the* *house* (welcome tea), as we had a very long journey and the temperature was dropping. I found it very courteous. Buffet was fully organized and food was very good.  Hospitality : 4/5  In this extreme temperature they were giving best to their guests.  They provide free parking unlike many hotels in Joshimath so no need to worry.   *Best* *part* :: They provide you a common room where facilities like in-room bonfire,indoor games and music were provided.  The location of the hotel is pretty amazing as Nanda Devi Range is clearly visible. PS: Sunrise from the common room is something else. Something you should see.",Priya,/Profile/priya_1910,,50
joshimath1,"We stayed there one night , rather we had to stay there for one night on the way to Auli. Experience was Awful.  Bed & Pillow cover full of stain, We asked them to change, it was changed and new one also same. They charge for Heater in room, fair enough but they switch it off 11 PM at night & they never informed us when we pay for it around 9PM. We could not sleep whole night. Temperature was around Zero degree. Food was limited & awful.  There was nothing more to say about service. We booked our trip thru GeTs Holiday, I will write a review about total arrangement separately.  Thank you  Arnab",Arnab B,/Profile/543arnabb,,20
