location,review,name,user_profile,userloc,rating
joshimath1,"Went to Joshimath during Holi holidays, stayed there for 2 nights, Auli Ropeway is near by about 500-600 mtrs. Hotel is newly renovated hence its clean, food was also awesome, along with the servicing staff. Parking is also ample so no worries.",Vikymania,/Profile/Vikymania,"Sahibabad, India",40
joshimath1,"The staff opened the room and vanished, and we had to discover where the mains are as rooms had no power. Complimentary breakfast includes just two slices of bread. Hotel is in market area full of noise and no scenic beauty. Only good thing is decent clean rooms. ",Abir Basak,/Profile/abirbasak,"Bengaluru, India",30
joshimath1,"Good food best in joshimat, Facilities are best , clen room dormantory also best Auli is best they provide all facilities. Even tv and hitter. Near by rope ,they will arrange all tocket. Also they have all view of mountain",Curiosity330968,/Profile/Curiosity330968,,50
joshimath1,"We visited Auli in the month of December, 2019. We stayed at the GMVN Auli Ski resort . The service provided over there was simply amazing. The staff was very helpful and friendly. The food was great. And the location if this hotel is mind blowing. The chair ropeway counter to reach the Auli lake and mountain top is also situated here. We were lucky enough to have witnessed snowfall here which was a first in our lifetime experience. Our stay here was comfortable and amazing. We are taking back any treasured memories.",Shrestha D,/Profile/267shresthad,"New Delhi, India",50
joshimath1,We visited in 2019 January when it had snowed heavily owing to which there was no electricity or water supply in rooms which made the stay difficult. There was no water supply even in washrooms. Staff was courteous to supply water using buckets but with 4 inch of snow around that too was not enough. Avoid the place during winters especaillay if has been snowing for days.,Rohit_Nayal,/Profile/Rohit_Nayal,"Mumbai, India",30
joshimath1,"Four of our family stayed in Jyotir Tourist Complex in Family Suite from Sept 14th to 16th, 2019. We found the hotel very neat and clean, friendly and courteous staff, very good room service. Food was excellent. Manager Mr Bisht was an excellent host, who took care of us very well in making our stay very comfortable. A Highly recommended place to stay on your way to visit to Badrinath, Valley of Flowers and Hemkund Sahib.",Shantanu Banerjee,/Profile/BURODA,,40
joshimath1,"Jyotir complex was my hub during visit to Badrinath. Finding hotel is little challenging at the beginning as google was showing different directions. Hotel manager guided us fine to reach there. The rooms are big with basic amenities. The view from rooms are beautiful. Food is basic. The staff is co operative. The Jyotr math and Auli ropeway is walkable distance. There is shortcut to reach Narismha temple from hotel, but we preferred cab.",Rishikesh,/Profile/RishikeshP31,"Greater Noida, India",40
joshimath1,Stayed here on 31 May for one night before going to Auli and Badrinath. The A.C. room in which we stayed was huge with lushful interiors and modern washroom. All modern amenities were available including free wifi. Hotel staff were co operative and helpful. The location is prime near Narsingha temple. We suggest everyone to stay here whenever in Jashimath.,201411pp,/Profile/201411pp,"Naihati, West Bengal, India",50
joshimath1,"Excellent location.. well maintained rooms.. cooperative staff.. views are excellent when you are upstairs, delux rooms. Economy rooms are on the back side along with wall. On the front of the hotel, you can enjoy, the ice laden Himalayan view.. But locating this TRH, was not a pleasant experience, with no board or direction on route to this place.. you have take help of local people.. the narrow elevated  path from the main road  leading to this place is easy to miss..  Food are so so. Not good experience with Chinese.. You can explore the nearby market for snacks and fruit.. Prompt room service.. liked the ambience of dining space...",191smita,/Profile/191smita,"New Delhi, India",40
joshimath1,"If you are planning  to book this guest house, please try to reach Joshimath before  7pm otherwise you will not able to reach this location due to heavy traffic, using your own vechile. Guest is good and have all the facilities which is required for a family/traveler. ",AmitDubey,/Profile/TheDubey,"Hyderabad, India",50
