location,review,name,user_profile,userloc,rating
joshimath,"We visited Kausani in February.  This is a great time to see the panoramic Himalayan mountains. Our room was spacious and clean. The manager was always there to help when needed. Our room service was efficient and the food was good value and delicious.The position on the ridge is perfect,view of the mountains from our bed. Walking distance to town and forest walks.",Christina Sweeney,/Profile/Tallis2020,,50
joshimath,"As soon as the car stopped outside the hotel, I rushed to see the snow capped mountains! The balcony and the seating area was so beautiful, as soon as we entered, we saw the view and became breathless, after which we started with our lunch and believe me, everything about this hotel is amazing.  The rooms were spacious and beautiful, food be it veg or non veg it was equally great. And the staff was so humble and kind, special thanks to Pawan and Deepak bhaiya for making our trip so easy and beautiful.  Definitely going back again!",Simran Bagga,/Profile/Simranbagga21,,50
joshimath,Must to stay at Kausani. It is located at best location of Kausani from where great Himalayan peaks can be easily seen from the balcony as well as the rooms. We tried local Kumaon food which was tasty. Staff was very friendly which helped us to identify the peaks and understand the local geography. ,rajat20,/Profile/rajat20,"Binsar, India",50
joshimath,"Well this is one of the extremely RARE instances where a TripAdvisor rating (Of # 01) failed to get me into a good place.   Based on the photos of the property available online and the high ranking I booked a THREE-night stay at this property.   A long nine-hour journey got us there in the evening but sadly it turned out to be a big disappointment. To start with a big group was occupying the rest of the rooms at this small property. And unfortunately, they had ZERO civic sense. They were very loud and their children were out of control. The whole Hotel felt like a TAMASHA.   The hotel is managed and run by a group of young amateurs and there is no senior management at this property. The front desk boys told us that there is nothing they could do to control these people.   While",SanjaySharma_69,/Profile/SanjaySharma_69,"Noida, India",10
joshimath,"We stayed here for a night halt on our way to Munsiyari.   Booked this place beforehand due to good reviews. However, on reaching found that it was probably overrated due to the view this place offers. Due to bad weather, we couldn't enjoy the views.  Rooms are quite spacious but needs more maintenance. They offer good quality food. One can also try local kumaoni delicacies.",Arundhati2015,/Profile/Arundhati2015,"Kolkata, India",40
joshimath,"Kausani is best known for its panoramic view of the great Himalayan peaks spread across India to Nepal. The best place to witness this truth is Kausani Best Inn. There are many ""BEST""s hidden in this name. The best thing to do at this place is doing nothing, and simply experiencing the beauty of nature. The location is perfect as it is bit far from the hustle and bustle of the town center. You will always be accompanied by the cacophony of the chirping birds and chorus of the passing by winds through the pines and oaks. You just have to choose your place, pull the chair, sit back comfortably and enjoy the entire view from valley to top of the peaks in one frame. You can witness the different colors of the Himalayan peaks from dawn to dusk with changing angles of the sun rays. Do",Abhishek,/Profile/travellerabhi1812,,50
joshimath,"This was the latest of our many stays at Kausani Best Inn and, as always, it was the location combined with simplicity of experience that made us go there. Food was no frills but delicious. Service absolutely prompt and courteous. They have added 5 more rooms to there earlier 8 rooms and, amazingly, each and every room offers that wonderful view of the Himalayan ranges.  On the first morning we could get a good view  of Trishul in the morning and also a glimpse of Nanda Devi. All in all, highly recommended hotel.",kushalyadav,/Profile/kushalyadav,"New Delhi, India",50
joshimath,Best in class and view. Awesome place to stay in kausani. With best Himalayan range view. Fresh oxygen to breathe with no dust in the air. Should visit once and enjoy with your family and friends. Good food too. If you miss coming here u miss the world view.  Pavan mehra he was one of the best manager who guided us he was helpful too. Here he showed us the lemon tree. Totally properly maintained place.,Anil M,/Profile/anilm819,,50
joshimath,"A very nice place to stay. Lovely views of the entire mountain range.   The rooms are nice, spacious, clean with facility of hot water.    Good food, freshly made and tasty.   Very good, courteous and helpful staff.",Binaifer B,/Profile/TravellerBinaifer,"Mumbai, India",40
joshimath,"Picking ""Best Inn"" to stay at Kausani was one of my best decisions.  First of all, the hotel's architecture is incredibly admirable. If u get to stay on the first floor of the main building, as I did, u would love the skylit wooden roof.  Secondly, the location: The hotel has the greatest view, and from every bedroom one could see the snow-clapped Himalayan range. Just imagine urself waking up in the morning to see the sparkling white Nanda Devi peaks from ur bed wrapped up in warm blankets -- ""it's unadulterated heaven"". Third, the food and hotel staff. They are the warmest people, vivacious, extremely friendly, will make u feel at home, and at the same time thorough professionals. Do I need to say more? Naah, this is after all the best place to stay at Kausani.",Sudhakar,/Profile/Sherloqed,,50
joshimath,Kausani Best Inn Best place to visit for nature lovers 🙋 and couples👫 Worth the price for the outlook of the hotel😉 Prefer to visit during snow fall seasons✌ Especially the view point of hidden Himalayan peak into the fog was mesmerizing to start the day😍,Surya,/Profile/Surya_the_explorer,,50
joshimath,"Small but cozy hotel. Uninterrupted view of mountain range. Cordial staff. Only improvement area, please fix a door in dining hall. Without that at a Sub-Zero temperature  having dinner is very inconvenient inspite of brilliant food. But overall very satisfying experience. ",bsaikat,/Profile/bsaikat,"Kolkata, India",40
joshimath,"Undoubtedly is the best place to stay in Kausani I believe. Only because of the reason that it has the best view of the Himalayan range. Staffs are well behaved and friendly. Service is good and depends on the hotel's crowd. It becomes slower if the guests increased. Parking of vehicles will be outside and on the hotel adjacent roads, although not a concern as per my reading. Only drawback is the food here. We didn't like any of them they offered during our stay there for two days. However, I would still recommend this because Kausani is a place to feel Himalaya and to breathe it every time...and Kausani best inn is the best one to make you do so!!!",Abhishek_Chakrabarti,/Profile/Abhishek_Chakrabarti,"Calcutta, West Bengal, India",40
joshimath,"A lovely, cosy hotel with a very warm and friendly staff. Took good care of me. Wonderful and awesome views. Must specially mention Pawan jee and Harishchandra jee for their utmost care and cooperation. Thank you Pawan jee. A must visit for all.",Madhumita,/Profile/Adventure29809382689,,50
joshimath,Had read about wonderful reviews of this hotel on Tripadvisor and hence opted for this hotel. And surely it did not disappoint us. All rooms have a view of the valley and of the mountain range. Food is wonderful and we opted for kumaoni style which was really good. ONe of the best options for travelers to choose this wonderful place. Nonetheless a special thanks to Pawan who played the perfect host in taking care of people.,Anupam C,/Profile/anupamc2014,"New Delhi, India",50
joshimath,"Stayed for 2nights on October 2018.Excellent location and view of white Mountain range.  Staffs are very proactive and cooperative. Food quality is excellent. Thanks to Mr. Pavan, manager for excellent hospitality. Parking space available.  ",basaksumit,/Profile/basaksumit,"Kolkata, India",50
joshimath,We hadn’t booked and just drove around looking for a place which looked nice . Once we saw it I looked it up on Tripadvisor and it looked decent . We had a wonderful experience . All the rooms and balconies have stunning views . Mr Pawan Verma who is the manager was very helpful including having an authentic Kumaoni dinner made for us . He also chatted with us and told us a little bit about the region . I will take away very good memories if this stay . ,doitwhileyoucan71,/Profile/doitwhileyoucan71,"Mumbai, India",50
joshimath,"Opted for this hotel based on TripAdvisor review. It was great sxperience. Rooms are spacious and airy, staff is friendly and food is like home cooked. My senior citizen parents felt very comfortable. I opted for ground floor but if knee is not a problem you should go for top floor. The manager was really attentive to our needs and eager to educate us on kausani. Recommend this place highly",S R,/Profile/828sr,"Kolkata, India",50
joshimath,"I stayed at the hotel for 3 nights with my family and had really good experience. All the hotel staff were very helpful and served the guests with a smile. The Manager, Mr Bachhan is really a great person and provided all the relevant information about the place and the hotel. Foods are good and the best part is they can customised the recepie as per guests requirement. All the meals were made less spicy and less oily as per our request.  The overall ambience was good at the hotel. All rooms are Himalaya Facing and no need to go for any room choice while booking. Rooms are clean and specious so as the restrooms. Ideal time to visit during October and March. ",ArindamSaha,/Profile/ArindamSaha,"New Delhi, India",50
joshimath,Rooms  are specious and the location of hotel is awesome.every room of resort has beatiful Himalay mountain range view of 360degree.staff is vry co operative n cleanness in room n resort is vry good.one can stay with family n can enjoy fabilious view of himalyay mountain.food is so so.,sgandhi892,/Profile/sgandhi892,"Mumbai, India",40
joshimath,"When we (me & my wife) visit Kausani, we stayed this place for 1 night which was so wonder experiences for us. The staff was so friendly & helpful. The hotel amenities was perfect. The best thing was the view of Great Himalaya from the room.",Kazi Rashidul Hasan,/Profile/boundule,"Dhaka City, Bangladesh",50
joshimath,"Trust me this hotel is the best hotal in whole kausani. There are other hotals too will really high price teriff but this one is not like any of them. Rooms are super spacious. Location is absolutely best. Best of all the services and staff here is awesome and very courteous. Best location, best price, best service and good food quality. Owner of the hotal Atul Mehra is down to earth. Don't think twice if this hotal have rooms available then you are lucky. Go for it. ",Nirbhay S,/Profile/nirbhays2015,,50
joshimath,"Room was neat and super spacious with 24 hrs hot water,The view of the himalayan range from the room itself was spellbounding.I thank the entire staff for their on time services and going offway to make us feel comfortable.Food was super tasty specially the local Kumaoni one.",tonyjohn777,/Profile/tonyjohn777,"Sahibabad, India",50
joshimath,"So our most awaited trip was the best one due to this amazing place where you will feel like heaven and the view to die for from each corner of this resort. Rooms are super spacious and clean with the food to crave for more. We reached there at afternoon as our train was late and we were dead tired due to whole night travel from delhi and then 5-6hrs exhausting road travel from Kathgodam to kausani but thanks to our taxi which we booked for 3days too n fro. Food here is so good starting from butter chicken,roti,adrak vali chai ,cheese balls,allo puri everything. This place is surely for those who are looking for divine peace,majestic beauty and a place to experience magical moments. Nights were freezing cold as compared to days. But here Mr. Bacchanji makes sure that your stay",Roma M,/Profile/romam907,New Delhi,50
joshimath,"Visited Kausani towards the end of September with Family and had one of the best stays in this hotel. A beautiful resort which is extremely well maintained. Rooms are quite big and clean. The view of the Kailash range is absolutely breathtaking from this hotel. The hospitality and food offered made it difficult to say goodbye to this place after 2 days. Mr. Bachan, in charge of the resort is an absolutely amazing human being. His love and affection is hard to put in words. Will definitely go back to this place in future.",Sourav P,/Profile/SouravP60,Kolkata,50
joshimath,"We had an awesome stay. To sum if up for new travelers Rooms are pretty nice The view is simply spectacular.  Staff friendly  Value for Money Food was nice Their are few more hotels connecting the same road and providing the same view, but personally I feel that this hotel simply beats them in terms of ambiance and value for money.",Pranav S,/Profile/PranavS180,"Mumbai, India",50
joshimath,"What a lovely hotel it is.. awesome view of The Great Himalayan Range from the balcony or from the room. Hotel rooms are nice, big is size.. hotel staff is extremely helpful. Food quality is really good",PARTHA A,/Profile/ParthaAcharya,"New Delhi, India",50
joshimath,"Perfect location, peaceful, fantastic views, well maintained, loving and polite staff!! .. what else do you need :)  Except one point... open space is very limited... does not matter though when compared to other offerings!!",geeta k,/Profile/geetaKadam,"Mumbai, Maharashtra, India",50
joshimath,"Hotel is located at great place. On  a cloudy day, you will find cloud floating through the balcony. The weather was bit a spoil sport during our stay and we could not see the sunrise. However the hotel provides some lovely view of the mountains making your stay memorable.",Sumitkumar_13,/Profile/Sumitkumar_13,Mumbai,50
joshimath,"I with my family had an wonderful experience staying there, it's the best you can ever imagine of considering the remoteness of the location, the quality that attracted me the most is the hospitality of the staff there and to top it up the viewpoint of the himalayas from the hotel rooms, the rooms were big enough and all were himalaya facing, the hotel food was yummy and plenty.",Partha Pratim Sarkar,/Profile/parthakolkata1,"Sonarpur, West Bengal, India",50
joshimath,"I stayed in Kausani Best Inn for 2 days in May 2017. Kausani is truly amazing place and hotel Best Inn is feather in the cap. Location is great, hospitality is wonderful and food is amazing. Hotel management staff Baccanji, Pawanji, Deepak are not only managing hotel in excellent manner but also always eager to help guests in everything possible. They suggested couple of places to visit during my stay and it was amazing trek. One can see great expanse of Himalaya from the room itself and surroundings are great from bird watching perspective. Full marks to hotel best Inn for making my stay memorable.",rahulsjoshi,/Profile/rahulsjoshi,"Pune, India",50
joshimath,"Kausani Best Inn is among 3-4 best hotel as far as view is concerned. We stayed during our Kumaon trip in 1st week of may 2017. Hotel is 0.5 km before KMVN. This property located on higher mountain of kausani, thus gives it a advantage of viewing trishul peak and other himalayan peak. We have seen entire Himalayan snow peak mountain from our room balcony in the morning. Mr. Bachan and Mr. Pawan is kindest person I have ever met. Rooms are spacious with two side balcony. Bathroom are neat & clean. Hotel having 2 floor and 4 rooms on each floor. B/F; Lunch and dinner are well prepared and hot served. Reasonable priced and superb food quality. Thanks Mr. Bachan and Mr. Pawan for the sweet memory I'm carrying for room, location, food, and making my visit a memorable one. Other",sanjayvora45,/Profile/sanjayvora45,"Ahmedabad, India",50
joshimath,Overall this is one of the best property to stay in kausani.Most of the rooms have the beautiful himalayan view.The place was so calm and quiet.We enjoyed the food though the quantity was not enough and it was expensive.But we all together spent a fun filled stay in kausani.,RiaMDasgupta,/Profile/RiaMDasgupta,"Kolkata, India",40
joshimath,I was on solo bike trip to kausani from delhi...really liked this property...rooms are quite big and spacious. Location is very good away from city centre in a peaceful and beautiful location .Staff is very courteous and helpful. Overall it was greattttt....,amitt7,/Profile/amitt7,,40
joshimath,"Listening to sounds of Birds and overlooking the Himalayas, here I am as a wanderer who checked in Kausani Best Inn as a back packer solo traveller.  The place and the Staff delighted every minute of the stay . Though not trained in hospitality thier services and nature was as courteous as any branded hotels .  A special word goes to the Manager Mr. Bachan Arya. He walked around a Km with me showing the jungle shortcut to the Gandhi Ashram . Beautiful treck uphill through the jungle . When I was getting late in evening the gentleman was even courteous to ask if I have not got stranded and was ready at gate with his mobike to come for rescue .  The rooms are clean and spacious . It's a smaller property with 8 rooms . For Technology dependent junkies like me who need good 3G",Jyoteey J,/Profile/JyoteeyJ,"Janakpuri, India",50
joshimath,"We stayed at Kausani Best Inn for 2 nights; booked this place based on the reviews and I must say it exceeded my expectations. To start with , the location is amazing and the snow-clad peaks stare right in your face from anywhere in the hotel premises. You get views right from your bed itself. The first floor rooms have balconies whereas the small lawn at the front of ground floor rooms serves as nice sit-out area. There's a dedicated car parking as well. The rooms and bathroom are very clean and spacious. There are large glass windows for the views. The staff and service are the best part. The staff is very polite and eager to help; even with full occupancy we felt well-attended. The variety and quality of food is also good. Overall, we were very satisfied with our stay and",Mandeep S,/Profile/Mandeep727,"New Delhi, India",50
joshimath,"This is the Best hotel in Kausani perhaps! Beautiful little hotel on the hills, great view of the valley below and the Himalayan peaks! Sunset, sunrise, moonrise, you have it all here! Rooms are nice and clean, spacious too! Clean bathrooms! Wi fi is a bit weak though! The balcony is by far the best I have seen of any hotel! The staff is nice and courteous! And last but not the least, the food, it was finger licking good! Do try out the Kumaoni cuisine that they serve. We shout about organic food and pay good money to have them, here the hotel serves organic food at such cheap rates! It's more than a value for money! Special Mention: Chicken soup, the best I have ever had! ",Devjyoti C,/Profile/devjy0tic,"Kolkata, India",40
joshimath,"With 8 basic but comfortable rooms, offering stunning and unrestricted views of the Himalayas, a friendly and eager-to-serve staff, this place is definitely value for money. You get a panoramic views of not just the Himalayas from Chaukhamba and Kedarnath peaks to the left, the majestic Trishul bang in front to the Panchauli group of peaks to the far right.   Enjoy the sunrise of the sunset and watch the valley below light up as the villagers switch on their lights after the sun goes down. We were blessed with the supermoon on Nov 13 for unmatched views of the peaks bathed in bright moonlight.  The kitchen serves Kumaoni food and the rotis made from the local Mandwa (red barley) is not to be missed. The staff are keen to serve and make your stay comfortable by being prompt,",NileshKorgaokar,/Profile/NileshKorgaokar,"New Delhi, India",40
