location,review,name,user_profile,userloc,rating
kangra,"Without doubt one of the favorite resort I stayed during my time in Dalhousie! Upon arrival we were warmly welcomed by the staff . The staff was extremely friendly, the restaurant very flexible (appreciate this!) and the restaurant supervisor deserves a special thanks. We had one great night here, which obviously also added up to the experience and Memorable with unknown guest . The second day we did a village trekking which was guided by Khan sahab, who works as a private tour assistant in the hotel as well. Khan sahab is such a warm personality and familiar with us easily in trip (recommendable!). I truly enjoyed walking the the hills . The scenery was beautiful and it was a relieve to walk in such a quiet and peaceful environment. The natural bath on the end was a great way",suneel Sharma,/Profile/stunningvivaan,"Kanpur Nagar District, India",50
kangra,"Well, we always wanted to stay at this resort and hence booked it for our trip to Dalhousie May 19-21st 2020, 5 rooms for 5 families. Apparently everything was picture perfect until the lockdown started. The bookings were refundable and we cancelled from Alps website on Mar 25th. The credit was supposed to happen in 7-10 days and we are still waiting. Innumerable phone calls were made, emails sent, no response. Every individual on this planet is perhaps going through the most difficult phase of their life. On one hand, completely emphatize with Alps authorities and we believe they might be closed now. But on the other hand, everybody is running the show from home, be it office or business, using digital mode of communication. So, response to emails is a very realistic ask from a",Rajarshi,/Profile/raj01172,"Kolkata, India",10
kangra,"Even before actually reaching there I was assured that my stay will be nice. I have a handicap.... six screws fixing my left femur bone... i enquired as to whether there were  stairs to reach the hotel... Ravi Verma had informed me that two guys will take me up....I said i will do my best to climb the stairs... and I did it when I was there.. very nice team was there to make my stay one of the best I have had..... it was my first experience with snow... nice people, nice food and nice room. On the next day my taxi was stuck in the snow on my way back to the hotel....the owner ...Rahul personally came to rescue my wife and myself... The night fire and the hot coffee was of great relief... The snowy surrounding of the resort was a nice experience to start with before actually",Relax456932,/Profile/Relax456932,,50
kangra,"Hi My wife & myself had stayed in Mar 2020. The reception staff Mr Ravi / Mr Aasif where very helpful with information & other things. Rooms & bathroom were very clean & tidy. We loved the open garden were we had our breakfast. Mr Pawan who looks after the dinning part was also very cooperative. What ever you ask him he would get it for you to eat. I would happily give 6 point out of 5 to this hotel, i am not joking. I would prefer to stay again when i visit Dalhousie. We checked many hotels online but we could not find any property like Alps resort. I once again thank you Mr Ravi / Mr Aasif & Mr Pawan to make out stay very very pleasant. We will see you soon in near future.",Ashish,/Profile/ashishpokar,,50
kangra,"Bathroom stinks, door knob broken, towels are dirty, food is ok with very limited options. Hot water rarely came in the bathroom and never during mornings. Breakfast is only available via order. There is nothing great about this hotel, it's an average property. But yes the guys working on hotel are hardworking and always willing to help.",Vinay1431,/Profile/Vinay1431,"Mumbai, India",30
kangra,"It's cold here and heater facilities are not sufficient. Bathroom are stinking . Linens and blankets are not sufficient to keep warm in cold here. Below average hotel.  Also some work was going on, so continuous noise was there",Pooja V,/Profile/645poojav,,10
kangra,"Awesome rooms with great food. Luxurious environment all staff very helpful. Room front view really pretty ,comfortable and clean . Office manager really nice helpful and cooperative hope we will come back next month 😊",Gagandeep S,/Profile/gugugill77888,"Ludhiana, India",50
kangra,Had a wonderful stay at the alps.beautiful lawn awesome view clean rooms clean bathrooms .view from the room was breathtaking.breakfast served by vicky. Overall very good experience highly recommend for families,Vijayata C,/Profile/VijayataC2,"Shimla District, India",50
kangra,"Very nice Experience with Alps Resprt, all services of hotel excellent, and food quality and test was superb   All tha staff and hotel Manager Ravi Sharma is very supportive in all manners  Hotel location is very good, hotel has garder, gaming instruments.",Arun Makwana,/Profile/arunmakwana,,50
kangra,Very nice staff and helpful with Ravi Varma Nice location Location vise good Nice food Good location All staff helpful Second time I will stay in alps resort I want stay in snowfall time depending on my luck,Hiren@123,/Profile/Hirenkumarkava,,50
kangra,"We stayed here for 2 nights with family The hotel location is very good, big lawn and swings for childs, staff is very co-operative , food quality and services are very good, special thanks to ""sanjay"" for his services and helps. Very good place if you are staying with family, childs also enjoyed a lot",Satnarayan,/Profile/sat_11114,,50
kangra,"""A great experience,  ""Rooms are well maintained with all time heater and hot water facility."" Location , service and staff are excellent. I stay here during February 2020 with family. it is a nice place on the hill top. Location is very good. Food quality is excellent and nature of staff is very cooperative.",Rajesh YY,/Profile/RajeshYY1990,,50
kangra,"This is one of the best place to stay in Dalhousie, though it takes extra 15-20 minutes to reach this resort, but it's worth the time. Rooms are big and spacious, resort is very big and good staff. Breakfast is very good.",NEERAJ J,/Profile/NEERAJJ218,"New Delhi, India",50
kangra,"Location , service and staff ll are excellent. I stay here during January 2020 with family. it is a nice place on the hill top. Location is very good. Food quality is excellent and nature of staff is very cooperative.  ",1234A5678,/Profile/1234A5678,,50
kangra,"We stayed at Alps for four nights and really enjoyed it during 9th to 13th Jan.  At the time of booking I was not exactly aware of the location which is excellent. It is about 2 km uphill from Gandhi Chowk which made our first experience of snow all the more special. Bright sun and fresh white snow was a sight to behold and we enjoyed the walk down from the hotel taking in the wonderful sights and sounds.  Initially there was some confusion during check-in and we were allocated a different room and we had to change it,  that was a small hiccup though as the staff is extremely polite and helpful.  We enjoyed the breakfast at the restaurant and cosy dinner in our room.  All the dishes were cooked well and tasted fine . A special mention about idli sambhar in breakfast, tasted",gaurav s,/Profile/gauravsO3770AN,,50
