location,review,name,user_profile,userloc,rating
kangra,"Me and my wife along with our 2.5 yrs daughter visited Mcleodgunj- Naddi during 23rd to 26th January. It was our 1st visit to Naddi as we want to witness snowfall. I would say we have never thought of something like this. A snow clad mountain just few meters away from your balcony. A quiet location in a remote village, where only silence prevails. It was that much quiet that you can hear the sound of winds hitting the pine trees. We have booked super deluxe room and opted for a early check in which they have provided on an additional cost if Rs 840. They have also arranged for pick up from Dharamshala on our request. The room was very very  spacious and well maintained. A room heater was also provided to cope up with harsh chilling weather. Since it was an off season no other",Nishant Sinha,/Profile/23nistri,"Hyderabad, India",40
kangra,I visited Dragon I last week and just loved my stay to the core. Such a comfy and beautiful place to spend your vacation. The location is superb and don't even ask about the adorable view. I recommend this place 5/5 for your stay.,Travelocorn,/Profile/Travelocorn,,50
kangra,The visit was private one with the family and we loved every moment of it. Suraj and his team made our stay very comfortable with best in class services and accommodation. They took care of the all the extra needs that were noted to them at the time of check in. This is the place to stay if you are looking for peace and tranquility.,Sukhraj Singh,/Profile/singhsukhraj191312_,,50
kangra,"Really Great place to Stay. Dragon I Resort.This hotel is located in Naddi Himachal.around 3-4 km from Mcleodgunj. beautiful Snow mountains view.and Sunset point is also Good.Rooms are very Spacious and clean. food is Excellent.Mr.Deepak Parihar ( Hotel staff) who handles all departments.very supportive person.kichen staff Shankar and Rajeev is also nice person. Overall Nice Hotel, Value of Money.",Dinesh chauhan,/Profile/Dincha30,,50
kangra,"Hotel is about 4 km from McLeod ganj. Our room was on top floor with balcony from where we got clear view of Dhauladhar mountain range. Sunset point is also just a km away.  Mr suraj, manager and his staff were very courteous and helpful and made our stay very pleasant. Food was also good. Facility for bonfire is also available. On the whole the place had a quiet and homely feel. Thanks to the management for making our stay enjoyable. ",niloufer c,/Profile/nilouferc1,"Navi Mumbai, India",50
kangra," It has got a magnificent view of the mountain.....see if you can get mountain facing room. there is a walking river trail, which was an adventure in itself. Go for it if you want some fun away from the burstling city traffic. Hotel rooms are average but staff is courteous.",Mohit G,/Profile/mfdmohit,gurgaon,30
kangra,"10&11june2019 , We two couples stayed in this resort. Top floor rooms were allotted from where We found ourselves just close to surrounding beautiful mountains even visible inside rooms and excellent view from the terrace. Good hospitality, courteous staff, excellent location made our stay unfortgable. Thanks to manager Suraj and his supporting staff for all the courtesy extended to us.would definitely visit this resort next time.",Hem AGRAWAL,/Profile/488hem,"Mhow, India",50
kangra,"I stayed at the Dragon i Resort in Naddi in Dharamshala during 5-7 June 2019. The resort is located near the Naddi taxi stand. The staff was very cordial and took care of all our needs. We took the room on the top floor which has a large balcony facing the Dhouladhar mountain ranges. The evenings and nights are pretty enjoyable with family. One can also get the bonfire in nights. The food was tasty and was available at reasonable cost. Overall, it was a nice property with great staff service and food.",Rishi Malhotra,/Profile/adventeriousbird,,50
kangra,"Great place to stay. Excellent location and excellent staff, Mr Suraj Kapoor is very hospitable. View from windows is amazing and it is very close to guna devi trek. Value for money and received more than expected",AniG50,/Profile/AniG50,"Mumbai, India",50
kangra,"This hotel is located in Naddi area around 3-4 Km from Mcleodganj. Hotel is located near mountain range with spectacular views. We stayed in Super Deluxe room (203) having separate balcony. Room is having all amenities like room heater, tea/coffee maker etc. Room is spacious , clean and having snow mountain view (Dhauladhar range). Hotel staff Mr. Suraj Kapoor who handles reservation department is a polite and supportive person. He  provided right information about room and booked the type of room we wanted. Other supportive staff Mr. Rajeev & Mr. Shankar are polite and always ready to deliver. They also have restaurant facility on 1st floor. Taste and quality of food is excellent especially Yellow dal :-) & Kheer. They always serve hot food. Their billing process is also",Sarang Pandharkar,/Profile/SarangPandharkar,"Mumbai, India",50
kangra,"I traveled with my college friends, and wow what the experience was it, everything was eye pleasing inside out, rooms were beautiful, they also have a facility of the bonfire which is really enjoyable, hotel staff was very helpful, overall one of the best experience.",Satyam Dubey,/Profile/satyam2dubey,"Bhopal, India",50
kangra,"Our driver met with a deadly accident and the staff helped a lot. I must say that everybody in the staff are superb, especially Mr. Deepak, the manager is quite a great human being. 5 members of the staff remained in the hospital in Kangra throughout the night until the relatives our driver arrived in the morning from Chandigarh. Everybody tried and helped with x-rays, Ct-scans, sonography, carrying blood and what not. Even paid from their own pockets in emergency and wished for safe recovery of our driver. I couldn't trust more to keep my family with 2 small kids back in the hotel while I was out throughout the night. Thank you so much. We had a good lifetime experience.",Nitin Pakhide,/Profile/nitinpakhide,,50
kangra,"The location of Dragon I is one with the best and mesmerizing view. Dhauladhar seems just at your arm's reach! The hotel has good facilities and rooms are clean as well as spacious. The food is not upto the mark.  I would definitely recommend this place for all those travelling to Mcleodganj. It seems difficult to locate at times on the map, but there are hoardings everywhere, so it wouldn't be a problem",Shreya Goswami,/Profile/Sya_rimi,,50
