location,review,name,user_profile,userloc,rating
kangra,"The rooms were very pretty and view was like on a honeymoon, ever so beautiful.  The manager had given us the perfect kind of hospitality. He looked after us right before we could check-in, till the time the baggage was being put in the car for an early morning departure back. Mr Ajay Jamwal, was very polite, well spoken with a very approachable attitude.  Im grateful for his presence during our stay. Thank you so much.  Regards, Khanna, Makhija, Shah and Jagwani family's!",A.M.P.M.,/Profile/Ampm1995,,50
kangra,"Hi, I stayed in this hotel in March 2020. This is a decent 4-star hotel. Had a very easy check in.  The room was clean and has heater running (happy to get away from cold) when we checked into the room. The room had a balcony with warning to keep door closed at all times. There were many facilities available in room like - free wifi, iron box, hair dryer, intercoms, television, etc. Breakfast had good choices of Indian and English breakfast with live omelette counter. We also enjoyed the dinner at The Orchard restaurant. Mr. Sathish the waiter had given good suggestions of food to enjoy there. Overall good and tasty Indian food.  In the hotel, they had many facilities like Gymnasium, yoga center, bar, spa, kids play zone (named as champions zone), travel desk, etc.  I would say",BKP-4P,/Profile/BKP-4P,chennai,50
kangra,"Amazing view from the room, good food by the chef with a wide variety of options right from your starter to dessert and very healthy options for breakfast .....great ....only issue is it lacks any mode of entertainment in the hotel else everything is superb and peacefull",Mitali Ankit Shah,/Profile/Mitali2310,,40
kangra,"It took us a while to find this Hill Station Hotel, but from arrival to check out two nights later we enjoyed a great stay, though disturbed by thunderstorms, lightning and lots, lots of rain. In the few sunny intervals we enjoyed the views over the hills. 3,5 km from the hotel a higher situated viewing point offers you even better opportunities for Himalaya pictures.  Our room 206 could only be reached by an open air gangway where the rain was trying to make rivers and temperatures were very low, open to the wind as it was. But once in the room the heater/airco worked perfectly, the ceiling shower was a treat and the fantastic beds made us almost oversleep the time of departure with our guide.... The restaurant was very nice, good food available all day, and perfect staffed.",robertjoosth,/Profile/robertjoosth,"Soest, The Netherlands",30
kangra,The hotel is ell located in a calm secluded high point. It has an excellent view to the valley and Dharmashala. The staff are exceptionally polite and helpful. The view from the rooms are also very good. The spa could do with some improvement.,Anand Y,/Profile/AnandY30,,40
kangra,"While looking for places to stay in McLeod Ganj, we chanced upon the Fortune hotel. Although it did mention that it was 5 kms from the town's main square, we realized only once we reached the hotel, what 5 kms means in the hills. The twisting  roads seem endless and we were told by our driving companion, that during season, the drive can be exasperating.  Another interesting thing we discovered was that the hotel keeps rooms in different sections reserved for bookings through various hotel aggregators but the best ones are reserved for direct bookings!   All that is forgiven, once you check in. Prompt, polite and attentive staff at the front  desk make checking-in a breeze. Our room is located at the farthest and quiet end of the hotel. But the room is large, spacious and with a",bombaytraveller,/Profile/bombaytraveller,"Mumbai, India",40
kangra,Thank you Sonia for making our trip memorable by guiding us where all we could  visit :). even the kitchen staff made everything we asked for. Their breakfast buffet had such delicious dishes and specially made a green smoothie on request. thank you Team Moksha,RajniSDassgupta,/Profile/monktravellar,"New Delhi, India",50
kangra,"I would recommend this hotel to one & all. Large rooms with larger balconies with a view to die for. Good food & Pleasant service. Take the White Mountain Block or the Christmas Block & a club room for uninterrupted views, the lower rooms may have trees blocking your view, so ask the booking agent/hotel of the location of rooms beforehand. A Change in the room that I would recommend is the Bed Size which is smaller for people who are above 5.10"", yr legs often hang out of bed + the exhaust in the toilets need to work faster as it doesn't clear the air as soon as it should, rest lovely.",Naman007,/Profile/Naman007,"Ahmedabad, India",40
kangra,"We were a group of 14 and all I can say that the location ,the size of the room  with a huge balcony and the service with a smile was beyond  our expectations. The restaurant  was excellent  and the service even better.  The food was excellent and all the staff was very caring.  We were also served well by Mr. Ajay from the front office. All in all it was a great experience  which deserves  10 on 10. Jitendra panshikar",Jitendra Panshikar,/Profile/jitendraabcd,,50
kangra,"Being a ITC hotel , it had everything to go for. Great location , away from the crowded market area , great view with valley , forest and village around. Comfortable and spacious rooms with everything you may need for a comfortable stay.  Hospitality was good , food was decent , specially breakfast was superb. Their spa team was also awesome. .   Only problem was that it is at a place far away from the market and you have no other dining options close by. You have to have your vehicle for commuting to the places around. However , I personally liked this part as I loved their food, however pricey it was.   I took a nice walk to the village close by and was blown away by the beauty and simplicity of the place and the people. Himachali people are undoubtedly the most friendly and",santosh t,/Profile/485santosht,"Mumbai, India",50
kangra,"The view to the back of the hotel is of the entire mountain range and the time i visited it was packed with snow.  Packed away a little away from main town center i thought was perfect as it helped maintain the peace from the hustle bustle.  The hotel is just perfect, from the rooms to the service and for foodies its just the place to be.   Perfect getaway for a relaxed stay for 2 to 3 nights you will not regret it!",Ramya Shah,/Profile/ramzzoid,"Mumbai, India",50
kangra,"We stayed at this property to celebrate our 20th wedding anniversary. Must say it was a very good decision. Everything was perfect and hotel staff pampered us no end, right down to decorating our room, to getting us a special anniversary cake. The hotel staff are extremely courteous and go out the way to ensure you have a very pleasant and comfortable stay. The rooms and all other amenities of the hotel are absolutely well thought out...the only issue they need to better is the sound insulation of some of the areas of the hotel. Our stay was extremely pleasant, comfortable and as expected. We wish the team running the property the very best.  ",SandyMall,/Profile/SandyMall,"Chennai, India",50
kangra,"This is a modern hotel with well-equippped and clean rooms, and a good shower. The food is very good and the hotel has beautiful views of the mountains. The service overall was very, very good. A special thanks to Satish Parmar for taking great care of us, and making sure we got just exactly what we wanted whenever we dined in. We’d definitely be back. Thank you everyone. ",RajeeS,/Profile/rajeesuppiah,"Johor Bahru, Malaysia",50
kangra,"My Wife and I had been on a hectic Business Trip doing Mumbai,Delhi and Chennai for a week . I asked our Partners Flyjac to book us a 3 day break in Dharmsala They Booked us into the Fortune Park Moksha . It has been one of the Best breaks we have had . While we where here The whole Area was Snowed in  and the Hotel had to keep some of the guests who where scheduled to leave happy until the Snow cleared  We went out on a Day Tour with the Hotel Driver Subhash Kapoor He drove us safely through the remainder of the Snow and Ice Took to all the places We should have done in 2 days in one Although he is not a Tour Guide he could tell us about  all the things to look out for and he accompanied us through  All the places  we wanted to see.  We have had most of our meals at the Hotel",822tony,/Profile/822tony,"Greater Johannesburg, South Africa",50
kangra,"We enjoyed a few days in McLeod Gang and stayed at the Fortune Park Moksha, an ITC hotel.  The service here went beyond our expectations.. from the welcome and service at breakfast and dinner, to the housekeeping staff throughout our stay the team were very accommodating and friendly.  On our last day it snowed, and as the roads were closed the hotel sent a team of staff with us who clearly went above and beyond to see us safely on our way :)  The hotel is in a great location for visiting all places in McLeod Gang and dharamsala.  We also spent some time at the spa.. our therapists were very good.. good facials and massage treatments.  We look forward to returning at some point in the future! ",Jo C,/Profile/I1519DOjoc,"Leyton, United Kingdom",50
kangra,What makes this property great is mostly their amazing staff - absolutely everyone is amazing! Always ready to help. Special thanks to a lovely young lady who i believe is a porter as she was sent to get our luggage down-not sure how she did it as our suitcase was twice her size. Room is very clean and tidy- thank you housekeeping team- you are doing a great job! Orchard and Neptune restaurant and bar offers a 5 star service and stunning views to the mountains.  We surely recommend Fortune McLeodgunj to everyone who is travelling this way!,KatrinaC,/Profile/899ekaterinai,"Wellington, New Zealand",50
kangra,"I had gone for my honeymoon,(17-01-2020 till 25-01-2020), it was simply amazing, right from the entrance till we reached our room, the greeting was warm and welcoming, the check in process was smooth without any hassle, everything was the way we wanted it. Special thanks to Harwinder Singh, Satish Parmar and Soniya Sebastian. They know the true meaning of building relationships instead of a business deal. I am going to be back soon and will only be staying at Fortune Park Moksha because of the whole team.  ",arzan2811ad,/Profile/arzan2811ad,"Mumbai, India",50
kangra,"We stayed for 2 nights on 22/23 Jan 2020. Husband, wife and 2 kids - 5 and 10 year old. The hotel has decent facilities and view. It is a 15 mins away from main market and sites.  However the biggest issue it has is that it's not a family hotel. Guys come there and apparently stay days on end and have drinking binge nights playing loud music 3 am out in the gallery of their room. This is McLeod ganj, where its peaceful and serene. Any nuisance like that especially in the dead of the night sounds horrific.  We complained on night 1... Nothing happened... The next day morning I went and spoke to the reception and they told me that they cannot do anything about it but if it happened again that night they can change my room. Now the thing is that such a nuisance started from 10 pm",Vaibhav Gandhi,/Profile/vdgandhi,"Singapore, Singapore",10
kangra,the rest follows but first out special experience in transportation from hotel to airport. we stayed in winter (06-09 Jan 2020). our checkout was on 09 morning for a flight to Delhi at 0845 am. the previous night had seen snowfall/hail. as such the road to Kangra airport was iced / snowed over and hence slippery.  we were requested to cancel the flight and reschedule but we had to see taj that very day in Agra because the next day it was closed. we had no more time because we were flying out of the country on Saturday. so we insisted on going to the airport on whichever way.  after a lot of persuasion the transport desk finally made an arrangement to drop us part of the way. we had to walk in the snow/ice for about 3 kms to cross the hilly slopes with our luggage when the,chetan d,/Profile/Sadhubapu,,40
kangra,This is the best hotel  we enjoy there service and they have big room and hall they also provide free breakfast with free parking. We enjoyed from there snowy mountain coverd with alot of snow and enjoy  swimming pool with frnd and store enjoyed movement ,sandeep k,/Profile/sandeepk543,"Varanasi, India",50
kangra,"I had booked this hotel for a night to celebrate my wife's birthday on my trip to Himachal. They setup a decent cake for her celebration which shows a great gesture from their hospitality side. Hotel property is pretty good and decently maintained.  The interiors are decent and provide a positive atmosphere. On the location side, this hotel is on the western side of the Dal lake and it is approx. 5mks.from Dal lake. However, there are no shops nearby (except for a couple of local stores) so you may have to opt for the options which are available in the hotel. Staff is courteous and they try their level best to serve the clients.    The only concerning side from my side was the location of some the rooms. I had booked a standard room and view from my room was covered mostly by",trivedidarshak,/Profile/trivedidarshak,"Mumbai, India",50
kangra,"My travel dates were 28-Dec to 30-Dec. Hotel staff was very courteous and helpful. I am an avid traveller and I came across a very clean hotel room after a long time. Amenities are plentiful and the hotel is managed very well. Food variety in the breakfast buffet is good plus their bar is very well stocked. The views are amazing especially from the sitout area next to the restaurant. One important thing is that this hotel is about 7kms from the mcleodganj chowk but they run a paid shuttle service at a reasonable rate. As it is away from the hustle and bustle of the market, expect lot calmness and tranquility in the air throughout the day. Absolutely loved my stay & will go back for a longer stay. ",Manoo Bhatnagar,/Profile/manoobhatnagar,"Noida, India",50
kangra,"Loved everything here. Our room had a fabulous attached balcony very spacious, with table and chairs. Watched beautiful sunrise with tea cups.!! Yoga room was stunning. Loved dining experience and the breakfast spread. You get 5 on 5 guys!",sush2day,/Profile/sush2day,"Calcutta, West Bengal, India",50
kangra,"November 2019. Stayed 2N/3D. 2 adults.   Booked hotel based on it being Member of ITC’s hotel group. This ensures that the hotel adhere to high level of standard. Exceed expectation 10x. Checking in was a Breeze. Greeted w refreshing cool sweet smelling pink guava juice. After a winding 2++ hours drive from Bir, this is really a heart melting check in moment. The hotel is perfumed thru the air vents. Very calming n serene.   A hotel staff helped us w our luggage and showed us to our room. The room has floor & central heating, very clean, neat, great view of the mountains, amenities on point (boutique brand), hot beverages and mineral water available, iron & hair dyer. The best part are the hotel made cookies & fresh fruit platter... :) tv programmes abundance to choose from.",Diamond111,/Profile/Diamond111,Singapore,50
kangra,Best hotel in McLeod ganj with great view and wonderful hospitality!  The 5-star quality accommodation guarantees a perfect stay in the soothing atmosphere of Himachal! The staff and the food were excellent! I shall definitely recommend this hotel!,Anna Trickett,/Profile/annatrickett,"Wembley, United Kingdom",50
kangra,Stayed here only for 1 night during our visit to Dharamshala.  It is a 5 star quality hotel with good food. Breakfast served was fabulous. We also tried some menu options for dinner and it turned out to be excellent.   The hotel is bit of cutoff from the market for about 3 to 4 kms. If you are looking for a peaceful holiday then this works otherwise you would need a cab whole day to come and go from the market.   It is bit confusing also sometimes to reach to the respective floors if you room is at -5. But that’s ok because it is built on the hills it is expected to be like that. ,VishalAmarnani,/Profile/VishalAmarnani,"Mumbai, India",50
kangra,"The hotel has a steep entrance, like all the hotels in the area. The property is immaculate, very well appointed, the rooms are spacious and the balcony affords great view of the valley, the sunrise, and the sunset. The food is delicious. The travel desk was manned by a lady named Saroj who astutely planned our day of sightseeing which turned out to be a very enjoyable and productive day.",Jamessmith1979,/Profile/Jamessmith197,,50
kangra,My husband and I stayed here for two nights in November. The hotel is great as are all the staff.  The food is great and and the service is excellent. We both were not well and Shubham ( I hope I’ve got the name right) made us this herbal drink which really helped us. All the staff in the restaurant went out of their way to help us and the chef made me a lovely masala dhosa.  The view from the hotel is beautiful.  We really enjoyed our stay here and just want to say thank you.,Harsha,/Profile/Roam165959,"London, United Kingdom",50
kangra,Kudos to the staff at the Fortune Park Moksha for providing their guests a comfortable and pleasant stay at Mcleodganj. The Neptune restaurant at the hotel offers a wide variety of breakfast options with even options of beaten coffee! Their rooms were clean and comfortable and well equipped too. Thank you for offering us a comfortable stay!,Mridu,/Profile/vmridu,,50
kangra,This hotel is must if you visit mcleodganj. Scenic view with delicious breakfast and dinner. Really satisfied the service and location of this.hotel. if u want to spend quality time you can visit this place,mohitg132,/Profile/mohitg132,,50
kangra,Me & my wife visited Dharamshala with my other friends. Eight of us had wonderful stay at the hotel. The manager Mr Arun was very helpful & all other staff made our trip not only comfortable but most memorable. We were vegetarian and food was excellent. The main chef was kind enough to prepare local cuisine for us as well other as per our demand. Overall it was dream vacation.,Tushar Dalal,/Profile/tushardalal,Ahmedabad-India,50
kangra,We had a lovely view of the valley and a great balcony from which to enjoy the view. The room was comfortable and the food and service excellent. I was delighted to be invited to the Christmas cake stirring ceremony and we would recommend this hotel highly. Thanks to manager Arun Verma and all of the staff.r,Angela C,/Profile/angelacX523TQ,"Bath, United Kingdom",50
kangra,"Whilst some of the town is situated on a fairly flat mountain valley, most of it is spread across the vertigenous hillsides.  Our hotel was located on the outskirts of the town up and along winding steep roads that provide spectacular views of the valleys and the mountains beyond.  We received a lovely greeting from our from the staff in our hotel who were quick to organise our accommodation and spirit our luggage to our rooms. Much of our time was spent away from the hotel but whenever we were present we were greeted in a very genuine and professional way.  Like many buildings in the town the hotel clings to steep valley slopes. Below the reception is a a restaurant that offers buffets that are common place for travellers journeying through the foothills of the Himalayas.",Ricci A,/Profile/riccia2016,"Greater London, United Kingdom",40
kangra,"This has been long overdue. Went for our anniversary trip in Oct ‘19 and loved our stay at Fortune Park Moksha! would like to thank their friendly and helpful staff for making our stay more comfortable and memorable. Apart from the housekeeping team, restaurant team; shout out to Mr. Ayush & Mr. Ajay at the reception for honoring our request. Also to Ms. Pooja for doing an amazing job at the travel desk. The hotel has beautiful views, making for such a nice break from thankless city lives. We also appreciated all staff members greeting with a friendly ‘namaste’. Thanks again for your warm hospitality. God willing we would definitely love to go back someday!",Ankita S,/Profile/anknit18,,50
kangra,"We stayed two nights halfway through our month long visit in northern India. We loved everything about this hotel—views, comfort of the bed, size of the room and spacious balcony, the food (wide selection and well prepared), and top notch service. There are spa services and a pool which we did not utilize. Everything is immaculate. We celebrated our wedding anniversary here, and we were given a lovely cake. Special mention of our waiter who was tireless and professional, Shubham. The people working here are very well trained in western style service combined with the unique friendliness of the local area. Thank you!",Torte_Sue,/Profile/Torte_Sue,"Vonore, Tennessee",50
kangra,"Moksha is located in the pristine woods of Satobari thus making the location absolutely uniquely beautiful.  Whats more beautiful is the warmth and the efficiency of the staff, which shall be difficult to forget.  Looking forward to returning again.stains",PMahanty,/Profile/PMahanty,,50
kangra,"We visited on march, 18'... The only Con was the swimming pool was closed, otherwise top notch service.. And the restaurant is awesome, they provide cab service to the airport. Good place to relax and chill",Nabendu,/Profile/Nabendu_bOnG,,40
kangra,"This is likely the nicest hotel in the McLeod Ganj area.  It's fairly clean, modern, and comfortable. The dining experience was very nice and we enjoyed the amazing mountain views from the dining patio. It was apparent the staff is trying very hard to put on a high quality experience for guests, which we appreciated.  That said, in some areas the stay is a little spotty.  The upkeep of the property is a little uneven and the bathrooms are a little rustic.",GG1072,/Profile/GG1072,"Cleveland, Ohio",40
kangra,"Stayed at this hotel a part of a group and really enjoyed our two nights there. The rooms are comfortable, bathrooms fine, plenty of hot water. We were in the Riflehorn block which is convenient for reception, but not all rooms have views due to other buildings and trees in the way. Rooms in the Christmas block are a bit further away but probably have uninterrupted views. We didn't use the pool but it looked nice. Wifi worked well. There is no dedicated bar space, just the restaurant area and the lovely spacious terrace if it's warm enough. The highlight for me was the food - the indian curries were really excellent and the staff, esp the kind chef Vijayant Kumar who made multiple plates of papdi chaat for us, looked after us all very well. I would happily return to this hotel",GlobalGrazer,/Profile/GlobalGrazer,London,40
kangra,"We along with another family stayed here for four nights. Since we reached by morning flight, we were at hotel few hours before the check-in time. We had booked standard rooms, but with little payment, our rooms were upgraded to Club rooms, with early check-in and complementary breakfast. This hotel is at very nice location in Mcleodganj. Though the views from hotel balcony are not that great but the place is very peaceful. The chef cooks excellent chhole bhature, poorie and pranthas in breakfast. Staff was very courteous and helpful. Travel desk is not owned by hotel and is run by a separate team. Though the pictures on websites are great but in reality the hotel doesn't live up to the expectations one has from ITC brand. Maintenance and upkeep are some issues that hotel needs",SHEKHAR V,/Profile/vishnoishekhar,"Gurugram (Gurgaon), India",40
