location,review,name,user_profile,userloc,rating
kangra,The location of hotel is accessible the view from hotel is one of the best as if give beautiful view of Mountain and family can enjoy it very much and food was great and taste was amazing the Owner as well as Hospitality were helpfull and great,Kunalkhiara,/Profile/Kunalkhiara,"Mumbai, India",50
kangra,Due to lockdown I have to cancelled my booking but due to covid all customer centre of travel agency were not working. I contact hotel vai mail and also had talk with hotels manager. Hotels response was very appreciated. They allow me for full refund. I recommend to stay as hotels as management behaviour is excellent.,Bhavin,/Profile/Bhavin83,,50
kangra,"What to say... Grand view hotel and Dalhousie is a great combination. Everything is so perfect... Hotel View, room service, hospitality, food, everything... View from any room of the hotel is amazing.. The best part is hotel's owner...He is very humble and truly a good human being. Without pre booking, luckily we got one room to stay for a night... We get so addicted with this hotel that we request hotel's owner to arrange for one more day. During dinner time sir used to greet everyone personally in common dinner room All arrangements are perfect. We highly recommend this hotel for stay...",Neha Arolkar,/Profile/nehaarolkar,,50
kangra,"We stayed in the New Wing for 3 nights - and the stay was perfect.  The room had a private balcony with amazing views of the snow capped mountains and a good sitout. Caution : Monkeys do come visiting if your eating or drinking in the balcony at day time.  Location of the hotel is great. As we only wanted to stay in the property and relax and barely ventured out, the location was great for us - just at the start of Dalhousie near the bus stand.  Food is amazing - both the breakfast and dinner buffets had a lot of options. And at dinner they even had a live singer making it more lively and enjoyable.  In the evenings, there was Housie or Bonfire along with music which was quite entertaining.   Staff service was exceptional. Everyone was helpful and friendly and always served with",swetamodi,/Profile/swetamodi,"Mumbai, India",50
kangra,Our trip organiser arranged stay in the hotel for two nights.  Great view of mountains.  If you love nature very nice place to stay and enjoy the beauty around. Food is good but front office and other staff are not that courteous.  You need to walk a lot for restaurant within the complex. That’s little irritating.  No WiFi is another issue which needs to be highlighted.,Ravirkd,/Profile/Ravirkd,"Ghaziabad, India",40
kangra,"The stay at this hotel can be best remembered for the scenic view and the cordial hospitality from the staff.Food is OK and the beds are provided with warmers keeping the beds warm during winters.Evening engagement of the owner with the guests in fun games is big attraction.Overall,a good VFM.",Suresh madhira,/Profile/SureshMadhira,,40
kangra,"One of the best hotel in entire Dalhousie with best location , hospitality, food and rooms.We had stayed in this hotel for 3 nights but everyday the chef made sure for different Jain menu and not even once we felt bored because everyday evening activities in the hotel.Being February it was too cold but the heater was working well and even there was hot water running all day. Due to good location it was easy to go for sightseeing being snowy roads.Overall beautiful and memorable stay.",Mitali Ankit Shah,/Profile/Mitali2310,,50
kangra,"Well this hotel gives you a feel of family holiday! One can spend nice time with family n friends.  Beautifully done , neat and one can see the efforts of the team , working for the comfortable  and enjoyable stay of tourists. A special mention to the deserts they serve: fruit cream! So delicious  that i still miss it. 🍧",isha vilku,/Profile/1415isha,"New Delhi, India",50
kangra,Posting a review on behalf of my parents who visited the hotel in February 2020.  Great stay at the hotel. The staff were amazing - very courteous and caring especially in the Tiffin restaurant.  Our most sincere thanks go to two of your staff members – Mr. Sanjeev who looked after our dietary requirements taking very special care. Mr. Nitesh was also very hospitable.   The chefs also did a great job.   This is a trip we will remember for a long time.,SShah11,/Profile/SShah11,London,40
kangra,"I am short of words if I have to write about this hotel. Ambience, view, rooms, food, location, evening activities - all checks as a full 5 star. But their hospitality is something even a 5 star would not do the justice. We had stayed here for our anniversary and they did their best to make it a memorable one. They even arranged for a cake in that freezing minus temperature.  If you stay here, you just don't want to come back. Highly recommended!! ",namrata b,/Profile/998namratab,,50
