location,review,name,user_profile,userloc,rating
kangra,"Upon making this booking, we had no idea the room included a butler. Our butler Sushant bent over backwards for us. We are not used to such service! The manager made personal calls to welcome us and the facilities are simply outstanding. Mcleodganj is one of the most magical places on earth and it was simply enhanced by the care and grace displayed by all staff. Sushant, you were so lovely to us and we appreciated every moment of our time here.",mykey.jay,/Profile/mykeyjay,"Melbourne, Australia",50
kangra,"No wonder almost all of them rated 5 out of 5 for this hidden gem in Dharamshala. Why I am saying hidden because very few cabbies have any idea about this hotel. Once you are there, you forget everything else as you enter a different world which is comparable only with heaven. What we will never forget is the view of the Dhauladhar range from your room window or balcony.  It was simply stunning! It became all the more enjoyable when we found an extremely passionate team at work all over the resort 24/7. I really wonder how did the management of this hotel motivate such a huge workforce on top of a hill where logistics could be a day-to-day challenge. I realised it at the time of leaving Dharamshala when the cab (booked online) on which we were supposed to travel all the way to",Bablu05,/Profile/Bablu05,"Kolkata, India",50
kangra,"Staying with Hyatt was quite an experience.. our stay was a long one .. 7 days..!! From checking in to taking care of us in every level was very professional. Room and bathroom were sparkling spic n span. The walkways into the mountain trails was breathtaking.. But the road leading to hotel from McLeodGanj is extremely narrow, always traffic congestion and lots of delays, try leaving early for airport.  AND.. Lots of chaos in the morning during breakfast time, coordination of the staff seemed quite poor... our breakfast order, between the order taking staff to passing to another one, until it reached the kitchen, got translated. Training lacks here..!! and Hyatt is over staffed..!!!! can do with fewer but more trained ones..!! Between this whole chaos stands winner is the CHEF",Veena D,/Profile/veenads,"Udaipur, India",50
kangra,"Overall a great experience, it is recommended that all must stay in the property and feel the tranquility and serenity of the environment. Mrs Priyanka Jhadav, Kausty and my room keeper were amazing guys always willing to help. Overall the complete staff makes you feel at home.",Travel16537505937,/Profile/Travel16537505937,"Chandigarh, India",50
kangra,"Had an excellent time at Hyatt Dharamsala .The staff were very courteous,greeting one and all with their infectious smile..Prompt and crisp service with top class facilities distinguishes this property..special mention for MrJoseph..MrDeepak..Mr Asheesh and of course their ever smiling leader and GM Miss Utsa Majumdar..My children had an excellent time even though the rain tried to play spoil sport thanks to the wonderful staff and great facilities..will definitely try to come back..kudos to the entire team  Thanks and Regards Subhabrata Paul",Subhabrata paul,/Profile/Oishipaul,,50
kangra,"It was an impromptu plan to visit this beautiful resort and I must say what a fabulous experience . Starting from the beautiful and cozy ambiance and interiors to the warmth of each employees in the hotel is nothing but best . The hotel has a home cinema which the kids thoroughly enjoyed along side of the heated pool . The mixologist, Sneha is amazing with her skill to rightfully read your mind and delight you . The team at the front desk is warm and always a step ahead to assist you with planning your side seeing itinerary to the best . The best was the housekeeping team, absolutely discrete and personalised . They remember all your preference and make sure you are at home . Every time you enter tour  room during stay, you will find it clean and tidied up ! It’s a perfect",Ena R,/Profile/602enar,"Dubai, United Arab Emirates",50
kangra,Amazing food consultation by Chef Vikas. Really appreciate his service and quality of food. Great rooms and service. Super location. Great staff. Anyone looking for a luxury treatment in Dharamshala must stay here.,Renu dhaddha,/Profile/Renudhaddha,,50
kangra,"Awesome stay. Food was excellent. Staff very courteous and very good hospitality. Super clean rooms. A special thanks to Mr. Tom who took special care of my husband and me. Ms. Priyanka at the reception. The chefs Mr. Biswas, Mr. Joseph and Mr. Bhattacharya would ask us our likes and dislikes and prepare food according to our tastes. Thank you team Hyatt Dharamshala for such a memorable holiday!! See you all soon !!",Swaminathan,/Profile/swaminathan29,,50
kangra,Had the most Amazing time at Hyatt Dharamshala. Very Co-operative & excellent staff & Amazing Property.  Our Special Day was made extra special by your management.  Our Jain Food request were properly attended by the Chef.  Breakfast Spread was very nice & the Chef & F & B Manager personally made sure that we had proper Jain Breakfast. I & my Son had wonderful experience on trekking to waterfalls with ur Activity Manager (sorry forgot the name). Also the Bartender if i m not mistaken his name (Kosty) is a wonderful guy who helped us having a lovely time at the BAR. Thanks for everything..  Pls convey our regards to entire Management.  --   RAJESH / PAYAL SHAH srajesh2000@gmail.com,Râjesh S,/Profile/rpt79,"Mumbai, India",50
kangra,"Was there recently, Being a regular traveller & travelled almost the entire world was expecting good hospitality but had not imagined this great Hospitality. Really the entire team from GM UTSA MAJUMDAR ,CHEF SANDEEP TO everyone, can say from A to Z was there to make our stay the best more than we would have expected. New property but really professional approach. Rooms were comfortable with great View, I will recomend this as a must stay property.",ANILANAND1960,/Profile/ANILANAND1960,"New Delhi, India",50
