location,review,name,user_profile,userloc,rating
kangra,"Amazing view of the mountains from the room. Excellent room service, excellent food and outstanding hospitality. Staff extremely courteous and polite. The hotel is very well maintained. We had an extremely comfortable stay. Couldn’t have asked for more.",Indira Biswas,/Profile/Companion236344,"Kolkata, India",50
kangra,To be very clear it's not a Hilton or Radisson by far but it's the best of lot in tiny mountain village.  The rooms and clean and big with splendid views from the balcony. You will be overlooking the entire valley and the snow clad mountains beyond. It's awe inspiring to gaze out into open with towering mountains being dwarfed by the sheer expanse of the night sky. All this from the comfort of your hotel room.  The amenities provided are basic. The quality of the food is good and the breakfast spread is decent. It's located well close to the Gandhi chowk which is one of the 2 main shopping areas.  The staff are courteous and help out with your travel plans as best they can. There a lot of places where you can get some amazing pictures of the surrounding landscapes. All in all we,AmolMathur,/Profile/AmolMathur,"Mumbai, India",40
kangra,"One of best property at Dalhousie.. great gester, view, superb cleanliness in rooms and lobby and most important great hospitality. Hotel staff Mr. Raman Singh guided us many things for nearby and help us to make itinerary. ",Rohit Gupta,/Profile/Rohitrtga,"New Delhi, India",50
kangra,"Great view property  with comfortable rooms and your own deck. Good selection of breakfast items , dinner menu or Buffett which we had very tasty and ample selection. The service is also very good  , great friendly staff.  It was cool when we were there rooms are fine the  lobby and hallways not heated seems to be the norm. ",Monck,/Profile/Monck,"Abbotsford, Canada",40
kangra,"This hotel in located y itself is and balcony itself is a point from where the view is great. The best part was the food as each item was tasty and staffs were great. Specially Monohar Lal was really great who was ready to help in case of any need. Overall experience was great , will definitely recommend this place to stay in Dalhousie.",JAI V,/Profile/vacationtime2njoyy,"Bengaluru, India",50
kangra,Best Property at Dalhousie...Lovely rooms and great hospitality..Highly Recommended....Hotel Staff...Manish guided us few right attractions...lovely snow at snow point...just 4 kms from hotel.. Good barbeque on terrace Suman  Bangalore ,Suman k,/Profile/917sumank,"Bangalore District, India",50
kangra,"Mr Manish at the dine in restaurant was quiet courteous enough and was always available for service. It was a pleasant stay overall and i would recommend people to stay at this property, over all it was all good. Regards",Rohit V,/Profile/rohitv597,,50
kangra,We took a chance of selecting JK Clark over Grand View but it was really a very great experience. Hotels Rooms & its Food is great. Hotel Staffs r also very cooperative. Overall experience is Amazing.,Jain Pinkesh,/Profile/JainPinkesh21,,50
kangra,They said hotel is 3 star Hotel but we fill its more than 5 star. Its service is amazing. And also Breakfast and Dinner variety is too much to select although all foods are Quality foods and yummy. I am impress that staff is personal attention each customer as well as Hotel General Manager. Every day they ask us about the services and eternity.,Shanvi,/Profile/Shanvi1976,"London, United Kingdom",50
kangra,"This was my second visit to the property and enjoyed our stay more than ever.  The rooms are well furnished with central heating. The property is very nicely maintained. The hotel staff and the sevices were above par.  The view from the balcony was excellent, we enjoyed our stay being here and would recommend this hotel to the people's visiting Dalhousie",Sanjuna,/Profile/Sanjuna,"New Delhi, India",50
kangra,"The maintenance staff mr. Manohar Lal was very helpful , as our vehicle was stuck in the snow , he managed the entire thing and helped us reach the spot safely ,  Even our stay was extended for two hours till the vehicle reached us  The rooms were very good and the heating mechanism was like icing on the cake",Nitish Sharma,/Profile/nitish4690,"Chandigarh, India",50
kangra,Wow its snow all around the Dalhousie. Afterall my dream came true. Its amazing Hospitality from JK Clarks Exotica. Food was warm and delicious. View was amazing. they serve you out of the way. Power backup is excellent during snow fall. Will visit again and again.,Prabhjot Kaur,/Profile/Prabjotkaur,"Amritsar, India",50
kangra,It was a great stay here in JK Clarks Exotica. Hotel is situated at a great location. View from rooms and terrace awesome. It was snowing there during our stay. Rooms are too cozy. Best part of hotel was the food. It's really a great taste. Mr. Kuljeet from House keeping was excellent. Keep it up. ,Hirtik Bhatiya,/Profile/Hirtikbatia,"Ludhiana, India",50
