location,review,name,user_profile,userloc,rating
kangra,Spacious rooms. River stream behind hotel. Mountain view from the balcony. Varieties of breakfast menu. Good food and room service. Soft spoken staffs. Love the hotel. It's near kangra dharamshala route.,Shruti S,/Profile/drshrutis2019,,40
kangra,"Trend the trance is average hotel by their service Phone was not worked properly blanket was not good, behaviour of receptionist was average There were disturbance in the room as room service knocking the door unnecessary.",Agrawalsunny01,/Profile/Agrawalsunny01,"Dahod, India",30
kangra,Never expected such an breathtaking view from Windows and balcony. There is a river in backyard and snowcapped mountains in front. Food and hospitality was also great. They very prompt in your requests. Loved it!,medsparkz,/Profile/medsparkz,"New Delhi, India",50
kangra,"Most pathetic hotel..one should never ever visit this hotel.. the management is not at all good and they are like gang of people who are not at all from hospitality industry. Mr. Bharat who has taken the property on lease don't know how to deal with guests / clinets.  The case is of my friend Mr.Jain from Bhilwara who booked hotel for business event for 15 days.  Now the incident happens like this, paymebts were made in partys as per the bills which were raised time to time. One of the bills were not submitted by hotel staff well on time and was handed over in late evening of friday due to this RTGS was not possible and Mr. Jain offered them.chq payment whcih MD Mr Bharat refused and he instructed security to lock the main gate and don't allow guests and Mr Jain move out. Total",Gurpreet Singh2204,/Profile/GurpreetSingh2204,"New Delhi, India",10
kangra,"The serene sorrounding, gentle and soft sounds from the river flowing next to the rooms, the scenic mountain view, literally take you into trance state.  The room was clean and well equipped.  The staff were friendly and helpful.  The food from the restaurant was also great.  Loved the place and wish to come back again.  More than worth the money.",Padmaja A,/Profile/Roving823143,"Hyderabad, India",50
kangra,"If you are planning a family trip then go for Treebo Trend the Trance Hotel in Dharamshala....this property is located is outside the crowed of city on river side ..location,food is awesome and staff is very co-operative ..thanks for the nice hospitality  ",Yogesh B,/Profile/YogeshB660,,50
kangra,"Breakfast spread is very small.staff is ok, but can be friendlier. The best part is the food quality and taste. Must say the cook is awesome. They should retain the cook. rooms are large and spacious. ",amrritabanerjee,/Profile/amrritabanerjee,"Gurugram (Gurgaon), India",40
kangra,"Very poor. My breakfast was included in the tariff  but they told its chargeable,Secondly room door got jammed at 1:00 Am in night and they broke the window at 3 Am,We were asked to pay for broken window.",jeevankar,/Profile/jeevankar,,50
kangra,The property is great and a nice location. It has great amenities and food. It is also building pool and kids facilities. The staff is friendly. It is a good property to move around if you bring your own car. If you use public transport then you will need to wait or hitchhike. They should consider adding shuttle facilities to Sheela Chowk. ,Kapil R,/Profile/majortravelblogger,,50
kangra,"First of all i would like to talk about the location. Yes, its a 7 min far from dharamshala but I must say that the location is awesome at its peace. Also, quality of food is amazing. A well behaved staff.",Saurabhrawat123,/Profile/Saurabhrawat123,"New Delhi, India",50
