location,review,name,user_profile,userloc,rating
kangra,"This was my first visit to India and coming to this place was the highlight of my trip. The place was so cosy and beautiful. I heard stories from friends of how beautiful the place is an I thought they were exaggerating. They were not. The view of the mountain is just stunning.  It had a homey feeling and all the staff were super friendly.   If you are on the fence of whether or not going to visit India, you should for this place alone!   I definitely recommend anyone staying here. I will hopefully have the chance to return and stay here again.",pandu s,/Profile/pandus2017,,50
kangra,"My third and first time for my friends, it was truly an unforgettable stay. I have never experienced as exceptional service as that provided by The Udechee Huts team! The staff went above and beyond to make you feel at home. The food was also delicious. The room was very comfortable with magnificent view.   I am from Bali but this place... is a breathtaking with perfect scenery for everyone who just want to relax and spoil their mind. I am so glad that my friends were enjoying their stay and we are still talking about it until now.  I would highly recommend Udechee Huts, and look forward to returning for my fourth time.",Hery S,/Profile/HeryS888,"Jakarta, Indonesia",50
kangra,"Wonderful boutique place with a great view! Warm service and well managed! Perched perfectly in front of the Dhauladhar Range offering a view that is very unique. It's conveniently located 5kms away from McLeodganj and about 15 kms from Dharamshala. Ideal for photographers, trekkers or just to unwind.",Reinold,/Profile/Globe_TrotterRen,,50
kangra,"Dear yadhu sir  It was a wonderful stay at udechee Huts Hill resort. Only 20 mins away from Dharmshala, nice place to get away. The facilities with high standard, wonderful view to Himalya range. Lastly, the Huts concept with open taris restro,  was amazing and staffs were friendly and helpful. ",sandeep sharma,/Profile/Fearless632136,"Nadaun, India",50
kangra,"This was my second visit to Udechee Huts - The first was Sep 2018. This trip was magical - It was snowing when we reached and the snow capped Dhauladhar literally felt within grasping distance. The rooms as always were comfy, cosy yet large enough for the 3 of us. Electric blankets, blowers hot water bottles and the mattresses provided to us ensured that people like us from the plains kept us warm.    The breakfast buffet’s highlights were always the piping hot Parathas straight from the pan, the Steaming Puri’s with the vegetable gravy and of course the lovely in cakes baked in house daily enjoyed with a nice strong cup of coffee. And when we needed a change, the masala cheese omelettes were lip smacking as always.   Breakfast would be so heavy we’d skip lunch, however when we",Soubir G,/Profile/soubir_ghose,Chennai,50
kangra,"A trip to Mc Leodganj and Dharamshala was on our bucket list for a long time. We finally decided on the journey this February. The place being a sought-after a after tourist destination, there is no dearth of lodging places.   After an intense session of browsing and reading multiple reviews we homed on to Udechee resorts. The background as seen in the photographs was scenic and rates at 4500 per night for a deluxe room  seemed reasonable.    We had planned for a only a two night trip with Dalhousie visit included. A stay at Udechee resorts fitted our plans as the place is located on a fringe near Dal lake. We could visit a good number of places in Dharamshala and Mc Leodganj on our way to Udechee without having to retrace our route anywhere.   Now for the stay. We reached late",Prasanna N,/Profile/prasannanag1980,"Chennai, India",50
kangra,"My husband and I stayed at Hotel Udechee Huts for 4 nights this year in February. I have one word for this place - Beyond brilliant! There is nothing about this hotel that needs to be changed - right from the food, room service up to cleanliness. The entire property is impeccably clean and offers a mesmerizing view of the Himalayas. Their rooms are very cozy and have a unique ethnic taste. They also provide heaters and hot water since it was quite cold when we visited. The service of Udechee Huts earned a huge applause from me and my husband. Their staff is so well-trained and isn't nosy at the same time. They are there whenever you need them and are so polite and genuine in their conduct. Food was very tasty and the ingredients were fresh. I highly recommend this place! I will",Tanvi Mehendale,/Profile/tanvi_mehendale,,50
kangra,"Property is good with nice staff and amazing view of The Himalayan range. Staff is supportive but slow at times, causing delay in services, but most importantly, you don't have much restaurants there for lunch and dinner, and hotel food is extremely pathetic. So, you need to ensure that you plan your trip such that you can eat at main square market always.",Sushant G,/Profile/sush147,,40
kangra,"We stayed in this resort for two nights.  The location is too good. You are with the nature.  The Himalayan range is just in front of you.  Post hail storm, the weather became clear and the snow covered peaks of Himalayas looked mesmerizing.  Courteous staff and good food are added advantage.  ",Ravirkd,/Profile/Ravirkd,"Ghaziabad, India",40
kangra,"One of the best homestays in Naddi without any doubt. The view from the cottage is incredible, perfectly located for nature walk & yet close to Mclodeganj. Udechee makes you feel at home. Value for money for sure. Abhaiji & Parveenji were extremely courteous and made sure, all of our last moment request were accommodated and ensurde our whole experience was smooth. Thank you and i would definitely recommend everyone to consider staying at Udechee. You wont be disappointed !!",DProcks,/Profile/dbilagi,,50
