location,review,name,user_profile,userloc,rating
kinnaur,"Location – The Camp is located in a valley about 7 kilometres from the small town of Sangla on the way to Chitkul which is the last village in India and further which lies Tibet. All through the journey on the winding road after Sangla to the Camp I was wondering that the camp will come into view on a plateau surrounded by mountains, when suddenly the driver stops the car on the road and reverses the car towards Sangla and then takes a steep road downhill that I realised that the Camp is on a steep cliff on the side of the mountain and further down in the river Baspa.    The Camp – The camp has only tented accommodation across the property on various levels. The kitchen is next to the entry/exit and then followed by the big dining area around which 28 tents are located on 3",Gautam_Rathor,/Profile/Gautam_Rathor,"White House, Jamaica",50
kinnaur,"Hospitality hospitality hospitality! If someone wants to experience what's the real meaning of atithi devo bhava then do visit this place. Their sumptuous food, their service and the spectacular view provides a perfect combination required for a memorable trip. Mr. Tulsi is a great host and he predicts your needs before you even mention it to him! If you plan to visit Sangla and Chitkul then this is the place you stay in!  ",Swayamsidha Andhale,/Profile/swayamsidha2019,"Shimla, India",50
kinnaur,A short Trip to chutkule with best mates stay at kinner camps ..was a awesome moment we spent there...Deepak Negi g is nice fellow ..welcomed us and enquired about the refreshment ...cooking staff from Pokhara was such a nice person ..impresses us with his expert cooking....planning for camp fire next round....thanks Negi g....see u soon,Bodhsanjit,/Profile/Bodhsanjit84,,50
kinnaur,"We stayed here for 2 nights and wished that we had planned for a longer stay! The place is as welcoming and lovely as it can get. While the location is awesome with breathtaking views of the mighty Himalayas, what takes the cake is the people - Mr. Dileep is one of the best hosts I have come across and he has an equally warm team to take care of all needs of their guests. The food is lip-smacking and the tents warm and cozy. And while you are here, do not forget to take a walk through the quaint and lovely Batseri village. Overall, a highly recommended stay.",cool_dube,/Profile/cool_dube,"Bengaluru, India",50
kinnaur,"I found the warmest people at the coldest place. The Hospitality at Kinner Camps is excellent and the food is amazing. Right from getting in touch with them to the bookings to each and every big and small needs and till returning back home, the people of kinner camps have taken care of. The stopovers in between they organized for us were brilliant. Deodar Cottage (sweetest and warmest people I met) is a must stay on the way to Kinner Camps. A special thanks to Daleep Negi who was so entertaining and informative. Super sweet and welcoming. And Tulsi who always kept our food hot & ready whenever needed.  Thank you for the best time ever!",Fatema P,/Profile/fatemap2013,"Mumbai, India",50
kinnaur,"This place is great. Beautiful setting , amazingly gracious host and excellent Nepali chef. ( honors picky eaters .. customized menu for dairy free and gluten free)!Not a fan of camping, I found it comfortable, pleasant and clean.  We stayed at 2 other camps in India and this was by far the best.  If you stay there , Make sure to walk down river and cross bridge to access village on other side. Quaint, authentic , filled with welcoming nice people and home to a beautiful  temple.",STM666,/Profile/STM666,"Pasadena, California",50
kinnaur,"Absolutely fabulous place to stay. A bit off the beaten track, actually you have to travel down a beaten track to get there. Only open 6 months of the year. Food was fabulous as was the staff. River near by and a nice walk to a wonderful village across the river. If you love adventure then this place is for you. The tents are well appointed and have ensuite with hot water. Would visit again.",David O,/Profile/davido642,,50
kinnaur,"My second visit to kinner camps, Got royal treatment from Owner Daleep Negi. They people maintained the camp so well. Lots of flowers smiling around. I got chance to meet Pradeep negi (Owner) old friend . He is so calm the experienced. No one knows Himalayas better than him. He explains it very nicely.  I must mention here that I also runs travel agency and love to travel in Himalayas. I strongly recommend everyone to visit the kinner camps.",Abhishek,/Profile/abhi11224,"Mohali, India",50
kinnaur,"I stayed at Kinner Camps in Sangla and was very happy with the area, the staff and the food. All three were excellent. The area was stunningly beautiful set amongst the mountains and the clouds. The staff was very knowledgeable and always ready to help. And the food was just excellent. So tasty and well prepared. The camps were comfortable and hot water was available twice a day. All in all a great experience.",Rijuta T,/Profile/rijutat2016,"Pondicherry, India",40
kinnaur,"Very efficiently run tented camp above the banks of a fast flowing river amidst pine forests.  Lovely location with great views of the mountains, very comfortable tents, tasty food and friendly service makes this a perfect place to unwind!",Vimana2016,/Profile/Vimana2016,"Bengaluru, India",40
kinnaur,fantastic staff members  spectecular loaction  amazing service +free wi fi  defferent kind of food  lush valley  amazing view of kinner kalaish  Good parking space  feel like luxry  neat and clean room  hope i will visit here again,Rambo,/Profile/rivikesh7,,50
kinnaur,"Me with my younger son decided to hit the mountains for a week as his school summer breaks had begun. We decided on Sangla as he had not seen the place. Early morning at 6 we started off from Delhi as it's tough to drive down to Sangla in a day, we decided we would take a break at Nalanda, but not finding a place there we reached Rampur Bushahar by 8 in the evening and luckily got a room at the PWD guest house. Next morning after breakfast we left forsangla which was another 5 hours drive through one of the most dangerous roads in the world. By 2pm we Sangla and hit straight to dinner camps, On arrival one gets a warm welcome with locally made apricot juice. Pradeep Negi is assisted by his younger brother Dalip in running the place. This  Beautifully managed and ideally situated",T. Narayan,/Profile/tnarayanphotography,"New Delhi, India",50
kinnaur,"We stayed for at Kinner Camps for 2 nights in May 2019. The place is excellent & situated in the valley, with river flowing right next to the property. Tents are cozy, but well equipped with basic facilities. Property has some adventure activities which are done under supervision & with safety gears.  Mr. Dilip, Manager at Kinner Camp, has provided excellent service & guidance during our stay. He was providing the personalized service ensuring that all the requests are promptly responded. The entire staff was very co-operative. ",DM_Mumbai,/Profile/DM_Mumbai,"Mumbai, India",50
kinnaur,"I had the pleasure of staying in Kinner Camps for two beautiful weeks, and couldn’t of been happier with my stay. The tents and beds were comfy and very clean, and the outside views exceptional. To sit on the tent terrace and look at the mountains at dawn or dusk with a cup of chai was a delight. The days trips they planned for me to the glacier at Rakcham or to visit the high shepherd plains of Sangla Kunda are memories I won’t forget, as the views of the Himalayas are unsurpassed. The food was very tasty, with Tusli and Dilip looking after my every need. I will be coming back. Highly recommend!",Molead,/Profile/DeodarSangla,,50
kinnaur,"￼ Situated in the beautiful Baspa Valley Kinner Camps has so much to offer to a traveller wanting to explore the mountains. I visit this camp often and have fallen in love with Sangla Valley because of Kinner camps. Its a perfect place to relax, unwind and be in the lap of nature and stare at snow capped mountains. One of my favourite things when I am here is to listen to the sound of the Baspa River flowing on a walking distance of few minutes from the camp and sit by the river and read. One can walk to the charming Batseri village and see the Kinnauri village life and the apple orchards and farms and also walk to the Batseri glacier. My favourite time is to visit is during August - September when the buckwheat flowers bloom and the whole valley turns pink. To me the amazing",Asmita Parelkar,/Profile/AsmitaParelkar,,50
kinnaur,"My Family travelled on 3rd June to 6 th June to Sangla and had booked Kinner camps as our staying option. The place was neat and clean, the tents were simple yet sufficed our need with attached washrooms, The dining 'Gol Ghar' was huge with a beautiful spread during all meals. The people here are very warm and cordial. It was just like a home away from Home.  Special Mention to Tulsi, Hukum and Dileep Negi for making our stay memorable.   We will definitely go back again.",Dinesh Rathod,/Profile/DineshRathod,"Gurugram (Gurgaon), India",50
kinnaur,Beautiful place and welcomed by beautiful hearted people.dilipbhai is very humble person☺️we had good time trekking with prabhakar.tulsibhai served food with all hearts. Great place Great people Great food,Jeet patel,/Profile/Jeetpatel2501,,50
kinnaur,"Arriving into a landscape new to my senses had me gasping in awe all the way to this extremely special campsite, Kinner Camps.  I arrived at this camp that’s nestled amidst the sangala valley, misty mountains wrapped in fluffy clouds. Greeted and welcomed by Pradeep, Dilip and Birbal Negi the family whose energy heart and soul goes into this place. The camp is a beautiful balance of comfortable accommodation in the surrounding charm of the snow peaked mountains. The entire team that works at the camp became family to me by the end of my trip; and I was drawn to the sense of togetherness that they whole team carries, each of them smiling through their work with a sense of pride and ownership for this special place they run together as a community.  It was heartening to have been",Niyati Upadhya,/Profile/niyatiup,,50
kinnaur,"While every thing has an opportunity to improve, an additional star (making it a 5 star) for Mr. Tulsi, who made our stay extremly pleasant. You can actually feel his customer friendly attitude whenever you talk to him!!  Some Pros : 1)Neat Tents & Washrooms 2)Dinner Spread was Great 3) Nice Location - Riverside is just 50 Mt's trekk down and a nice view of snow clad mountains from most of the camps 4) Its cool during extreme summers aswell, surprise hot watter bottle at night kept everyone cozy  Cons : Not really, but as I said, everyone has some room to improve. 1) Breakfast spread can improve, they get cold too quickly so need to think around that. Also, atleast 1 mineral bottle per person per day should be complimentary (they charge Rs 40 per bottle)  Room Tip : If you",Bikramjot S B,/Profile/bikramjotsb,,50
kinnaur,"We have rarely experienced hospitality the way we enjoyed in Kinner camps.Located on bank of beautiful  Baspa,unlike many others where you need to trek down to river, the place is as comfortable as a cosy hotel ,yet you are very much in nature below the clear sangla stars.  Each and every one of the staff is super friendly and they make sure you have a great time exploring this pristine Himachal valley..Do not miss glacier walk and sangla kanda trek !",Parikshitl,/Profile/Parikshitl,"Mumbai, India",50
kinnaur,Absolutely loved the stay !! Impeccable ambience and cleanliness!!! A very personal touch to the food by Mr Negi and his Chef. Also the staff is adept at organising a picnic for you in beautiful locales. Staff especially is very helpful. A place worth staying in!!! I ,Shalu Goel,/Profile/Shalvish,,50
kinnaur,Amazing place with scenic beauty. Dilip and Tulsi are very hospitable and the Jain food is also very delicious.good idea of hot water bag at night it’s feel cozy.   Just to advise management when your resort is full food quality becomes okay so they have to maintain the quality,ksshah999,/Profile/ksshah999,"Mumbai, India",40
kinnaur,"Very good and tasty food. Very nice and wonderful view and is also very good to click photos in front. Swiss style beds also look beautiful in the room. Bathroom is spacious and big. Bed is quite comfortable. It's too cold at night and thus, the people give hot water bags for protection from the cold. Dogs also guard the houses at night which is very good.",Saswata K,/Profile/Saswatakar,,50
kinnaur,"This review is slightly overdue - stayed at the camp in July 2017 but judging by the newer reviews not much has changed. This place is magical! The views, the staff, the sounds of the Baspa river a few feet away, the clean and well-kept tents - everything about this place was perfection!  The campsite is so serene and we were lucky during our stay that we got to see a Tibetan monk come and bless the campsite early morning. There's a lovely wooded area and a small temple which you can visit by crossing the nearby river via the bridge.  The staff truly took care of us - from the delicious food prepared daily to the lovely touch of giving us hot water bottles at night. This was my first camping experience and Kinner Camps did not disappoint. We were travelling in a family group",Lalinka P,/Profile/lalinkap,,50
kinnaur,"We had booked this place in 2013 and deposited the total amount, but due to some reasons we could not travel. Hosts remembered me in 2018 so that even at my first call after almost 5 years they recognised my name and adjusted full amount in my present stay. Mr Dileep Negi, and Mr. Pradeep Negi are wonderful hosts, they took care and accommodated us in every aspect.   Camp site has a parking which can accommodate almost 10 cars, or 25-30 bikes.  Tents were Swiss tents with attached washroom/toilet. rooms were almost 12x12 feet, and washroom was 12x5 feet. Hot water is supplied every morning, washrooms were clean, with English type sitting seats, shower and washbasin.   The property has 25 tents, dining area, play area with zip line, wall climbing etc.  They arranged a full day",Rohit Parashar,/Profile/rohitparashar,"New Delhi, India",50
kinnaur,"good views, good food, very comfortable stay, what more can one expect from a mid range place. As it is near Baspa river, makes for a good morning stroll. Across the river is beautiful small village and a monastery.",bohomagic,/Profile/bohomagic,"Mumbai, India",50
kinnaur,"We stayed with them for 2 nights along with our 2 dogs. The Tents were very comfortable. The highlights of this place would definitely be its food and the views, along with the hospitality of all the staff there. For the cold nights, they took care of providing us with hot water bags. For me personally, I loved the fact that they provided espresso, unlike most hotels / resorts in the mountains.    Point to note for Guests traveling with Pets: They also have a couple of mountain dogs of their own which stay at the property, so please do inform them in advance that you would be traveling with pets.",Ambuj,/Profile/2humans2dogs,"New Delhi, India",50
kinnaur,"I had a wonderful stay in the camp.The staffs are very helpful. Mr. Dilip, Tulsi ji are wonderful persons and would do everything to make your stay comfortable.The camps are in the bed of nature and in the middle of beautiful garden. The food is good and they have bonfire after dinner.",sandip44u,/Profile/sandip44u,"Kolkata, India",50
kinnaur,"We were transformed to a heavenly era amidst beautiful flora and fauna and the gorging Baspa alluring us to come and admire this wonderland.It was as if God has painted on his personal large canvas for us. Life stood still in the absolute tranquil landscape. The camps were comfortable and we were very well taken care of by all the staff and their smiling faces make us feel so welcome. I missed having a standing mirror in the room and hand towels in the bathroom. The food is delicious, you will not want to leave. We went to Rakcham and walked in the pastures admiring flirting views of the peaks of jorkanden, Phawarang and Rangrik rang. The drive till Chitkul and beyond till Nagasthy was amazing.",BINAMumbai_India,/Profile/BINAMumbai_India,"Mumbai , India",40
kinnaur,"I was on a solo trip across Himachal in the second week of September and I spent 3 days at Kinner Camps....it is nestled in the most beautiful location...the staff is courteous...Special call out to the cook Tulasi Bhayya....who makes the most amazing food and is always smiling....the tents are clean, the food is tasty, the arrangements they make for the day trips are fantastic...I just had a brilliant time at Kinner Camps...I hope to go back again...",Gowri A,/Profile/Gowriadvani,"Bengaluru, India",50
kinnaur,"Unfortunately we only stayed one night here but were blown away by the camp, the location, the food and the staff - all fabulous.  Tents were spotlessly clean with every facility we could ask for.  The food (buffet stay) was some of the best on our two week trip in Himachal Pradesh and they use their own home grown produce where possible.   The welcome drink of their own cherry juice was delicious.  Big communal eating tent and an open fire was lit after dinner for guests to sit round and chat. There’s also access to the river and walks along it.  All very relaxing and comfortable. ",FifiVUK,/Profile/FifiVUK,,50
kinnaur,"Please stay here without any hesitation... Location, facilities, food, ambience all beyond expectations.. Staff helpful, tents exceptionally superior to all my previous ( more than 10 locations) stays",bhalyakulkarni,/Profile/bhalyakulkarni,"Nashik, India",50
kinnaur,"Kinner camps : Spent 1 night in 1st week of June 2018. Cleanliness is the specialty of this place. Such hospitality in camps was unexpected. They serve buffet in the himalayan camps, that is really awesome. Tea and coffee in the cafeteria is free. River is just 10 mins downtrek from camps. Awesome location considering nature in mind. ",akii17,/Profile/akii17,"New Delhi, India",50
kinnaur,"location and view is amazing, camp is clean & food is good. It was so quite that it is music to the ears,there is no network so its an added boon, the camp set up is professionally run & is very well managed.",GARIMA K,/Profile/GARIMAKUL,,50
kinnaur,"Loved their hospitality, Tulsi and Dilip is doing more than words  for their guest. Roshan helped us in camp fire during rain also. Thank you so much guys.we enjoyed scenic beauty of bapsa river and snow on mountain their.",Virender M,/Profile/VirenderM36,,50
kinnaur,"We visited sangla and Chitkul during first week of June. The place is absolute heaven on earth and kinner camps was icing on the cake. Its a wonderful place to stay, neat & clean swiss tents with all facilities. Sleep quality was good. The staff is very friendly and accommodating for your comfort. Tulsi is great at the dining area and always happy to serve you whatever you ask for and Dilip shared with us so much about the place, the treks and even mythology of dev bhoomi. Thanks guys.... its a must must visit place",meetusethia,/Profile/meetusethia,"Gurugram (Gurgaon), India",50
kinnaur,"Dangle is a beautiful place to visit.. The views of snow capped mountains and greenery made me forget the hustle bustle of daily routine. And staying at kinner camp made it even more special.. sound of river in d background, birds chirping and those views were just a marvellous combination. To top it all the location of camp & the hospitality shown by the staff. They were genuinely happy to serve.. would definitely recommend this place to any one going to sangla",aashish c,/Profile/979aashishc,,50
