location,review,name,user_profile,userloc,rating
kinnaur,"A nice affordable hotel by the river. The accommodation is clean and toilets a little small, they have a choice of family room as well. Best part is the restaurant, which has an amazing view of the river and the hills. Food is excellent.",Vandy,/Profile/Vandy2101,"Gurugram (Gurgaon), India",50
kinnaur,"Please treat this review as a warning for staying here at your own risk. We had a booking for 2 rooms at this hotel in Oct 2019. But surprisingly on arrival, we came to know that the entire hotel is booked for a marriage and so our stay was at another hotel (Rakchham Cottage) which had a side facing view of the river. This was the beginning of our experience with the cheaters. The room service was pathetic, and even the TVs did not work. On inquiring about basic hotel services, a drunk man came out of the kitchen and started abusing us. Never ever had such a horrible experience in a hotel. The owner threatened to throw our luggages out of the hotel that night itself. We understood that we are in wrong hands. We had elderly parents with us too. We checked out the next day morning",Srimonta,/Profile/duttasrimonta,,10
kinnaur,The hotel offers the best view of Baspa river and village and is located in a serene location. The hospitality can be improved and management can be accommodative of guest requests. Based on travel time etc guests might reach late and exhausted but they are very strict about food serving timing etc. Since we could not reach and wake up in right time we had to adjust with cold and dry food. We have stayed at other hotels at various locations during SPiti trip and they were flexible as the place and climate itself needs it.,mamathajk,/Profile/mamathajk,"Bangalore, Karnataka, India",30
kinnaur,"I stayed in the property in the first week of Oct , 2019 (2-3 rd ) with my family. Firstly the hotel was under renovation and not in habitable condition for a family when I visited. It may work out for a couple or bachelor, but not very secured for a family at this condition ( if they finish the repair work in 2-3 months period, then I should not comment) . I booked a 3 bedded room @ Rs 5000/- from Booking.com. When we reached at night around 8 PM, the hotel was in unrecognizable condition (compared to the photo I saw in booking.com before 3 months) as the repair work was on . The room they offered was beside the river, so location wise it was awesome.. But room air conditioning was not good enough to protect the cold (appx 0-4 degrees Celcius). Few windows glasses were cracked.",rajib d,/Profile/RajibIndia,"Bangalore District, India",30
kinnaur,"One of the few accommodations in Rakchham, the cottage (as part of Rupin River Hotel) is blessed with heavenly view of Baspa river and the rolling hills of Himalaya. Rakchham village and its lush buckwheat meadows are nearby. Together with those gifts of nature, guests are welcome with the great hospitality of Sunil, the hotel manager, and delicious dishes prepared by Mr. Amar. Ideal choice of accommodation for those who wish to experience the tribal life in Kinnaur.",Yen H Nguyen,/Profile/yenk2d,"Ho Chi Minh City, Vietnam",50
kinnaur,"Rupin hotel has two locations that are within close proximity. We stayed at the cottage that looks straight to Baspa river and right next to Rakchham village. This facility offers basic amenities and ample rooms. Great hospitality from all the staff. The hotel manager, Sunil, ensures our requests are fulfilled with constant smiles, while the dishes from the in-house kitchen are prepared deliciously by Amar the cook. As one of the rare accommodations in the far-off Rakchham village, Rakchham Cottage River View is really worth the money.",Thao Lam,/Profile/anhthaolam,Vietnam,50
kinnaur,Best hotel with nice river side hotel with balconies to have a river view. Best and kind friendly service... Had different trekking experience with their help to see glaciers. Food also tastes good with our choice of taste.rooms are also good.. totally rakchham is the best place to stay once u plan a chance to visit here.,Vijay,/Profile/Vijaymoulikee2712,,50
kinnaur,Guys i visited this place during july 2019 never expected this homley hospitality at such place where u dont expect to get gud service i am very thankfull to Mr. Sunil bcoz he provided max Comfortable ask him anything he will get you even in short notice. I could provide this hotel 10 stars if possible 7 stars only for Mr. sunil. Ty for such experience & service,parthd2013,/Profile/parthd2013,"Sangla, India",50
kinnaur,"I was traveling thru Himachal on a motorcycle completing the Manali - Reckong - Kaza - Rohr-tang Pass circuit when I decided to detour to Chitkul just to check it out. While Chitkul is nice, the real jewel of the valley is Rakchham (IMO you can skip Sangla completely unless you need supplies).   There are number of nice tented camps, but the Hotel Rupin River View and the affiliated restaurant is just great. Welcoming and with arguably the best view around it def. is a good value for the money. The restaurant did not disappoint with local foods. It is run by the cook Amar, who came out and took great care of me. I can only recommend the Kashmiri Potato with butter (more like gravy). It was and remains the best thing I have eaten on this trip. Sunil, the waiter and reception",cainecortellino,/Profile/cainecortellino,"Colombo, Sri Lanka",50
kinnaur,"Had an awesome stay at this hotel, though with minor problems but those can be ignored. Service was up to the point most of the time and the whole hotel was to ourselves so we were able to relax and dry all of our clothes in the open spaces of the hotel after a rainy day of riding. Golu served us really well with tea and coffee whenever we ordered and also in lifting up our luggage upto the rooms and down.",Murtaza A,/Profile/MurtazaA130,,40
kinnaur,"Raksham is a mesmerizing place. When I first entered Raksham, I got a feeling of a heavenly eden. A place from where I never wanted to go back. Kinner Kailash in the backdrop, gusting Bapsa river in the middle and a sequence of glaciers along the path. This is nothing less than a film shooting site. The only trouble is place called ""Rupin river view"". This is not a hotel. It is nothing like shown in the pictures of the property on the holidy booking sites. In my view, it is a set of lodging locations, packaged into a single name and sold to travellers  just based on some fake pictures. We stayed at one such place and it is nothing resembling the picture shown. In fact it was a barest of the bare minimum that you can expect to be called as a place to stay for a holiday. The main",HeavenMaven,/Profile/HeavenMaven,"Pune, India",10
kinnaur,"NARESH, the owner of the property is the biggest fraudster and cheater in the remotest yet the most beautiful corner of India. We booked our stay for 2 rooms for 2 nights via OYO rooms, good 4 days in advance after paying the full amount. We reached the hotel at 7:15 pm in the evening after some good road blocks between solan and shimla...to oue horror, we  were utterly denied our bookings after reaching hotel at 7:15. The property manager at the hotel said naresh is not in town and they have no booking status.... When we contacted the owner he said i dont have the rooms you have booked available as i dont know... Whatever room is there you accept or you are free to walk away...  To which we started fighting and called OYO rooms to clear out this mess... (the oyo rooms service",SanyBoy,/Profile/SanyBoy,"New Delhi, India",10
kinnaur,"I was skeptical about staying in this hotel specially after reading the last few negative reviews, but could not have been more wrong! I have contacted the owner Mr. Naresh Jishtu and was surprised to see that he is obviously a very nice and amiable person quite in contrast to the remarks written. he is outspoken but a very good person at heart. Purely its my opinion.. and I should be considered ungrateful if I dont mention the name of Mr. Pratap , Mr. Omar and all the persons who has made our stay quite comfortable even in the extremely harsh condition. They were extremely professional, helpful and always friendly.  Coming to our experience. Arriving in Leh in december where -6 degree day temperature is not an exaggeration and plain madness. We have reached The hotel in the",Manas Upadhay,/Profile/ManasUpadhay,"Kolkata, India",50
kinnaur,"We,two friends ,recently visited rakcham during march and made our stay at this hotel for one night. Pratap, the hotel manager was a very nice guy and extended all his support in this harsh weather. Water was available scarcely with water was provided in bucket as the water in the pipeline were frozen. Food was also good. You can catch breathtaking view of baspa river and rakcham-chitkul sanctuary from the balcony. Overall it was a pleasant stay. If you do visit rakcham this time, make sure for a stay here.",Arijit Dutta,/Profile/Jeettravelforlife,"Gurugram (Gurgaon), India",50
kinnaur,They have 2 places. 1 right by the road side (with Rupin river view)  & other one little away. Make sure which one you have booked. The other one is little tough on old people as you have to climb many stairs. Also food here comes from the River view side property (wait time expected). However or host was a good guy. He helped us pulling our our vehicle from the marsh when we went for a drive to have a look at the glacier. Thanks to the timely help of our caretaker (luckily i have saved his number & network was available). He got the owner of Rupin view with his Alto which pulled out our Innova & brought us to the safety of civilization. You can always counton Himachali folks.,Hemanth S,/Profile/HemanthShriyan,"Bangalore, Karnataka, India",50
kinnaur,"Good one in Rakchham (Sangla vally).with my wife it was good experience ,in the terrible freezing temperatures they have done enough. Standatd food,with relatively high price of chiken iems. Gyser was not functioning well,& Heater for a night cost 400/- in off season. Its okey for a night or a day.  Nandish",Nandish R,/Profile/Journey07448075232,,40
kinnaur,"Its a good place to stay in the lap of mountains, only 10 kms from Chitkul. The foods are good like their hospitality. The rooms are clean. Thanks to Avinash ji and Narash ji to make the nights memorable.",Roving42548498694,/Profile/Roving42548498694,,50
kinnaur,"Our stay became more memorable at Rakchham as we stayed in this lodge.The staff were extremely good.Their hearty behaviour, fabulous hospitality and the delicious food cooked by them gave us extra warmth during the -10°C chilling nights. We celebrated Diwali together by lighting up diyas. Rooms are well maintained, good quality quilt and very good room heaters.",Jet42803789708,/Profile/Jet42803789708,,50
kinnaur,Best view of the river and the mountains from the balcony and room. Rooms are quite good. Would recommend this for staying here. The staff is friendly and helpfull. The food is real good and tasty. 👌👌,Odyssey54398823730,/Profile/Odyssey54398823730,,50
kinnaur,"We checked in and found dirty linens . Simple room, nothing great we found at the expense of 2800 RS for a night. Though,staffs are friendly and food is good,but no-one would like to sleep on stained bed sheets and blanket covers. We used our own bedsheets and covers which we were carrying anticipating it. So,travel equipped.",nilayacharya,/Profile/nilayacharya,"Kolkata, India",20
kinnaur,"At best a budget hotel but charging three star rent as per sweet will bereft of any fixed policy. We booked a double bed deluxe room 5 months ahead, for 2 nights @ ₹2500 per night and considering our age the Owner cum Manager Mr Naresh Jistu agreed to provide us a room overlooking Baspa river. While checking in he demanded ₹3400 per night.  To our horror we found in the evening ice cold air inching in mostly through the door seal and there was no room heater. We discovered that room heater can be given at an additional charge of ₹500 per night. I have never heard of any hotel in hills, within and outside India, charging for room heater.... absolutely atrocious and culpable. When we refused to rent heater, charge was slashed to ₹300 like a fish market. On principle we refused to",Explorer821704,/Profile/Explorer821704,,10
kinnaur,"Great hotel, super nice team and fantastic food!!! For sure not our last visit to this beautiful place! Thank you naresh(boss), avjnash (manager) amer ( mastercook) and furenda, rahul, barbaua, harish (staff) thank you guys for the great time and wish you all the best!! Guido",guidounterwurzacher,/Profile/guidounterwurzacher,"Kitzbuhel, Austria",50
kinnaur,Amazing food and accommodation hidden in the mountains of the Northern Indian Himalaya. The crew is simply outstanding in terms of service and friendliness. A place definitely to come back.  Avjnash - Manager Naresz - Boss Amer - Cook Surenda/Rahul/Cetan/Barbaua/Harish - Staff,Hansjörg A,/Profile/BoardingPass764460,,50
kinnaur,"Good food, nice staff and beautiful hotel in a really impressive valley! Local people are very friendly. We spent some time in the mountains, they are very beautiful as well! Absolutely worth spending holidays there!",ulio365,/Profile/ulio365,"Innsbruck, Austria",50
kinnaur,"food, service and accomodation amazing!! really nice staff and athmosphere. surrounded by huge mountains, great gor trekking, hiking and enjoying the nature. vegetarian dishes at its best!! gonna  come back for sure!",Anna Z,/Profile/Y4602IJannaz,,50
