location,review,name,user_profile,userloc,rating
kinnaur,"The staff was very helpful an welcoming. They made us amazing food. It was very homely and delicious. The view is also very good and the amenities provided as also very good. All in all, a very pleasant experience",Madhurima Darisi,/Profile/Madhurimadarisi,,50
kinnaur,"Prakash Regency is perhaps best hotel in remote place like Sangla. Hotel has a large garden. The trees were full of fruits of region Apples, Apricot, Walnuts and so on. All of us in our group coming from Maharashtra were exited to see the Himalayan fruits. We just refrained from plucking and tasting the fresh apples. Hotel had excellent garden sit out to spend quiet evenings while enjoying favorite beverages.",DilipPune,/Profile/DilipPune,PUNE,50
kinnaur,"rooms were comfortable, and by far it is better than many of the nearby properties. Although there are not much properties available, but still it is good to have them . Food was good, the location was good,  but parking space is crunch. Still they have some vehicles parked. ",tusharkhandelwal,/Profile/tusharkhandelwal,"New Delhi, India",30
kinnaur,"We were fortunate to get a 4 nights stay at Hotel Prakash Regency during our Lahaul Spiti Kinnaur trip.The premise, the staff, the owner all made the stay memorial and cherishing. Clean rooms, scenic view, delicious food all make the stay perfect!  We also got a chance to meet and converse with Mr. Om Prakash, a very humble and genuine 76 year old man, who is truly an inspiration for all youngsters.  Mr. Mohan Prakash, the hotel owner, too is a genuine and knowledgeable person. He guided us to some mesmerising places at Sangla.",Vinita Nair,/Profile/Vinitatravel,,50
kinnaur,"The hotel is amidst apple garden. You can have your tea and coffee sitting in the shadow of apple plant. Food is good. Hospitality is unmatched. Rooms are wider and clean. A must stay if you wish to stay in Sangla. Recommended time Spe, Oct, Nov. ",Sumanta,/Profile/Sumanta77b,"Kolkata, India",50
kinnaur,"The owner, the staff, the manager, the rooms, location, the way they maintain the property is just AMAZING. We as an Ecological travel company conduct our Jeep safari across himalayas and this is one of our most trusted partners with whom we love to do business.  It feels like home when we get here. During the trip we have many responsibilities and duties to take care of but as we get here, we just sit back and relax.. We are sure the clients are having gala time in and around the campus, the food and other services are amazing.  They have nice big rooms, balcony offers great view of ""in house"" apple orchard and then the valley ahead. The night sky is so beautiful from the window that one can literally shoot a star trail without leaving the comfort of their room. Bedsheets,",Terraveller,/Profile/terravellerTosh,"Mumbai, India",50
kinnaur,"We had a plan to stay here for just one day, however we liked this place so much that we extended our stay by one more day. Good food, good service, clean room and bathroom and a good view from the balcony. This hotel is surrounded by apple orchards, apricot trees, grape vine, a nice big swing(Jhula) and a beautiful garden with full of seasonal flowers. Must mention the humble and friendly owner of the hotel, who is a young man of 70,  works in his garden for the entire day and shares his experiences with the guests in the evening. ",Dipanwita A,/Profile/dipanwitaa,"Kolkata, India",50
kinnaur,"I visited Sangla valley in the last week of June. It was a trekking trip with a friend of mine. We had not booked an accommodation before hand and hoped to catch one after arriving in Sangla. Prakash Regency is located on the road to Chitkul towards the other end of Sangla. The property has two separate hotels, one for budget travellers and the other with all the amenities. The property is located in the midst of an apple orchard and is surrounded by well maintained gardens. The hotel offers an amazing view of the mountains surrounding the Sangla valley and the Baspa river.  The town of Sangla is at a walking distance from the hotel.  However, the icing on the cake was the hospitality provided by the proprietor Mr Mohan prakash. Since it was a low season, we were one among the",vinayk362,/Profile/vinayk362,,50
kinnaur,"It is situated on the way to Chitkul. From the 3rd floor balcony of the hotel room, you can have the best mountain view with tireless journey of Baspa  at the base. The apple orchard adjacent to the hotel is the added attraction. Quality of food is good. Room rent is in the upper side.",KHAGENDRANATH J,/Profile/KHAGENDRANATHJ,"Kolkata, India",40
kinnaur,"Stayed on 27th May, 2018 for 1 Night in a room with 3 Bed. Quite a Big Size Room, Comfortable mattress, Clean Linen, Quilt & Blanket. Room heater was provided at extra cost. Geyser was working fine during our stay. Over all hotel was clean. Restaurant has limited option but served good food.  Sangla is a small place with limited choice for stay. This is the best option for stay in Sangla.",MANOJ S,/Profile/MANOJ4988,"Mumbai, India",40
kinnaur,Both rooms and bathrooms are pretty large in size and extremely clean. There is an apple orchard and walnut trees inside the premises of the hotel. Room heaters are NOT available. Marvellous view of The Himalayas from the hotel.,subratanayek,/Profile/subratanayek,"Kolkata, India",50
kinnaur,"The hotel is very good. Service was good. View from the room was also mind blowing. Food was more or less good. In Sangla, one of the best places to stay. Power back up was available and room was also well maintained.",Sujitc75,/Profile/Sujitc75,"Kolkata, India",40
kinnaur,The hotel is situated on main sangla to chitkul road. From this hotel snow covered mountains are visible all around. The river is also clearly visible and entire ambience is also very nice. Pure jain food is also being served by the hotel in addition to non veg food. The food quality is also very nice. The staff is also very cooperative. The rooms have all the facility mentioned in booking site.,kschouhan,/Profile/kschouhan,"Jaipur, India",40
