location,review,name,user_profile,userloc,rating
kinnaur,The view out of the window is breathtaking. The rooms are cozy and the hosts are warm. Nice place to stay if you are visiting chitkul. The food is not very great. There are better places with better concepts like zostel to explore.,GrandTour829444,/Profile/GrandTour829444,"Mohali, India",30
kinnaur,"Have to walk for sometime on a cemented footpath to reach the hotel. The room service, sights & scenes were alright. Two young couples were too drunk & noisy till around midnight  in the common open space. Disturbed peace & tranquility for everyone else!",K Tayeng,/Profile/ktayeng,"Itanagar, India",30
kinnaur,"As part of our trip to Kinnaur region from 21.05 to 30.05, we visited Narkanda - Sangla - Chitkul - Sarhan - Fagu. We were at Chhitkul from 25.05 to 28.05. We booked the hotel well in advance and paid full amount except advance for one room. We reached at Wanderer's nest in the late afternoon. We booked in all 4 premium rooms and were allotted Room No. 301 to 303 and 201. The Hotel is scenically located in the little uphill. We have to walk for 10 minutes by the pathway so as to reach the Hotel. Being at 11350 ft above sea level it is very hectic experience to walk upto the hotel.  So everybody must make up their mind that the hotel is not easily approachable by vehicle but one has to walk uphill to reach the Hotel. The mobile phones  are not operating  beyond Rachchaam. BSNL",Rm P,/Profile/rmpethe,"Thane, India",40
kinnaur,"only hotel view good, service not up to the mark. food not good. food price was too expensive. hotel staff not co-operative. food was not good, its too much expensive. main problem is hotels entry. service is very bad. Please try home stay. many home stay is available in chitkul reasonable rate.",uroy1986,/Profile/uroy1986,"Kolkata, India",20
kinnaur,"Chitkul is such a charming tiny little village, literally at the very end of India on Tibetan border. Words cannot describe its charm. And wanderers nest is perfectly named, that is what it is. It is surrounded by beautiful snow clad mountains on all sides. You will have to walk about 150m uphill from parking place. If there is luggage, staff will help you to carry. All the rooms offer view of mountains, premium ones from 2 windows, otherwise there is not much difference. Facilities wise, please note that you are in one of the most remote parts of India and do not expect luxuries. In fact at the time we went (mid April) temperatures were still going to freezing in night times which meant no running water in bathrooms. The staff would bring in buckets of water(freezing) on",vijay232,/Profile/vijay232,"Hyderabad, India",50
kinnaur,"Location of the hotel is very good , its in the village. Chitkul has few hotels and this is one the best .Good food along with good service. Must book in advance as these hotels are already full in season time . We have booked this hotel via @stallionReise",AMAR,/Profile/amar3480,"Zirakpur, India",50
kinnaur,Great Location. Courteous Staff. Delicious food. Clean spacious room. We stayed during September end. It was cold and we had bonfire. Hotel had a scenic view of snow clad mountains on 2 sides and at distance river is flowing. We stayed their for one night and it was a great experience.,Aditya Pundit,/Profile/adityapundir,"Mumbai, India",50
kinnaur,"Amazing atmosphere, great facilities, and lovely staff that will make your time in Jaipur fun and easy. My favourite hostel so far in India! Also great porridge. Thank you Wanderers Nest for an epic stay :)",Maggie,/Profile/MaggieFellowes,,50
kinnaur,"It was a really awesome stay here.. Staff is so caring, friendly, well behaved.. Fast response.. Food was super delicious.. Got very tasty tea here after a long gap while traveling.. Overall excellent stay.. Full marks.. 👍🌟🌟🌟🌟🌟",Sanjeet mishra,/Profile/225sanjeetm,"Lucknow, India",50
kinnaur,It was a pleasant stay in chitkul at The Wanderer's  Nest. The hotel was well maintained and clean.  The rooms were nice and tidy.  The hotel staffs were very well behaved. They served us very delicious food. Temparature was alsmost -5 degrees.  The scenic beauty from the balcony of the hotel was tremendous to watch. Overall it was an excellent stay.  Just loved it.  😍,Subhadeep S,/Profile/678subhadeeps,,50
kinnaur,"Chitkul is one of the best travel destination for me so far.  The wanderer's nest is located at a peak, where you get panorama view of the mountains. So you actually enjoy the view.  Must visit and The Wanderer's Nest is the place you should opt for.",Sharma.D,/Profile/dshrama,,50
kinnaur,A beautiful place nested in between nature's lap..rightly called wanderer's nest..combined with a warm host..Manoj..The best place we stayed in the entire spitti trip..Chitkul is indeed a must visit place in Himachal and wanderer's nest is where u want to be when u r there..,Expedition828321,/Profile/Expedition828321,,50
kinnaur,"If u wanna experience best stay best food and best customer services altogether then, The Wandee's Nest is the perfect place for you. Manoj bhai, u did a great job, it was a really nice experience for me Thanks a lot.",nithin m,/Profile/nithinm131,,50
kinnaur,"Skip the zostel near the bus drop off and wander your way through the charming streets of this sleepy town to the oasis on top of the hill. We stayed for a few nights and this place was a pleasure to stay in. Hosts and owner were awesome and friendly. Food, although more expensive than other places in town, was worth it becuase it was so good. If you are in chitkul this is the place to stay! ",Tristan C,/Profile/tristanc1234,,50
kinnaur,Been here while backpacking with a friend. It's a comfortable place with nice people running it. Guys were prompt in their service.   Do recommend others to visit this place.  Have attached some views from our room.,Sumit P,/Profile/Venture821859,"Bengaluru, India",50
kinnaur,"Good clean rooms, very polite and helpful staff, good food at service. Chitkul itself does wonders as a location, so view from common balcony/corridor is great. One suggestion - should have room heaters in each room - rod heaters would be good enough.  Things to note: Top floor rooms may have water leakage from the roof while raining. There was one in my room and one in the bathroom. Staff was immediately ready to change my room. One may not find all items on the menu due to accessibility issues of Chitkul. Common area outside the rooms should be better maintained and cleaned up especially for a 2K tariff.  Room Tip: Three rooms on each floor - The room away from the stairs would have the best view - windows on two sides. Other two rooms have good views too but the end one is",DarkLindt,/Profile/DarkLindt,Mumbai,40
kinnaur,"Good place to stay. Stayed for 2 days. 1st day when the car broke down, the manager has helpful in assisting to getting it repaired. Food served is hot and good though it takes lot of time. The do have a public room where people gather and meet but unfortunately wasn't functioning while I went.",AVVishakh,/Profile/AVVishakh,,40
kinnaur,"I spent a night in this wonderful place. Wanderer's nest is situated at an excellent location, not on the road. The staff was warm and answered our queries. Rooms were clean and had all amenities. We were surprised to see such good service even in a remote place like Chhitkul. The food was great too highlight being cheese paratha. Speak to the staff for local stories and traditions. Manoj and Akshay were great hosts. Definitely staying here next time too.",Seaside448311,/Profile/Seaside448311,,50
kinnaur,"Experience at Wanderer’s Nest was awesome. The staff was very friendly, the food was good and the view of the valley from the hotel is breathtaking...  You can see the sunrise from your room.. 10 on 10 overall",Ricky S,/Profile/Wanderlust_dagger,"Chandigarh, India",50
