location,review,name,user_profile,userloc,rating
kinnaur,The atmosphere is lively the staff is friendly and helpful. The location is supereb. We had a good time here. The rooms are neat and clean and the prices are reasonable too. When we went there we sat outside admiring the view with the bonfire.,Aakash K,/Profile/AakashK190,"New Delhi, India",40
kinnaur,I was with my family in chitkul and was looking for a room. We saw this place. Went to the reception. Waited for 15 minutes but no one was their. Took a round with other hotels and came back to zostel again. The guy showed me the room this time. I told him i came earlier as well. This kind of striked the guy that we din find a hotel and he told us 3 times the rate. He told the room for 3000. However in front of me some guys paid him 1100 for the room. So yes.. they are very greedy and try to take advantage of the customers. We finally went to hotel sama and had a pleasant stay.,Kanika S,/Profile/KanikaS195,"Shimla, India",10
kinnaur,"Reaching Chitkul at times could be a little painful considering the roads and distance but once you reach, its totally worth it. Zostel Chitkul is situated at the far end of Chitkul just next to the river. I think there could not be a better location when you can dine in and gaze at the mountains and listen to river in the background. Everything was amazing in our stay from clean rooms, to courteous hosts, supreme location and friendly village people around. Only note to all travelers to Chitkul is that there is no mobile range or internet in that area. So be prepared. Heard JIO is coming to Chitkul by end of Aug, 19. So all sorted. I would come back again for sure for a longer stay. This time i had only 1 night stay.",mpriyam,/Profile/mpriyam,"Gurugram (Gurgaon), India",50
kinnaur,"The location is simply beautiful. Zostel rooms are average but the rest of the service is better than the rest and the behavior is outstanding. Simply put, a different experience than the rest of the hotels/hostels.",Akash,/Profile/axe04,"Sankt Augustin, Germany",40
kinnaur,"I was there in month of April 19, My experience with zostel and it's staff is excellent, awesome view, friendly staff and peace. Clean and hygienic food, fresh air, heater in winter and awesome view of the mountains from your balcony.",Mayank,/Profile/Mayankkgupta,,50
kinnaur,This was my first experience in any hostel ever and zostel just took it to another level. Hygienic and comfortable stay ✓.  Fresh cooked Food to satisfy your taste buds ✓ Comfy common room areas ✓ and best part everything was with a great view. The management by the people makes you feel more than home. Very cooperative. Really appreciate the way they do things. The arrangement for treks and trails took it to another level.  Thank you zostel ,Driple S,/Profile/driples,,50
kinnaur,Good location. Clean n comfortable stay. Nice staff behavior. Need to check the food quality n taste. Rest all is ok. Cheaper as compared to other locations in chhitkul if your travelling with friends.,Lalit C,/Profile/lalitc2013,"Faridabad, India",50
kinnaur,"Zostel was great, perfect view, food and most importantly all staff members (specially Mintu bhaiya) were awesome. Very helpful and friendly.I will recommend if anyone is visiting chitkul, zostel is the place to stay.",Charan singh,/Profile/Charansingh90,,50
kinnaur,"Being a frequent traveller i just keep on experimenting with the places i check in. Although I've heard a lot about Zostels, i used to stay at homestays only. The point being connecting with new people and learning things. But this time out on a bike ride, i took a stay at Zostel, Chitkul. The quality of food offered, the hospitality and the friendly nature of staff made me realise i was actually missing a lot from my travelling tales. Talk about comfort, you'll be amazed by the quality of bunk bends and the cleanliness of rooms. Also, It allows you to connect with many different people from different backgrounds, cultures. You get to learn about a lot of new things from different people and maybe that's why we travel, ""to have a different prespective for life, things and",Jayant Kalra,/Profile/Jayantkalra,,50
kinnaur,"Had an amazing stay at Chitkul Zostel. The staff was very kind, friendly and also helped us in every possible way. Arjun who was incharge of the entertainment department was sweet and guided us in all the activities we did. In all it was just awesome.",Twiinkle,/Profile/Twiinklek9,,50
kinnaur,"Staff are kind and friendly, all the facilities are available,I stayed in a female dorm and it is maintained well, even same with common room too. Food is also good, kitchen and surroundings are hygienic.",Aswini,/Profile/Aswinirayala,,50
kinnaur,"I had an awesome stay at Zostel, Chitkul. I arrived a little late and my bus was till rakcham and I couldn’t find anything to reach Chitkul. Thanks to the zostel owner at Chitkul, Mr. Nitin, who made some calls and arranged me a taxi. When I reached there, staff was really welcoming. Reception was verymuch helpful and cooperative.  A special shoutout to the volunteer during our visit, Mr. Arjun,He arranged for outdoor activities to explore like the hike up the mountain and visit to the river bank. When it started snowing he and the Zostel staff made sure we had enough to do indoors in the common room with co-Zostelites, thus boosting interactions. The food served was delicious!!",Bharti Vijay,/Profile/BhartiVijay,,50
kinnaur,We stayed for one night in private room.  This is the only best place to stay in chitkul. Location is easily accessible. Rooms were clean. Good staff. Good common rooms. Good food. Overall our experience was very good. ,625sahila,/Profile/625sahila,,50
kinnaur,Me and two of my friends decided to visit Chitkul as all of us needed to get away from the city's hustle bustle. I was glad I chose to stay at Zostel during our visit.  We absolutely enjoyed our stay at the Chitkul Zostel. I loved the location of the place. The locals as well as the staff were pretty helpful.,Aakanksha,/Profile/Aakankshaonthgo,,40
kinnaur,The Zostel is situated at the best location of Chitkul village. It gives the panoramic view of the village covering the mountains and river. We visited Chitkul after completing our Spiti trip. It was worth it saving it for the end. Food and common room were the best part of our stay!,Sneha SK,/Profile/ShivSneha,"Pune, India",50
kinnaur,"I stayed at zostel, Chitkul from 16th to 18 april, and must say I had the best stay there. The location is the best, you get an amazing view of the mountains nearby. the domes and the common rooms are well decorated and maintained. Last but not the least the staffs are super helpful and friendly. I recommend anyone going to Chitkul to stay at Zostel and trust me you will not regret.",Mamtha R,/Profile/595mamthar,,50
kinnaur,"Apart from the clean and super comfortable beds at the property, I was pleasantly surprised by how good the food was considering the place is in a remote area. Basic Indian dishes (Veg & N. veg) were best enjoyed in the beautful sit out benches overlooking the snow capped peaks.  The staff was really helpful and fun! The common room has a lot on offer in case it’s too cold to step out :D  Perfect place to stay at if you are here.",Ishan Jinsi,/Profile/Ishanjinsi,delhi,50
kinnaur,It was such a pleasing view of the mountains. The hosts there especially Lukcy treated us with great hospitality. Would recommend everyone visiting Chitkul to stay here and I guarantee you wouldn't be disappointed at all,Tanvi K,/Profile/TanviK19,,50
kinnaur,"We went to Chitkul on 24/12/2018, the Christmas Eve. All the people there were really friendly. The rooms were well maintained and provided with all facilities needed like heater. Also there was heater in the bathroom because the waters would freeze overnight. Food was really good. I mean people hardly get Aloo parantha and kadai paneer at such a distant location. Also the place is next to Baspa River. They also arranged for a interactive game session where all the travellers met and had some fun.",Aditya Jaiswal,/Profile/adityaj_aj,,50
kinnaur,"Beautiful location of mountains, river and village.- Great staff. Awesome experience of Chitkul and Zostel. The temperature was something around -15/-20 but - didn't face any issue with the water supply or food or anything in general!. i would suggest this place to everyone. Low cost good stay.  3 cheers for zostel !!!",Harish Kukreti,/Profile/caharishk,,50
kinnaur,"This hotel located in chitkul, excellent location. Very good mountain view from the hotel. Nice experience to see the beautiful mountains when you come out from the rooms. Rooms are also good. Supporting staff.",Shubham Grover,/Profile/shubhamgrover,,40
kinnaur,"Situated at the best location of Chitkul- clean setup with brilliant staff- loved every second of my stay! Even though it was bone chilling at -15- didn't face an issue with the water supply or food or anything in general! We went chitkul for 2 days and stayed at zostel for a night only due to availability issues. But this was the best decision to book zostel. They have a very good cafe, location is amazing which gives you a panaromic view of the valley and people at that property was so helpful. less",Gourav D,/Profile/gouravd2019,,40
kinnaur,Situated at the best location of Chitkul- clean setup with brilliant staff- loved every second of my stay! Even though it was bone chilling at -15- didn't face an issue with the water supply or food or anything in general!,Akshay Mehta,/Profile/akiimehta,,50
kinnaur,"We went chitkul for 2 days and stayed at zostel for a night only due to availability issues. But this was the best decision to book zostel. They have a very good cafe, location is amazing which gives you a panaromic view of the valley and people at that property was so helpful.",Subodh G,/Profile/Subodh29,,50
kinnaur,Beautiful space. It was really good. The staff was very courteous and helpful. We stayed there for 4 days and they were available at our beck and call. Everything was perfect. The common room has a lot of games and a television set. Food was a little expensive so keep a good budget for the stay.,nikhitak,/Profile/nikhitak,,40
kinnaur,"The location is fantastic, amazing food and really hospitable staff.. the rooms were well maintained n clean.. altogether, it was an amazing stay at Chitkul Zostel n would recommend other folks to plan a visit.. it’s worth it..",Prateek Negi,/Profile/Prateeknegi89,,50
kinnaur,"Zostel was a picturesque choice of stay to enjoy the beauty of Chitkul in the winter for sure. At the edge of the village, it is quiet and has the loveliest views of the mountains, right out the window. We had a great stay in December. The dorm was very clean and comfortable and well provided for warmth. The common room is a great place to spend time with the books, games and cozy space they've made for people to meet other guests. They have a different menu each day and the food was very good. Eating breakfast at the café  in the open, with the open view and winds was absolutely charming.Vikram, Aman and all the others at Zostel were very helpful and warm hosts. Definitely a happy place to stay and explore in Chitkul.",Rathi P,/Profile/rathi89,,40
kinnaur,"Came to know about this place while scrolling for accomodation for chitkul. Earlier bit sceptical about it but still thought to try it. On reaching its location itself cleared all doubts. It's located on just few yards from Baspa river , surrounded by snow white mountains . Staff was very polite and welcoming. Rooms interior ,common room , outside seating everything is heaven for bagbackers and travellers like me. Most amazing thing is it's food. It's finger lickering. Kudos to chef Aman.",Piyush-the traveller on run,/Profile/Travelleronrun,,50
kinnaur,"Firstly the place is a very beautiful!! N the people der r very nice and helpful ones.... Infact we loved the hospitality ua staffs provided us wid.... Regarding the hotel, it was completely homely and a nice place to relax. And mostly luved the way ua staffs got ready to serve us at any tym of the hour, even wen the weather outside was so harsh!!! We look forward in visiting the place ones again in future!!!",Go50820727129,/Profile/Go50820727129,,50
kinnaur,"I don't need to tell much about the location as it is amazing as chitkul itself is amazing. The renovations are complete and now it looks even more awesome. The decor of the place was up to mark with other ZOSTEL locations with local artwork and funky little additions. Rooms were clean and tidy as expected. The staff was actually even more helpful than other ZOSTEL locations. Food was amazing as Sachin usually goes out of the way to make sure you enjoy it. Although it was cold loved the cold  coffee!!! Our trip was short but very fun and would definitely recommend zostel to anyone and everyone everywhere. Although we didn't get any snow, we heard that snow season is the best to go as everything is more beautiful!!!",Vipul,/Profile/thevipulpatil,,50
kinnaur,"Perfectly located with the most amazing view. The zostel itself is uber cute with extremely friendly staff. The common room is very cool with many games, books, guitar, etc. We stayed in a 4 bed dorm with attached bathroom, everything was very neat and clean. The food was also very good. In the morning we went to the nearby river and the view from there was simply breathtaking. Highly recommended for anyone visiting chitkul.",Nikita,/Profile/NikitaGanjre,,50
kinnaur,The Food Quality and taste was really awesome with the best view of chitkul village and the service was also outstanding really nice experience with you guys in such a remote location keep it up team cafe_ chitkool,Navigator66478113905,/Profile/Navigator66478113905,,50
kinnaur,"Zostel, Chitkul  An overly delayed review which I was supposed to write couple of months ago. Nevertheless, I wanted to put down few words at earliest as this place deserves so.   Location   Chitkul is the tiniest village and it’s not difficult to locate this place (Zostel) as it lies along the Chitkul-Nagasthi road. Once you enter, keep moving on the same road and you can find Zostel on your right hand side.   Rooms & View  As far as I remember, there were two private rooms (double bed with attached washroom), 4 four-bedded dormitories and two camps. We (me & my wife) stayed in a private room. The room was basic but extremely clean with fresh linens and towels. The attached washroom had a geyser and again, it was very clean.   All rooms are facing valley (come out of your rooms",Parthasarthi B,/Profile/parthasarthib,,50
kinnaur,"After reaching Chitkul we realised it has become a business town, swarming with guest houses. Thankfully, all the windows from Zostel open to the valley and you get to see the river and the snow clad mountains (if it’s not too cloudy) from your rooms and not the buildings that are forming at the back of it. The place is done up well especially the common room which is nice and cosy. It includes a tv, some indoor games, guitar etc. We stayed in a room and not a dorm, and the room was basic with an attached w/c. The primary part- it was neat and comfy. The staff was friendly. The blessing in disguise was that most of the networks were not working (except BSNL, although the manager, Nitish was kind enough to lend his phone to call at home) so people came out from the virtual world",Manasi B,/Profile/manasib2016,"Gurugram (Gurgaon), India",40
kinnaur,"Zostel, Chitkul helped us a lot, while we were the only travellers to be stuck there for almost 2 days because of incessant snowfall. A big thanks to zostel, Chitkul and their extremely helpful staff.  They cooperated with us till the very end. Looking forward to visiting again very soon.",Cruiser55712252919,/Profile/Cruiser55712252919,,50
kinnaur,This place is the best to stay at if someone wants to visit chitkul.every person working there makes sure it feels like home.kudos to the cooking staff for such tasty food.The view from there is very serene.,aTiThI R,/Profile/aTiThIR1,,50
kinnaur,"We visited Chitkul for a day from Sangla. While we were roaming around to find suitable place, we saw zostel Chitkul. Wonderful place it is. It offers breathtaking views of Kinnaur Kailash. We just sat there in zostel and marvelled over that view for whole afternoon over some great food. Saw activity board which included interesting things to explore around. On our next trip, we have made note to stay at zostel Chitkul.",UttaraJoshi,/Profile/UttaraJoshi,"Mumbai, India",50
kinnaur,"I came along with my friends to Chitkul and planned to stay in Zostel,since it's our last day of the entire trip from Kalpa-Chitkul,eventually was the best experience we ever had through out the journey.The location is set in such a beautiful spot where entire Chitkul Village could be seen and surrounding mountains looks so near to it.Zostel has got a nice cafe outside decorated in a beautiful setup and a common room with lots of fun filling activities,games,music for everyone to chill out,enjoy their time.",Curious826828,/Profile/Curious826828,,50
kinnaur,"You do a solo trip here or you go with a bunch of friends, the Zostel experience will be everything you're looking for. Clean dorms, bathrooms, brilliant service and the lip-smacking food of the north! A delightful common room with books and board games (also acts as a food area when it's super cold outside), its a great place to meet new people.   Special shout-out to Vikram who's the manager here and an even better host. He'll share some great insights about the village, local stories, maybe show you a documentary, take you for a trek and probably when you're tired and about to pass out, he'll come barging in the common room and ask, do you guys want to see the Milky Way? To which you'll run and go because it's nothing like you've ever seen before.  Star gazing is on another",Parshv S,/Profile/parshvs,"Mumbai, India",50
kinnaur,"On my first solo trip, Zostel Chitkul was definitely my first choice. Despite the cold, the hospitality was great, superbly cool hosts and yes loved the food. Thanks for the love you have for your guests, it definitely makes a difference.  The experience at Zostel does not sums up without a mention of the super comfortable and cosy beds, awesome interiors and a beautiful location that of course welcomed me with my first snowfall experience. From having the best view from my bed to the coolest movie nights, Zostel gave me one of the coolest memories :)   Will visit you again guys !",Shally_Roots,/Profile/Shally_Roots,"New Delhi, India",50
kinnaur,"A nice hostel to stay in the last village of india. Nice hospitality, helpful staff and wonderful chef are the key advantages in this hostel. I like the environment and had a great time in ZOSTEL and will proudly say ""I am Zostelite.""",Escape828542,/Profile/Escape828542,,50
kinnaur,"You should definitely stay at Zostel Chitkul to really feel the vibe of the place. Chitkul is itself so amazing, this Zostel is like a topping on the cake. Rooms are clean, amazing interiors, timely service, a super awesome common room, in all this is an experience of a lifetime. To spend time with fellow travellers, to chill with your troop, play the guitar, play games in the common room, this is the best. A big thumbs up to Zostel Chitkul.",Adventure828182,/Profile/Adventure828182,,50
kinnaur,"If you are in Chitkul, this is a must visit place. Rooms are super clean, comfy, cosy and pretty interiors. The zostel common room is the best to spend time with fellow travellers and play games with your troop. Play guitar and chill with your friends. The zostel Cafe gives you the vibe of your life. You feel different as soon as you enter the place. This is the best place to accommodate yourself if you are in Chitkul.",Freedom828581,/Profile/Freedom828581,,50
kinnaur,"Stayed in chitkul for 1 night and choosing zostel was the best decision. Rooms were clean, staff was friendly and helpful, and the food was delicious especially the pancakes. I loved the common room of this zostel, spent most of the hours there and by the campfire! Amazing people!",GlobeTrotting826019,/Profile/GlobeTrotting826019,,50
kinnaur,"First time staying in Zostel.I was the only foreigner that time and had wonderful experience. Good location, clean room, friendliest staff and cook, delicious food. Spent time in the common room watching TV , reading books as it rained non-stop outside.",whc7,/Profile/whc7,"Petaling Jaya, Malaysia",50
kinnaur,"It's always an amazing experience staying at zostel with their beautiful staff. It was not my first time in zostel property but yes, I would love to stay again if I ever visited chitkul again. Food was delicious and the best part of this property is their cafe from where you will get the view of almost entire valley which is cherry on cake. See you in december love.",himani k,/Profile/himanik71,,50
kinnaur,"we 4 friends stayed at one of the dorm in zostel chitkul the name of the dorm is ""Angoori"" zostel is one of the best property in chitkul and you will find amazing people around you here. the location and the view from zostel is awesome. we also walked a little bit to see the milkyway from zostel with the help of staff. your stay become best when the staff is good and helpful and that is what they are. i will surely visit the place again.",Venture822258,/Profile/Venture822258,,50
kinnaur,"I was traveling solo in Himachal Pradesh in September and planned to stay in Zostel Chitkul. The location of Zostel is amazing. You can hear the Baspa river flowing very clearly from the dorms. The view from Zostel is amazing. You can see snow claded mountains right in front of you!  The food is amazing. The best part of Zostel is the common room. It's well maintained. This is a great place to meet some fellow travelers.  If you are in Chitkul, I would recommend you to stay in Zostel.",Resort822171,/Profile/Resort822171,,50
kinnaur,"Chitkul a hiddem gem nestled in the lap of himalayas. A must visit and if you do visit chitkul stay at zostel. Warm and Welcoming staff, beautiful interior and food is heaven. Zostel chitkul is undoubtedly one of the best in India. Explore the place, meet people, make some friends,work at pea farms, share bread with farmers...that's my memories of zostel chitkul, hope your's are as interesting as mine.",Chiranjeeta C,/Profile/Chiranjita_chatterji,"Gurugram (Gurgaon), India",50
kinnaur,There is so much i can  write about  my solo trip  to himachal but to sum up what i felt was  I found a home away from home ! Thank you zostel chitkul (very neat and clean rooms with good collection of books )  It was a pleasure staying in zostel and  getting to taste   The super delicious organic food :) It was not only food and stays and the scenaries but the helpful nature of people in mountains that gets you carried away !,Pratima G,/Profile/Freedom698804,,50
kinnaur,"Zostel chitkul is by far the best budget priperty i have visited. Neat and Clean room, great service, economical and the best part is the view to die for. It being run by the localites and they are great hosts in telling about rich kinnauri culture and traditions.   Activities conducted at the propery is an icing on the cake...thanks a lot Zostel chitkul",Abhishek T,/Profile/abhduis,California,50
kinnaur,"Zostel Chitkul is one of the best properties of Zostel with an amazing view and location.  And what makes it feel like home is the really friendly people who take care of the hostel here. During my entire stay there,  there was not even a moment that I felt I was traveling alone. The food at the Chitkool Cafe is definitely to look out for.  The best part about this Zostel is Noorie - the resident pup at the hostel.  ",mitrali b,/Profile/mitralib,"Mumbai, India",50
kinnaur,"I have been to many hostels acoss the world but i ll have to say that this one has got the best location possible. You can actually get the feel of staying at the lap of himalaya and can experience the nature at its best. In the small villege called chitkul where population is less than 200, zostel provides you the best stay and tasty food. It has very basic amenities but it is super clean and convinient. You cant ask more than this at such place. Staff is super friendly and helpful. Hostel is right in the middle of the village so you also get to experience local culture as villagers are warm and friendly. Food menu is basic but tasty. I literally drank 6-7 cups of coffee and tea in that chilled weather and the cafe searved it happily. Overall the great experience and ll surely",Pathfinder818088,/Profile/Pathfinder818088,,50
kinnaur,"If you wish to stay at chitkul, the only option you should consider is zostel. The place has an amazing view whenever you raise your head up! The food is totally awesome and finger licking. Makes your stay worth the travel.",Pathfinder819043,/Profile/Pathfinder819043,,50
