location,review,name,user_profile,userloc,rating
ladakh,I stayed in the same tent where Shahrukh stayed during #JabtakjainJaan shoot :)   This place has got best view of Pangong from tents..the staff is amazing and food is good. It is about 10 mins walk to the Pangong lake. The tents are comfortable and have a attached bathroom. Best part NO NETWORK in this area so its just you and Nature D We enjoyed our stay..,Anoop Shekhawat,/Profile/AnoopS637,"New Delhi, India",50
ladakh,We loved the view from our camp. Although it was very cold at night but the rooms are well equiped with blankets and clean beds.  The only reaaon i would reccomed the camp is for the mesmerizing view you get from it.  Location is very good.   Staff were very cooperative and always ready to help you.  We enjoyed a lot and will surely choose the camp again for our next stay .,monalisa d,/Profile/Seaside387947,,50
ladakh,This is one of the colorful camps located on Pangong lake bank ffering a clean and comfortable stay. The staffs are very helpful and the common dining tent offer homely good vegetarian food. The rooms have thick mattress and blankets to keep you warm. Toilets are clean but it is advisable not to try and take shower as hot water might not be available in abundance. All rooms offer good view of the lake. The rooms are not equipped with charging points so the phones and other gadgets needs to be taken care in the main dining hall for charging. There is no power supply from 11pm to 6 am in the morning and tents have battery operated lamps to help. Each tent is supplied with 2 hot water bags in the night after dinner to keep the beds warm through the night as this area the temp. can,Priyanka S,/Profile/Pri0103,"Bambolim, India",40
ladakh,We expected the camp site to be closer to the lake however its much on top.. about a 10 mins walk to the lake.. the tents are comfortable and have a attached bathroom.. there is no power during the day so make sure you have your phone/laptop charged in case you plan to use them.. there is only BSNL network available here and no data connectivity at all.. there is one STD PCO very close by in case of emergency.. you can view the lake and mountains.. the staff is very helpful and gave us hot water bags before going to bed in case you get cold at night or your feet hurt from all the walking.. we enjoyed our stay..,bhoomimehta,/Profile/bhoomimehta,"Noida, India",40
ladakh,Camps are amazing...they provide you with hot water bag during your stay which help you keep warm ...food is good...and the staff is very helpful...it is 10 mins away from the main 3idiots point so the stay there is calm and quite,Tanushree A,/Profile/679tanushreea,,50
ladakh,"Camp Whispering Waves was one of the best decisions in our Ladakh tour. The location of the camp facilitates Pangong view from all the tents. In-spite of infrastructural & geographical challenges in Spangmik, the team made us feel very homely & comfortable. Especially the hot-water bag post dinner, to stand the severe cold, was the cherry on the cake! The tents have basic amenities - clean washrooms and fresh linen are assured. The food was good. The staff was helpful. Overall, a great experience!",Makarand_Karve,/Profile/Makarand_Karve,,50
ladakh,"This camp is one of the oldest at Pangong Lake. It is wisely located at a distance from the lake, so as not to affect the immediate environment of the lake (unlike other camps), but with a splendid view of the lake from many of the rooms. The staff are always ready to serve hot water, tea, hot water bags, and even customized breakfast and dinner. Pangong Lake needs to be freed of tourists staying overnight, so that the pristine environment is protected. If tourists must stay, Whispering Waves is one of the better choices, rather than the camps dotting the lakeside.",Joyoti B,/Profile/1712JB12,"Kolkata, India",40
ladakh,"The camps are basic but the lake views are stunning from the camps...wake u and watch the sunrise and sip your cuppa while looking at the lake...where when the sunlight falls, the water shimmers and just gazing at it makes your morning worth every bit. The service is absolutely excellent. Considering how cold it is at Pangong, the staff doesn't fail to amaze you with their courtesy to never say no for anything. Not that I asked for any favours but whatever little like hot tea or hot water bags for the night, hot water buckets in the morning and everything else was taken care of. The food is as one of my friend said is soul food. made with love and served with love.  Would recommend and it's worth to stay at the Pangong lake for sure... so that you can experience the different",KTheTraveller,/Profile/GlobeTrotterrrrrrrr,"New Delhi, India",40
ladakh,Last week visited pangong lake from Leh. Had one night stay at Whispering waves camp. Location was really good. Tent are not so clean and equipped. Require some maintenance. Staff tries hard to serve even in that atmosphere. ,Divyakant Meva,/Profile/DivyakantMeva,"Rajkot, India",30
ladakh,One of the oldest camp site in Pangong. Our stay in said camp was good and memorable. Food was good. Place was also good. Stay only in middle tents - from no 9 to 13. Other new good options are also available so check before booking. Visit Pangong in mid July till Mid August.,Harshu,/Profile/harshhrz,"Ahmedabad, India",40
ladakh,"Good place though little bit further from lake Great hospitality good food excellent staff, Point to note, there is no power in tents after 10 PM To beat the the cold hot water bags are provided Mobile charging facility only in Dinning Tent  Most important , it is better to visit the lake before in the afternoon as it gets quite chilly late evening",Rajsek,/Profile/Rajsek,"Bengaluru, India",40
ladakh,Accomodation and amenities for stay in Pangong are very basic. So do not have high hopes when you read that Jab Tak Hai Jaan crew stayed in this camp.  The lake is 10min away from the camp and it gets really chilly in the evenings.  Be sure to carry lots of warm clothing as there are no options of heater etc while staying in camps.,tsk2011,/Profile/tsk2011,"Mumbai, India",50
ladakh,"The tents are quite well made, nice and cozy from inside. Even when its cold and windy outside, you are warm inside the tents. However the heavy winds makes the tent flutter a lot. They have an attached bathroom and if not asking for too much they do not have hot water in the tap, but they do provide it in a bucket separately. The food and the service is simplistic yet amazing, kudos for that.  The tents are slightly faraway from the lake, almost a 10 min walk but still gives a good lake view.  Actually its quite amazing how in such a faraway place they have managed to provide even this level of service. Living in these tents is an experience by itself.",SheetalSoni,/Profile/SheetalSoni,"Mumbai, India",40
ladakh,"I have visited this place last year, and it was an awesome stay in Camp Whispering Waves.  Probably the best camp in Pangong . Though it is located little bit far away from the lake, but the view is awesome. Tents are well maintained, comfortable and clean. There is attached bath with the provision of hot and cold water.  Foods are really good and served hot. Overall very nice experience.",somsen,/Profile/somsen,"Kolkata, India",50
ladakh,It was a good stay and perhaps the best tents in Pangong but its away from the lake. It takes about 10 mins to walk up to the water. This is not a bad think because you are outside the clutter and it doesn't get as cold as it gets inside the other tents nearer to the water. The place could have been maintained better for the price we paid but then again its hard to access and bring supplies to this place. Overall a good experience. ,aki076,/Profile/akshaygehi,"Mumbai, India",40
ladakh,The camp is equipped with all amenities and bathroom attached. The view from the camp are awesome. Its unforgettable moments while walking along the shores of Pangong Tso. Quite a good spot for watching birds of many kind,jkkartha,/Profile/jkkartha,"Kochi (Cochin), India",40
ladakh,The people in this camp are extremely warm and caring in their approach. I was amazed at the variety of food served in the buffet during dinner and finger licking food.  Stayed with another friend couple in tents 11 and 12 on 22nd June 2017.  The tents are cozy with attached toilets. The best part it is little away from the lake so the breeze is lesser.  The people go the distance to take care of everybody. There was a group that reached the camp at 12:30 am as they had got stuck and the camp people had kept hot food ready for them.  Wishing all the staff at Camp Whispering Waves all the best.,ARICHAK,/Profile/ARICHAK,"Bengaluru, India",50
ladakh,"We were 8 people and hence had bookings in 2 properties 4-4. I stayed in this one and soon other 4 came crying & horrified, disappointed by their property. The property as other in that region have tents ( camping) only but the make of tent and it's service totally separates it from the others . Nice put up tents with toilets attached and outside sit out partially covered which was very essential due to heavy winds always blowing . Also due to the location of the property situated little up hill from the lake , it makes your stay more comfortable, as the ones near the lake are always facing too much winds. A very little compromise on the view but nothing bothered when you're comfortable. Food provided at that level above sea in a remote area with limited electricity was awesome.",vicrathod_4,/Profile/vicrathod_4,"Mumbai, India",50
ladakh,It's one of the most toughest place to live. The weather is a challenge in itself added to it chilly winds that can pierce your bones. The tent is basic but that is the maximum possible at such places. Camp site is at a very good location and gives good view of the lake and the sorrounding mountains. The staff is very courteous and cooperative. They try their best to keep you comfortable. Serve nice warm food dot on time,Ramanand67,/Profile/Ramanand67,"Ahmedabad, Gujarat, India",40
ladakh,"Good camps, good food and courteous staff. A group member forgot cell phone at the camp, the owner drove back to Leh to return it. Amazing honest and dedication to customers. Highly recommended if staying overnight.",V2R2travel,/Profile/V2R2travel,"London, United Kingdom",50
ladakh,"The tents were very clean, had an attached washroom and their food and service was excellent too. They gave us hot water bags and extra blankets at night to keep ourselves warm. I would definitely recommend this place if you want to stay in Pangong .",kanan p,/Profile/626kananp,,40
ladakh,"We visited this place in may. Fortunately when we reached weather was Sunny and had delicious lunch.they provided​ proper extra bed for my son. Dinner was also good. Little far from lake ,so If u want proper view some tents r there just infront of lake.dining room showcases photos of Anushka and SRK during jab tak hai Jaan shooting. Otherwise it is like all other camps in this area",ARPITA N SHAH,/Profile/ARPITAnshah,"Ahmedabad, India",40
ladakh,I stayed here in last year visit booked package through Mountain trails Mr Nitin Laal for Leh  & Ladkah Trip ..i had an awesome experience through out 7 days firstly my ladkah Hotel which they provided got free upgrade and good food after 2 days we left for Pangong  and reached   to this beautiful camp we reached bit late but they had kept for us hot lunch ready ..food was really delicious and the team of the camp was very helpful ..my wife was sick due to long hrs travel but they camp team had all Local remedies .. over all me and my family loved the entire stay in leh & ladkah and recommend all,vinita,/Profile/vinita201,"Mumbai, India",50
