location,review,name,user_profile,userloc,rating
ladakh,"Being a traveler, Deskit villa is the most beautiful property I have ever been. My finance and I went to ladakh on mid April as one of our flagship tours. The villa is surrounded by panoramic sceneries.. The hosts were amazing in terms of hospitality. The amenities were extremely appreciative.. The food was homemade and typical hot cooked meal, we were needing most at 8 degree temperature.. I highly recommend deskit villa to travellers while their stay in ladakh..  ",Subhoshree R,/Profile/subhoshreer,"Mumbai, India",50
ladakh,"Booked two rooms for two nights This place is only for non indians as they did there best to make us feel neglected.  - No one asked for welcome drink (tea/coffee) upon arrival. -while having breakfast, as soon as the other group (foreigners) came, the instantly said that breakfast is finished only bread is available now. Rude. -i was making payment at the reception but she (lady in charge) ignored us and left the conversation abruptly and went on asking other new occupants if they need anything. - rooms in villa are ill constructed. In one room, the exhaust window of toilet opens in room itself. In our two rooms, the exhaust window of toilet opens in other room's toilet and other room's conversation is loud and clear. -no electricity in evening and no Power backup.  - faulty",vipul s,/Profile/vipuls959,,20
ladakh,"Deskit Villa is a beautiful place. Away from the maddening crowd, tucked away, easily accessible via road and a beautiful shortcut through the back lanes of the town.. Just a bit above Sankar Gompa.  Nice apple trees in the garden, a swing to bask in the sunshine on, a little library and sit out area with beautiful pictures and most importantly very warm hosts with a efficient team.  We were there for the Marathon and had booked the guest house. We also ended up staying at the Boutique hotel for a day when the guest house was full.   The Boutique Hotel is comfortable, romantic, with big spacious room and big well done washroom. The mattress was nice and hard.. just whats good for your back. You have a nice private balcony overlooking the mountains and the fields.. where you can",Pulkita,/Profile/pulkitaparsai,"Noida, India",50
ladakh,"We spent a total of 1 week at Deskit Villa and loved it!  We stayed in rooms in both the guest house and hotel sections and were very pleased with both.  Deskit Villa is a short walk out of the main market area and has great views of the garden and mountains beyond. The location was great and the staff incredibly sweet, friendly and helpful.",Gary B,/Profile/garyb622,"Sag Harbor, New York",50
ladakh,"In the villa (not the hotel) of this guesthouse we stayed three times during our roundtrip in Ladakh. You walk down to the city centre along little paths between the houses. It is a nice downhill walk. Returning is then a long uphill and the path might be difficult to follow.  However, even though a bit away from the city centre on an uitside ring road, the place is well-known to taxi drivers who will bring you back up for Rs 150. So, the distance is no issue really. The rooms are specious (# 105 and 102 18m2 and room 101 20m2) with bathrooms of 4-5 m2). Warm water through an electric boiler, but difficult to regulate. The distance to the town centre almost eliminates the daily noises from the mosques and there are nice views. In this guesthouse, the matresses were the very best",huys25,/Profile/huys25,"Amsterdam, The Netherlands",40
ladakh,"My wife, adult daughter and I stayed at Deskit Villa during July 2016.  We read about Deskit Villa on Lonely Planet.  The accommodations, the owners, and the staff were great during our on and off two week stay.  We did a trek and road trip and looked forward to coming back to this lovely oasis after each journey.   The food was good and very vegetarian (I survived by eating momos in town occasionally).  We stayed in the guest house and it was clean throughout.   The bed was comfortable and the bathroom modern to western standards.    They have a garden and grow their own vegis or buy them from the neighbors garden.  The staff were unbelievably gracious and in the Tibetan Buddhist tradition humble and happy.  The owners worked with us on getting our payments made via credit card",Miguel E,/Profile/miguele22,,50
ladakh,"The reception is very nice The rooms are spacious and the beds comfortable. The food is good and varied. The garden and terrace are beautiful, shaded, quiet. A little piece of paradise to rest after a trek or to acclimatize to the altitude!",carlierchristophe,/Profile/carlierchristophe,"Saint-Denis, Reunion Island",40
ladakh,They have two properties. The guest house and the hotel. The guest house is for a budget traveller. Both the properties are excellent and offer a boutique experience. The staff is hospitable and extremely sweet. The owners Mrs. Thinles and Mr. Lobzang are very helpful. The food is homely yet the spread is exquisite. Had a great time. It's located 15-20 mins away from the Changspa and main market. If you're keen to walk then this is worth an experienced nestled away from the bustle of the town.,GauravChandiwala,/Profile/GauravChandiwala,"New Delhi, India",50
ladakh,"The location and setting are perfect, the owners are always present and helpful, the staff is excellent and friendly, the food is solid, and the mattresses are phenomenal. I would definitely stay at Deskit Villa again, without hesitation. JULLAY for everything! ",adamsoliman,/Profile/adamsoliman,Dubai,50
ladakh,"We stayed at Deskit Villa for three nights. The owner Lobsang, his wife ( a lawyer and who supervises the kitchen and service for breakfast and dinner) and especially the lady Friday Ms. Tsomo ( from a village in Zanskar valley) were nice, helpful and wonderful respectively.  The breakfast (with eggs) and pure vegetarian dinners were simple and nice!  Two more offerings that would make this place worthy of Five stars:  a. Do something about the Internet being distributed per floor rather than a point between the two buildings that makes the wifi signal weak and the net even slower, when available.  b. Offer non vegetarian food for dinners also.  Go for room in the front in the new building. And beware that there are no lifts. So climbing to the second floor can be a bit of a",chandanc22,/Profile/chandanc22,"Pune, India",40
ladakh,"We used this place as base for our trip, 3 of us . We stayed in both new wing and guesthouse. Both have beautiful common areas and have an airy feel .The rooms are big ,comfortable, clean, older in guesthouse but still very comfortable , all with beautiful views of stupa, leh palace or surrounding fields /Himalayas from balconies. Nice hot showers. Grounds are lovely, well kept and welcoming. Staff very nice and reactive, will try their best to accommodate you. It takes about 15-20mn to walk to leh, nice walking path that the staff showed us , a cab will cost you 2$ to come back. We had very good breakfast everyday.  No problems with english, hosts frendly , very knowledgeable and could probably organize a lot for you.  Beware Internet not always working but that's Ladakh. We ",nicole j,/Profile/203nicolej,"San Francisco, California",50
