location,review,name,user_profile,userloc,rating
ladakh,"We had a very pleasant days here. Hotel staffs were friendly and nice. The view from room was amazing! They had clean rooms, heaters, and also hot waters. Although they need to turn off the electricity by around 10-11 but it’s totally understandable. The foods were OK, the dessert was the best!",Yan Marchell,/Profile/yanmarche,"Jakarta, Indonesia",50
ladakh,We stayed in Hotel City Palace during last week of September 2019 and thanks to Niaz bhai who not only assisted in making our itinerary but also gave  advice on how to make our Leh trip memorable.  The hotel is very neat and clean and has all kinds of delicious food available round the clock. The staff are very friendly and the hotel is accessible from easily from Airport. We would stay again whenever we visit Leh. ,Bhaskar,/Profile/Bhaskarkumta,,50
ladakh,"I stayed there with my spouse for 2 nights 23-24 July,2019 and on the 27th July,2019. I was provided Room 108 and 301 respectively. It was a very pleasant stay. The location is good as it is only 15minutes drive from Airport and at a walkable distance from the Leh Main Market. The hospitality of the staff is commendable who take care of your needs.",Sarthak B,/Profile/SarthakB2406,"New Delhi, India",50
ladakh,"We visited Leh- Ladakh during this month of  June 2019 itself and stayed in Hotel City Palace  for four days .It is very good hotel , centrally located and having  very  scenic view .We were given room no 205 and 208  for 2 days having good locational advantage , the staff is very prompt and courteous , Mr Ajay , Manager was always very helping.In our second spell of stay we were give room no 301 and 302 having very good view of snow clad mountains. The owner  of the hotel was also available to the guests and was very caring and courteous . The quality of food in breakfast and dinner was also very good .Overall an excellent Hotel ",F S Sirowa,/Profile/sirowa-111,"New Delhi, India",50
ladakh,"After going through reviews of this hotel we too decided to stay here,we were satisfied,food served was nice ,for non vegetarians chicken dishes were there,only one thing in breakfast paratha served were cold ,Rooms were comfortable but room service staff was not upto mark ,electric kettle is provided in room ,they should also provide tea coffee kit in rooms,most important is that it has lift facility ,overall we had comfortable stay",Laxmi shiv,/Profile/Laxmi74,,40
ladakh,Cosy rooms and accomodative staff. Pretty close to the main market of Leh. Beautiful mountain view from the rooms itself. This one is perhaps the only hotel which has central heating. Loved the cups of Kehwa and nice and sweet cookies.,Asmita M,/Profile/asmitaswarup,"Jalna, India",40
ladakh,"Warmest welcome by their guest staff and they are nothing short of amazing. And by amazing, I meant their service and hospitality. Few times I wanted to ask for assistance but before I could go to them and ask for a favour, they approached me first just by analysing my gesture. They checked on us every time we comes back and even go to the extra mile by providing an oxygen tank when one of us were lacking of it.  Have I mentioned their breakfast and dinner spread? It was finger licking good! Very flavourful I went for many rounds🙊  All in all, I’m one satisfied tenant of 4 nights. Pleasant atmostphere and pleasant people, thank you so much!",Dibbyyyy,/Profile/dibbidibb,"Singapore, Singapore",50
ladakh,I have visited Ladhak in may 2018.   My hotel was the city palace. Easy check in. Excellent room with centralised heating and with all basic amenities. My plan was the brbfat and din. The restaurant is excellent. It has centrilse heating fecility. Overall a excellent hotel for the Ladhak traveler.,DINU50,/Profile/DINU50,"Alappuzha, India",50
ladakh,Stayed for 2 nights. In oct 2018. Friendly staff. Comfortable bed and room. Hot shower and clean toilet. Decent food Spread. Close to market. I had forgotten my kindle. Reception manager sent it to Bangalore with a guest. Thoughtful gesture. Appreciate it. Recommended.,Sridhar K,/Profile/722sridhark,,50
ladakh,"This is a lovely hotel to stay at . Mr Niaz ( May be treated as a owner ) is really very helpful . Other staffs are also good . The only drawback is , this hotel is a bit inside a lane Overall a nice hotel to stay for a family",asishsingal,/Profile/asishsingal,"Kolkata, India",30
ladakh,"Stayed for 3 nights Nice location,helpful staff and tasty food. Also 24 hr power backup and centrally heated helping in survive very cold weather Rooms were also good One of the drawback was that the garden/open area was a bit small Rest all was good",samgarg,/Profile/samgarg,"Indore, India",50
ladakh,"Stayed at this hotel end june.   Initial room shown was small and bare.  Finally got a corner room which was larger, good view and spacious.  As we were on breakfast and dinner plan, food was tasty, service excellent, only non-veg was eggs for breakfast and a chicken dish for Dinner. It was cold end June and raining, but inspite of website saying Heater in rooms, there was no heating.  There was also NO WIFI availableduring my stay and in these modern times, a wifi is very important.  My airtel network also never worked. Also, I would suggest that the Hotel keep a tip box, as when I was checking out, I found none of the regular staff, a complete set of new staff who I had to tip for no reason.  The hotel is a good walk to the Mall/Market ( 15 -20 minutes brisk walk). Another",vinn_2k,/Profile/vinn_2k,"Bengaluru, India",30
ladakh,"We stayed for 3 nights during our leh Ladakh visit,This is one of the best hotels in Leh, which is very near to market and 4-5 km from airport.The hotel is very neat and clean, all staff is very helping.Mr.Niaz, the owner of the hotel looks personally to make stay comfortable,There is a small garden with sit out which is very neatly maintained.Very important thing is they have a lift, so guests do not have to climb the staircase to reach to the rooms on upper floors, which is very important in Leh.And most important is the food, which is very best from breakfast to other meals.",1512mukulj,/Profile/1512mukulj,"Pune, India",40
ladakh,"Located just near the Main bazaar leh city(perfect location),the hotel is clean and provides u great hospitality.The hotel staff and owner are very humble and cooperative they will guide u throughout your stay. The hotel provides u almost every facilities. Food was tasty and hygienic. Overall experience was awesome.I'll recommend dis hotel to every couple and families.",abhishekgrd2012,/Profile/abhishekgrd2012,"Noida, India",50
ladakh,Great hotel... very helpful staff... delicious cuisine.... clean and nice ambience.....stayed there for three nights ...had a pleasant stay👍👍 I would definitely recommend this hotel for families..great location also....close to the shopping areas ..❤️,menakagee,/Profile/menakagee,"Coimbatore, India",40
ladakh,"Stayed two nights at the hotel.  + Very polite and helpful staff + Good location + Good sized rooms with clean linen and comfortable beds + Very good food + Hot and comforting welcome drink (Kahwah)  - No Internet (WiFi only in the garden, not available in the rooms)",ryatt33,/Profile/ryatt33,"London, United Kingdom",40
ladakh,The city palace leh is a very beautiful hotel  It provides all services one needs. The food they provide is excellent and up to the taste which is not at all spicy delicious food  Heartily satisfied  And highly recommended by me,Saloni S,/Profile/SaloniS227,,50
ladakh,Rooms are clean. Breakfast n dinner was very delicious n badam kahwah was the best....! The best part was the service of entire staff. It is near to market. Hot water service is available 24 Hours. Owner n other staff take good care.,Dnyanda K,/Profile/dnyandak,,50
ladakh,"We stayed in multiple hotels on our Ladakh trip, and City Palace is the best of them. Centrally located, walking distance to the markets, quick service, and most importantly, cell phone signals work - including 4G.  Breakfast was good, staff were eager to help, and their version of Badam Kahwah tea was a highlight of our stay there. Highly recommended. Niaz, the owner, was quite helpful, and he helped arrange for our transport and bookings at other places in Ladakh. Well priced too 👍🏼",Aditya K,/Profile/VizagObelix,"Visakhapatnam (Vizag), India",50
ladakh,Excellent hotel in ladakh. Excellent service. It is also in prime location.i really enjoyed my stay in city palace .and excellent staff service. Co-operation of staff is best which i liked the most. Must visit,mustafa p,/Profile/mustafap376,,50
ladakh,Had been there for a holiday wit family it was a decent hotel the rooms are clean and the food is good the best part is the service of the entire staff they all are very cooperative  the only point is the size of the rooms which is small in entire Leh the reason as shared by the owner is to maintain the heating in cold months which makes sense ,Deepak M,/Profile/Deepak_Mankani,"Mumbai, India",50
ladakh,A fantastic hotel with best in class service. Very well maintained. Rooms are clean hot water room heater works. Which is very critical in Ladakh. Wonderful service arranged oxygen cylinder even @ 2:00 midnight.,CHEL1978,/Profile/CHEL1978,,50
ladakh,"I stayed there for 3 nights. This is a nice place to stay for family and friends. The staff is very disciplined and caring.Mr Ajay, Mr Veeru and Hotel Manager all are very coperative. You will feel that you are living in a family atmosphere.Food is awesome. I will highly recommend this place for stay with family & friends.  ",842narendras,/Profile/842narendras,"New Delhi, India",40
ladakh,"Very good hotel , Food also very good n tasty , best thing is the staff is so good that we call for anything they always get it n always a big smile on their face ..... they are very happy to serve people..... Thank you so much for your hospitality.",Devangi S,/Profile/devangis2015,"Mumbai, India",50
ladakh,"The hotel rooms are very comfortable and nice and spacious. The washrooms are clean and tidy. And the thing I liked the most about them was the food!!! It was sooo tasty, delicious, scrumptious,etc. The gulab jamun was the best!!😁 This hotel is near the main market. The staff is also friendly with us. The rooms have a nice view overlooking the trees and the mountains with their peaks covered with snow. I love hotel city palace.  This is the view from the room.",Riya B,/Profile/RiyaB112,,50
ladakh,Had a pleasant stay at this hotel.. the staff especially are par excellence.. and the owner too is very hospitable... choose the third floor rooms.. they are the best. Food was good... on our last day at the hotel we requested for couple of dishes... and they obliged... ,Archana K,/Profile/748archana,"Mangalore, India",40
ladakh,"We were 3 families totaling 10 members visited Leh in 2nd week of April and stayed at this hotel. The checkin was smooth and the rooms were really spacious and good. The entire staff was ever so helpful and really we need to appreciate them for their hospitality. You ask for anything and they will be there with a smile on their face.  Breakfast and Dinner was good, we enjoyed their soups which was piping hot and was a big relief for the cold climate. There are heaters in room and they also provide enough blankets to protect ourselves from the cold.  Toilet accessories were provided and our bed sheets were changed regularly. The view from room was spectacular and we were star gazing on terrace with temperatures as low as -3 deg and it was amazing to see so many starts.  LEH is a",kamsjune,/Profile/kamsjune,"Bengaluru, India",40
ladakh, I visited this hotel in april. We were given a warm welcome. Owner and staff is really good. Service is quick and satisfactory. Food is good. Hotel is at good location. Very near to airport and other destinations.,Pathfinder766972,/Profile/Pathfinder766972,,50
ladakh,"Near market, shanti stupa, leh fort and 10 min drive from airport. Hotel has got luxury rooms suitable for cold weather. Hotel staff arranges for sightseeing, car rental, excellent food, etc.  Sumit Rana",sumit r,/Profile/sumitr467,,40
ladakh,Nice hotel with clean spacious rooms and bathrooms. Located about 10 mins walk from the main market area. decent food. Very hospitable staff.  The property owner was available at the hotel most of the time and made sure we were well cared for and even assisted us with good advise to help acclimatize to the altitude,Shoeabs,/Profile/Shoeabs,"Bengaluru, India",50
ladakh,"Highly Recommend property, we visited here on 26 sep 2017 to 02 oct 2017, we feel our own Home at LEH, super up experience. very nice hotel staff as well OWNER of Hotel, such a nice human being. Morning breakfast, Lunch and Dinner is of good quality and taste well. I like the entire hotel staff because of their great service and polite nature. I also had a chance to meet the Owner of this Hotel who is warm and friendly person. We had good time talking to each other sharing life experiences. Overall a great experience and wonderful and memorable stay.",Atul S,/Profile/AtulS1129,,50
ladakh,"Leh is heaven of earth. My dream visit to Leh realized few days back. I stayed in Hotel City Palace six nights. This hotel is nothing but home. I experience ed.. Tourism is hospitality industry. Hotel role is very important. When we came to Leh airport saw surrounded by milky Hills, we entered to this hotel with warm welcome by staffs. They are so sincere anything they can do for guests, restaurant is so clean & neat so cooperative. Breakfast and dinner so clean and homely, once we came back from high Altitude this to hotel homely feeling, all body pains and hard travel experience vanished. In night room heater helped us sleep in warm outside temperature is minus side, snowy mountains in early morning is added attraction s. We find good food and our health also in positive, I",MohanBhat,/Profile/mohang23,"Karwar, India",40
ladakh,"I stayed in this hotel for about 5 days during early September 2017. This hotel is good for family stay. Morning breakfast, Lunch and Dinner is of good quality and taste well. I like the entire hotel staff because of their great service and polite nature. I also had a chance to meet the Owner of this Hotel who is warm and friendly person. We had good time talking to each other sharing life experiences. He would also give me advice on my travel plans that suits best for my family. My wife and daughter had sickness the very next day on arrival however the staff was accommodative and responsive by providing taxi to the hospital.   Regarding the rooms I would say it is reasonably spacious. I would recommend Room No 103 on first floor which was best in terms of bed,  bath and view.",Dharmesh Mistry,/Profile/1DharmeshMistry,"Mumbai, India",50
ladakh,"I visited them in the month of Aug, 2017 for a week and I truly enjoyed my stay in ever way. The staff alongwith the owner Mr. Niaz are very helpful.   We had health issues due to travel and they were very supportive. Rooms are clean and it was walking distance from the market.  Food is excellent too. No complaints what so ever. Highly recommended to all",Malik S,/Profile/MalikS463,,50
ladakh,"We stayed in this hotel during our Leh trip in July - August 2017. We were in group of 10 people so probably we have better sense of judgement when it comes to service or any other related issue. Overall, this hotel seems to be nice and comfy. However, there were couple of rooms where bed was uneven resulting into backache frequently. Also, service was top-notch and people were ready to serve whenever required. One particular instance that took  my attention was when they packed our breakfast since we need to leave early for other place which is usually not expected. Also, they have kind enough in arranging cab / taxi that could take us to hospital  for acclimatization issue.Food is good overall. You can  have choice between sitting within restaurant or in the garden whatever",Rishi M,/Profile/Rishi1708,"Ahmedabad, India",30
ladakh,"Stayed in the City Palace Hotel @ Leh between July 2-9, 2017 during our visit to Leh-Ladakh.   The entire team led by the owner: Mr. Niaz extended a very great level of hospitality, making every ""guest"" feel welcome and at home.   Rooms are spacious, decently furnished and maintained. The restaurant serves homely, tasty food - the breakfast and dinner buffet serving a mixed cusine.   The only disappointing part was the WiFi which was rather weak and worked intermittently - but could have also been caused due to poor connection or road repair work around the time of our visit.   Kudos to Niaz, Ajay, Veeru and the other team members who made our stay warm and memorable.   Heartily recommend the hotel to visitors to Leh. ",Prakash S,/Profile/Prakash_Subramaniam,"Pune, India",50
ladakh,Nice staff  Delicious food with good staff Beautiful building with lift Nearby to market where to can do shopping. Neat and clean rooms We stayed for 5 nights and trust me it was pleasant stay and with most of the amenities.   ,Deepankar D,/Profile/drdeepankardas,"New Delhi, India",50
ladakh,"I stayed here with my family in mid of June 2017. Rooms are cozy, clean, nice outside view. Food was excellent. Market is 10 minutes walk away. For every four rooms there was a small common room ( cum entrance ) where you can sit comfortably . Hotel staff was very helping and  accommodating.",DeepakRajput,/Profile/RajputDeepak,"Ludhiana, India",40
ladakh,"The hotel rooms are clean,spacious,well equipped and comfortable. Staffs are very attentive ,receptive and their service was excellent. Food was very good , especially tea and breakfast are amazing. I was very pleased with my stay.  ",Vikramarkiv,/Profile/Vikramarkiv,,50
ladakh,"Nothing under sun, Sun temple of konark is worn=  Very Nice in Leh, clean and homely feeling hotel  Restaurant is with good and warm. Staffs are sincrere And cooperative, not at all lazy.. We stayed there  six nights without fear  ,   ",MohanBhat,/Profile/mohang23,"Karwar, India",10
ladakh,"Our family of four stayed in City Palace,Leh for three days last month. The hotel was extremely good in all aspects from food to hospitality, cleanliness, service and everything you need, making the stay memorable. The tariff was very  reasonable for the facilities available. Would recommend this hotel for those who plan a visit to Leh. Narayanan, Chennai.",tpurammn,/Profile/tpurammn,"Cherai Beach, India",50
