location,review,name,user_profile,userloc,rating
ladakh,"Nice place to stay , connected to market, bus stand. Easy accessibility . Food is tasty and rooms are clean and hygiene . Good property to stay. We stay for 1 night , felt relax. Kids enjoyed , spacious balcony and ample parking ",Gurmeet Singh G,/Profile/gurmeetsinghg2018,"Mumbai, India",50
ladakh,"While coming from Sonmarg, we took a stopover for a night in D'Zojila.  An Old hotel with all required amenities offered will satisfy   Well maintained Roadside hotel with wifi connection, good parking lot.  Well appointed rooms with hot & cold water facility.    We had our dinner and morning breakfast which was really good.  Only drawback is they  do not offer water bottles in the rooms.     ",Jayakar BHAT,/Profile/jbhat2015,"Mangalore, India",40
ladakh,Just stayed for a night during my bike ride to leh.... Even though it was a short stay but I can say this hotel is a good choice around Kargil... Standard rooms with all basic amenities polite staff and tasty food.... Everything is perfect.,AKA0109,/Profile/AKA0109,"Bhawanipatna, India",40
ladakh,This is my preferred place to stay when in Kargil. I have stayed here 5 times. Ask for a room on the opposite side of the reception across the street and you will get a lovely view of the meandering Suru river. ,Saurabh C,/Profile/285saurabhc,"Hyderabad, India",40
ladakh,"Kargil, being a small town, this hotel provides reasonable accommodation for a night stay. We stayed in the hotel while on our road trip from Srinagar to Leh. There is parking for 2-3 cars in the hotel premises. Rooms are basic but clean. Restaurant serves basic food.",vavasthi,/Profile/vavasthi,"Bengaluru, India",30
ladakh,"This place is not  a hotel , it is just a roadside motel , very appropriate for one night stay before leaving for Leh the next morning .The room was not clean and the bathroom was small . The food was okay but not worth the money .",ks1232345678,/Profile/ks1232345678,"New Delhi, India",20
ladakh,Both my wife and I drove from Leh on our way to Srinagar. Excellent parking lot. The hotel rooms were very spacious and bathrooms clean. The views also very nice. The hotel staff very courteous and helpful. The food very tasty ,Arunverma,/Profile/Arunverma,"Amritsar, India",50
ladakh,"The most beautiful view from all over of this Hotel , nice calm place , very sweet staff and the most imp for every person is food , nice decent food all veg or non veg both and the quality of food were also nice .. specially dal rice which I loved it . They make chana dal which is specialty of that region and trust me it gives you effect of Home made food .. 5Start for it .",Tejisaji,/Profile/TejalRajgor,"Navi Mumbai, India",40
ladakh,This is one of the best places to stay in Kargil. After a long road trip the staff were very friendly and helped us to get some good and yummy and hot food. The hotel is good since this is a budget hotel and perfect for travelers.,Akshay C,/Profile/613akshayc,"Chennai, India",50
ladakh,"We were driving from  Srinagar to Leh via kargil and checked into this hotel.   Good parking space, spacious room, good bathroom and comfortable beds. The restaurant is also good and we had dinner and early breakfast.   Location is perfect as well. ",ramchabi,/Profile/ramchabi,"Chennai, India",40
ladakh,overall stay was amazing. rooms was well furnished. clean washrooms . rooms view was fantastic. tasty and fingerlicking food. location was superb. they arrange good package for ladakh. i recommend this hotel to all visitors,rohan k,/Profile/rohankuman,"Navi Mumbai, India",40
ladakh,Visited this hotel in may 2016 with friends. The hospitality was amazing and the service was superb. Also the view from our rooms was very beautiful. We got river view from the new building. I would highly recommend this property woever is going to kargil.,muzamil m,/Profile/758muzamilm,,50
ladakh,I was travelling to leh alone. Had booked a room in hotel dzojila kargil for one night on my way to leh. I must say this is the best hotel in kargil and very neat and clean rooms with amazing service. The food waa amazing and everything was just perfect. Also got to meet Saif and kareena.,Zulfi A,/Profile/ZulfiA40,,50
ladakh,We stayed here for 1 night. impressive location amazing view from rooms. they offer lake view room. room quality was amazing . food was tasty and hygenic. washroom was neat and clean. staff was cooperative and helpful. i hope to visit again in this hotel and stay in same hotel.,sharmakhushboo645,/Profile/sharmakhushboo645,"New Delhi, India",50
ladakh,Visited this hotel in july ....this is the best we will get in kargil. Great location...cooperative staff and neat and clean rooms. I recommend this hotel to everyone. We also met bollywood celebs here.,farzan777,/Profile/farzan777,,50
ladakh,"Everything was just too awesome ... I can only say just experienc & feel it”.  Impressive location very good  and trained staff and ITS LIKE HOME AWAY FROM HOME very , very good and specious rooms facility available like : bikes on rent",ahmadk239,/Profile/ahmadk239,,50
ladakh,"Been there for 3 days great hospitality, decent rooms , great service and very good food . Warm welcome by the staff and nice reception .We were welcomed with ladakhi kehwa at the reception Overall great hospitality  I reccomend this hotel to everyone",Syyed Z,/Profile/SyyedZ,,50
ladakh,"The hotel has rooms on both sides of the road. We had twice a room (301 - 305) in the new building (along the river). The rooms are okay for Indian standards and clean. The bed is perfect, shower is okay. Opening the window means letting in the noise of the dense traffic.  It takes you a 15 minute walk to the busy market. Food quality is average.",Travelman-Tx,/Profile/Travelman-Tx,"Keerbergen, Belgium",30
ladakh,"I stayed for one day and it was pretty ok , had a good night sleep and went to Leh . The food was fine and the room was ok , overall an average hotel , recommended for a night  stay before leaving for leh",ak0906742,/Profile/ak0906742,"Gorakhpur, India",30
ladakh,"When we entered the hotel, we were disappointed with the interiors and the feel of it. The manager sensed our disappointment and showed us their new wing right opposite the old hotel. The new wing was beautiful and had very beautiful views from the verandah. We sat outside our rooms almost whole night and enjoyed the river running just below us. The service was very fast and their was a steward by the name of raju. He was very helpful and went out of the way to make our stay comfortable!! If you tip him well, he can even get you anything you want ranging from rum to anything you desire!!  Food was good, and buffet had a decent spread. Book d'zojilla for your stay in kargil but make sure you stay in their new wing 😊",970pulkitt,/Profile/970pulkitt,,50
ladakh,"Though the location was pretty good (no problem in finding it at all), the outward appearance is a bit quirky. Also the rooms, in a word: a tad bit higher than average. Although the staff was really helpful and friendly. We were the last ones to arrive (it was a group tour) and it was really late, still they held the rooms for us despite the heavy tourist season. The food could have been better. And also they close the main door and expect the guests to retreat to rooms after 10:30, which I found a downcast. The wi-fi was great.",JourneyBuff,/Profile/JourneyBuff,"Ahmedabad, India",30
ladakh,Here we stayed for a night but the experience is really bad. The front desk people are rude and rooms are shabby. Food is tasteless and bad. The hotel employed people with no sense of hospitality. They don't even have any uniform so it is difficult to identify them in common area. However this hotel is very popular to traveller due to its good car parking facility and untrue publicity. I won't recommend it for a family trip.,gkpi,/Profile/gkpi,KOLKATA,10
ladakh,"I use to Travel Ladakh every year with my family and some time with my friends. and always Stay in D Zojilla Hotel, which is a perfect stay for me, having an Awesome River View, Good Food Quality, Good Room Service and this year a big change in the hotel  1. is Hotel is divided in two Part One is the Old one and New Hotel is Constructed in front of the old one which is Much Better and have a panoramic view of Suru River.  2 . is Huge change in Tv Service, D Zojilla have installed an awesome Cable Tv Service in the Room Named as #JAINHITS CATV System , which i saw in UK and Europe.  And i got amazed when i saw Kargil Local Channels running over the tv , Thumbs Up :)  Thumbs up for Such Great Service and Great Accommodation.",raveena765,/Profile/raveena765,"Navi Mumbai, India",50
ladakh,"Well here's one hotel which is worth your stay...food is good...room service facilities as well as buffet,staff is responsive...provides all the basic amenities..It's one of those hotels which manages to satisfy the needs of a solitary traveller on the road as well as families on vacation...",kacho Mohd Amil K,/Profile/kachomohdamilk,,50
