location,review,name,user_profile,userloc,rating
ladakh,"Best parking space, good food, very friendly owner who goes out of the way to help customers.  Rooms are neat n clean.   Very nice sit out to have tea.  You can ask them about itinerary and they can sort out your permits as well.",Arvind Singh,/Profile/Yatraikida,,50
ladakh,"Staying in this hotel from last three years. Location is very good , close to the airport and walking distance from the market area on Fort road. Specious and clean rooms. Simple but nice decoration. Cool sit out area. Very cooperative and always smiling staff. Delicious and variety of food . And special mention of the owner Mr. Nazir and ever ready to help ,  manager Mr. Nirmal .",Medha V,/Profile/MedhaV7,,50
ladakh,This hotel is located about 15 minutes drive from the airport. It has basic but clean facilities. Rooms are average sized and with basic furnishings. There are no fans and Leh can get hot 32-34 degrees C. North Indian food is better than other foods . There are plenty of good food outlets nearby .Tibetan kitchen is an outstanding eating place which serves excellent food.checkin and check out are no problems . Staff is helpful.No great views from hotel. Worth the price .,HawkEye1333,/Profile/HawkEye1333,"New Delhi, India",30
ladakh,Wonderful stay and tour arrangements. We visited in May 2013. This hotel was new and selected by Cox & Kings tours.  They are our most memorable holidays ever. I strongly recommend that one can coose this hotel for a great holiday at Ladakh 🙋,veenavram,/Profile/veenavram,,50
ladakh,"We stayed in this hotel for four days. Location is good and staff is friendly, Food was a bit repetitive but  you can't more though variety can be added. Rooms are big ,clean, with t.v. and Wi-Fi,  and only one room had the balcony which we were lucky to have. Some board games can be kept to keep the clients busy when they are acclimatizing in the hotel for the day. At the reception counter u can get the books to read Nice place to stay.",nbhargava,/Profile/nbhargava,"New Delhi, India",40
ladakh,Rooms are of good size with attached bath etc. With free Wi-fi in the Rooms. Location of the Hotel is good and is near to the main market. Staff was very helpful and the service provided was good and satisfactory.,Vishu243,,"New Delhi, India",30
ladakh,"If you are in Leh and looking for a excellent hotel in good budget then, go for this one.. i have stayed here couple of times.. Location is very good - Its on fort road and close to main market just a short walk. You might not get view from your rooms but surely visit hotels terrace for sunrise you will get awesome view from there.. rooms are very good.. staff - Mr. Nirmal - Friendly and very helpful and this guy never says no.. so you can take any help from him.",PRASAD B,,"Navi Mumbai, India",50
ladakh,"Great place to stay in Leh with family. very good and warm experience. Friendly owners. Excellent staff. Good food, very near from main market. Lot of other food joints near by. You can get local Ladakhi food with them on request.",prashantbhosale2211,,"Pune, India",40
ladakh,"Right from the owners, Nazir and Abbas who set the tone of genuine friendliness, to the entire staff, you feel welcomed. The rooms are nice, cozy and spacious enough to allow you to unwind after your travels to and around Leh. The ever-smiling Sonam was there when you needed anything at all, Nirmal at front office was ready with anything he could do to make your stay comfortable. We would almost always find guests sitting a chatting with Nirmal, getting pointers on what to do where, etc. What does one say about the food, excellent food prepared by Ram. We were pleasantly surprised when even Nazir, the owner presented one of his signature dishes for lunch - a treat. Nazir also planned and arranged our trip, all we had to do was give him our dates and presto, all planned out and",Jocelyn D,,"New Delhi, India",50
ladakh,"Forget the dusty bad road that leads up to the hotel. Once you enter the gates of Hotel Ladakh Heaven you feel that you are truly in heaven. With its mesmerising mountain views, the fantastic service at the front desk by Nirmal or the great home-like food prepared by chef Ram and served up by the ever smiling Sonam one always feels loved here at Hotel Ladakh Heaven.  All this care and service for guests has been a standard set by Nazir and Abbas the wonderful hospitable owners of this lovely property. The service is exceptional, exactly like views of the mountains or the tour packages offered by Nazir which are extremely reasonable and well thought out. A truly professional team. We had a fantastic stay at Leh and unforgettable trips to Hunder and Turtuk plus even the",JamesMani,,,50
ladakh,Its a very good hotel who are looking for resonable price with excellent service. The chef of this hotel was excellent. Rooms are spacious and toilet was clean. Manager of this hotel named Mr. Nirmol who is a vety good person and he is there for helping tourist. Also Mr. Honey Singh who is the great person and very helpful. I would love to recommend for this hotel who want to get less price with maximum profitability. ...,Rupam0079,/Profile/Rupam0079,"Dhaka City, Bangladesh",50
ladakh,"This hotel is perfect for people looking for a comfortable stay within a budget. The hotel offers clean rooms & toilets, a full service kitchen, free Wi-Fi and excellent service. The food at the hotel is nice and portions are huge!   The owner and the staff are extremely helpful and help planning your trip as well procuring anything that may be required for your time in Leh. The owner, Akbar is extremely resourceful and helpful. His inputs and assistance made sure we had a great time throughout the vacation even when traveling outside of Leh. We were headed straight for Kargil from Pangong Lake and he offered us a room to freshen up if we decided to stopover in Leh. That is genuine hospitality!   The hotel is extremely reasonable to top it all. A very safe option for people",alexander5upertramp,/Profile/alexander5upertramp,"New Delhi, India",50
ladakh,hotel ladakh heaven is a very good budgeted hotel. staff is very friendly. food was good. We stayed there for 3 days & it was a very good experience. will surely stay there on our next visit to leh. It was a total value for money.,shonilaneja,/Profile/shonilaneja,"New Delhi, India",50
ladakh,Hotel Ladakh Heaven is the great place to stay. We enjoyed our 4 days staying with great joy and satisfaction. Every person which you encounter with is with smile on his face. Which is very pleasant.   The rooms and Specially  the bathrooms were very clean.Strongly recommend to stay here. Great Food.. Every single part of the hotel is made with great precision and organization.   Specially would like to say thanks you to Mr. Akbar who welcomed and sign off us with a big smile.  A great Experience......,Kunalsoni27,/Profile/Kunalsoni27,"New Delhi, India",50
ladakh,"We stayed in Ladakh Heaven for 4 nights in May 2014 and we had a very good experience. The staff was very nice, polite and courteous.  I would like to name Nirmal, Santosh and Akbar who went out of the way to provide us a comfortable stay. Nirmal in particular worked day and night to ensure all requests of the guests were taken care of.   The rooms were also clean and the food was good with varieties served every day.  We even asked for a Traditional cultural evening to be organised and this was done immediately.  We had a great time,",Ninad S,/Profile/Ninadshirodkar,"Mumbai, India",40
ladakh,I stayed here with 10 companions as the start point of a motorcycle tour of Ladakh. There were no other guests and we were looked after and fed by the tour support crew so it's hard to comment on the hotel staff. Those we did come into contact with were polite and helpful. My room was comfortable with good views of the mountains. Wifi was poor. Only a short walk to the town centre (10-15 mins).,Andrew P,/Profile/andrewp454,,30
ladakh,"We have stayed in total 5 hotels in Leh (even in cheaper ones than this), and experience with this hotel is by far the worst! So worse that we wrote a letter to our travel agent not to send future clients here so that they don't face the same experience as ours,  We moved to this hotel because our earlier hotel was fully booked for few nights. We were told by our tourist agency that this hotel is “similar” to the earlier one, but alas.  Hotel Building and room: +New building +Spacious room (not very spacious, but not cramped) -Room does not contain any mirror (disappointment for the ladies) -The only mirror is above the basin in the bathroom, but it is so dimly lit that it is useless -Hotel is dimly lit in common areas and we had to tell the staff specifically to switch on the",Deba_Nandy,/Profile/Deba_Nandy,"Mumbai, India",10
