location,review,name,user_profile,userloc,rating
ladakh,"We stayed at the Ladakh Imperial as a family of 4 for 5 days. Gem of a hotel! Great location..close to the main market, however certainly not walking distance. The staff is very helpful..they make every effort to make your stay comfortable, especially Tasleem who even helped us plan our trip. Rooms are well furnished and comfy. The food was good..they were kind enough to specially prepare dishes according to our taste. All in all, we had an amazing trip! Would definitely love to visit again!",Swati A,/Profile/SwatiA318,,50
ladakh,"This is my second visit to this hotel. The staff , ambience, food , rooms , cleanliness everything was wonderful, a perfect place to stay in Leh for families n friends . Local information regarding travel n adventures in Ladakh by Tasleem can make u easy to go around with our any troubles . ",AnilShankar,/Profile/Anilshankar,"Mumbai, India",50
ladakh,"The hotel is on one of the main roads(not a narrow alley deep inside somewhere). Easy to step out to where ever you want to go, with lot of small shops near by in case you missed to pack something. At the same time feels serene and remote, away from all the hustle bustle. Has a large lobby furnished with fine traditional Kashmiri sofas. And there is a nice garden sit out outside,where in case you are done with all local sight seeing, can relax with a book (or a mobile) in your hand in the mild June Sun. Has a large parking as well.  Clean nice rooms. Food is good. The people (Mr.Taslim Chunka and team) are very helpful and knowledgeable. They have all the equipment standby to assess and help with altitude sickness(provided free of charge). They also helped us plan our tour(we",Sudhir Pidugu,/Profile/SudhirPidugu,"Hyderabad, India",50
ladakh,"The Ladakh Imperial so much to say I don't know where to start. Firstly I am from the United States, California..I didnt know to expect but when I got there I was greeted warm welcomes and first class service.Any issues I had were resolved quickly. The accommodations provided were very comfortable and calming..The food was great..the staff were all professional..we were provided with excellent and experienced driver Hussain ..that made our time within Leh very fun and exciting..Towards the end of our stay, I became really sick..The hotel owner Tasleem came and saw me in person and our driver took me to the hospital and got me cared..while there again Tasleem came to check on me..When I went back to Ladakh Imperial the staff were all checking upon me..Overall my experience at the",Harrison Chianelli,/Profile/Chianelli91,,50
ladakh,The rooms are big enough with ample place to keep your luggage. The staff is always ready to help for any of your requirements at any point of time. A little away from the main market but is located in a peaceful area.,Amishi K,/Profile/amishik,"Muscat, Oman",50
ladakh,The room was very nicely maintained. We got a room on the ground floor itself. The property has a very small garden area as well. Many different types of flowers to see. The food at the restaurant is also good. The staff is very helpful.,Amrit Travel Eat Repeat,/Profile/AmritTravelEatRepeat,"Muscat, Oman",50
ladakh,"Thanks to Talsim, we had  exciting trip to leh and around. Coming to imperial, rest assured you will be well cared by spirited staff, clean+ comfortable and we'll connected place to stay and healthy food on your plate. Don't hesitate to share your plan with Tasleem and get his valuable advice. ",artifact19,/Profile/artifact19,MP,40
ladakh,very cozy and comfortable stay. Offers good food. Staff is really polite and helpful. Rooms were spacious. Just awesome. Place is located almost one to one and half km away from market (walkable). Overall good experience.,Naresh M,/Profile/drnareshm,,40
ladakh,"very nice and clean place to stay, very helpful staff and good food. has a beautiful garden with apricot tree.  Owner Taslim bhai is very generous and humble man, and has arranged our entire trip from srinagar to Leh Hunder, Pangong, rafting at Zanskar. At Srinagar we stayed @ Beautiful house boat with amazing view of dal lake (best of location at dal), rental bikes @ leh, cottage stay at hunder and again beautiful tent stay near lakebed @ pangong.",Shivam M,/Profile/ShivamM222,,50
ladakh,Excellent stay and good location.The food is very delicious and the rooms are very spacious.The staff is very cooperative and owner Mr Taslim takes personal care and helps out of the way.The location is very approachable.,sonuleh,/Profile/sonuleh,"Amritsar, India",50
ladakh,A suitable location near the airport. Staff was polite and co-operative. Food was delicious and rooms were spacious and clean. We felt very homely due to regular interaction with the owner Mr. Tasleem as he managed everything very well,Piyush T,/Profile/PiyushT188,,50
ladakh,"It was a comfortable stay for our educational trip. Staff was polite and friendly till the date of departure, we almost stayed for 5 nights, we friends just loved it. Location is very easy accessible. ",SYED H,/Profile/544syedh,,50
