location,review,name,user_profile,userloc,rating
ladakh,"Rooms were basic but nice, clean and spacious. We had got ground floor rooms and had garden view from our window so we liked to keep our windows open.  All the staff were also very friendly. Lobzangbhai is manager, we had made all bookings with him and he was not there when we had checked in, still we had no problem, he had informed his staff and made all arrangements for us.  Clean rooms and clean toilet, nice view from the window, friendly staff, hot water, good food what more you can ask for..",Harshal A,/Profile/harshal88ajmera,"Mumbai, India",50
ladakh,"Hotel Lyon also commonly known as Lyon Guest House. Located at a distance of within 6 kms from Airport and well connected. This stay was booked as part of the tour package by Ladakh Back Packers. And for some reasons this time we didn't look for the review. An trust me, this place didn't disappoint us. Rooms are very spacious and have a constant supply of hot water all through the day and extending upto late evening. Hot water supplied from solar heater. As you visit Leh, only Airtel (Postpaid) and BSNL found to be working here. Data connectivity was 2G on Airtel. ",SandipanBM,/Profile/SandipanBM,"Kolkata, India",50
ladakh,"Unavailability of minimum and necessary stuffs in the room, like no carpets on the floor considering it is a cold place, no hot water in washrooms only available on request  basis for which you need to wait for 30 minutes , food quantity is limited so if you are late for breakfast or dinner , perhaps you won't get it , sad but truth as experienced. Worst part No intercom available to talk to reception so even if you need drinking water anypoint of day or night you have to walk down to reception.  It is obvious to expect NO wifi at such a hotel.",SMFirstTrip,/Profile/SMFirstTrip,"Gurugram (Gurgaon), India",20
ladakh,"We stayed for 2 nights great food and warm hospitality offered to us.Rooms were cozy, clean and big.All the staff over there were very friendly and really helpful.The food was too good and yummy .The view from the guesthouse was amazing. It had a small little garden with apricot and apple trees and beautiful.Thanks to Safi bhai for making our Ladakh trip so memorable.",Saikat S,/Profile/770saikats,"Kolkata, India",50
ladakh,"Hotel Lyon also commonly known as Lyon Guest House. Located at a distance of within 6 kms from Airport and well connected. This stay was booked as part of the tour package by Ladakh Back Packers. And for some reasons this time we didn't look for the review. An trust me, this place didn't disappoint us. Rooms are very spacious and have a constant supply of hot water all through the day and extending upto late evening. Hot water supplied from solar heater. As you visit Leh, only Airtel (Postpaid) and BSNL found to be working here. Data connectivity was 2G on Airtel.  So after sunset, when you are done with your days trip you get a good free WiFi connection at hotel. Yes, there is Tata Sky connection available at room. Oh!! How can I not mention the food. Breakfast and Dinner,",SandipanBM,/Profile/SandipanBM,"Kolkata, India",50
ladakh,Very good hotel. Good tasty veg food available. Good staff. Worth a stay. Housekeeping suggested to take 1 notch up. Else it is a good hotel to stay in a budget price. Will surely recommend others to try it.,Khushbu74,/Profile/Khushbu74,"Mumbai, India",40
ladakh,"“Amazing Experience”    small guest house but excellent service & food in full off season & credit goes to M Lobsang who even in minus 12 - 20 degree is ready to serve you to keep your stay comfortable rooms are big .  I would love to return here and stay again in I ever find myself in Leh, which I truly hope I will some day. The guesthouse is very comfortable and clean at a very reasonable price  I highly recommend this place!!",GOEL_S_K,/Profile/GOEL_S_K,"New Delhi, India",50
ladakh,"We just happened to visit this place. Lobzang, the guy who is managing this place is very helpful. As said by someone before, he actually has solution for almost everything. He knows the place very well and has good contacts as well. The rooms and restaurant is are nicely maintained. The food tastes really good and the kitchen staff are extremely pleasant. The rates are reasonable for the stay and food. I will prefer this to everyone who wants a good hospitality experience.",devpriyo,/Profile/devpriyo,"New Delhi, India",50
ladakh,"Beautiful place, nice rooms, good facilities, awesome staff and a great scenic view from window. Food is ok. Hot water. Nice garden. Helpful manager Lobzang Zotpa. Peaceful place near to city market.  Need more?",ChoosyFoodyMe,/Profile/ChoosyFoodyMe,,50
ladakh,"We stayed here for 4 days during end of Aug 2016-Sep 2016.   The rooms are big, with neat and clean washrooms. There are enough plug points in the room especially on both sides of the beds, in case you need to charge your devices. Also there is a television with Tata Sky Dish, which has mostly Hindi and Sports channels. There is a geyser in each room, but we faced a situation where after one person takes a bath, it takes more than 90 minutes for the geyser to again provide hot water, and the staff provided a bucket of hot water on request. Also there was some issue with door locks on the rooms on first floor above the reception (which shall be fixed soon I believe). Mr Lobzang & the staff is on their toes and very swift to help you out when needed. Also there is a small lawn",Nisarg Mehta,/Profile/nisargmehta1,"Mumbai, India",40
ladakh,"it was a memorable stay at Lyon guesthouse. All thanks to Lobzang for taking good care of us. Almost everything (Location, Rooms, Food) was very good. Need little work on Wifi connectivity (not important but good to have). Overall very good option to stay in Ladakh.",chetan j,/Profile/chetanj193,,40
ladakh,"Awesome place to stay... cyber cafe, market, restaurants, shanti stupa etc is nearby...  Also staff is very helpful...  most importantly, they do not cancel your booking once it's done unlike other guest houses... ",Kailash K,/Profile/208kailashk,"Mumbai, India",50
ladakh,"We travelled to Leh in July 2016. We had been told about Changspa road and we proceeded to look for a place to stay on this road. After a long search, we found Lyon Guest house. It was a memorable stay. The place has great view especially from the rooms at the back. We could see the mountains on one side and beautifully manicured lawns on the other. Food was also good. Service was nice.",Alpna S,/Profile/alps213,"Punjab, India",50
ladakh,"Lyon Guesthouse became a home for us. We booked 4 rooms for our stay at Leh for 3 days. Mr. Lobzang is a gem of a person who personally took care of all our needs and requirements right from the rooms to the cleanliness to the food.  The property is situated at Chagspa road - one of the lively roads and main market is just 2 kms away from the guesthouse. The rooms are spacious and have all the basic requirements like cosy mattresses, clean washrooms, TV and decent décor. The hospitality by the team was amazing and is ever ready to cater to the smallest need to make the stay comfortable and memorable. The food was also very tasty. At the end of our stay, Lobzang arranged for campfire which was again a very memorable affair. We had to return from Tso Pangong  to Leh due to",SwatiJagetia,/Profile/SwatiJagetia,"Mumbai, India",50
ladakh,"We stayed for 6 days in Leh. Our entire trip was organised by guest house owner-Lobzang. Really helpful guy. All the staff over there were very friendly and really helpful. Rooms were cozy, clean and big. The view from the guesthouse was amazing. It had a small little garden with apricot and apple trees and beautiful. We enjoyed our early morning breakfast and evening tea there. Would recommend to everyone who wants to enjoy and remember their stay in Leh for lifetime.",Swarnima G,/Profile/swarnimag2016,,50
ladakh,"I had been stayed for 6 days, amazing place to stay, it was like a home were i stayed not in the hotel, Mr Lobzang has taken a good care, we had a dinner in his house his mother had cooked the food which was same as we you to have in our home.  Really its a good experience to be in Lyon Guest House.",Anil M,/Profile/AnilM934,,50
ladakh,"we had stayed 4 days here in this hotel. the manager was really helpful.Anything u need to get to know anything about leh or plan your trip, he is the guy u should look for. Mr.lozang, thanks for your efforts that. Food is great. rooms are neat.will suit very well into the budget.",Sreekanth K,/Profile/sreek87,"New Delhi, India",50
ladakh,"Guest house situated at the Main Street of changspa ( happening street) The support staff are very friendly , Rooms are clean and spacious,value for money , especially the manager lobzang is very helpful . A good place to stay with family or friends    ",asifudeen a,/Profile/asifudeena,,50
ladakh,"The best place to stay in LEH, awesome hospitality and the place is at the busiest Changs pa lane. Rooms, food and support staff is brilliant. Blown away by the hospitality of the Owner, an amazing person and full of knowledge regarding the place who can help you plan your trip properly and arrange things accordingly, helpful and kind. Make sure u stay over here and experience LEH to its best.",kiran kumar,/Profile/kirankkr8,,50
ladakh,"I was hosted by Lobzang, the manager of the hotel. Additionally, there are a couple of young guys that are service staff and kitchen crew. All of them trried to make my visit as pleasant as possible. Lobzang took over the place recently and is trying to build a solid business. Thus you can feel that all the guys are trying to make a good job to build a reputation. The room was clean and I had a great view on the mountains. Comparing to a lot of other places in Leh, you get a decent sleeping and bath room for considerably little money.",odnalaz,/Profile/odnalaz,"Hamburg, Germany",50
ladakh,"When we went to Leh we had a tough time because 2 of our bikes wr broken down. We rang the guest to say we will be late, The person who we met can never be forgotten all our life he was so helpful until we stayed in Leh who helped us through all kind of problems encountered. He never charged extra for any of the additional service nor he cheated us nor took advantage of our situation. We got whatever we asked for. A VERY BIG THANK NOTE FROM ME AND MY FRIENDS!! If you have ever wana go to Leh stay at Lyon Guest house and also dont forget to meet Lobzang Zotpa :-) I can narrate the entire story but that aint fun please experience it ppl!",Balaji K,/Profile/BalajiK153,,50
