location,review,name,user_profile,userloc,rating
ladakh,"When you stay in Two-star property one thing you can't demand is prompt and express service. But Mandala had superb express service.  Mandala managed by All Girls Staff, at least we didn't see any male around. Very sincere, you just have to call once and things were at your door. Next day morning requests were remembered seriously and executed dot on time.  Hot water for bathing was available around the clock, the only issue was when your neighbor is using the bath, the flow of hot water was erratic.  Food is something which we liked very much, simple, variety and on request. Their kitchen is vegetarian, but they get you non-veg dishes from outside. So win-win for both veg and non-veg guests.",drvipuljain,/Profile/drvipuljain,"New Delhi, India",50
ladakh,"I’m happy to book a basic hotel, but then there are certain expectations within the brackets of basic.   Even though I travelled during off season when we were only a handful of occupants, I at least expected warm water (not even hot water). It was between 2-4 degrees celsius during my 2 night stay and no warm water was available.   Dinner was good, fully vegetarian dishes were served and the same went for breakfast.   The staff members were very polite, but they required some refinement. It is super awkward when someone stands watching you eat every time you eat!  The hotel offered wifi, but I’m afraid it was like the hot water, you know it is somewhere - but not there.   Location is far from the main Tibetan market, but there are little shops just up the road. ",knoesenm,/Profile/knoesenm,"Cape Town Central, South Africa",20
ladakh,"This is the hotel which is generally booked by leading tour operators for a group. The hotel is far from market, atleast 20 min walk. Food is average and if u r living for more than one day, you will b sick of eating same kind of food. The rooms r very average n dogs keep on barking the whole night so we could not get sound sleep. Overall a very average hotel. The towels n room were not v clean ",shw1982,/Profile/shw1982,"New Delhi, India",30
ladakh,good housekeeping and staff is very cooperative.Best is the cook or maharaj of the hotel.lovely food.lovely view from the window.you can see mountains and no noise around.kada given by the cook makes all your health problem solved.,rinklejain,/Profile/rinklejain,"Mumbai, India",40
ladakh,Stayed here for a day and slept through most of it but the food here really left an impression on me. I got rasa vada which was as good as South in Leh which ensured the vacation stared on great note. Just stay in this hotel for food quality which rooms are also quite comfortable. Entire hotels in this town offer great hospitality and this hotel is no exception ,Kaushik M,/Profile/785kaushikm,"Navi Mumbai, India",50
ladakh,"We stayed in Hotel Mandala for 4 nights. It has clean reasonable size rooms with big attached toilet. Decoram is also nice. Staff is very cooperative, friendly and sweet talking. Pure vegetarian people may find this very good option as Hotel only serves vegetarian food. Nicely prepared homely food. Location is OK, about 15 minutes walk from market place.",Sandeep Tawale,/Profile/sandeeptawale,"Pune, India",50
ladakh,Stayed here for a night in October 2017 on our last day at Ladakh.. The Hotel has two buildings.. The Dinning Area & Reception is big... The Staff is very Helpful.. Room Were Decent & Big along with clean washroom. Each room comes with a room heater.. Though i feel there can be a scope for improvement specially regarding the cleanliness of the rooms,Ishan Agarwal,/Profile/490ishana,,40
ladakh,"Be prepared for AMS due to the high altitude but if you have enough rest and drink a lot of water then you may be able to acclimatize with the altitude. Love to shop in Leh as they are comparatively much cheaper as compared to Srinagar. The monasteries in Ladakh are highly recommended to visit. Pangong Lake is very beautiful but again as you go thru the Changla pass at almost 18k ft above sea level, you have to be prepared to face the AMS. The people in Leh are very kind and humble. Recommended to go in summer around July-Aug. We were there in October so it is very cold at night and they have a small heater for our room that we need to have 3 comforters to stay warm.",huthaman,/Profile/huthaman,"Kuala Lumpur, Malaysia",30
ladakh,"Location- on the fort road, 5 minutes from airport and 5 minutes drive to market. U can also walk to market its fun window shopping on the way and hv a bite of cake at german bakery. If u want bikes to roam around,u will easily get it right opposite from hotel gate(1400/- for one day)  Rooms- rooms are clean and big, with 24hr running hot water and heating in the rooms. From all the rooms u can hv view of snow clad mountains(go for first floor rooms,u dnt hv to climb much stairs and u will get the good view) P.s 'they dont hv lifts' and its not that big thing.  Service and food- its just amazing, (they will welcome u wid traditional scalf), all the people der will be ready to help u, indian food is really good(so try der soups and fresh fruits).P.S do look for Mahavir amazing",manish c,/Profile/manchauh,"New Delhi, India",50
ladakh,"Just back from Ladakh yesterday! Easily best place to stay, humble staff, great home-style Indian food, cozy rooms, best housekeeping, great in-room service. Convenient location, what else do you look for? went there in a group of 10 which included uncles, my aunt, cousins, husband, each and everyone appreciated the hotel. They have fresh apples from their own trees, simply mouth-watering!",Geetanjali G,/Profile/GeetanjaliG30,,50
ladakh,We stayed in Mandala and it was awesome experience. The family run the hotel is amazing people from owner to service guy.  We celebrated our anniversary there and it didn't feel like u r away from family....  They took care of smallest need of us and i'm sure every one stayed got the same experience.  I'm in love with ladakh and the people hospitality there....must stay is madala in leh. :-),RuchiSethi,/Profile/RuchiSethi,"New Delhi, India",50
ladakh,"Rooms though a bit new constructed,but maintenance is not up to mark..Hotel staff is lacking proper training..Tea and snacks are served after many ring bells..Food served though vegetarian,but it is cooked after counting guest of same palate,which makes the food ordinary.. Average hotel in all respect..",Dushyant S,/Profile/1951dushyant,Muzaffarnagar,30
