location,review,name,user_profile,userloc,rating
ladakh,"We stayed there for 3 nights. Right from the time of our check in till we checked out, one thing we loved about this hotel was their super attentive and ever smiling employees - front desk, restaurant, or any other staff .. They were quite experienced and seemed always eager to make our stay as comfortable as possible. They would ask us if we needed hot water, they would help us with our luggage till the room and also entertain any other request from us..  on the day of check out, they even packed our breakfast(sandwich, cake, biscuit, juice and a fruit) quite early in the morning.   Rooms are newly renovated and spacious espcially the ones facing the garden and Shanti stupa. From my room i had a fantastic panoramic view of snow cladded mountains. Room 101 is one of the best",Ankita Jain,/Profile/AnkitaJain2013,"Jaipur, India",50
ladakh,"We are very much impressed with ambience of hotel, cleanliness of rooms, quality of food and excellent service. Taxi service was excellent and driver had good knowledge of surroundings and was very courteous. Definitely recommend.",lucky B,/Profile/543luckyb,,50
ladakh,"Its a beautiful hotel with unmatched views of the mountain ranges. Stayed for just a day and wish we could have stayed longer. The rooms are big and very well furnished. Ours was a all inclusive rate and the treatment by the staff was simply wonderful. One of the nicest hotel staffs that we have come across anywhere, always ready to help. A bit away from the leh town but if you have a car or are hiring a car, this place can be really nice. Will definitely visit again whenever i will.",Pradeep Patra,/Profile/deepbluesky81,"New Delhi, India",50
ladakh,"We stayed here for 7 nights in July 2018.  Service was super friendly, location was great- just the right distance from the hustle and bustle of the leh market, which was reachable via a 15 minute walk, but far enough away for a truly tranquil stay.  I understand some of the concerns about distance and safety of walking on the narrow road, but imho that is an issue with India in general.  The hotel has a beautiful garden with superb views.  The hotel manager arranged drivers for our trips; the cars were clean, drivers safe.  The rooms were clean, bathrooms clean, hot water available if you try outside if peak times,  Food was good; I wish they changed the tablecloths more frequently, but they weren’t gross.  They are doing construction on the hotel currently, but it was not too",vijay g,/Profile/238vijayg,"Berlin, Germany",50
ladakh,"for a first time visitor with little knowledge about the place, staffs of Hotel Royal Ladakh gave me best know how of the place and top class hospitality. Well trained staffs right from the manager to housekeeping staffs. quite and cordial location for a vacation.",Surender T,/Profile/SurenderT5,,50
ladakh,"The Hotel Royal Ladakh has several advantages: a quiet location, nice garden with seating, beautiful mountain views and well-appointed rooms. Most importantly, the hotel has a staff that is professional, helpful and lots of fun. It’s a great choice for a short- or long-term stay in Leh. ",Anne F,/Profile/907annef,"Santa Fe, New Mexico",40
ladakh,"Stayed in this hotel for 3 nights. Entire team of this hotel starting from Manager to restaurant staff, house keeping etc. all well trained and know how to keep the guest contented. They take care of all your needs in the best manner possible.   The hotel is bit outside the main city on a higher terrain so you can not go to the market every now and then. Either you have to walk down hill for around 15 min to reach the main market (up hill if coming from market area to the hotel) or you can take a taxi at a nominal price. If you are looking for a peaceful location away from the hussel- bussel of the main city then this should be a perfect choice.      There is a garden area in the hotel which is an excellent place to see the scenic beauty of this region and sip some nice hot tea",Sarawgi_Rahul,/Profile/Sarawgi_Rahul,"Rajasthan, India",50
ladakh,"Everything was smooth from check-in to ch eckout,with few hiccups. Their was construction work on but they can't do anything as during winter people can't work but if u have to improve ur hotel they have to do that.                                      Pros Manager was nice as my daughters were short of oxygen he immediately given them they have that arrgement. Food was also good. All services was good. Though construction was on they took all work through back side. Hotel has very nice view. ",291273,/Profile/291273,,30
ladakh,"I spent four disappointing nights at this hotel, and as a result, I believe that this hotel only deserves two stars.  PROS:  1.  Beautiful property/gardens; 2.  Very friendly staff, especially restaurant staff  CONS:  1.  Location: I felt isolated at this hotel.  According to the manager, the hotel is 3km, or about 2 miles from town.  However, the road is essentially a one lane road, with traffic and cows heading in each direction, and while it is downhill to town, it is uphill back to the hotel.  The road is dangerous, and I was able to experience a different, but well located hotel for 2 nights and thoroughly enjoyed being able to walk anywhere I wanted;  2.  Cleanliness:  This hotel was not clean, from the extensive dust in my room to the fact that the table cloths in the",WonderfulWorldItIs,/Profile/WonderfulWorldItIs,United States,20
ladakh,"The girl at reception was lovely and kind and the rooms are fun with an orange coat of paint and traditional willow ceilings but that's about all that was nice here unfortunately. There's a serious dust issue in Leh however our room looked like it hadn't been swept in weeks when we checked in with piles of dust in places. The bathroom had mud footprints throughout and half-used cakes of soap and their empty wrappers on the basin (unsure if room was cleaned at all other than changing sheets?). The wifi doesn't exist so don't even ask about it. It's terrible in Leh altogether but this place didn't even seem to try and get a router! The beds were ok and there's an insanely great view to the snow-capped mountains and the city palace however being so close to the mosque, it's hard to",BriennaH,/Profile/BriennaH,"Brisbane, Australia",20
ladakh,"We Checked in on 16th July'17 Morning, Hotel is around 15 Min from Airport. At the entrance, one could see beautiful varieties of flowers and a well-maintained garden.  We were welcomed by a traditional Ladakhi scarf and a hot masala tea with Smiling faces of the Hotel Staff. We spent total 4 Nights in this hotel, every time different room with good View and were delighted to receive same Hospitality.   It serves delicious food Veg & Non Veg as well, for each stay we had a variety of food like Indian Chinese Continental & Italian. It was not repetitive at all. The hotel uses their own Garden fresh Vegetable.  The Rooms are spacious kept neat & clean. Hotel Staff is very courteous, Friendly and always ready to help you.  Strongly Recommended for Ladakh Visit. We Thank you Hotel",MANISH_GAYATRI,/Profile/MANISH_GAYATRI,"Bhopal, India",50
ladakh,So we checked in post covering manali to leh highway. We were here for 2 nights. the room and staff are very good. good variety in dinner and breakfast. Wifi is horrible. so dont expect much. the lawn is very nice with seating area and great views.,exploredaunexplored,/Profile/exploredaunexplored,"Mumbai, India",50
ladakh,With excellent scenic view. The breakfast at the lawns is an experience. Very spacious rooms with all facilities neat and clean. Good tasty food served by a team of very supportive staff. Although inside in a  very small lanes but value for money. ,MANOJAGARWALA,/Profile/MANOJAGARWALA,,40
ladakh,"Hotel Royal Ladakh is located a little away from the hustle bustle closer to the market  it has a fantastic view and the rooms are awesome.  they have a good dining hall and the food is good too. i was travelling with family and friends and we were 12 of us......Mr. Sharma at the reception upgraded 1 room for us and gave us the suite.......its a beautiful room with an awesome view......the hotel is very nice, it has ample parking space and a lovely place to sit where you can sit and grab a hot cup of coffee early in the morning. the staff is very hospitable and made all of us feel comfortable in every possible way. All the best",KartiKSampat,/Profile/KartiKSampat,"Mumbai, India",50
ladakh,"Excellent location.. very good personnel... Special thanks to Mr Gulshan, Mr Sharma who took care of us..  The food is very tasty and the menu options are good. Also thanks to Mr Dorje... who gave us advice on how to stay and get acclimatize to the conditions of ladakh..god bless him and his team",salilbhangvi,/Profile/salilbhangvi,"Mumbai, India",50
ladakh,"The rooms are spacious and clean The service is very friendly Restaurant (normally buffet type) serves very tasty food The location is a bit outside the city center, but still in walking distance to the center",do007,/Profile/do007,Germany,40
ladakh,Good experience. Stay at hotel was very comfortable. Staff very cooperative and  friendly both at reception and restaurant. Food is good and staff goes out of their way to make guests happy.  Rooms have good view and are clean. View of Shanti stupa from the room. Special mention of Sharmaji at the restaurant for his attitude and service.,Gail_P15,/Profile/Gail_P15,"Mumbai, India",50
ladakh,"The rooms are spacious and the staff is great.  Only ate breakfasts there, but the buffet is good.  Beautiful views of the mountains on one side and the Stupa on the other.  A bit of a walk to town, but doable and the walk to the Stupa is nice.",trvlgrrl_9,/Profile/trvlgrrl_9,Florida,50
ladakh,"During my visit to Leh in May-June 2015 I had stayed in this hotel.Being hilly area,a narrow lane goes to hotel.It is bit far from main market.Hotel is very good Staff is very helpful.Room are clean and well maintained.Although food is good ,but menu is almost fixed.Hotel is situated at a elevated area and this gives good view of snow clad hills and surrounding area.This hotel has a garden also,that gives you pleasure of sitting in sunlight.",Ashok H,/Profile/myindia2015,"Noida, India",40
ladakh,"I stayed in this hotel for 5 Nights in September 2015 in a standard Twin Room. Hotel and Guest Rooms are very nice. Staff is very friendly and always smiling. Food is also nice here and this hotel offers 24 hrs supply of hot and cold water.  View of the mountains and Sanchi Stupa is also ice from the Garden The only drawback is its location. It is located in the interiors of the city on a steep and curved road. If you wish to go out for shopping the you have to hire a taxi both ways, it is very difficult to walk back to the hotel as the walk will be very tiring. Always ask for Fresh Towels.",ManishaGoel,/Profile/ManishaGoel,Delhi,40
