location,review,name,user_profile,userloc,rating
ladakh,"I loved this place because this is in Leh's local market and very close to Tibetan Market, Leh Palace, and Mall Road. The hotel is providing all the basic facilities like hot water, Towels, slippers, hand soap etc. The hotel staff is nice and friendly specially Sharma ji who is accessible 24*7.",Ashish,/Profile/Traveller9868,"Bengaluru, India",30
ladakh,"Basic, at high altitude. There is more than decent food and, a bucketful of warm water feels like the lap of luxury after a long trek. Good service, delightful staff accustomed to dealing with exhausted trekkers!  A beautiful golden hop growing up one wall in the courtyard and great views of Aston Mountain from the roof.",Chris Vickery,/Profile/Chrisvickery2,"Chiang Mai, Thailand",40
ladakh,It’s located in the heart of the town A new wing is being added which will Replace the older hotel..... The staff is amazing and Bobo the owner is super helpful Gives us secured parking for our bikes The new wing is amazing which should be open in a season or two,virkdoc,/Profile/virkdoc,"Chandigarh, India",50
ladakh,Hotel is very good rooms are neat and clean food  was very teasty... i am very  staff  is friedly and everyone treate us like family. Manager is very coprative he provide us well traditional tea. All over every thing was good.,aalamnawab,/Profile/aalamnawab,,50
ladakh,"Hotel is clean and neat, on a really good location close to the main market. I booked a room with hot shower, TV acces, and WiFi.  I get a really cosy room with nice bathroom but there was no hot water for two days, tv was there but without signal, and no wifi at all. Staff was really nice, bit if somebody is paying for hot water, tv acces and wifi, they should provide it. I was surprised when they charged my as i have used all this things.",DavidovicMirko,/Profile/DavidovicMirko,"Foca, Bosnia and Herzegovina",20
ladakh,"Decent room, friendly staffs, great location and good food. It is walking distance from main market so you can enjoy the stay. Breakfast and Dinner menu are decent. Wifi is generally not that great but it is same with almost everywhere in Leh.",shubhammishra24,/Profile/shubhammishra24,"Bengaluru, India",40
ladakh," It was package deal. It was quite small hotel but not much options you will find there.  Food was ok and you have timing for hot water as they might have solar systems,  if you are traveling towards sarchu,  must take a break over here.",Sarita A,/Profile/440saritaa,,30
ladakh,"This property is located perfectly near the main market and all the good eating places. We stayed here for 3 days and the rooms are pretty average. The staff helped us in getting permits to restricted areas (Nubra and Pangong) at an extra charge. The property also has a bike parking which was usually packed during our stay with bikes and super bikes. The food was good. The biggest disappointment were the washrooms, we stayed in 3 different rooms and all of them had some or the other issue. Overall this is an average property with a good location and courteous staff. Go for it if you are out of decent options.",warrioraks,/Profile/warrioraks,"New Delhi, India",30
ladakh,"The room was good neat with clean linen. The bathroom was clean but the hot water supply was intermittent. Wifi is horrible (As with all other places in Leh). But that will give you time to do lot of other things that you are supposed to do in leh :-). The location is good with excellent Eat outs and shops close by. Gezmo, chopstiks and Tibetan kitchen are places to try out which are near by. Would recomment and stay again next time for the location alone. Food was ok but with the eatouts nearby, no complains on that front. Just go for it. Travlled with Royal Moto touring bikers group who were just awesome.... :-)",ARJUN V,/Profile/598arjunv,"Dubai, United Arab Emirates",40
ladakh,"Ideally located at heart of city market, kind of old hotel but fairly good experience.  * Decent Rooms ( nothing spacial and old ) * Lack of facilities  * Good food * Friendly and warm staff * Small but kind of boutique hotel. * Great location for shopping and eatery.  Overall Good experience....  ",Praveen Gokak,/Profile/praveengokak,"Bengaluru, India",40
