location,review,name,user_profile,userloc,rating
ladakh,"Hospitality exists when you believe the other person is on your side..it’s just like your second home. “There is only one boss. ...Mr.Sonam Wangru.. excellent honest understandable, cooperative person “Hospitality is simply an opportunity to show love and care” which is absolutely present.  “Washrooms will always tell if your hotel cares about its guests”.. this is really true. Even Mr.wangru provides all accommodation and transportation for us. That was awesome. Mainly I am thankful to Mr.Anchuk ji who was with us through out our trip and guided us for everything. He is the best.  I would like to visit again and again. Thank you so much for every thing Mr.wangru  Thanks a lot to Anchuk ji. You are the best  ",D Mukherjee,/Profile/drdebjanim,"Kolkata, India",50
ladakh,"I visited this hotel recently. While the rooms are good , there is very limited options for eating. The restaurant menu itself has very few options n even in that majority items are not available. I think this is a very imp point which the hotel should take into consideration. The view from hotel is good .",AnujaMangle,/Profile/AnujaMangle,"Mumbai, India",30
ladakh,"From the meals to the prompt room services,most things about this place was on point! :) Special mention about the staff which was very friendly and helpful! The view was not that good because of the on going construction nearby..plus the wifi connectivity in rooms was bad.",Madhuri Arora,/Profile/Madhuri2307,,40
ladakh,Very helpful staff.rooms were neat and clean.near the airport.they do help you in making all the local arrangements.all the facelities were delivered as promised.best thing was the helpful and co-operative staff.,Shishir,/Profile/Shishir02kumr,,50
ladakh,"We stayed there from 3rd to 7th July with family and friends. The hotel is very friendly, safe and secured. Staff can speak English, Hindi, local language. 24 hrs front desk with no smoking rooms. Indoor games are available. Good rooms with good foods. Staff are very co-operative. All facilities are available including the doctor. Wifi is available only in the reception area. Rooms are spacious and decorated. Well insulated walls and situated in a quiet area. The view from the rooms are fantastic. Hot and cold water, air conditioning are available. very good Indian and Chinese foods are available. The lawn is fantastic. Additional building is being built to add gym, banquet etc. Permit to go to Nubra is arranged by the hotel with a fees and without any hassle. On arrival Kawa",Kaushik ROY,/Profile/Kaushik1976,Hong Kong,40
ladakh,"Th hotel provides great service and food. The staff was nothing but humble to us and provided us with anything that we asked for. The hotel has a deal with various other hotels in Nubra Valley, Pangong, etc. and will provide a driver to go along with you to all your other tourist destinations. After booking this hotel, you may not need to work with any other tourism companies like Thomas cook or Flamingo, they will arrange all the places and staying facilities from their side. The other hotels in other places were also fantastic, we trusted them with that and we don't regret it. It is also close to the main market which makes it easier for people to get any food like bread which you may need on your 4-5 hour journey from one place to another. The rooms were very neat and clean",Manushi Pandya,/Profile/Manushi25,,50
ladakh,We stayed at this hotel 3.nights during our trip to Leh. Very good Hotel with neat and clean rooms. Staff are very helpful and food is very good. We found it as a nice place to stay. The only shortcoming I found is that Hotel does not have a lift. So we found it bit difficult to climb in the first two days with bit of High Altitude Sickness added. ,Sunil Unni,/Profile/sunilmu,"Singapore, Singapore",40
ladakh,I had a stay in this hotel which is located very near to main bazaar. It had a nice view of shanti stupa & the mountains. The food was fine but not extra ordinary overall good experience. I would like to surely visit again.,shweta m,/Profile/shwetam347,"Chandigarh, India",40
ladakh,"This place is not a hotel infact a second home. It is Amazing and provides you great hospitality.The hotel owner Mr.Sonam wangus is very helpful and an awesome person ,he will guide u throughout your stay.😊The staffs were very helpful and generous .The hotel provides you almost every facilities from good rooms to Transportation facility to explore new places and tent stay.  The hotel was great when i say food was great(i mean it ). It is a perfect place for your vacations in leh. Overall experience was awesome❤️❤️.I'll definitely recommend this hotel to every couple and families. You won’t regret i bet you😉",Stay31208592630,/Profile/Stay31208592630,"New Delhi, India",50
ladakh,"My long stay of ten days in Leh was extremely amazing and comfortable because of Mr. Sonam Wangdus (Owner) and all the staff members. The hospitality and humbleness of the staff is excellent. My 10 days self-designed plan was successfully implemented by hotel authorities only. The food quality is wonderful. If I visit once again to leh, there will be no option for me to stay in any other hotel",ajai,/Profile/ajai_521,,50
ladakh,"The Hotel is nearly 0.5 km from Leh Market a walk able distance.Hospitality,food,room service,cleanliness and every thing is excellent.They receive you from Airport on time with your Name plate, give you warm welcome at the hotel with Ladakhi tradition and a cup of shashi Kahwa tea which is awesome.They intimate you for lunch, breakfast and dinner.The whole staff is very punctual.Both the managers are very cooperative.Kitchen Staff is very good. The driver allocated to us named Phunchok Angchuk(9419843445) is as great retired Army person.He makes you feel like a family and you will not require any Guide to get information. we will remember him throughout our life. The Hotel owner Mr. Sonam wangdus(9419795240,9622226320) is very genuine and cooperative,caring person.Overall",VikramjitSihint,/Profile/VikramjitSihint,,50
ladakh,"The whole staff at this hotel the Ladakh Himalyan retreat were very good. The hotel is not very far from the airport and the town markets. We were provided on this tour breakfast and dinner and the Food provided was excellent and has variety. A special mention for the receptionists at the hotel Mr. P Singh and M Verma. Also, the cook who gave variety of food suiting to the weater during the month of May.",bharg0203@gmail.com,/Profile/Bhargava_Ram_O,,50
ladakh,"All of you guys were really amazing, specially the FNB team and FO team you were really helpful during our entire stay, and i also need to thanks our tour guide who was driving us all through the entire journey in leh and other places, thank you guys for making our stay memorable through your assistance.",Pranav vij,/Profile/Pranavvij12345,,50
ladakh,"This hotel is really good. The location is too good. You can view Karakoram ranges from hotel room.  The staff is really cooperative, helpful. Specially Sanju and Pal sing, both the managers are always smiling and ready to help. The food is also tasty. And Satya, his friend serves with full enthusiasm.  All the house keeping staff is quick and full of energy. Housekeeping is fantastic!! Last but not the least the owner- Mr. Sonam is a gem of a person. Energetic, helpful and always smiling.  If I get chance to visit Leh again, I will definitely visit Ladakh Himalayan Retreat only.",sushil main,/Profile/sushilmain,"Thane, India",50
ladakh,I traveled ladakh in 2014 through both of kargil and manali road.you can catch bus for ladakh from Srinagar. Bus goes from Srinagar bus stand at about 6 am.it stay in kargil in night.next day it will go in leh.bus fare is about 800 rupees for ladakh.you can go ladakh from Delhi.there is direct bus runs from Delhi to leh.its time is 2:30 from isbt Kashmiri gate. It takes night stop in keylong.ticket charge is about 1300 of per person.bus is moderate type of himachal roadways,ajaywanderlust,/Profile/842192,"Jhajjar, India",50
