location,review,name,user_profile,userloc,rating
ladakh,What a nice stay Amazing Guest house with a beautiful view from our Room just everything is top quality super clean rooms for Reasonable price. The owners absolutely kind and Generous helpful. Highly recommend for comfortable stay in Leh  ,andrew,/Profile/andrewmakes,,50
ladakh,"Thank you for the amazing stay! Rooms are beautiful, showers are very clean and comfortable. Hot water, wifi, amazing staff and beautiful owner. This was the best part of my stay in Leh. Will definitely come back 🙏🏼❤️",Karen Ben Baruch,/Profile/Karen_Benbaruch,"Tel Aviv, Israel",50
ladakh,"I visited leh during 22-30 Spt 18. I stayed at niri la guest house very near to market,shanti stupa. I booked one room for two with shared toilet but owner of guest house was so kind he offered me separate room attaches toilet.and also provided one extra KAMBAL as it was bit winter there. Cost wise it's very cheap and affordable... Two caretakers of guest house (one of them is Aziz) were very helpful and supporting. Every evening used to walk through market . Soon planning another trip to leh and definitely will stay there only. Your stay at niri la definitely will make your leh trip fantastic. Thank",GlobeTrotting826161,/Profile/GlobeTrotting826161,,50
ladakh,"In September 2018, we were on an extended vacation in Ladakh, which involved local touring in Leh as well as extended car trips to other parts of Ladakh and finally a 9-day trek in the Markha Valley.  Our original reservation was for the Niri-la GH and we spent the first three nights there.  Coming from sea level, Bangkok, we both had headaches and we were pleased that we could order food in, delivered to our room, from a local restaurant.  The food was quite good and we were relieved to not have to go out.  After our first stay at this beautiful guest house, we opted to return twice after our 2nd and 3rd forays in Ladakh.  The guest house dutifully and safely stored our gear.    The rooms in the guest house are new; being about one year old and are very comfortably appointed. ",Banuwati,/Profile/Banuwati,"Bangkok, Thailand",40
ladakh,"Only a ten minute walk from central Leh Niri La Ladakh is a great and quiet place to stay with gorgeous flower garden, and if you are lucky fresh apricots. Our stay was wonderful and our hostess very caring and looked after us well for a couple of days as we had altitude sickness. The rooms are very comfortable with clean bathrooms and view from veranda over the garden. Breakfast included.",mark10r,/Profile/mark10r,"Barwon Heads, Australia",50
ladakh,"I can recommend to stay here. So lovely family. Really good and helpful owners. So lovely garden with sparkling colored flowers and good smell. Short distance to Leh center. Small paths around, good for walking anywhere,  Marit",123sol123,/Profile/123sol123,,40
ladakh,"Booked it for 2 nights in May 2018. Slightly away from the mail city but walk-able. The hotel is more of a home stay with the owner occupying the bigger building and they have also added an annexe building with additional rooms. wonderful views of shanti stupa from the rooftop and even form some rooms. The rooms are big, clean and well furnished. The family grows basic vegetables in the compound which gives it a nice family vibe.  They provide basic breakfast. for lunch and dinner choices food can be ordered from outside restaurants. On the flipside, while the area is a peaceful area, the noise from corridor can be bothersome in the rooms. The rooms need a bit more soundproofing.",Pradeep Patra,/Profile/deepbluesky81,"New Delhi, India",40
ladakh,"We stayed at this guest house for 3days during the month of may2018 and we experienced hospitality at its finest.Guest house had many facilities like TV,nice bathroom with water heater and so on.Guest house is very close to main market.Its such a peaceful atmosphere.If we visit ladakh next time we will surely stay at Niri-la.",venkatachalam m,/Profile/venkatachalamm3,,50
ladakh,"Location of Niri-La guest house is beautiful. There is pleasant natural view of Shanti Stupa & Mountain Peak covered by ice. Property owner Mr Rinchen is amicable person. Guest house  staff is very co-operative & humble. Rent is affordable & comparatively low. I would like to stay at Niri-La on my second visit to Leh. Though It is near from main Market, it is situated in peaceful location. Newly constructed rooms are very comfortable.",kg301189,/Profile/kg301189,"Gandhinagar, India",50
ladakh,"I book two rooms at this guest house.But When we arrive ,they said they have only one rooms left.So bad.We are tired and we have to find another guest house which cost us extra money.I would not recommend this guest house.",Kyaw Y,/Profile/853kyawy,,10
ladakh,Very warm welcome like a family member and so helpfull. Thx for everything you did for us and we will fly back to you  With thai cup noodle. Your milk tea are very good. See you soon my big warm family ,scoop n,/Profile/sc00pn,,50
ladakh,"We were here for 5 nights - the place was clean and lovely as we expected however it was a bit chill in the night time due to there was no heater in room, the hosts were very friendly and helpful  This place was nice and sweet. Internet wasn't properly but it perhaps the same issue everywhere in this city. Quite a good time. ",MONTRUE,/Profile/montienr,"Ko Samui, Thailand",40
ladakh,"I stayed at Niri-la Ladakh Guest House for a week. The room is fine, and the hot water in the bathroom actually works. Like many guesthouses, it has a little garden and you can sit outside for breakfast. It's only a 5-10 min walk to the main market, and very calm because it's at the end of the street. The family who runs it is very nice and helpful. They organized a monastery trip car for one day and a trip to Nubra Valley with other travellers who stayed at the guest house. That made it even more easy to travel than it already is in Leh! Getting my permit however was a bit annoying, because the landlady didn't press the office to check my passport (they saw my old visa had expired and didn't bother to flip the next page to the the current, valid one), so I had to postpone one",miriamsson,/Profile/miriamsson,"Munich, Germany",40
ladakh,"We spent 2 nights here at early of September'17. The first glace at this resort for me is surreal because of the colorful flowers in the garden. The owners of the place are so kind since they allow us to take some veggies and fruits in the resort to eat. The bed is comfy, the hot showers work 100% for us and the walkable distance to Leh main market. I would want to rate this place more but it is only excellence max :)",Gabbie M,/Profile/GabbieMackaman,"Bangkok, Thailand",50
ladakh,"We stayed as a couple during September for a few nights where we were unfortunately both affected by AMS, and bad cases of Delhi Belly! The family were remarkably kind and helpful during this time, offering to cook us dinner (not ordinarily available) of rice and vegetables for our stomachs to tolerate, plus extra blankets and hot water bottles for the night. The gardens are exquisite and there's so much peace and quiet here you'll forget all about the madness of Delhi! Some negative points however - the beds were horrendously hard and so perhaps some foam mattress toppers could resolve that, plus some extra pillows. The shared bathroom was no issue however over 4 days it wasn't cleaned or had the toilet paper restocked (lucky we brought our own!). The hot water system need",BriennaH,/Profile/BriennaH,"Brisbane, Australia",40
ladakh,"Very clean guesthouse with kind people;.  Breakfast could be a little improved. Fair price, not very far from the center, and very quiet. We've been there overall three nights and I'd stay there again.",Deinos1,/Profile/Deinos1,"Lissone, Italy",40
ladakh,"I have visited this place last year, and it was an awesome stay in Niri-la. 5-6 mins of walking distance from the main market area in Leh.  Rooms are quite specious and clean. But few of them doesn’t have attached bath. It is a family run guest house and the Owner of this pace is very helpful. There is a very beautiful garden in the house and good for relaxing. Highly recommended place in Leh in low budget.",somsen,/Profile/somsen,"Kolkata, India",40
ladakh,"Really amazing guesthouse in Leh. The garden outside is a small corner of paradise during spring and summer. The rooms are quite big and definitely clean. We recommend the ones with the private bathroom, for just a couple of dollar more. The staff is really amazing, always helpful and kind. Absolutely recommend this magical place.",Michelangelo T,/Profile/michelangelot217,"Milan, Italy",50
ladakh,"We have just returned from a long holiday in India. One of the highlights was the wonderfully warm welcome we had from the owners, family and staff at the Niri-La Ladakh Guest House. We stayed there for nearly two weeks and were very well looked after. We would recommend this to all wanting a quieter place to stay in Leh, nothing was too much trouble. There were wonderful views from the garden which is loving cared for by the owners.",DJ23,/Profile/DJ23232323,"Leicester, United Kingdom",50
ladakh,"This guest house is run by awesom family, Mr.&Mrs. Rinchen with two daughters. They took me to Shanti Stupa one day, which was very wonderful time to spend with them. Their hospitality was great and I felt like a home away from home. The room and the bathroom were spacious and very clean. The garden was beautiful as well, you can enjoy a cup of tea there. So nice! I would recommend to you!",noboleboroMA,/Profile/noboleboroMA,,50
ladakh,"We had a great time here! Initially booked it for one night but extended our stay with another two. The owners are very welcoming, and make you feel at home immediately. Close to Main Bazar (just a 5-7 min downhill walk). Recommended!",floris83,/Profile/floris83,"The Hague, The Netherlands",50
ladakh,"I stayed 3 nights at the Niri-la Ladakh. I opted for a room with private bathroom. There appear to be 4 of these in a recently constructed new wing, each with a little balcony.   The room was spacious with a clean bathroom and plenty of hot water. The balcony is nice and overlooks the main garden of the hotel.  The staff were polite and friendly. The breakfast, comprising an omelet, fresh fruit bowl, bread and tea was good, made even better by the small outdoor seating area which catches the sun in the morning.   Particularly good is the shortcut that leads from the main bazaar directly to the guest house - it's a pleasant walk way without cars. These little laneways are one of the nicest things about Ladakh.   Finally, the guesthouse was very good value for money - I've paid",w1000,/Profile/w1000,Hong Kong,40
ladakh,"I was unable to stay at the guest house because my flight from Delhi was cancelled due to snow in Leh.  The staff offered to rebook my reservation to a later date.  Unfortunately I was not able to get to Leh because of full bookings at a later date.  I was impressed by the response of the staff to assist me.  If I have a chance to revisit Leh, I will definitely stay at this guest house!",tweedieinindia,/Profile/tweedieinindia,Canada,50
ladakh,"From day one I was welcomed like one would in a stared hotel, my luggage were taken care of by ore than willing employees and I was shown my room with a view too amazing for me to absorb at the outset. The room was very clean as were the bathroom.  Located within walking distance from the city centre and  main market (loads of handicrafts, all kind of shops, tour agencies and motorbike hire among other things).  My stay didn't feel like I was in a guest house, it was a home. The entire family was very welcoming and hospitable. I had interminable chats with the owner about all kind of topics. The host was very helpful in terms of information about how I could get to places I wanted to visit and even organised things for me. Whenever I asked for something , the answer was ""why",Othello81,/Profile/Othello81,"London, United Kingdom",50
ladakh,Awesome & a homely experience right from the Happy Arrival to the Sad departure. Enjoyed every moment of our stay @ Niri La.   This is not a Guest House its a Homestay with a lovable & the best host i could ever find in the Himalayas.  Cheers!,Akash-Patil77,/Profile/Akash-Patil77,,50
ladakh,"I thought Indians were welcome people, they are but not at the Niri Lah guesthouse.  - The woman who made the check in is always angry and with a sad face  - Her housband invited me and my friend to go away because I simply asked wifi and laundry service which are mentioned on booking.com but they don't have both of them  - I saw many guesthouses in India, that one was the dirtiest, hairs all over the bed, dirty bathroom, dirty room floor  -We decided to go the day later and they charged me the whole journey even if the invite to go away was made by them  DON'T GO IN THIS PLACE IS FULL OF NICE PLACES IN LEH",DonZantino,/Profile/DonZantino,"Rome, Italy",10
ladakh,"A lovely hotel, hidden away from Leh's bustling main town - about 7 mins walk away. It makes a lot of difference because you could really get a good night's rest without having to wake up to a symphony of howls and barks in the middle of the night from the street dogs that roam around the main town.  Beautiful garden! It's was in full bloom where we were there! We had a spacious room for 2 pax with a beautiful view of the garden and mountain + with private bathroom (probably the only room with bathroom attached). So book in advance if you toilet sharing is not your thing. Generally speaking, the facilities are basic, comfortable, but not luxurious. Don't expect wifi connection in individual rooms (but there is a common area where wifi is available)  Lastly, our host were",Gaelleloe,/Profile/Gaelleloe,"Singapore, Singapore",40
ladakh,The rooms are spacious though you have to share the washroom. The garden is beautiful to take a walk in & the view is phenomenal. The common areas are comfortable with good lighting having equal indoor and outdoor seating. The owner is a lively couple with a family & they'll take good care of you on your stay. Heed to their advice. Ask nonchalantly for help & it'll be delivered. ,DrKanishkMarkam,/Profile/DrKanishkMarkam,"Lucknow, India",50
ladakh,"OVerall a pleasant stay; the room was clean and quiet and service was attentive. The grounds were quite nice as well. However, there was construction going on during our stay which was noisy and there was limited use of the lounge/living room area (this was for the family only, unlike in other guesthouses in the area). Added to a bit of a lack of overall ambiance and resting areas on the property. Limited wifi (though the case in all of Leh).",jeffreyhdow,/Profile/jeffreyhdow,"Amman, Jordan",30
ladakh,"We stayed for 6 days at Niri-la. We found the place neat and clean. They have a great garden!  The owner and his family are very sweet and took great care of us. On one occasion, my husband and I were stuck in the mountains due to a landslide and we reached Niri-la only around 1 in the night. The owner was up waiting for us with dinner ready on the table. These gestures go a long way in making travellers comfortable in a foreign place. We definitely want to stay here if we visit Leh again!",Divya V,/Profile/DivyaV249,,50
ladakh,"I found Niri-La on an afternoon stroll and was instantly attracted to the large, sunny garden.  I was lucky enough to meet the owners then and there, Kunzes and her husband, who were very accommodating and offered me a room at competitive rate. Opting for a second-level room, it was lovely waking up to the mountain scenery every morning.  This was by far the best guesthouse I stayed in whilst in Leh (2 weeks) and would recommend this place for solo travellers and families.  The guesthouse is about 5 minutes walk from the main town and around half an hour to the Shanti Stupa (which is a great walk in the late afternoon or sunrise). The Guesthouse is set-back from the main bazaar and street, so it is quiet and like a little hidden getaway. I won't forget Niri-La Guesthouse, and I",EstyPants,/Profile/EstyPants,"Sydney, Australia",50
ladakh,"We loved staying here for 2 nights and wish we had stayed longer. The room was clean, the owner was very nice and her daughters were super sweet. For being in Leh where wifi is extremely hard to get working (fast), Niri-la had wifi most consistently compared to other hotels and restaraunts we stayed at.  It's a short walk to main bazaar and has a beautiful garden. Thank you for a nice stay we will come back to Niri la if we come to Leh again!",Ariana P,/Profile/811arianap,"Berkeley, California",50
ladakh,Confirm your booking before arriving so they are well informed in advance. We stayed here for 2 days room is very nice & spacious. It has a small beautiful garden. Leh market is at 10 mins walk by distance as its placed on higher mountain while returning back it takes more time.,parita_k,/Profile/parita_k,"Mumbai, India",40
ladakh,The hospitality is excellent and Mr. Rinchen (the owner of the guest house) and his beautiful family members are always eager to provide the least possible support to the guests to ensure their comfort and security. They were eager and ever ready to guide us while our stay in Leh and facilitated our visits to various locations viz: nubra pangong etc. Mr. Rinchen motivated us to visit the town and encouraged to explore the beauty of Leh. He even made a point to verify our health on daily basis as guests may have altitude sickness or other discomforts. They were quite particular for our foods and ensured that we had variety. The homemade momos were delicious for which special thanks to Mrs. Rinchen. We were blessed to be at Mr. Rinchen's guidance and even Mrs. Rinchen helped us in,Nabanita M,/Profile/NabanitaM17,,50
ladakh,Some friends and I stayed here for a couple of weeks in June. We arrived late in the evening and the owners were very helpful in getting us settled. An extra bed in one of the rooms was no problem.   It's nice and quiet in this area and only 5 minutes walk to the main streets. Brilliant location. There's a common room to relax in and a shared balcony that overlooks their beautiful garden with a good view of Leh's castle. On days when we didn't want to go out for food we would sit here and use the free WiFi and the owners kindly ordered us in some take away which was really excellent food.   Over the 2 weeks we did various trips out of Leh. We left our big bags at the guest house and rooms were available when we got back.   The owners are very friendly and so helpful. They helped,Laura M,/Profile/lauramV1965MF,,50
ladakh,"Set in nice garden with good views this is a friendly family guest house.   I had a big airy room with wooden floors and  hot shower.  The guest house was clean, basic and comfortable. It is near Leh centre but a 5 minute walk up or down hill to the centre. WiFi was ok but the whole of Leh had a WiFi problem when I was there. The owners are very friendly and the breakfast is a great place to meet other travels. Breakfast is simple but filling.",JosephineSalvador,/Profile/JosephineSalvador,"Buenos Aires, Argentina",40
ladakh,"You'll enjoy this loving, hospital family. The location is perfect. Town is a five minute stroll down a paved footpath. It's far enough away from the bustle to be quiet but close enough to be convenient. Rooms are large and clean, hot water is dependable, wi-fi is good, breakfast adequate, and price very reasonable. Owner is very helpful, very friendly and as a local, knowledgeable of the area.",CareyRichard,/Profile/CareyRichard,"Hattiesburg, Mississippi",50
ladakh,"The guesthouse is situated in a quiet nieghbourhous away from all the hassle and traffic in Leh, though still really close to the center, Changspa roas where all the backpacker restaurants are and shops etc. The garden is the best of all, with apricot trees and vegetable growing all over. The rooms are big and bright. The family is really friendly and helpful, they cook tea and order taxi for you, and as we were travelling with bicycles, we could store our boxes there for the whole lenght of our stay. So really, we were very happy to arrive at Niri-La after every trip!",liisilou,/Profile/liisilou,"Vienna, Austria",50
ladakh,Good place to stay at Leh. Just behind the palace. The family is very helpful and the upper floors has good view of mountains and Leh palace from balcony. Quite and comfortable stay option at Leh. Bedroom and bathroom were clean and the owners were very helpful. The main market is just 2kms from this hotel yet the stay is quite and calm.,SkandaTS,/Profile/SkandaTS,"Bengaluru, India",50
ladakh,"Niri-la is perfect if you are the kind of person that appreciates something closer to a home stay rather than a hotel. It is a completely family run establishment, and Mr. and Mrs. Rinchen and their kids are warm, kind and wonderful to get to know and talk to. They look after you while you're there.   The two greatest strengths of Niri-la are:   1. The room views are fantastic and 2. The guest house is definitely great value for money!  The guest house is set away from the main road and is in a quiet part, so you really feel the calm, and in conjunction with the view of the Leh palace and the mountains, this is quite a fulfilling combination.  If you really want to be boring and stay on the internet while in Ladakh, then the wi-fi works quite well for the most part (by Leh",Sroy89,/Profile/Sroy89,"Kharagpur, India",50
