location,review,name,user_profile,userloc,rating
ladakh,Its an excellent property to stay. Very near to market still away from hustle and bustle.You feel in calm staying here.Mr Praveen the Hotel manager is an excellent person and always greet you with the smile. He arranged all the tour requirements of ours. I directly called him from Delhi to book my hotel .Picked us from airport at leh and provided vehicle for rest of our tour also. He even made arrangements for my one night visit to Nubra valley at Alpenglow resort and camps.Hotel food is excellent.Both breakfast and dinner (MAP plan) were awesome.Hotel and rooms were neat and clean. Room service was very fast and professional.I would definitely recommend others to stay here.Will give 5 star rating to the property.,Manjul Chadha,/Profile/ManjulC5,"National Capital Territory of Delhi, India",50
ladakh,It's a nice buotiuqe property with 15 odd rooms on lower Tukcha Road. Leh market is walkable yet you are away from the mad rush. The boys who majorly migrate from kashmiri and himachal for employment during season always had smile on their face while serving the guests. The only improvement area is buffet breakfast... They need to bring variety in food as guests staying for longer time will get bored. Another option would be that book only B&B and have lunch and dinner from innumerable restaurant and cafes dotted across Leh. Parking is also limited for cars. Rooms are well appointed. ,George V,/Profile/GeorgeV392,"Bengaluru, India",40
ladakh,"Such a pleasant stay. Mr. Praveen who is manager of this hotel is so polite, easily approachable, helpful, he assisted us even in our tour plans. Exceeded our expectations. All the staff of this hotel is very helpful. We felt like having a family in leh. Next time we will definitely go to hotel lha ling kha. Highly recommended.",Siddhesh sawant,/Profile/Siddhesh712,"Pune, India",50
ladakh,"Great service, ambience, food, courtesy. Exceeded expectations by 100%. Needed a doctor, the hotel arranged medical assistance immediately. Will stay here next time too. The service is simple, kind and honest. The people are good.",Rahul Kumar Sadhu,/Profile/Rahul1959,,50
ladakh,"I stayed in Hotel Lhalingkha with my family for a week in June'19. The hotel is nice, very near to the market, just a 5 min walk, Airport is also 20 mins away. The staff is very caring and courteous,  especially the room service guys, always ready to help, providing warm water and asking if we need any help every now and then. Food is also good. Special thanks to Mr.Pravin, the manager. He helped us plan our trip, was always available to answer our queries about the trip, arranged cab for us in advance. He was always there to help when need be. Would definitely recommend this hotel to my friends.   Best Regards",Shruti,/Profile/shruti_shukla,,50
ladakh,"Lhalingkha is a very good hotel, staff is very cooperative. Food served here is delicious. Neat and clean rooms and bathrooms. We had a nice stay in this hotel. One of the best hotels in Leh. Highly recommended.",Shruti Jha,/Profile/Shrutiprabhat,,50
ladakh,I had took group of 25 guests to this hotel in the month of July 2018.  Its a nice cozy hotel in Leh just 5 minute walking distance from market place.  Rooms are big with big bathrooms as well. Hotel has a small lawn with 1 apple tree in middle of it. you can seat in the lawn in the morning or at nights and enjoy your meals or drinks.  Restaurant is also good. They serve very tasty food. We stayed here for 4 days. We got variety of soups every day.  Being a travel agent will definately recommand this hotel for the mid range travellers.,Shweta N,/Profile/shwetamn,"Mumbai, India",50
ladakh,"Its really very very excellent hotel to stay in Leh, Staff is very co-operative and helpful. Food and accommodation is awesome. Its very near to the Airport and market.  They have arranged vehicle for Leh  and Ladhak  Its very comfortable.  Driver was good behavior  ITS very good Hotel.",vijay pal S,/Profile/vijaypalS18,,50
ladakh,"The staffs are helpful,caring and also have a nice nature....lha ling kha has a beautiful view and is built hardly 1 km away from the main market of Leh...one can easily visit it walking...the food is really tasty specially the manchow soup and chowmein...the rooms and the bathrooms are clean  and tidy...overall the experience was very good...😘",shanupihu,/Profile/shanupihu,,50
ladakh,Its a really nice and cozy place. The service is really good and the staff is well attentive. Its very near to the main market and at a great location. Good hospitality and great place in a beautiful location.,Praveen C,/Profile/428praveenc,,50
ladakh,"This is a perfect hotel to stay in Leh. The Staff, Room and Services including food are very good. People are very cooperative, Rooms are very neat and clean. The view from the hotel is quite good....",Ankit V,/Profile/AnkitV117,"New Delhi, India",50
ladakh,"i had a corporate  tour  of 30 pax at leh , we had booked package  from Mr Singey wangtak ( + 91 9419983664 )   the best tour operator at Leh  , all the  arrangements   done  by   him   booked by  Mr Wang tak   , reasonable  prices  , food  accommodation   & transportation  all were  done by His  efforts  ,   for  a  corporate   tours  he's  is one of the  best   travel  organizer's  - Hotel   near  by Market   - good  services   - free  WIFI    - Doctor  on a   call    - 24 *7  assistance    for  a  further booking  you can call  to mr  Wangtak     thank you   for  your services   ....",Sushant Patel,/Profile/SushantP163,,50
