location,review,name,user_profile,userloc,rating
ladakh,We stayed in this property for 2 nights while the most leave Pangong after 1 night. And we felt that we took the right decision. Awesome view from the wooden cottage. Situated where the lake begins. Unobstructed view right through the window lying on bed. So we could enjoy all changing colors of the lake from dawn to dusk. The centre of the lake (of course Indian side) is half an hour walking distance. However as the property is situated just beside the lake one can enjoy from there if he has no fascination about the centre. Even in such a solitary place breakfast and dinner option is plenty. Above all the owner and his two sons were so caring that we felt at home. They will have running hot water soon. We got hot water in bucket even at 6a.m. And at night they gave us,Bipasha N,/Profile/rimanee,,40
ladakh,"Property is selling rooms which are under construction , there is no glass on the window . Major Construction going on at the property . you dont want to risk ur life , its just horrible . Management continues to take booking directly and fooling the guests. I was surprised to see the condition of the rooms on arrival , and once you reach pangong late , you cant go back . I took room in another camp and never got a refund for my stay  All the photos of the property are misleading",disha w,/Profile/dishaw12,,10
ladakh,"Best hotel at Pangong with all modern facilities but not very much expensive. View of the lake is excellent. Good food quality, nice dining room. Rooms are also very good. Hotel staffs are well mannered. Hygenic. In my opinion, this is the best place to stay.",saurabhbhattacharya,/Profile/saurabhbhattacharya,"Mumbai, India",50
ladakh,"The rooms ,linen and quilts are clean, bathrooms have hot water and are very clean. The food is excellent.The two girls managing the kitchen/ dining are very very efficient,and provided us with hot breakfast at 7 AM as we were leaving for Tso Moriri early next morning. Mr. Amarinder Singh very thoughtfully preponed our booking by one day as we wanted to return to Leh as quickly as possible. We stayed in the family cottage for one night 25 th July 2018, and are very happy with Pangong Inn. Both the management and the staff are extremely customer friendly,and go out of the way to help guests. Highly recommended. ",Paul,/Profile/corvai,"Kolkata, India",50
ladakh,"It is a hotel located just as you enter the Pangong lake area. We were told not to expect great things in Pangong and the advice is correct. Half of the rooms are not good and choose the rooms near the dining hall which are better. You do not get any telephone or internet in this remote area. There is a very good view of the lake and frankly, you come here to see and absorb the nature and its beauty. Do not expect even 2-star facilities. The food is limited and purely veg stuff but is of good quality. Nobar and no alcohol. Electricity is patchy and at night it becomes so dark that you can not see your own finger in front of your face. If you open the curtains there is similar darkness outside. If you are claustrophobic then carry an emergency torch. Getting warm water to wash",Shreedhar A,/Profile/ShreedharA,"Mumbai, India",30
ladakh,Very serene location on Pangong Lake and wonderful hospitality by the folks ! Special thanks for the campfire 😁 they adhere to special food requests and are very nice and hospitable folks ! Thanks for making our trip memorable  ,Gopaltiger,/Profile/Gopaltiger,Ahmedabad,50
ladakh,Very easy and prompt check in. Basic accommodation as expected. The paucity of the infrastructure was made up for by the smiling services provided by the women. The road to Pangong along with all facilities need to be given a seriuos boost. This beautiful part of India should be made more accessible and enjoyable for all!,Gargi R,/Profile/GargiR24,"Kolkata, India",30
ladakh,"I booked two standard rooms and when I reached I regretted the decision and they had asked me to pay the whole amount while booking so I had no other option but to stay at that place.  I was charged 4200/room/night with breakfast and dinner.  I understand that the hotel is at a high altitude but there are some basic etiquettes that one should follow in the hospitality industry!  I stayed at lake view hotel in tsomoriri which is in even higher altitude than pangong but the overall room and service was worth the money that I paid and it was cheaper than pangong inn.  So, overall I would advice to avoid this place and FYI I saw many guest houses and homestays nearby(I wasn't aware of this and thought that this is the only hotel in the area). ",Abhi,/Profile/abhishek0902,"New Delhi, India",10
ladakh,Awesome place with extra chilling ambience. The lake has beauty of its own.Different colors of water make the lake beauty on heaven.The mountain range behind the lake makes u more romantic. Anyway we were unable to view the sunrise as it was clouded.Highly romantic destination. Must visit ones.,donabasu,/Profile/donabasu,"Ghaziabad, India",50
ladakh,I had communicated a lot with the caretaker of Pangong Inn hotel as I was going on a wheelchair and I needed to know how accessible it was... the manager was so nice that he even send me the pictures so I could plan and understand where I am going ....it is the best that one could find in a place like pangong where mostly people do camping ....the location of the place is so beautiful as you can see the Pangong Lake from the property...... rooms are very basic and so are the toilets ....the rooms are all in one line and all equipped with good blankets for you to keep warm they also gave us heaters if we needed one.... for lunch we would walk down to a small little room supposed to be the restaurant and outside of the room they would have a bomb fire in the night .....it was,wheelchairandeye,/Profile/Pammu_Parvinder,"Mumbai, India",40
