location,review,name,user_profile,userloc,rating
ladakh,"On 18 June 2019, I made the booking of 8 twin sharing Tents at Pangong Sarai through a person called Norboo by paying the deposit. I brought a big group of 16 pax to stay at this property. Upon reaching the place on 14 August 2019, the person in-charge gave us the last row of Tents. He said we booked last minute. It looks like the Person whom I booked the tents with did not communicate with them properly. All tents got flooded. All the beds were together. I have to make request to separate the beds into two, ask them to wipe the floor. Basically, the toilet stinked. Dinner was ok, but Breakfast was too simple with limited choice.   At night, it was cold and windy. Again, I have to request for the hot water bag for each of us. It did not help much. The next morning, they did not",Pei W,/Profile/PeiW86,,10
ladakh,Most scenic vantage point in ladakh pangong valley. just ahead of snow clapped mountains and next to pangong lake. nice facilities and good food. mot staff is proficient in indian food and lot of foreigners also prefer this place. very hospitable crew and all facilities in such tourist places are available.,Antriksh,/Profile/Antrikshtraveller,,50
ladakh,The road to the hotel is very bad but scenic the campsite is in village Mann (48kms from the Indo-China border ) . Hotel water available in the morning on request . There is a govt. run medical dispensary nearby . The tents are small and rather not well furnished . Staff understood our woes regarding the infrastructure. They said the amenities were in place but the villagers didn’t allow the smooth running of the campsite ⛺️. The food is  good regarding the available resources. Overall a decent stay. NO WiFi,Nagaraj R. M,/Profile/munikrishanppan,"Bengaluru, India",30
ladakh,"We stayed at Pangong Sarai on June 20, 2019. It was cold and windy weather. This place sucks. There was no electricity when we arrived. Cabins were smelly. No warm water and heater in the cabin cold days. We had to bring the water in bucket from water tank located 100 mtr away. Electricity is not available in the cabin during night.",Narendra Patel,/Profile/narendraUSA,,20
ladakh,"We were driving from Hunder to Pangong through the difficult road along Shyok river. When we reach Pangong and found the mad crowd busy in clicking photos like the Bollywood movie posture, we were bit disappointed. We decided to drive little far towards Man and find some camps there. The road from Spangmik to Man is equally horrible. After another round of treacherous drive through 9 KM, when we reach Man, we find the camps very expensive there. Finally we had only this camp, the price of which was still reasonable.   After checking in, we realize that we didn't do any mistake in selecting Man over Spangmik. We could enjoy the uninterrupted serenity of Pangong from here.  To talk about the hotel, food was really very tasty. It was very cold at night. The blanket provided by the",Sayantani Chatterjee,/Profile/SayantaniC,"Hyderabad, India",50
ladakh,The place was peaceful and we saw full of stars at night time. Easy access to the lake.  The food was homemade quality and Punjab style so really nice.  The room was clean and enough warm. Hot water was available too.  Thank you for comfortable environment.,ReinaShimizu,/Profile/ReinaShimizu,,50
ladakh,"Location - some reviews complain about the extra 8km drive along a bumpy road to seclusion without wifi. But, if you’re wanting an escape from reality against a beautiful backdrop, the 8km drive is a small price to pay. Yes, the drive does take long, and it should! You should stop along the way and admire the beauty. It really is gorgeous.  Temperature - yes it’s cold. You’re camping at 14,000 ft, on a lake, in the Himalayas. I found the night to be comfortable with the blankets provided. There is a heater, but I’m not sure how much it added. Pro tip: the less you wear at night, the warmer you will be.  Food - I concur with the other reviews... It is incredibly tasty!  I like the central tip box. Makes it easier to reward the excellent service, as they work as a team!  My one",big_paan,/Profile/big_paan,Alberta,40
ladakh,"Too far, around 8 km from the site seeing spot. Bad roads, too cold at night in the camp. Most of the members of the camp did not sleep a wink all night. Food is very basic, nothing much to do here, other than curl up in a blanket. Was a little disappointed with the camp. ",Madhavi,/Profile/450madhavig,"Hyderabad, India",30
ladakh,"The pictures are deceiving. The tents are far from ""superior"". The toilets do not flush / overflow, there is no hot water, water is dripping throughout the tent (almost slipped and fell in the bathroom, had to throw down a bunch of towels just to make a semi-safe walkway to the toilet), the bed is not comfortable, and bed sheets do not even cover the bed so plan on tossing and turning while trying to avoid touching the gnarly mattress.   THERE WERE MANY MOUSE DROPPINGS UNDERNEATH THE PILLOWS which we discovered only in the morning. Seemed dry, as if they were there a long time and they simply do not clean. Disgusting.  The heater was not operating when we arrived in freezing weather at 4pm (even though they advertise heating). We had to beg the manager to turn it on, and he",avpotat,/Profile/avpotat,,10
ladakh,"Lovely campsite 11 km from the onset of Pangong lake.  Service is good. Staff helpful.  Food is vegetarian but home made goodness.  Can get cold at night, but it has radiating heating thru solar heating.  Hot water on tap through solar geysers.  No mobile phone signal. No WiFi",Dinyar B,/Profile/dinyarb,"New Delhi, India",50
