location,review,name,user_profile,userloc,rating
ladakh,"I would like to thanks Raybo hostel for cooperating with us. Inspite of change of plan in the last minute, they didn’t even charge for cancellation and had been really kind with us through out our stay at the hostel.   You will meet a lot other youth around here, the hostel has a good vibe.",Insane,/Profile/usma00,,50
ladakh,"I had a fantastic stay there. Loved everything. The view, location, staff and my fav friend Samarika who also taught us various games.  It was really difficult to leave from raybo and bidding goodbye to my friends there. I would definitely go there again. Thank you Raybo!",Rahul J,/Profile/RahulJ615,,50
ladakh,"I was on my solo trip to Leh when I visited Raybo hostel. The staff were very friendly and their primary concern was comfort,they did not even care about payment as my net was not working good so they told me to get setteled first and then pay on next day. I even got two night free of cost stay on an offer. On my last night they organised a good party with bonfire and we enjoyed a lot. All the efforts were made by Samarika Issar, the caretaker of Raybo hostel. That was amazing experience over there. Thanks Raybo",Anoop Sinha,/Profile/anoopadvlover,,50
ladakh,I visited Leh in May 2018 along with 4 friends. There's plenty of parking space in front of the hostel. The services offered were really great. The owner Mr Eshay is professional and polite. The rooms and beds were more than comfortable. The hostel was almost fully occupied and there were plenty of foreigners staying there with us so we had great conversations. The food offered in the kitchen was also good and it was not expensive at all. Raybo Hostel is definitely better than Lavie Hostel. Highly recommended for travellers who don't want to stay in the rooms and just explore!,Eshaan S,/Profile/EshaanS3,,50
ladakh,Affordable well-maintained rooms in the heart of Leh! Main market and TIC are at a walking distance from this place! Ideal for backpackers who don't need luxury hotels and are more concerned about roaming around. Staff is helpful. Breakfast and free WiFi are added benefits.,Camper815074,/Profile/Camper815074,,40
ladakh,"All you have to do is walk a little down from main tukcha road take a right and walk straight until you find a single house on your left with a beautiful garden in the front. One hostel that I would look upto when ever I come back to leh, for the ambience and sound of water stream 😍",G N,/Profile/gn316,,50
ladakh,"It's seriously a best place to stay for people who are traveling solo or with only few friends, as you'll find many people with who you can make plans or take advises. Best part here is the Staff they are so cool and they'll let you enjoy :) Only negative I'd say is it's far from Bus stand.",Karthik C,/Profile/KarthikC220,,50
ladakh,A great place to stay if you are ever in leh. Had a really good time and the host is really accommodative to all ur needs. A 100% recommendation from my side to have a pleasant stay here. Check it out and won’t be disappointed. ✌️✌️✌️,abhijeeth1607,/Profile/abhijeeth1607,"Leh, India",50
ladakh,"I'm from Mysuru, Karnataka. I had a friend who referred me to stay at Raybo hostel and I can't thank him enough. I've stayed at many places all over India, but never found one such hostel with a friendly atmosphere. People are usually very professional in other stays but here, receptionist Shiva was so friendly, he did care for me during my stay here. Staff here are good and friendly too and the service is perfect. Felt so good being here for four days.",Ravikiran R,/Profile/RavikiranR37,,50
ladakh,"If you are a traveller traveling to Leh, you must stay here! If you are looking for a secluded place just on the corner of the city you must visit here. The manager Shiva is a gem of person who will take care of anything you need! This place is second to this person whose hospitality you must experience. Wifi makes you connect with home very easily! Carrot, broccoli and wheat farm in the vicinity makes it a perfect location to stay, all this cannot end without the touch of Shiva (do ask for him) honest man! He just makes the place like home for you, Raybo without Shiva will never be Raybo.",Ashwin S,/Profile/167ashwins,"Panaji, India",50
ladakh,"a great hostel in Leh around 12 minutes walk from the main Leh bazaar The host himself was not present and is being managed..  They have an awesome space with a huge common sitting area, a kitchen which is well spaced out and quite cosy to sit and eat breakfast, a nice sitting area outside",Akash G,/Profile/AkashG708,,50
ladakh,"One of the best Hostel stay in Leh We are here for a day on 21july with three of my friends. Place is nice and clean, very near market. Very affordable too, good location near to shanti stupe and palace. Amazing view of hills from hostel. Staff is very courteous and helpful",Bhargava K,/Profile/BhargavaK27,,50
ladakh,"We are here for a day on 21july with three of my friends. Place is nice and clean, very near market. Very affordable too, good location near to shanti stupe and palace. Amazing view of hills from hostel. Staff is very courteous and helpful",Pavan N,/Profile/PavanN24,,50
ladakh,Very comfortable and happening hostel Vegetable garden outside with a pleasant view Great place to meet new people from across the world  Very helpful staff and friendly too. Must visit if needed a peaceful place,mustafac717,/Profile/mustafac717,,50
ladakh,"We stayed here for a couple of nights and it is definitely a great hostel in Leh around 12 minutes walk from the main Leh bazaar The host himself was not present and is being managed..  They have an awesome space with a huge common sitting area, a kitchen which is well spaced out and quite cosy to sit and eat breakfast, a nice sitting area outside Where they perhaps lack is the shortage of staff to manage so many people especially when they even serve breakfast in morning and the staff really struggles to manage that.. Also felt they could have had a couple of more washrooms especially for those whose dorm do not have attached ones",Vipul556,/Profile/Vipul556,"Mussoorie, India",40
ladakh,"A perfect place to stay, great place to chill out and stay at an amazing price. You get all the help you need from the staff, plus the people you get to interact with gives you a lot o perspective of travelling",Priyanka K,/Profile/PriyankaK1003,,50
ladakh,"A great place to stay when you are travelling with friends.All places are near by थे स्टाफ़ वास वेरी हेल्प्फ़ुल,ग्रेट फ़ूड एंड आ लव्ली इन्वायरॉन्मेंट तो stay वाइल यू अरे इन ले. I would recommend आ stay हीर वाइल यू अरे इन leh",Rupali K,/Profile/RupaliK122,,50
ladakh,Its a best hostel to stay in leh. Staff is very good. Rooms and washrooms are very clean. Food was also very good and there are very options for that. Market is also very near to this place. Best place to chill with frnds,Parveen B,/Profile/ParveenB100,,50
ladakh,The place is very nice with bunker beds kitchen area and common lobby area.. Perfect place to be at ease and comfort.. Must stay in Leh... Peace surround with good view.... Games available.. Free WiFi available..,Sagar M,/Profile/SagarM677,,50
