location,review,name,user_profile,userloc,rating
ladakh,"Greeshma and her husband Kaustubh are simply amazing! They will make you feel at home from the first second, they will take care of you and pamper you the first day because you should rest so you don't get the hight sickness (IT'S VERY IMPORTANT FOR YOU TO REST, OTHERWISE YOULL GET IT A 100%), I'm used to live in a high city and still at Leh I had to rest.  The first day Kaustubh asked me if I knew what to do and I didn't so he told me to go to the castle and the monastery, then rest and after go see the sunset at the Shanti stupa, it was the beeest plan ever.  Also Greeshma and him told me if I was planning to do a road trip which I was and it was Saturday so they told me to make the permits that day, otherwise I was not going to be able to do it latter, they care about you and",Carmen Aramoni,/Profile/CarmenAramonib,"Mexico City, Mexico",50
ladakh,"Awesome place to stay. It does makes you feel like you are at home only, peoples are friendly and provide you with all the requirements you required and u want. Great location, views & main market is just 5 minutes away from it. Facilities you get is just more than you pay.",Abhishek Banjare,/Profile/BanjareAbhishek,"Bilaspur, India",50
ladakh,"I had liked the most important thing is the Hostel concept which is better than any 3/5/7 Star hotel. In that hostel, there have neat and clean rooms with the different kinds of themes maintained by Mr. Kaustubh & his wife Greeshma. The Hostel is a superb concept where we enjoyed an open kitchen structure. Mr. Kaustubh & Mrs. Greeshma who are the friendly owners with everyone & their staffs are very nice & sincere. The main market road is very convenient from the hostel. We had started our journey from Srinagar to Leh which was preplanned by Mr. Kaustubh & it was a great experience, as i had enjoyed lot those 10 days journey with my family and friends. I would like to suggest everyone, if u want to stay in Leh, the ""Rover's Den"" is the very nice hostel concept to enjoy. Thank",Rahul Morvekar,/Profile/RASHEE,,50
ladakh,Very homely place with positive vibes and friendly welcoming hosts.  The vibrant colors of the place sets your mood and enriches your trip.  Five of five stars from all our friends.   I would definitely recommend this place to all.,Prakash Kr,/Profile/prakash00000,,50
ladakh,Nice and homely stay in leh - ladakh. I travelled with a group of friends and we had lovely time for 5 days in leh here. Clean and good rooms. Most importantly good on your pocket yet all necessary facilities available.  Nice small cafe which offers tasty and home cooked food.  I'll definitely recommend this place to others.,Uday joglekar,/Profile/JoglekarUday,"Mumbai, India",50
ladakh,"It's quite a lot more than a hostel, throughout my stay the hosts Greeshma n Kaustubh were very helpful in planning my travel. The hostel has very cool vibes, u are almost surrounded by the lively souls. The rooms were very cozy. I got good hot water supply throughout the day. In evenings it used to be bonfire which brought people together n u get to meet different people. It helps when u are traveling solo as it increases the chances of getting co-travellers specially in the place like leh where traveling alone is a costly affair. A day I kept at leisure n I didn't wanted to go out for food even, Greeshma offered me lunch n dinner both n we did planting activity together. Overall I would recommend this place to every traveller but specially to the ones who are traveling solo.",Swati Sharnagat,/Profile/Swati_sharnagat,,50
ladakh,"Undoubtedly the best place with a unique concept. This place is a healthiest addiction, and it can help you to get detox from your regular routine. Situated in the beautiful place of Lamas this Den adds up an extra essence with its ambience to your trip. May you be a solo traveler or with a group it is for sure that you’ll enjoy ever bit of your stay. I love traveling and have visited many places but this is the place where I left a piece of my heart and would love to go again and again for sure..!",Tanisha,/Profile/Tanisha04,,50
ladakh,"Everyone who dreamed about going to Ladakh with friends I must suggest the best place to accommodate is Rovers Den,the den equipped with all necessary facilities whatever require you to survive in Ladakh ,best part which I liked the most is about freedom to enjoy and positive wibes of the place,concept of hostel with best knowledge and experience of HOST will make your journey memorable.",Sid1093,/Profile/Parab93,,50
ladakh,"  Rover's Den hostel  Off Sankar road, chubi Leh Jammu and Kashmir, 194101  Hostel  Nilesh Malu  582 points     13 minutes ago  I was here for 3 nights. Had a great time. It was end of season in Leh but still the hosts were very great. Yes i am not calling them the owners or anything but hosts as they take enough care of you. Always helpful and cheerful. Good kitchen and good amenities. The Apple and apricot trees were the highlights. Surely would be there again. Thanx Kaustub, Greeshma and KD for the wonderful stay at Rovers Den. ",Nilesh1980,/Profile/Nilesh1980,"Pune, Maharashtra, India",50
ladakh,"It’s a home away from home. Neat, clean, simple and lively. You remember each and every member of this amazing team at the end of your trip. Gresshma, Kaustubh, TD, Zahir bhai, Thangaballi, Soley uncle all of  you are such a good human beings.  Will surely visit your place in future again and will surely recommend to others.  God bless you guys. All the best. ",Trek819342,/Profile/Trek819342,"Wakad, India",50
ladakh,Best thing about this place is bonfire with tourists and locals. Hostility is cherry on top. Better than Hotels Perfect place for people coming for bike trips. Last but not the least are juice organic apples which you can eat as much as you like,Tour819425,/Profile/Tour819425,,50
ladakh,"Was there for a week and felt like it was the place to be. No hosts just friends. Amalgamation of all right energies, one of the reasons I want to visit Leh again is This place. Greeshma and Kaustubh are there for all that you need to know.",Jyoti__Tripathi,/Profile/mytatte,,50
ladakh,This was my first solo trip and I was really scared but when I reached rovers den I realised there was nothing to be scared about the host Greeshma and Kaustubh were very helpful.. the rooms were very clean and very close to the market as well.. everyone is very helpful here at rovers den.. met some amazing people here .. stayed here for 7 days and m going to miss this place!! Thanks greeshma Kaustubh and TD for all your help.. ❤️,Rahila K,/Profile/RahilaK20,,50
ladakh,"I landed in Leh alone not knowing anything and directly reached this place. Never thought I will get so much attached to it becoz of the amazing people I met “Greeshma, KD, TD and Uncle” becoz of whom I was most comfortable and felt just like a new home. it’s definitely a place meant for travellers and wanderers n meeting new people each day to chill around with, sharing good vibes and feel peace. Be you come alone or in group, whichever place you are from , you are gonna have a great time here for yourself... Hence I feel its definitely the Den for the Rovers :)  And I am sure this place is going to call me back again n again.  Bravo Rover’s Den team!!! Thank you for everything and wish you Keep up the spirit...!",arpita g,/Profile/arpitag97,,50
