location,review,name,user_profile,userloc,rating
ladakh,"We had very great time of stay at Royal heritage resort in july 2019. Rooms are good, staff was very polite and food was great. The resort have good parking facility, good outdoor space around rooms, very comfortable lobby and great restaurant. The Reception staff, restaurant staff are all very polite and always ready to help. Food served was very good. They have very good buffet for breakfast and dinners.  Located on fort road and is very near by  to mall road and main market. Overall a great experience of stay.",Mohit M,/Profile/Mike-Shimla,"Shimla, India",50
ladakh,"I stayed with my wife & 2 kids (9 years & <2 years) for full week. although the facilities might not be of a great and professional hotel, but I felt it like home there. the staff are really very cooperative. some things are ignored by them like they do not provide water in room (probably mine only), but this is because people in Leh don't drink much of water. But if you ask, they will provide water jugs with glasses. You need to tell them your requirement.  you can understand with the fact that i was with 22 month old baby. they arranged everything for him (like milk etc.) that I asked them. They never minded when my son was creating nuisances etc. the hotel is great for family stay, may not be good enough for a solo stay.  I found it great so rating it as 5 stars.",Shakti,/Profile/Shakti_Leh,,50
ladakh,We spent full week there.Our stay was awesome. Staff are good in all sense. Food was also nice and a lots of options there. Rooms are well cleaned. Bathrooms are well cleaned. This hotel was highly recommended.,archit j,/Profile/caarchitj,"New Delhi, India",50
ladakh,"I stayed in this property for 4 nights during my visit to Leh Ladakh in July 2018 and I am not very happy with how it turned out. They have to improve immensely on their services and the professionalism of their staff to even quality to be a 2 star property. Here is my experience:  Good: 1. The property has parking space 2. You can walk to the Leh market and is 15 minute drive from Leh airport 3. The hotel has a beautiful garden with fruit trees, flowers and kitchen garden vegetables. 4. The served was simple and I liked their dinner menu. I had breakfast, lunch and dinner at this property. 5. They have their small houses with a drawing room, sofa TV, with one bedroom attached bath and one small room which has one bed. So a 4 member family including the kid can be accommodated",atimoum,/Profile/atimoum,,30
ladakh,"I stayed with fellow travellers and located right, good view but lacked greatly in service. One room had geyser rest no way One room had room slippers, hangers etc rest lacked Some got hot water some no way My milk powder packet was found as i left...no clip or rubberband to close. Food very average All drivers were great Needs terrific  staff training Sry 2 stars only",msudha,/Profile/msudha,"Mumbai, India",20
ladakh,"Amazing resort, amazing view , very good service, rooms are good , bathrooms are good, food is good, specially the ginger lemon ice tea, Suites are amazing very helpful owner and staff. thank u very much cute uncle.",Kunal S,/Profile/558kunals,,50
ladakh,The location of the hotel is best. It is around 1.5km from the main market and its just a straight road. The rooms are big and even the toilets are clean and big. However the best part about the hotel is its staff and owner who take personal interest to ensure that your stay in leh is comfortable. I stayed in the hotel as I was running in the Ladhak marathon. The staff was very helpful throughout my stay.,Abhishekduta,/Profile/Abhishekduta,"Bengaluru, India",40
ladakh,The resort is beautiful . Felt like home despite of being away from home. The staff is really friendly and co operative. The place is really clean . The cottages are amidst the nature . Owner is extremely amicable. One of the best choice to come in and stay here.,anchalsethia1991,/Profile/anchalsethia1991,"Pune, India",50
ladakh,"MUST VISIT AND STAY AT Royal Heritage Resort in middle of leh. 20 Minutes from Airport and Resort is awesome. Big Spacious Rooms. Good Restaurant, Good BF /Lunch and Dinner and vimp Good Cooperative staff.. Vimp Can View Mountains right from room and sitting in lawn outside . Rates are also reasonable if booked in advance.",Bhavya s,/Profile/bmsshah1,Gujarat,50
ladakh,"This property is great place to stay. The location and the hospitality is way beyond expectations. Homely feeling, awesome view from the cottages, delicious food and clean premises. As far as the facilities are concerned, one will get all the necessary ones here (hot water, on demand cuisine, wifi etc). It is very near to the market, taxi stand and bank. To sum it up it was a great experience and would seriously recommend you a stay if you wanna be Leh!",umangparikh2000,/Profile/umangparikh2000,"Pune, India",50
