location,review,name,user_profile,userloc,rating
ladakh,Wonderful place place to stay in Leh. It's located in a quiet area near Shanti Stupa. The family running this guesthouse if very friendly and helpful. It really felt like my second home in Ladakh! I recommend!,Simona,/Profile/simonappp,,50
ladakh,"Generally speaking, we had fairly good experience staying at Shanti Nest (Shanti Home) hotel. Rigzhin, the chief of staff (supervisor-manager) was resourceful and considerate. He was enthusiastic, active and knowledgeable. Ahmed was ever helpful, gentle and soft spoken. Cooks provided specific items as per your needs. And it is ideally situated a little away from din and noise of the city. Though the approach to the gate was a little difficult, overall we had an enjoyable experience. Old building provided a great view of Khardungla Mountains on one side and the Leh Monastery and Fort on the other. The tourists can also easily visit Shanti Stupa which overlooks the hotel. Food is palatable with a lot of variety. We cannot eat spicy food and good thing was that the food was not",Shelika Gaur,/Profile/Shelika_Gaur,,50
ladakh,We were 11 friends. We had a pleasant stay and wonderful experience here. Everything was upto mark. He rooms were Centralized heated and were very neat and clean. Gurmeet and his staff was really cooperative.,Sandeep sharma,/Profile/Sandy100286,,50
ladakh,"This guesthouse is in a quiet area near Shanti Stupa. Beautiful traditional Ladakhi house, very cosy. The family running this place is very friendly and we really felt like we were experiencing the real Ladakh.",ivetajansons,/Profile/ivetajansons,"Riga Region, Latvia",50
ladakh,"The guest-house room was small very basic and uncomfortable. Hard mattresses, tiny shower, quite dirty and the whole facility was smelly. WiFi signal was very weak. The location is far from everything.  We had to stay three nights because my husband and daughter became very sick, otherwise we would have left much earlier. On the bright side, most of the staff members were nice and accommodating. In the end we were over-charged and paid much more than we expected, as if we stayed in a fancy hotel. My suggestion - stay away! ",merav68,/Profile/merav68,Israel,20
ladakh,Stayed with friends in the harshest winter. Heating was fine. Food is great. Hospitality is out of the world. Recommend this highly to travellers who need a nice rest and recuperation from the  daily trips. Situated close to market but away from noise,Shankar V,/Profile/320shankarv,,50
ladakh,"we are lucky to selected to stay in the new building. it facilities as a 5 start hotel. staffs is friendly, helpful and polite. it's abit far way from the main market, wlking distance 15-20 min, but its no a problem to us.",mandywongmanyee,/Profile/mandywongmanyee,,50
ladakh,"We visited Leh in the winter, and planned to stay at Shanti guest house for two nights before moving on to Ladakh. The first impression was that of the idyllic location - the setting is just breathtaking. the staff is very friendly, and there's nice teas available along with warm water for drinking, and the food is very good! The rooms are as good as can be expected from a budget hotel, but the disappointments were the lack of heating in the room - the heaters weren't working during our stay, and the warm water, which was given in large drums, which, in the minus 5 degree weather, would quickly become very cold. As a result, we had to move out after one night. But I think our experience might be an aberration - they did say that the heaters not working was an exception.",Chaw Mean,/Profile/Chaw_Mean,"Mumbai, India",30
ladakh,With a lot of enjoyment in ur hotel I loved ur heating system nd rooms design nd yr dining room is very traditional nd most important ur staff behaviour nd service is very good so thank u sir nd also ur water heating system is very good no any problem or water supply every time hot water nd staff are available for us next I will be loved in ur hotel minimum one week,Lokesh A,/Profile/LokeshA171,,30
ladakh,The family is extremely friendly and helpful. What ever you want to eat or drink is available 24x7 on demand. Overall and a extremely Wonderful experience very well run neat and spacious the family caters to you every need. We highly recommended this place for you stay at Leh,pierrym771,/Profile/pierrym771,"Lyon, France",50
