location,review,name,user_profile,userloc,rating
ladakh,This is the property with all the  facility what you need in a  place like Leh .   . Perfect architecture with traditional touch.  . Wide variety of buffet with quality and taste.  . Supportive staff with quick service and smile on the face   .room is big enough and clean  with sensitised Lenin and bathroom.  . The lawn in front of the hotel is the relaxing therapy.  . 2 km distance from the hustle bustle of the Leh town . . It was a pleasure.  Must visit The Druk Ladakh  if you are visiting ladakh.,Shahid H,/Profile/183shahidh,"Leh, India",50
ladakh,The hotel is situated at a very scenic place and very convinient location. There is good food served here during dinner. The soup was really what helped me through those cold days in Ladakh. The view from the rooms in the morning is worth every penny.,Karishma Tanna,/Profile/KarishmaSizzles,"Bengaluru, India",50
ladakh,This is the property with all the  facility what you need in a  place like Leh .   . Perfect architecture with traditional touch.  . Wide variety of buffet with quality and taste.  . Supportive stuff with quick service and smile on the face   .room is big enough and clean  with sensitised Lenin and bathroom.  . The lawn in front of the hotel is the relaxing therapy.  . 2 km distance from the hustle bustle of the Leh town .  Must visit The Druk Ladakh  of you are visiting ladakh,Shahid H,/Profile/183shahidh,"Leh, India",50
ladakh,"I stayed in this hotel with My Family and booked two rooms . Stay was for a week   1. Hotel is on Shanti Stupa Road away for Leh Market  by 3 Kms   2. Hotel was regarded High end locally , But my experience was a tad different   3. Hotel has a reasonably Good rooms . We chose rooms at first floor   4. Rooms are big, with beds and furniture that require rampup , Rooms were clean though   5. Beds were well average clean with bed sheets stained   6. Bathrooms are ok , clean , require revamp   7. Ventilation is a problem in the rooms.  8. Restaurant spacially is good and has limited menu . Many times we found staff trying to push overnight food . Food items are pricey with ok Taste   9. Service is not proactive despite very less guests . We had to remind for everything daily to get",Nikhil,/Profile/Nik_Travel_007,"Ghaziabad, India",30
ladakh,"I had the pleasure of eating at the restaurant recently and was impressed by the quality of the food, the attentive staff and warming atmosphere. I would recommend as a place to eat and would visit again.Yogi Anand, Karthik Yoga Healing School,Leh,India.",Yogi A,/Profile/yogis590,,50
ladakh,"After checking out the local travel agencies in Leh, Ladakh regarding their travel itineraries and prices to Nubra Valley, Pangong Tso, and the Sham Valley and its majestic monasteries, I took the advice of a friend back in Virginia who was from Delhi who suggested I should get in touch with a Mr. Lobzang Rinchen of the Druk Ladakh Hotel.  She told me he would be invaluable in helping me organize my trip through Ladakh.  I'm certainly glad I listened to her!  Over dinner with Lobzang at his hotel, he was instrumental in organizing my travel plans and offered me a much better price than the travel agencies in Leh.  I stayed a total of 4 nights at the Druk Ladakh, which is beautifully situated close to the Shanti Stupa.  The hotel has large comfortable rooms, plenty of hot water",Casey,/Profile/tenncsy,"McLean, Virginia",50
ladakh,"We had a family trip into Ladakh and choose The Druk in Leh. Amazing hospitality, great clean rooms and above all amazing food and service. We order and there it comes. I must say a huge thanks to the entire hotel staff and in particular to Tashi Tonldan. Brilliant manager and absolutely helpful. The hotel is located a bit away from the busy leh market but very close to Shanti Stupa. I recommend this hotel and its amazing service and hospitality to one and all....",sanjayraina,/Profile/sanjayraina,"Dubai, United Arab Emirates",40
ladakh,"Far from market ,free from hustle ..Nearer to shanti stupa..Shanti stupa can be viewd from the rooms..Road going towards shanti stupa passes from the gate of the hotel..View from all room awesome..Food quality very good...Staff cooperative..Enjoyed our stay..Can reach bike rentals and market within around 1.5 kms..There is no proper public transport available in leh..If you do not have vehicle taxi costs a lot everytime.",drsheth20,/Profile/drsheth20,"Ahmedabad, India",40
ladakh,"Food was reasonable, stay were attentive. Truly amazing was Tashi at the front office, he was par excellence, par perfection and performed beyond the call of duty and and beyond our expectation. His dedication to work, attention  to detail were beyond belief and way ahead of any experience we have had in our world travels ! I would go  back again to experience this amazing individual working his magic",Maninder B,/Profile/maninderbolarias,"Chandigarh, India",20
ladakh,"I have stayed for 5 nights . I will write Pros & Cons  Cons :   - Its far from the market Nothing is the walking vicinity. - Food is super costly inside the Hotel and its pathetic . - Room is okay type . - Never take any trip or Car from the Hotel they will charge you a hell lot extra than the market . - Room has a pungent smell. - Forget about internet connection though they will give you the wi fi password but it will never work.  Pro:  - There is only one which is the view of shanti stupa and the mountain.  Conclusion :   Better chose another hotel which is in Changspa road or in the market . Its a pathetic hotel with pathetic staff Specially MR. TASHI who claims to be a travel agent of Hotel . He charged 5k extra from the normal rate for Nubra , pangong Tso and Tsomuriri . ",Manu,/Profile/ranjanmanu123,"Pune, India",10
