location,review,name,user_profile,userloc,rating
ladakh,The hotel is pretty descent with good basic facilities. Staff is very friendly and co-operative. Location is convenient as it is close to the market. There is an oxygen cylinder in case u face breathing problem. Had a great trip😀,Arpit Maheshwari,/Profile/Appy3001,,50
ladakh,"It's a great property with nice spacious rooms having all modern amenities, 24x7 power and hot water, very courteous staff and great food. Above all, the hotel management (owners) make you feel at home and in urgencies take personal care..... highly appreciated. Overall a great place to stay with family and friends.... keep it up.",Vikul Rastogi,/Profile/Vikul_123,,50
ladakh,"we stayed here for 4 nights and we had very good experience with the hotel staff. Food was very fresh and served hot, clean rooms, 24 hours hot water, electric blankets were there. overall recommendable.",riddhi,/Profile/rk9188,,50
ladakh,"We stayed for 2 nights at the hotel and we had quite an amazing stay. Rooms were good with good enough amenities but what really stood out for us was the interaction with the owner and the manager of the hotel. Mr. Wangchuk and Mr. Sukesh helped us a great deal in planning and getting further arrangements for our trip.   They were really warm to us. We would recommend this hotel to everyone. And this comes from a 4 times traveller to Ladakh. The hotel offers a value for money stay. Similar hotels cost a bomb in Leh.  Best, Supriya & Athak",athak b,/Profile/Adventure611333,,50
ladakh,"We checked in on the 3rd of September and had an included buffet lunch at the hotel - what we were served was appalling. Rice, dal, paneer and salad - that was it!! When we asked about the lack of choice, we were told that we were the only people for lunch so that's all we could get. We asked for non vegetarian food and were told that it was Gokul Ashtami. We asked for local cuisine and were told the cook didn't know how to make it!! They then started digging up the road outside the hotel and we couldn't get the car to come up to the hotel. When we came back to the hotel after our river rafting trip on the 4th, we had to walk about 3 km in dust and road work. We then decided we were not coming back after our Nubra/Pangong trip. The one extra star is for Lakshman and Paswan who",mrinmenon1968,/Profile/mrinmenon1968,"Coimbatore, India",20
ladakh,Visited this hotel in Aug 2018  Loved this place for following reasons: 1) Cleanliness  - 5/5 2) walkable from main market - location 5/5 3) comfortable and spaceous rooms with attached clean bathrooms - 5/5 4) Hospitality - 5/5 5) Food - 4/5  The hotel staff is very courteous and very very helpful. In fact go out of the way to suggest and help the customer.,ankitsinghal2018,/Profile/ankitsinghal2018,"Pune, India",50
ladakh,The best hotel at Leh. The manager sukesh was extremely curtious and the staff was very helpful and used to run up and down to fulfil our needs. We all loved the food during the stay and had a wonderful time. We would highly recommend this place.,shanthi r,/Profile/shanthir41,,50
ladakh,"A cozy and comfortable place very close to  Leh Baazar, this place has everything you want. Spacious and well equipped rooms, good food, WiFi connectivity and courteous staff. Special mention to Mr. Sukesh who was always ready to help me out for all things required. Had a very pleasant stay. Definitely recommended!",977saip,/Profile/977saip,,50
ladakh,"It’s one of the best hotel I would recommend. Manager Mr. Sukesh Sharma, is so friendly and helpful. .The staff - always eager to help. It has that little exta Factor. Mr Naresh and team - excellent in their hospitality. Rooms - very spacious and clean. The hotel is located approx. 5 minutes from the city square which was great marketing. .....Amazing ambience,.... Homely feeling.",mundrapushpa,/Profile/mundrapushpa,"Mumbai, India",50
ladakh,"We’ve had the best time at this hotel. Tasty food , well organised staff and things. Manager was gem of a person , very humble and caring staff. It’s my first choice whenever I visit Leh going forward.",Suchita G,/Profile/Suchi-on-roaming,"Mumbai, India",50
ladakh,"It’s one of the best hotel I stayed in leh.i was there for more than a week .The manager is so down to earth and even the staff they are always ready to help.The place is for everyone for friends, solo and for family. They made us feel like home .. never got that feeling that we are staying in a hotel ..safe and peaceful place .. really happy with their service .. strongly recommend everyone to go their and experience their brilliant hospitality. I will surely visit again..it made our trip more memorable☺️",shradhaparalkar,/Profile/shraddhaparalkar,"Mumbai, India",50
ladakh,"This hotel was probably our best stay during our India trip, mostly due to the fact of the friendly staff who was always eager to help with information and calls outside their normal responsibilities. That little extra. The room itself was nice and clean, and the WiFi signal was strong both in the room and downstairs. The hotel is located approx. 5 minutes from the city square which was great for all kinds of purposes. All in all, a very nice hotel and stay.",Fredric M,/Profile/387fredricm,,50
ladakh,This is a great hotel to stay. The staff is very helpful and hospitable. The close proximity to central market is a big advantage. The views of Stok Kangri peak are the best from the hotel. The hotel also has a place to park. Sukhesh the Manager of the Hotel was extremely helpful with whatever we needed. ,Jasmeets77,/Profile/Jasmeets77,"Noida, India",50
ladakh,"Entire staff was extremely helpful.. courteous... Nd overwhelming.... Cleanliness upto the mark... Nd all facilities one need... Thnkxxx grand Ladakh team.... Ready to help, Guide and advise very ever and whenever necessary.....",Killol K,/Profile/KillolK2,,50
ladakh,Excellent staff Clean and spacious rooms Mr Sukesh the manager very hospitable and always smiling. Location excellent  Free WiFi  24 hrs hot water Over all a wonderful experience.  Very Highly recommended.  ,Sunil C,/Profile/SunilC683,,50
ladakh,"Very Nice Rooms with with good service & very close to Market.....having all facilities like Hot water. Good Staff, great variety of food quality in break fast & Dinner etc....   Also the Rooms are very specious with all required things like TV, Heater etc",Satish K,/Profile/879satishk,,50
ladakh,I will highly recommend this hotel. The experience was amazing.Very friendly staff. The best part was their food arrangement for the long day drive.  Room view was just superb. Best hotel in Leh with luxurious experience.  ,Bhawana B,/Profile/682bhawanab,,50
ladakh,This hotel is very beautiful and well-located in a quiet part of Leh. It's not far from the center of the town so it's convenient. Rooms are spacious and beautifully decorated. Staff is helpful. A very good hotel which I highly recommend!,jonathanwong921,/Profile/jonathanwong921,"Johor Bahru, Malaysia",50
ladakh,"It is exactly the home away from home , the staff makes u feel like home and care of you in the best possible manner , food is excellent and so is the hospitality. Rooms are well maintained , bathrooms are very spacious and clean. The manager specially goes out of his ways to make ur stay comfortable in every possible manner.",rishabmaheshwari,/Profile/rishabmaheshwari,"Jaipur, India",50
ladakh,We had a super comfortable stay at all the 3 nights we stayed in this hotel. The staff was always welcoming helpful and courteous. The rooms are extremely cozy with a great view of the snow clad mountain peaks. Excellent food adds a cherry on top of the cake !,meghana s,/Profile/meghanas75,,50
ladakh,Hotel  Grand Ladakh is ideally located in Leh. It is close to market place may be on walking distance. The rooms are airy and clean. Overall the House keeping is good. Food served is also good and tastefull. Staff is quite courteous specially the Manager of the Hotel. Overall the Hotel is good for stay.,RajendraSharda,/Profile/RajendraSharda,"Navi Mumbai, India",30
