location,review,name,user_profile,userloc,rating
ladakh,The hotel is huge and the ambience is really great. I loved the food since we tried different dishes apart from the normal ones. The rooms were large and comfortable. It is near to the tourist places hence I would definitely recommend to visit here during your stay at leh.,Kajal,/Profile/Kajalicious,,40
ladakh,It’s kind of situated at a walking distance from the main market. Rooms have a lot of space. Staff is really good and welcoming. Bathrooms were clean and tidy. Food was also okay. It’s a good value for money.,Akash,/Profile/akashdeep8,,50
ladakh,"We were in group of 8 and in terms of service, they are much more above the expectations. They have upgraded one of our room so that we can get all the 4 room at the same floor. The staff was very helpful and the food was also good. I would recommend this hotel to everyone.",Shubham214,/Profile/Shubham214,"Mumbai, India",50
ladakh,It's very nice and relaxing with great service by staff and free breakfast. They will serve any thing in free they also free Wi-Fi and. Internet to surf for entertainment. There rooms are very good and enjoyable  we enjoyed it very much ,sandeep k,/Profile/sandeepk543,"Varanasi, India",50
ladakh,"My first trip to Ladakh. I had selected this hotel for my Leh stay. Stayed here twice in span of 8 days in September 2019. Once for 3 nights and other for a single night.  There is no need to describe the location. Leh is anyways spectacular and for a Mumbaite like me its peaceful and serene. I checked in early morning at around 8.00 am, the checkin was smooth and i was given a room in the new wing. The Hotel has two wings main one and an annexe kinda building. My Room was 704 in annexe. Mind you Annexe doesnt have lift so need to climb up 3 floors. Room was clean and spacious. Wifi was free (though the signal is very weak and i had the wifi router right outside my room.  Staff is courteous and at your service. Food is decent. Breakfast has choice of one north india like Puri",Arunabh,/Profile/Arunabh,Mumbai,40
ladakh,I stayed 3 nights in the end of octobre and it was fantastic. Thank's to all the staff and to Rattan Singh for all your kindness. Breakfast and dinner were delicious and the hôtel is very well located. Rooms are super clean.,Lucas C,/Profile/lucascV8397NP,,50
ladakh,"We spend 3 nights at the grand yasmin which were very nice. Rooms are clean, bed comfortables, well located, food okay. Rattan Singh and all the other members of the staff are very nice and friendly. I would recommand this place.",CoralieSim,/Profile/CoralieSim,"Grenoble, France",50
ladakh,Going the extra mile is how l'd describe the staff at this hotel. They'd check up on me to see if l had everything to make my stay comfortable. The rooms are large and well heated for the very low temperatures outside. The buffet had a variety of dishes but they'd prepare something if you place an order. The hotel is seasonal due to its location so it would be closing down soon for the winter.,HsingE H,/Profile/hsingeh,"Bangkok, Thailand",40
ladakh,"One of the best hotels visted in leh-ladakh, ratan singh at the reception has given us the best stay and made our trip more memorabale thanks to him for the best experience in ladakh . Must visit for a comfortable stay in ladakh",Tejesh,/Profile/Tejesh37,,50
ladakh,"The hotel is very near to the main market. So location wise 10/10. Food is Good and buffet spread is great for the price. The hotel has 2 wings. One with lift and the other one with out. That appears to be under construction. The rooms are medium in size.  Those in the new building (702,703) are more spacious. The service in the restaurant is fast. Must mention about Mr.Shankar & Mr.Amrik. very sweet guys. My son NEEL found them very friendly and lovable. And made me write this review as well😊",Nilesh H,/Profile/drnileshH,,50
ladakh,"One of the best hotels to stay in ladakh with such great hospitality from the staff, Ratan singh the manager was so polite n friendly throughout our stay in the hotel and made us feel comfortable in everything we experienced there. Rooms are picture perfect with all the eminities and very neatly maintained and food was tasty and deliciously prepared and served hot.overall experience was top notch next visit to leh i would prefer to here itself again for sure.",sharath,/Profile/travelographer83,,50
ladakh,I had gone with family. I was fully satisfied with their hospitality. The food was yummy. I loved the hot and sour soup. Highly satisfied with service of Ratan Singh and amrik Singh. They are very kind and friendly,Chaitu Rudra,/Profile/ChaituRudra6,,50
ladakh,Warm and welcoming staff. Good food and rooms of good size and clean.enjoyed the stay. Location is good and close to market area. Nice sir out lounge and balcony for people looking for longer stays.keep it up.,Dimple Nagpal,/Profile/Dimps357,,50
ladakh,"We stayed total 6 nights in this hotel. The manager, Rattan Singh, is friendly and helpful to address our requests. The location is just 5mins walk to the main Leh market.  Very value for money stay and highly recommend. We will definitely return to stay next visit.",Mandy Lee,/Profile/Mandylpc,,40
ladakh,"Nice stay at Hotel Grand Yasmin at Leh.  The hotel manager Rattan Singh is very helpful and welcome us with Ladakhi Tradition "" khatas"".  Memorable Stay at Hotel Grand Yasmin.          Recommending everyone to have a nice stay in this hotel ",Anik Maiti,/Profile/anikmaiti,"Haldia, India",50
ladakh,"I with 3 more friends stayed in Grand Yasmin for 2 Days. From Sept 7th. We left to Ladakh on a bike tour and came back to the hotel on Sept 10th. The Manager Mr. Ratan Singh gave us warm welcome every time. He always helped us in what we needed in Leh in terms of communication with local people and guiding us our plan forward, everytime.  If you ever want a secure hotel in Leh, then go for Grand Yasmin. The breakfast and Dinner are Yummy.  Thank you Ratan Bhai for your kind and Timely help.",Ravikiran,/Profile/ravi4ladakh,,50
ladakh,"My daughter, grand daughter and I stayed at the Grand Yasmin as a base for our travels in Ladakh.  The hotel is simple and clean with will appointed bedrooms and general areas. The views of the mountains are spectacular. It is a short walk from the town in a pretty and quiet location.  The staff were very friendly and helpful and the food was varied and outstanding.  We had arranged our transport in dvance but the hotel can also organise this for you.",451John_A,/Profile/451John_A,"Strasbourg, France",40
