location,review,name,user_profile,userloc,rating
ladakh,"Was in Leh for a total of 15 days and out of that at least 5 days we stayed at The mogol hotel. We were there for a motorbike trip a  in and around Leh. It was my first time to that partof India and the places we went were just stunnning. Mountain tops lined with snow can be seen at the Mogol hotel in our rooms or at the roof deck. What a stunning view in high definition but without the TV. Who needs them. The town is just several minutes walk away from the hotel and the best part of it is we are at the end. When we head to the town from the hotel it is passing shops, cafes, street stalls before reaching the city centre. There ia a lot to see. Its actually a nice walk and has become our daily routine before or after breakfast and dinner. Trust me we all need a walk after",Macgoh,/Profile/Macgoh,"Pokhara, Nepal",50
ladakh,"Hotel Mogol in Leh has very decent rooms, a very helpful and cheerful staff. The owner gave us a brief about Leh and Ladakh and the precautions to be taken while venturing out. The food is basic but everyday they provided different varieties. Overall a very comfortable stay like a home.",Radhakrishna,/Profile/kkrish1967,"Bangalore District, India",40
ladakh,"This summers we decided to visit Ladakh and booked 7N/8 days trip to the pristine beauty i.e. Leh and surrounding areas.  We were booked at Mogol Hotel, which is located very close to the Water Springs and in the main tourist hub of Leh.  Overall a good experience, staff is ever smiling and always with quick response to all the requests made even at odd hours.  Food was delicious and good, although breakfast could do with some more choices.  Overall a good and comfortable stay will recommend it.",Sudhir Kalra,/Profile/SudhirK260,"New Delhi, India",40
ladakh,"10/10 polite staff nice food ,in Jain food also verity of food special thanks to manager mr Desraj to make my trip excellent. They have nice conference hall arrange nice party for marriage anniversary in benquate.",Umesh V,/Profile/VAKIL201,"Surat, India",50
ladakh,"We strayed along with our family for 8 days in E/June 2018 which is best time to visit LEH area. From this Hotel roof you can mountains tips covered with snow, Shanti Stupa mesmerizing in moon light. Good food option for the north Indian & market is nearby for buying daily needs but little expensive from delhi price.",Vivek S,/Profile/948viveks,"Gurugram (Gurgaon), India",30
ladakh,"Loved the stay here at The Mogul, with all facilities that one could ask for. The staff was friendly and helping. Location is good, right in the middle of the market, and many attractions easily approachable. Food was okay, and the in house restaurant good enough. Would be happy to stay here again!",Akanksha Dureja,/Profile/AkankshaDureja,"New Delhi, India",50
ladakh,"A very well maintained 3 star Hotel, Rooms are excellent with 305 being a great room stayed for six nights, breakfast is great staff , owner manager very helfull, Food could be better , though there are lot of option, the owner extremely helpful & warm , over all great stay market close by",Pradipta_B,/Profile/Pradipta_B,"Gurugram (Gurgaon), India",50
ladakh,"The Mogul hotel may be a 3star hotel. But the location and facilities are very good. Neatly maintained, courteous staff and availability of good food. Rooms are spacious. Bath room and toilets are very neatly maintained. Wi-Fi facility available only in the reception area and outside the garden area. We stayed here for 5days in the month of August2018. I highly recommend this hotel for medium budget travellers",kunjathur,/Profile/kunjathur,"Bengaluru, India",40
ladakh,"I stayed here for 3 nights before going on a trek to Stok Kangri. All my arrangements were made by KE Adventure, a UK company based in The Lake District.  The hotel is average and could be much better with a little effort. The Wi-Fi was poor, when it was working. The hot water was intermittent. The location is good, close, but not too close, to the town centre. The staff are very good and the restaurant food is of a decent quality.  .",Christopher B,/Profile/V9055VGchristopherb,"Epping, United Kingdom",30
ladakh,"I have been to this hotel for 5 days. Though wasn't expecting luxury at Leh but the hotel has spacious and clean rooms & bathroom. A special thanks to the manager, Mr Deepak Raj khadka, for being very polite and courteous. In fact all the staff members were very helpful. Even the owner Mr wangchuk is approachable and courteous towards the guests.  Overall a nice experience but they need to improve on providing hot water through out the day and wifi service as well. ",KBkapil,/Profile/KBkapil,,40
ladakh,"We Stayed here for 5 nights (in the month of June) through Cox &Kings Tour package. Staff is courteous, we were given rooms earlier than the stipulated time due to our early flight. Hotel is very well maintained. Food (buffet) be it breakfast, lunch or dinner is good but after a given point in time, it becomes very monotonous (eating north Indian for lunch & dinner both). Last day of our stay we were surprised by Chinese cuisine, (thanks). Rooms are spacious, remember there are no fans in the hotel rooms (i guess none of the hotels in Ladakh have fans) but this could be an issue for someone like me who requires proper ventilation to sleep at night. (though the temperatures drop at night, the climate here is very erratic). Wifi in entire Ladakh is super bad, be it in hotels or",Amitsaga,/Profile/Amitsaga,,40
ladakh,Hotel is quite close to the Leh Market. Location is good from that perspective. Food is quite nice. They have a buffet as well as  Ala Carte.  The rooms are neatly maintained. The staff is very supportive. The internet connectivity is the biggest headache. Airtel as well as BSNL Signals are not strong and the hotel WiFi sucks. Availability of hot water is limited to a couple of hours in the morning and 1 hour in the evening. A good no frills budget hotel.,Prashanth Srinivasan,/Profile/PrashanthSrinivasan,"Bengaluru, India",30
ladakh,We stayed here as our booking for another hotel nearby was cancelled . For a last minute booking the rooms were good. The issue is primarily food. Breakfast was insipid and stone cold. The geyser in the so called super deluxe room worked intermittently . In other words avoid if you have a choice.   ,Harsh R,/Profile/harshr967,"Mumbai, India",20
ladakh,Had stayed there for 5 nights and 6 days..excellent rooms..very coardial and cooperative and helpful staff...eversmiling waiters and managers...very good.....homely feeling at the place...served us food and breakfast at odd hours too..ambience is good..nothing to complain about..would definately recommend,DHNanavaty,/Profile/DHNanavaty,,50
ladakh,Most amazing place to stay great food they have their silk route cottages in nubra valley where they grow their own vegetables and prepare food. The most beautiful hotel in leh for me at a very good price. ,Abhishek S,/Profile/AbhishekS4395,,50
ladakh,"The hotel is situated on one of the prime roads and close to shanti stupa (one of the iconic tourist attractions in Leh). The property has spacious rooms and makes one feel comfortable. The staff is coordial along with the manager, mr Deepak who is kind enough to help you with any possible queries. The food served is of a good quality and have a great presentation.  The owner of the property Mr. Ka is a friendly person and is easily approachable for any doubts, queries or suggestions one may have.  The property does have the parking space which can accommodate a few motorcycles and/or an SUV. Definitely a great place to stay if you have the budget and willing to have the comfort stay.",janaknmistry,/Profile/janaknmistry,"Mumbai, India",50
ladakh,has central location in leh. has good shops and cafes around. market is close by. owner takes great interest in management of hotel which results in superb hospitality. friendly and efficient staff.  awesome place to stay. :),Kriti O,/Profile/KritiO5,,50
ladakh,The hotel is situated at 10 minutes walking distance from the main Leh market.  The hotel is a bit small in size but has all amenities required.  Staff is very cordial and helping.  The food is simply remarkable. Stayed with family and had a wonderful time in very nice and spacious rooms.  All in all it's a steal at these prices. A big thumbs-up for the food. ,ashutosh g,/Profile/ashutoshg180,,50
ladakh,"Execellant Stay, Centrally located, Good service, Amazing food, nice staff, Do visit this property when in Leh I stay with my family in Oct 2016 I highly recommend this property as our stay was execellant",Sandeep_mih_Del,/Profile/Sandeep_mih_Del,"New Delhi, Delhi, India",50
ladakh,A fantastic place for stay in Leh. Excellent food and wonderful staff. The staff is very helpful as well as cooperative. Owner of the hotel is terrific and make sure everytime that your trip is going smooth and you are enjoying your leh trip.,Sachin G,/Profile/346saching,,50
ladakh,"This is one of the best stays in leh..n the owner is a gem of a guy...........“Best Property , Superb Staff and Very Nice Food”amazing feeling.Nice location. The staff at front desk and concierge were really friendly and nice and always responded to my needs at once",Manish J,/Profile/ManishJ757,,40
ladakh,"This is one of the best stays in leh..n the owner is a gem of a guy...great rooftop views n the rooms just perfect.One great thing I noticed here was the food and how they prepare their buffet according to the customers taste..do try the burger at rooftop cafe.For nubra also the same chains silk route cottage is a rustic enchantment,to enjoy farm fresh foods..or the cottage life..must visit",Ahu t,/Profile/Ahut46,,50
ladakh,"Had an pleasant and mind pleasing stay with good overall breakfast, lunch and dinner facilities at Hotel Mogol at Leh. Staff is also very co-operative with excellent pleasing and friendly personalities",bhagwatda08,/Profile/bhagwatda08,"Thane, India",50
ladakh,"amazing place, even more amazing hospitality, live music ..overall too much fun and best food in entire chanspa road. for the price range that the hotel offers , its a good value for money place, moreover i was stuck in an remote area the owner being an businessman arranged a rescue mission for which he was paid when i reached home latter.For the sort of region ladakh is, things can change beyond expectations, so its always good to be in a place where people just trust and offer their complete support in any situation.",bebaq86,/Profile/bebaq86,"Shimla, India",50
ladakh,Mogul is an ideally located hotel at changspa road.Walking distance to the central square.. Rooms are good with proper ventilation and clean toilets.Even though it is on the main road has a peaceful atmosphere... The staff was also very helpful. Thank you guys for taking all the efforts so I could stay connected,Krishnaveer D,/Profile/KrishnaveerD,,50
ladakh,"The Mogol hotel was the second place we stayed in leh, for the low price that it asks it's an amazing stay the only thing it doesn't have is a view but If you walk outside you see it so why bother paying through the roof to get one the rooms are large and spacious and the staff are very friendly and helpful,  Would stay here again ",ALXGNS,/Profile/ALXGNS,"Sydney, Australia",50
ladakh,"The Mogol Hotel is owned and run by an Indian Army veteran officer, Col TS Kalon, VSM Bar, (Retd) and his family. We stayed here from 11 to 21 Jun 2015. Our trip to Leh was a resounding success thanks to the tireless efforts of the management, especially Mr. Deepak, who anticipated our every need and surpassed our expectations. He planned our entire trip right from the moment we set foot in Leh to the day we left, ensuring that we got the maximum bang for our buck (Thank you so much, Deepak!). Col Kalon and his son, Namgyal are both extremely gracious and solicitous hosts, who made us feel at home and have ensured our return in the years to come.  The bed and breakfast plan is probably what most serious tourists will opt for, considering the fact that one'll be out all day",Parthasarathy Gopalan,/Profile/ScubaD0c,"New Delhi, India",50
