location,review,name,user_profile,userloc,rating
ladakh,"One of the best place to visit in leh is the Nature Residency. Blue sky running under the river, close to Himalayas which fills our souls. My friends loved the hospitality and the ora of this place. Can surely recommend to others and planning to come here again with all my family friends",Bobby,/Profile/Bobby2734,,50
ladakh,"Leh - heart warming place which has captured beauty in his arms. Nature Residency leh is a true gem which shares its part in the art of nature. Beautiful gardens, infrastructure, sitting arrangements front the rivers, Himalayas views all over surrounding and birds chirping all over. What a moment's I have captured here. Truely appreciated. I had taken the Family SUITE which where India River and Himalayas Facing. Big curtains, a cup of coffee with a view, wooden interiors, and the bathtub- Heaven there.",Heta Shah,/Profile/sweetu19,,50
ladakh,Can I rate it more than five? The wonder of the lake is the no. of colors that are possible to see in the water. It has different colors at different times of the day. To reach here you have to pass Changla pass ( third highest pass in the world) by driving 5-6 hours. You can stay in tents. The beauty you will feel is beyond words and description. All I would say are must-see places before you die.,Tejas Joshi,/Profile/Tejas3895,,50
ladakh,"Best in facilities. I won't believe that Leh has wifi haha jokes apart 😄. I would love to visit here again. The manager and staff are all time serving us accordingly to our times. Highly appreciated. The best thing which I will never forget is, sitting in the front yard of property having huge gardens and beautiful sitting arrangements.",Nirmala Patel,/Profile/Nirmalaspatel,,50
ladakh,What to say about this wonderful breath taking experience. We had stayed here over a week. Was same as home. Soo peaceful close to nature and very close to Indus river. The view summits Indus river with the beauty of Himalayas and one cup of coffee. What else one needs!! I'm eagerly waiting to visit here again after this pademic covid19. Highly recommended,Sonu jain,/Profile/_SHAH0908,,50
ladakh,As all here know that leh ladakh is dream of every youngster. We have stayed here for 3 days. It was not less than home. Rooms were spacious + neat clean. Also the onwer was very helpful to us. We will definitely suggest other to stay here. Thank you so much 💕 nature residency.,Deesha,/Profile/Deesha1130,,50
ladakh,We are glad to share our experiences with this property. A few months back we stayed here and it was our best adventure. Food and breakfast are really nice. All required service is available and the property is neat and clean. The location is reasonably located in the middle of the town where all the tourist spots are reasonably approachable. I can plan again for our next vacation to this plan and can recommend it to others as well.,Chaitra,/Profile/Chaitrasoni2037,,40
ladakh,"We stayed here last here. Sorry to drop the late review as the property team member requested to do so.  So,  we were here this place at last year and we had an excellent experience.  Good staff and good food.  Very close to nature.  And the best best view was Indus river and Himalayas view from the room and from the outside garden sitting area.  Lived it.  Loved it",Vandana shah,/Profile/VandanaShah99999,,50
ladakh,Hey I visited this place a year ago but this was my life's one of the best trip and the scene scenario from this hotel is marvelous. Delicious food and a good coffee with the Himalayas view was literally heart warming. Staff and even everyone was polite and have guided us from the First day to the last.  Highly recommended.,shahshreya107,/Profile/shahshreya107,"Ahmedabad, India",50
ladakh,"Thank you for having us in your property. We had a great time with our families over there. I'm glad to share my experiences as we got all the required basic amenities and even the food of delightful, mouth watering. I can surely visit this place next time with my friends. Can surely recommend to others.😃",Dwija Shah,/Profile/dwijashah,,40
