location,review,name,user_profile,userloc,rating
ladakh,"Me and my friend had been to Leh this September  and stayed at “ The Saraha “ , Just like the place , this hotel is very  lovely and very comfortable. A beautiful garden and well maintained rooms .. All the staffs were so cordial and we felt very much at home  more than anything very safe . The owner Mr Stanzin ensured that we travel safely and comfortably and he was always available when in need . We had a great time at Leh and this was possible because of Mr Stanzin and his “SARAHA”. I strongly recommend “THE SARAHA” in Leh .",Radha Rajesh,/Profile/Radha-Rajesh2000,,50
ladakh,Stanzin - the owner of The Saraha is a perfect host and a good human being. He personally takes care of everything and is very responsive and so is staff. Of course there is always a room for improvement. The construction around is spoiling the place a bit. Overall it was very comfortable stay for our five days stay at Leh. ,ssamra,/Profile/ssamra,"Jalandhar, India",50
ladakh,** Right from the airport pick up to an excellent stay at The Saraha  ** A very personable driver who was with us for the next 8 days  ** Equally beautiful accommodation arranged at Nubra Valley by Stanzin for the Pangyong lake trip ** Back to Saraha for the last two days.    Stanzin arranged our itinerary from start to finish Food was great. Staff were great. Hotel was wonderful.  We are coming again next year for sure!👍,Arunmsydney,/Profile/Arunmsydney,Sydney,50
ladakh,We stayed in Leh for a week and stayed in Saraha for last 2 days of our trip.The stay in Saraha was pathetic.Staff is very poor.They didnt even respond properly.glasses in room were not clean.We payed in advance for breakfast and dinner and on going there they told bfast is cancelled as no other guest in hotel.in ala carte they have limited options and that too tasteless.the staff itself told that the food is 3 to 4 days old which they served us.Again dinner also got cancelled for which we had paid.They dont welcome guest properly.They saw us when we arrived but they did not come to take luggage.our driver carried our luggage.they came later.earlier they were just watching us.on arrival we asked for tea and bread toast they told us they cant as kitchen is closed at 4 pm.On,pooja s,/Profile/poojas2911,,20
ladakh,"The stay was an excellent experience, lead by the owner Stanzin. The rooms were excellent clean & great views. The staff were simply amazing & nothing was a bother.... Stanzin is an amazing & cares about the people before profits.... Stanzin made sure every individual ( 13 x people ) were taken care of 24/7 I feel I have made a friend for life with Stanzin & look forward to showing him around New Zealand in due course.  Would recommend this Hotel to anyone :)",Ian Kemp,/Profile/Ian5458,"Pisa Moorings, New Zealand",50
ladakh,"Nothing seemed like any trouble at all for Stanzin and his staff to organise. The welcome, the bonfire ""get-togethers"", the cultural evening, the juggling of our bookings when wanted to stay an extra night, the rooms and food - we felt very much pampered. We want to come back Stanzin!",Pam S,/Profile/PJMcS123,,50
ladakh,"We stayed here for 4 days in the last week of June 2019. As per me one of the best hotels in leh with awesome View. Very helpful and ever smiling staff and it was our pleasure to meet owner Stanzin, who also helped us in planning the trip.",Rajesh Sahrawat,/Profile/RajeshS2202,,50
ladakh,"Leh is a beautiful place with strong and beautiful people. We visited Leh between  June 15 and June 20 and stayed at The Saraha. This is a beautiful property with an awesome team lead by Dinesh and his crew. The rooms are cost, warm and clean. The food is delicious and tasty and the crew led by Chandan very caring and attentive. Surrounded by picturesque mountains I would recommend Saraha as a must stay!!! ",Rajesh P,/Profile/RajeshPawar70,"Mumbai, India",50
ladakh,"When in Leh, look no further than The Saraha.   Excellent and serene location with food being the plus point and personalised attention makes it all the more a must try.   One may contact Stanzin for the expert advise and suggestions on eateries and the schedule to be followed for places to be visited, an end to end service.   Keep it going... Cheers   ",Aruj Seth,/Profile/arujseth,"New Delhi, India",50
ladakh,leh is one of the best place in the world .this is the best time to visit leh ladakh nice view with my hotel room hotel saraha is grrat hotel with lots of nice food yummy taste ful .nice room cleam room,Iqbal M,/Profile/962iqbalm,"Vadodara, India",50
ladakh,"A 10 room boutique hotel supported by 10 staffs will always be good in terms of service particularly if you have a manager like Dinesh. The rooms are very comfortable with a balcony facing the mountains. Good decor, comfortable bed, spacious rooms and bath room. 24 hours hit water and centralised room heating facility. TV has got all channels. This is important for your acclimatisation days. Food quality is also good. In leh this is one of the property which is not in the main town, thereby giving a very good view. 15 minutes walk to the main market. 10 minutes from airport. They also treated us with daily evening bon fire and ladakhi cultural programme.",madhab adhikari,/Profile/madhabadhikari,"Kolkata, India",50
ladakh,"One of the best hotels in leh with awesome View and very helpfull staff. The staff makes u feel ur stay is at home. Food is good to taste, specially the Dal Fry and roti. Will surely visit again. #leh",virendra p,/Profile/virendrap108,"Mumbai, India",50
ladakh,"We stayed at The Saraha in Leh for 3 days in May - a most warm and welcoming hotel, prompt service and great staff!! The rooms are spacious and well done - since it was still cold the central heating was a huge help and a lovely surprise.  The beautiful lawn out front with its 180 degree view of the snow mountains is an absolute delight! In fact this is the view one wakes up to from the room and balcony.  The food is tasty home type food - thankfully NOT full of masala, oil & colour. The palak was sooooo delicious.  Location was great too - an easy walk to the main bazaar area!  Many thanks to Tenzin and his staff for a memorable stay!",Shikha Bagaria,/Profile/ShikhaBagaria,,50
ladakh,Perfect location Exceptional cleanliness Nice outdoor area to sit for breakfast or a coffee We were picked up and greeted warmly Amazing amazing hospitality and more than value for money  Loved it!!! Guys go for it,Traveler for life,/Profile/pradamaditi,,50
ladakh,"We traveled in Sep. As soon as we reached The Saraha, we were greeted by an array of beautiful colorful perfumed flowers spread across the premises, taken care by the the owners themselves lovingly. Not to miss the apple trees laden with lucious fruits in season. Nice to sit out and enjoy the lovely mountain view, soaking in all the beauty around. The owner Mr. Stenzin is very caring and helpful and makes us comfortable immidiately. The reception is a cute hangout place with some games and books and also TV. The hotel has wifi. The rooms are comfortable and clean. The staff is quick and courteous, special mention to the manager Mr. Dinesh who is quite entertaining and resourceful. A big thank you to him. A special and cozy stay, will definitely visit again. Not to miss the",Minakshi K,/Profile/Minakshi_kr,"Mumbai, India",50
ladakh,"Sahara for me was a home away from home. From the very moment we landed in leh Stanz hospitality took over and it was really one of the best holidays we have had as a family , thanks to Stanz and his team. The rooms are very clean and well maintained and well lit. The staff is friendly and very sensitive to the dietary needs of our children and us, whether it was the last min requests of french fries to hot home made style samosas - all we need to do was ask :). The service was amazing.   The gardens are beautifully maintained lush green with colourful flowers. It was a pleasure to start the mornings there with tea over looking the snow capped mountains.  The hotel is beautiful, quaint and cozy and Stanz and his team make the stay memorable and worthwhile .  Sharing some",Passenger818181,/Profile/Passenger818181,,50
ladakh,"The Saraha had everything I was looking for, comfortable centrally heated room, with balcony overlooking the Himalayas, amazing service, good food and a lush kitchen garden. And the cherry on the top was the amazing owner Stanzin, who helped us plan the whole trip much better. After a stay of 6 nights at The Saraha, there are only good memories to share. ",Rishabh B,/Profile/RishabhB119,,50
ladakh,"Love being in Ladakh each time .. Loved being here at The Saraha .. A quaint ,, cozy hotel with rooms overlooking the lush ,, sprawled floral lawns that are personally looked into nd after by the owners ,, with a gorgeous view that further extends to the magnificent mountains .. Not to miss the tempting apple trees that brought a smile to my face each time our souls connected:-) Just WOW !!   The owner Stanzin such a lovely soul always around to help ,, extremely informative nd smilee .. The staff ,, all of them so eager to serve with a smile .. Dineshji (the manager) ,, being who he is made our stay at The Saraha a blessed package .. Interacting with him each time was a pleasure ,, stories galore ,, all so nice with full of sooprrr spice ;-) loved it .. Thank you so much",Kuntal,/Profile/kuntalhule,,50
